Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,333,,,,,,,,,,,,,,,,
Files,4,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,773.079086670652,199,121,78,20,19,12,35,35,0,27,19,10,6,16,"δίκαιον-τό (28), δίκαια-τά (16), δίκαιον-τόν (11), δικαίοις-τοῖς (9), δικαίως-τόν (9), δικαίους-τούς (7), δικαίως-τό (7), δίκαιον-τούς (5), δικαίως-τῶν (5), δίκαιος-ὁ (5), δίκαιον-τά (5), δίκαιον-τῶν (4), δίκαιος-τῶν (4), δικαίων-τῶν (4), δίκαιον-τοῖς (3), δίκαια-τούς (3), δίκαιον-ὁ (3), δίκαιος-τό (3), δικαίως-τούς (3), δικαίαν-τήν (2), δικαίας-τῶν (2), δικαίως-ὁ (2), δίκαια-τήν (2), δικαίως-τήν (2), δίκαιος-τόν (2), δικαίως-οἱ (2), δίκαιον-ἡ (2), δικαίως-τά (2), δικαίων-τούς (2), δικαίῳ-τόν (1), δικαίωι-τά (1), δικαιῶν-τόν (1), δικαίῳ-τά (1), δικαίους-ὁ (1), δικαίους-τῶν (1), δικαίας-τούς (1), δίκαιοι-οἱ (1), δικαίωι-τοῖς (1), δίκαιον-τῆς (1), δίκαιος-τούς (1), δικαίως-τῆς (1), δίκαιον-οἱ (1), δίκαιοι-τήν (1), δίκαια-ἁ (1), δικαίας-τῆς (1), δίκαιος-τοῖς (1), δικαίων-τοῖς (1), δικαίων-τόν (1), δικαίων-τό (1), δίκαια-τῶν (1), δίκαιον-τάς (1), δικαιοῦν-τῶν (1), δικαίοις-τό (1), δικαίου-τόν (1), δίκαια-τῆς (1), δικαίαν-τούς (1), δίκαιοι-τοῖς (1), δικαίοις-οἱ (1), δίκαιοι-τῶν (1), δικαιῶ-τόν (1), δικαίου-τῶν (1), δικαίως-αἱ (1), δικαίων-ὁ (1), δίκαιος-τήν (1), δίκαιον-τήν (1), δίκαιος-τάς (1), δίκαια-τόν (1), δικαίοις-τόν (1), δικαιοῖ-ὁ (1), δικαίως-τοῖς (1), δικαιοσύνας-τό (1), δίκαιος-τῆς (1), δίκαιος-τά (1), δίκαιοι-τῆς (1)"
καί,δικαι,366.646180994809,99,54,45,9,9,5,16,15,0,19,4,6,9,7,"δίκαιον-καί (23), δίκαια-καί (19), δικαίους-καί (11), δικαίως-καί (9), δίκαιος-καί (8), δικαίων-καί (5), δικαίου-καί (5), δικαίας-καί (4), δικαία-καί (4), δικαίαν-καί (3), δικαίοις-καί (2), δίκαιοι-καί (2), δικαιῶν-καί (2), δικαιωθείς-καί (1), δικαιότερον-καί (1)"
οὐ,δικαι,363.008618056774,86,45,41,6,3,1,10,25,0,15,9,4,6,7,"δίκαιον-οὐ (16), δικαίως-οὐ (12), δίκαια-οὐ (8), δίκαιον-οὐκ (6), δικαίως-οὐκ (5), δίκαιος-οὐ (5), δίκαιος-οὐκ (4), δικαίας-οὐκ (4), δικαίοις-οὐ (2), δίκαιον-κοὐ (2), δίκαιον-οὐχ (2), δικαίῳ-οὐ (1), δικαίου-οὐκ (1), δικαιοῖς-οὐ (1), δικαίων-οὐκ (1), δίκαιον-οὐχί (1), δίκαιον-οὔκ (1), δίκαια-κοὐκ (1), δίκαια-κοὐ (1), δικαίας-κοὐκ (1), δίκαιον-οὔ (1), δικαίως-οὐχί (1), δικαίῳ-κοὐκ (1), δικαίοις-οὐκ (1), δικαιῶν-οὔ (1), δικαίοις-οὐχί (1), δικαίας-οὐ (1), δικαίῳ-οὐχί (1), δικαίως-οὔ (1), δικαιοῦν-οὐ (1), δικαίωι-οὐ (1)"
δέ,δικαι,272.917419189587,91,31,60,6,10,4,9,2,0,9,16,8,7,20,"δίκαιον-δ' (13), δίκαιον-δέ (12), δίκαια-δέ (9), δίκαια-δ' (9), δικαίως-δ' (8), δικαίως-δέ (7), δίκαιος-δ' (6), δικαίας-δέ (5), δίκαιοι-δ' (4), δικαίωι-δ' (3), δικαίοις-δ' (3), δικαίους-δ' (2), δικαίων-δ' (2), δικαίῳ-δέ (1), δικαιῶ-δέ (1), δικαιότερον-δ' (1), δικαίου-δ' (1), δικαίου-δέ (1), δικαίαν-δ' (1), δικαίαν-δέ (1), δικαιοσύνας-δ' (1)"
εἰμί,δικαι,212.437060726807,62,27,35,3,3,7,6,8,0,21,6,3,1,4,"δίκαιος-ὤν (14), δικαίως-ἦν (3), δίκαιον-ἐστί (3), δίκαια-ἦ (3), δίκαιον-ἦι (2), δίκαιον-ἔσται (2), δίκαιον-ἦ (2), δίκαια-ἐστι (1), δικαίου-ὤν (1), δικαίως-ὄντας (1), δικαία-ἔστι (1), δικαίων-ἐστ' (1), δικαίους-ὄντας (1), δίκαιος-ἦ (1), δίκαιον-ἔστι (1), δικαίως-εἰσίν (1), δίκαιον-ἦν (1), δίκαιον-ᾖ (1), δίκαιον-ἔα (1), δικαία-ἦις (1), δικαίως-εἶναι (1), δίκαιον-ἰών (1), δίκαια-εἶναι (1), δίκαιοι-ἐσμέν (1), δίκαια-ἐστ' (1), δικαίοις-οὖσιν (1), δίκαιοι-εἰσί (1), δίκαιον-εἶναι (1), δικαίαν-ὤν (1), δικαίως-ἔστ' (1), δικαίας-ἔσθ' (1), δίκαιος-εἰσί (1), δίκαια-εἰσίν (1), δίκαια-εἶτ' (1), δικαίως-ὤν (1), δίκαιοι-ὄντες (1), δικαίων-εἰμ' (1), δικαίως-ἔστιν (1), δίκαιος-ἐσθ' (1), δικαίοις-ἦν (1)"
ἀνήρ,δικαι,183.7644171305,36,23,13,7,6,6,0,4,0,3,5,3,1,1,"δίκαιος-ἀνήρ (8), δίκαιον-ἄνδρα (5), δικαίων-ἀνδρῶν (3), δικαίων-ἀνδρός (2), δίκαιον-ἀνήρ (2), δίκαια-ἀνήρ (2), δίκαιος-ἀνδράσιν (1), δικαίως-ἄνδρας (1), δίκαιον-ἄνδρε (1), δικαία-ἀνδρός (1), δικαίως-ἀνδράσιν (1), δικαίαν-ἀνδρός (1), δικαίου-ἄνδρα (1), δίκαιον-ἀνδρός (1), δικαιοῦν-ἀνδρός (1), δικαίους-ἄνδρας (1), δίκαια-ἀνδρῶν (1), δικαίως-ἀνδρός (1), δικαιοῦν-ἄνδρα (1), δικαίου-ἀνδρός (1)"
γάρ,δικαι,171.724672263488,51,34,17,5,7,6,3,13,0,5,5,4,1,2,"δίκαιον-γάρ (17), δίκαια-γάρ (12), δικαίοις-γάρ (3), δίκαιος-γάρ (3), δικαίῳ-γάρ (2), δικαίου-γάρ (2), δικαία-γάρ (2), δικαίως-γάρ (2), δικαίας-γάρ (2), δικαίους-γάρ (2), δικαιοῖς-γάρ (1), δίκαιοι-γάρ (1), δικαιοῦν-γάρ (1), δικαίων-γάρ (1)"
μή,δικαι,149.326855052263,37,22,15,1,2,2,1,16,0,3,4,2,4,2,"δίκαια-μή (13), δίκαιον-μή (10), δικαίως-μή (5), δίκαιος-μή (4), δικαίοις-μή (1), δικαιοῦν-μή (1), δικαιῶν-μή (1), δικαίῳ-μή (1), δικαίους-μή (1)"
λέγω,δικαι,135.472416551784,32,18,14,0,5,2,5,6,0,4,2,3,4,1,"δίκαιον-λέγειν (4), δίκαια-λέγειν (3), δίκαια-λέγει (3), δίκαια-λέγω (3), δίκαια-λέγων (2), δίκαια-λέξομαι (1), δίκαια-λεγούσης (1), δικαίως-λέγων (1), δικαίοις-λέγειν (1), δικαίαν-λελεγμένων (1), δίκαια-λέγοντα (1), δικαιότερον-λέγω (1), δίκαια-λέξας (1), δίκαιον-λέγει (1), δίκαιος-λεγόντων (1), δικαίως-λέξον (1), δίκαιος-λέγειν (1), δίκαιον-λέγω (1), δίκαιος-λέγω (1), δίκαια-λέξω (1), δικαίως-λέξω (1), δικαιῶν-λέγουσι (1)"
ὅδε,δικαι,133.272171301767,43,23,20,5,10,4,4,0,0,6,2,2,7,3,"δίκαιον-τάδε (5), δίκαιος-τήνδε (3), δίκαια-τάδε (2), δίκαιον-τοῦδ' (2), δικαίου-τήνδε (2), δικαίας-τῆσδε (1), δικαίωι-τόνδ' (1), δικαίως-τόνδε (1), δίκαιος-τόνδ' (1), δίκαια-ἥδ' (1), δίκαια-τήνδε (1), δικαίως-τῶνδ' (1), δικαίως-τᾶιδ' (1), δίκαια-τῆσδε (1), δικαίως-τῷδ' (1), δίκαιος-ὅδε (1), δικαίων-τῶνδ' (1), δικαίους-τόδε (1), δίκαιος-τοῦδε (1), δικαίως-τῆσδε (1), δικαίῳ-τάδε (1), δικαίου-τόδε (1), δίκαια-τόνδ' (1), δικαίως-ὅδ' (1), δικαίως-τόνδ' (1), δικαίως-τόδ' (1), δικαίως-ὅδε (1), δικαίως-τάδε (1), δικαίαν-τούσδ' (1), δίκαιος-τῶνδ' (1), δίκαια-τούσδε (1), δίκαια-τῷδ' (1), δικαίας-τάδ' (1), δίκαιον-τάδ' (1)"
