Collocation,2013-09-08
KeyWord,ευσεβ
Instances,95
Files,4
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,240.482553495094,58,32,26,4,2,5,13,8,0,7,5,3,3,8,"εὐσεβές-τό (4), εὐσεβεῖς-τούς (3), εὐσεβής-τῶν (3), εὐσεβούντων-τῶν (3), εὐσέβειαν-τήν (3), εὐσεβεῖν-τούς (2), εὐσεβής-ἡ (2), εὐσεβεῖν-τοῖς (2), εὐσεβοῦσι-τούς (2), εὐσεβής-τάν (2), εὐσεβεῖν-τά (2), εὐσεβίας-τό (2), εὐσεβίας-τῆς (2), εὐσεβεῖν-τόν (1), εὐσεβεστάτου-τούς (1), εὐσέβειαν-τοῖς (1), εὐσεβεστέρους-τῶν (1), εὐσεβῇ-ὁ (1), εὐσεβῆ-τούς (1), εὐσέβειαν-αἱ (1), εὐσεβῶν-τούς (1), εὐσεβοῦσι-τῆς (1), εὐσεβίαν-τήν (1), εὐσεβοῦσιν-τοῖς (1), εὐσεβοῦς-τήν (1), εὐσεβεῖν-τό (1), εὐσεβείᾳ-τᾷ (1), εὐσεβέστατος-τόν (1), εὐσεβεστέραν-τοῖς (1), εὐσεβές-τῆς (1), εὐσέβειαν-ἡ (1), εὐσεβείας-ἡ (1), εὐσέβει-τό (1), εὐσεβείας-τό (1), εὐσεβεῖν-οἱ (1), εὐσεβής-ὁ (1), εὐσεβείας-τῆς (1), εὐσέβεια-ἡ (1), εὐσεβῆ-τόν (1)"
δέ,ευσεβ,172.305702047423,41,24,17,1,7,4,3,9,0,0,4,8,0,5,"εὐσεβής-δ' (8), εὐσεβεῖν-δ' (4), εὐσέβειαν-δ' (3), εὐσέβειαν-δέ (3), εὐσεβῆ-δ' (3), εὐσεβείας-δ' (3), εὐσεβεῖς-δ' (2), εὐσεβές-δ' (2), εὐσεβεῖς-δέ (2), εὐσεβῶν-δέ (1), εὐσεβῆ-δέ (1), εὐσεβεστέρους-δ' (1), εὐσεβεῖν-δέ (1), εὐσεβοῦσιν-δέ (1), εὐσέβεια-δ' (1), εὐσεβέσι-δ' (1), εὐσεβούντων-δ' (1), εὐσεβίας-δ' (1), εὐσεβεστάτου-δ' (1), εὐσεβοῦσι-δ' (1)"
τε,ευσεβ,120.475827509537,25,14,11,0,2,4,4,4,0,4,1,2,2,2,"εὐσεβής-τ' (5), εὐσεβεῖν-τ' (4), εὐσεβής-τε (3), εὐσεβούντων-τε (2), εὐσέβεια-τ' (1), εὐσεβῶς-τ' (1), εὐσεβοῦντες-τ' (1), εὐσεβές-τ' (1), εὐσεβεστάτη-τ' (1), εὐσεβεῖν-τε (1), εὐσεβές-τε (1), εὐσεβοῦς-τε (1), εὐσεβεστέραν-τ' (1), εὐσεβεστάτου-τ' (1), εὐσεβεῖν-θ' (1)"
θεός,ευσεβ,66.9921925887465,13,2,11,1,0,0,1,0,0,4,2,4,0,1,"εὐσεβεῖν-θεούς (2), εὐσεβῆ-θεῶν (1), εὐσεβές-θεοῦ (1), εὐσεβέστατος-θεοῦ (1), εὐσεβῇ-θεόν (1), εὐσεβεῖν-θεόν (1), εὐσεβῶν-θεοῖς (1), εὐσεβῶς-θεῶν (1), εὐσεβοῦσιν-θεούς (1), εὐσεβής-θεούς (1), εὐσεβεῖς-θεοί (1), εὐσεβοῦσι-θεούς (1)"
ευσεβ,ευσεβ,57.3039627354592,6,3,3,0,2,0,1,0,95,0,1,0,2,0,"εὐσεβῆ-εὐσεβεῖς (1), εὐσεβεῖς-εὐσεβῶν (1), εὐσεβεῖς-εὐσεβῆ (1), εὐσέβεια-εὐσεβής (1), εὐσεβῶν-εὐσεβεῖς (1), εὐσεβής-εὐσέβεια (1), εὐσεβείας-εὐσεβείας (0), εὐσεβεστάτου-εὐσεβεστάτου (0), εὐσέβεια-εὐσέβεια (0), εὐσεβῆ-εὐσεβῆ (0), εὐσεβῇ-εὐσεβῇ (0), εὐσεβῶν-εὐσεβῶν (0), εὐσεβεῖ-εὐσεβεῖ (0), εὐσέβει-εὐσέβει (0), εὐσεβίαι-εὐσεβίαι (0), εὐσεβεῖς-εὐσεβεῖς (0), εὐσεβοῦσι-εὐσεβοῦσι (0), εὐσεβής-εὐσεβής (0), εὐσεβοῦσιν-εὐσεβοῦσιν (0), εὐσεβεστέραν-εὐσεβεστέραν (0), εὐσεβεστέρους-εὐσεβεστέρους (0), εὐσεβέσι-εὐσεβέσι (0), εὐσέβειαν-εὐσέβειαν (0), εὐσεβείᾳ-εὐσεβείᾳ (0), εὐσεβίας-εὐσεβίας (0), εὐσεβῶς-εὐσεβῶς (0), εὐσεβές-εὐσεβές (0), εὐσεβοῦντες-εὐσεβοῦντες (0), εὐσεβέστατος-εὐσεβέστατος (0), εὐσεβεῖν-εὐσεβεῖν (0), εὐσεβοῦς-εὐσεβοῦς (0), εὐσεβίαν-εὐσεβίαν (0), εὐσεβεστάτην-εὐσεβεστάτην (0), εὐσεβούντων-εὐσεβούντων (0), εὐσεβεστάτη-εὐσεβεστάτη (0)"
εἰμί,ευσεβ,53.8134563788772,16,9,7,0,5,2,0,2,0,2,2,1,2,0,"εὐσεβής-ἦσθ' (2), εὐσεβείας-ἐστιν (1), εὐσεβεστέρους-ὄντας (1), εὐσεβούντων-εἰς' (1), εὐσεβῆ-ἦν (1), εὐσεβῆ-μοὐστίν (1), εὐσεβείας-ἦν (1), εὐσεβής-ἦν (1), εὐσεβής-ἐστ' (1), εὐσεβούντων-εἶναι (1), εὐσέβει-ὤν (1), εὐσεβεστάτη-ἐστίν (1), εὐσεβής-ὤν (1), εὐσεβοῦς-ἐστι (1), εὐσεβῇ-ἐστί (1)"
μέν,ευσεβ,51.8501769639552,12,3,9,0,1,0,0,2,0,1,2,2,3,1,"εὐσέβειαν-μέν (2), εὐσεβεστέραν-μέν (1), εὐσεβῆ-μέν (1), εὐσεβοῦς-μέν (1), εὐσεβεῖν-μέν (1), εὐσεβέστατος-μέν (1), εὐσεβεστέρους-μέν (1), εὐσεβής-μέν (1), εὐσεβίας-μέν (1), εὐσεβεστάτην-μέν (1), εὐσέβεια-μέν (1)"
πρός,ευσεβ,46.091776560992,10,6,4,1,0,1,3,1,0,0,1,0,2,1,"εὐσεβῆ-πρός (3), εὐσεβής-πρός (1), εὐσεβίαν-πρός (1), εὐσεβῶς-πρός (1), εὐσέβειαν-πρός (1), εὐσεβεῖν-πρός (1), εὐσεβείας-πρός (1), εὐσεβεῖς-πρός (1)"
ἀνήρ,ευσεβ,44.6856922395527,9,4,5,1,0,1,0,2,0,3,1,0,1,0,"εὐσεβής-ἀνήρ (4), εὐσεβεστάτου-ἀνδρός (2), εὐσεβεῖς-ἄνδρες (1), εὐσεβίαι-ἀνδρῶν (1), εὐσεβίαν-ἀνδρῶν (1)"
σύ,ευσεβ,43.4334256444126,14,8,6,5,1,0,1,1,0,0,1,1,2,2,"εὐσεβίας-σύ (1), εὐσεβής-σύ (1), εὐσεβῆ-ς' (1), εὐσεβεῖς-σύ (1), εὐσεβές-ς' (1), εὐσεβής-σοῦ (1), εὐσεβεστάτην-σε (1), εὐσέβειαν-σύ (1), εὐσεβεστάτου-σύ (1), εὐσεβέσι-σέ (1), εὐσεβές-σύ (1), εὐσέβειαν-σε (1), εὐσεβές-ὑμῖν (1), εὐσεβῆ-σοι (1)"
