Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,428,,,,,,,,,,,,,,,,
Files,4,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
εὖ,φρον,599.578584203497,73,52,21,1,1,1,3,46,0,13,4,1,1,2,"φρονεῖν-εὖ (15), φρονεῖς-εὖ (13), φρονῶν-εὖ (10), φρονῶ-εὖ (6), φρονοῦσιν-εὖ (5), φρονεῖ-εὖ (3), φρονήσας-εὖ (2), φρονοῦσι-εὖ (2), φρόνει-εὖ (2), φρονοῦντας-εὖ (2), φρονοῦσα-εὖ (2), φροντίδος-εὖ (1), φρονήσομεν-εὖ (1), φρονοῦντος-εὖ (1), φρόντιζε-εὖ (1), φρόνησον-εὖ (1), φρονοῦσαν-εὖ (1), φρονῇς-εὖ (1), φρονεῖτε-εὖ (1), φρονοῦμεν-εὖ (1), φρονοῦντα-εὖ (1), φρονοῦντες-εὖ (1)"
ὁ,φρον,574.200680000708,179,94,85,22,20,21,12,19,0,11,16,21,13,24,"φρονεῖν-τό (8), φρονεῖν-τούς (6), φρονεῖν-τόν (5), φρονοῦντας-τούς (5), φροντίδα-τήν (4), φρονῶ-τά (4), φρονεῖν-τῆς (3), φρονεῖν-τάς (3), φρονεῖς-τόν (3), φρονεῖν-τοῖς (3), φροντίζειν-τόν (3), φρονεῖν-οἱ (3), φροντίζουσα-ἡ (3), φροντίς-τά (3), φρονεῖν-τῶν (3), φρονεῖν-τήν (3), φρονεῖς-τά (2), φρονεῖν-ὁ (2), φρονῶ-τό (2), φρονεῖς-τό (2), φρόνησις-ἡ (2), φρονοῦντες-οἱ (2), φρονῶν-τοῖς (2), φρονῶν-τό (2), φροντίδος-τό (2), φρονοῦσι-οἱ (2), φροντίς-ἡ (2), φρονεῖ-τά (2), φρονεῖς-τήν (2), φρονεῖ-τό (2), φρονεῖ-ο (2), φροντίδα-τά (2), φροντίδος-τήν (2), φρονεῖ-τῶν (2), φρονεῖ-τάς (2), φρονεῖ-ὁ (2), φρονῶν-τῆς (2), φροντίδος-τῆς (1), φρονοῦσιν-τήν (1), φρονεῖν-ἁ (1), φροντίζεις-τόν (1), φροντίδα-ὁ (1), φροντίδων-τά (1), φροντίζει-ταῖσι (1), φροντίδα-τό (1), φρονοῦσι-τοῖς (1), φρόνησις-οἱ (1), φρονοῦσαν-τήν (1), φρονοῦσα-τῆς (1), φρονήσασαι-τήν (1), φρονεῖς-ὁ (1), φρονῶ-τοῖς (1), φρονοῦμεν-οἱ (1), φρονεῖς-τούς (1), φροντίς-τόν (1), φροντίσιν-ἁ (1), φρονοῦντες-τά (1), φροντίς-τήν (1), φροντίζων-τούς (1), φρονεῖτε-τήν (1), φροντίσιν-τάν (1), φρονῇς-τά (1), φρονεῖν-ἡ (1), φρονοῖ-τά (1), φροντίζων-τήν (1), φρονοῦσιν-τοῖς (1), φροντίδες-αἱ (1), φρόνει-χω (1), πεφροντικός-τοῖς (1), φρόντιζε-τοῖς (1), φρονῶν-τάς (1), φροντίζετε-τούς (1), φρονοῦσιν-τῶν (1), φρόνει-τῆς (1), φρονεῖς-τῆς (1), φρονεῖ-τῆς (1), φρονοῦσα-τό (1), φροντίσαι-τοῖς (1), φρονοῦσα-τῶν (1), φροντίζουσα-ὁ (1), ἐφρόντισας-τῶν (1), φρόνησον-τοῖς (1), φρονῶν-τήν (1), φρονοῦσαν-τό (1), φρον-ο (1), φροντίς-τό (1), φροντίδι-τό (1), φρονεῖν-τᾶς (1), φρονεῖ-τήν (1), φρονεῖ-ἡ (1), φροντίδι-ὁ (1), φρονῶν-ὁ (1), φρονεῖς-τῶν (1), φροντίσαι-τῆς (1), φρονοῦντα-τό (1), φρονοῦσι-τούς (1), φρονήσας-τόν (1), φροντίδες-τῶν (1), φροντίδος-τά (1), φρόντιζε-ἡ (1), φροντιεῖ-τά (1), πεφροντίκαμεν-τάς (1), φροντίζων-τῶν (1), φροντίσῃς-τήν (1), φρονήσας-τό (1), φρονεῖν-τά (1), φροντίδος-τᾶς (1), φροντίδα-τόν (1), φρονοῦσα-ἡ (1), φρονεῖ-τοῖς (1), φρονοῦσι-ὁ (1), φροντιούμεθα-τά (1)"
οὐ,φρον,519.848013890907,115,70,45,15,9,7,19,20,0,6,16,8,8,7,"φρονεῖν-οὐκ (12), φρονεῖν-οὐ (12), φρονεῖς-οὐκ (8), φρονῶν-οὐ (6), φρονῶ-οὐ (6), φρονεῖς-οὐ (5), φρονῶν-οὐκ (4), φρονεῖ-οὐ (4), φρονοῦντες-οὐ (2), φρονεῖ-οὐκ (2), φρονῶν-κοὐ (2), φρονοῦντας-οὐ (2), φρονῶ-οὐκ (2), φροντίσῃς-οὐ (2), φρονοῦσα-οὐ (2), φρονοῦσιν-οὐ (2), ἐφρόντισα-οὐ (2), φροντιεῖ-οὔ (1), πεφροντίκαμεν-οὐ (1), φροντίζει-οὐ (1), φρονοῦσι-οὐ (1), φροντίζει-οὐχ (1), φροντίδας-οὐκ (1), φροντίδος-οὐ (1), φροντίς-οὐχ (1), φρονεῖ-κοὐ (1), φρονοῦντι-οὐ (1), φρονοῦντος-οὐκ (1), φροντίσαι-οὐ (1), ἐφρόντισεν-οὐ (1), φρονεῖς-κοὐ (1), φρονῶ-οὔ (1), φροντίσιν-οὐ (1), φρονοῦντι-οὐκ (1), φροντίσιν-οὐχ (1), φροντίδες-οὐ (1), φρονοῦντα-οὐκ (1), πεφροντικός-οὐ (1), φροντίζων-οὐ (1), φρονοῦσα-οὐκ (1), φρόνησις-οὐκ (1), φροντίς-οὐχί (1), φροντίς-οὐκ (1), φροντίς-οὔ (1), φρόνει-οὐ (1), φροντίσας-οὐ (1), φρονοῦντε-οὐ (1), ἐφρόντισα-οὐκ (1), φροντίδες-οὐκ (1), φρονεῖν-οὐχ (1), φροντιῶ-οὐ (1), φροντίζεις-οὐχί (1), φρονῶν-οὐχ (1), φρονεῖν-κοὐκ (1), φροντιεῖς-οὐκ (1), φρονοῦσαν-κοὐκ (1), φροντίζετε-οὐ (1)"
δέ,φρον,412.663390716538,124,58,66,5,16,18,18,1,0,9,19,16,10,12,"φρονεῖν-δέ (16), φρονεῖν-δ' (14), φρονεῖ-δ' (10), φρονῶν-δ' (9), φρονῶ-δ' (7), φρονεῖς-δ' (4), φροντίς-δ' (4), φρονῶν-δέ (4), φρονοῦσα-δ' (4), φροντίδος-δέ (3), φρονεῖς-δέ (3), φρονοῦντας-δέ (3), φρονοῦσι-δ' (3), φρονεῖ-δέ (3), φρονοῦντι-δ' (2), φρονοῦντες-δέ (2), φροντίδος-δ' (2), φρόνει-δ' (2), φροντίσαι-δ' (1), φρονοῦντας-δ' (1), φροντίδας-δέ (1), φροντίζων-δέ (1), φρονοῦσιν-δ' (1), φροντιούμεθα-δ' (1), φροντίδι-δ' (1), πεφροντίκαμεν-δ' (1), φροντίς-δέ (1), φρονοῦντε-δέ (1), φρόντιζε-δέ (1), φροντίδων-δ' (1), φρονοῦσι-δέ (1), φροντιῶ-δ' (1), φροντίσας-δέ (1), φρονήσας-δ' (1), φροντίσιν-δέ (1), φρονοῦμεν-δ' (1), φρονῇ-δ' (1), φρονοῦντες-δ' (1), φρονήσομεν-δ' (1), φρόνει-δέ (1), φρονῶ-δέ (1), φρονοῦντα-δ' (1), φροντιεῖ-δ' (1), φρονοίην-δ' (1), φρονοῦντος-δέ (1), ἐφρόντισα-δέ (1), ἐφρόντισα-δ' (1)"
γάρ,φρον,399.495078912005,93,37,56,3,6,9,14,5,0,12,14,14,11,5,"φρονεῖν-γάρ (20), φρονῶν-γάρ (10), φρονεῖς-γάρ (10), φρονεῖ-γάρ (7), φρονοῦσι-γάρ (5), φροντίς-γάρ (5), φρονῶ-γάρ (4), φροντίσῃς-γάρ (4), φρόνει-γάρ (2), φρονοῦντι-γάρ (2), φροντίζειν-γάρ (2), φρόντιζε-γάρ (2), φρονοῦσιν-γάρ (2), φρονοῦντας-γάρ (2), φροντίσαι-γάρ (1), φροντιεῖς-γάρ (1), φρονοῦν-γάρ (1), φρονοῦμεν-γάρ (1), φροντίδα-γάρ (1), φρόνησον-γάρ (1), φρονοῦσα-γάρ (1), φροντίζουσα-γάρ (1), φροντίδες-γάρ (1), φροντίζετε-γάρ (1), φρόνησιν-γάρ (1), φρονοῦντα-γάρ (1), φροντίζομεν-γάρ (1), φρονοῦντος-γάρ (1), φροντίδων-γάρ (1), φρονῇς-γάρ (1)"
μή,φρον,249.033704612404,55,36,19,4,2,4,8,18,0,3,4,2,6,4,"φρονεῖν-μή (13), φροντίσῃς-μή (8), φρονῶν-μή (6), φρονῶ-μή (5), φρονεῖς-μή (4), φρόνει-μή (3), φρονοῦσα-μή (2), φρονοῦντι-μή (2), φρονῇ-μή (1), φρονοῦντα-μή (1), φρόντιζε-μή (1), φροντίσιν-μή (1), φρονοῦν-μή (1), φρονεῖ-μή (1), φρονοῦσιν-μή (1), φροντίζετε-μή (1), φρονοῦντας-μή (1), φροντίδας-μή (1), φροντίδι-μή (1), φρονοῦσαν-μή (1)"
σύ,φρον,235.297438157722,70,38,32,4,9,13,8,4,0,3,9,5,5,10,"φρονεῖν-σύ (4), φρονεῖν-ς' (4), φρονεῖς-σοί (3), φρονεῖς-ς' (3), φρονεῖς-σύ (2), φρονεῖς-σοι (2), φρονήσας-σοι (2), φρονεῖν-σοί (2), φρονῶν-σοι (2), φρόνει-σύ (2), φρονῶ-ς' (2), φρονῶν-σε (2), φρονῶν-ς' (2), φρονῶ-σοί (1), φρονεῖ-σύ (1), φροντίς-σφῶιν (1), φρόνει-ς' (1), φροντίσῃς-σύ (1), φρονοῦσαν-σε (1), φροντίζων-σε (1), φρονῶ-σοι (1), φροντίζει-σε (1), φρόντιζε-σύ (1), φροντίζειν-σε (1), φρονοῦσαν-σοι (1), φροντιεῖ-σέθεν (1), φροντιεῖς-σύ (1), φροντιῶ-σοῦ (1), φροντίσῃς-σε (1), φρονεῖν-σε (1), φρονεῖν-σοῦ (1), φρονοῦντος-σοι (1), φρονεῖν-σέ (1), φρονεῖν-σου (1), ἐφρόντισεν-σύ (1), φρονοῦσαν-ς' (1), φροντίζων-σοί (1), φρονεῖ-σοι (1), φρονοῦσαν-σοί (1), φροντίζομεν-σοί (1), φρονῶ-σύ (1), φρονοῖ-ὑμεῖς (1), φρονῶν-ὑμεῖς (1), φρονεῖν-σοι (1), φρονοῦντος-σοῦ (1), φρονῶ-σου (1), φρονοῦσαν-σύ (1), φροντίς-σύ (1), φροντίσαι-σου (1), φρονῇς-σύ (1), φρονοῦσιν-ς' (1)"
ἐγώ,φρον,228.158137459308,73,36,37,7,4,10,8,7,0,5,6,7,11,8,"φρονεῖν-ἐγώ (7), φρονῶ-ἐγώ (6), φρονεῖν-με (4), φρονῶ-μοι (3), φροντίς-μοι (3), φρονῶν-ἐγώ (2), φρονῶ-ἁγώ (2), φρονῶν-μ' (2), φρόντιζε-ἐγώ (2), φρονεῖς-'γώ (2), φρονεῖν-μ' (2), φροντίδος-μοι (2), φροντίζεις-ἐγώ (1), φρόνησον-μ' (1), φρονῶν-ἡμῖν (1), φρονῶ-ἡμῖν (1), φροντίζειν-ἔγωγ' (1), φρόνησον-νῷν (1), φροντίς-με (1), φρονεῖς-μοι (1), φροντιούμεθα-ἡμεῖς (1), φρονοῦντι-ἐγώ (1), φρονεῖ-ἐγώ (1), φρονοῦντι-μ' (1), φρόνησιν-μοι (1), φρονεῖν-μοι (1), φρονεῖς-με (1), φρονεῖ-μ' (1), φρονῶ-κἀγώ (1), φρονεῖς-ἡμῖν (1), φρονῶ-'γώ (1), φροντίσας-μοι (1), φρονοῦσιν-ἐγώ (1), φρονῶ-μ' (1), φρονῶ-με (1), φρονῇς-νῷν (1), φρονῶ-ἔμοιγ' (1), φρονεῖν-νῷν (1), φροντίζομεν-κἄγωγε (1), φρονοῦσαν-μου (1), φρονοῦσι-ἐγώ (1), φροντίσῃς-ἐγώ (1), φρονοῦσαν-μ' (1), φροντίζετε-ἐγώ (1), φροντίζων-ἐγώ (1), φροντιῶ-ἐγώ (1), φροντίδα-ἡμῖν (1), φρονοῦσιν-ἔμοιγ' (1)"
φρον,φρον,215.056355627254,31,16,15,1,2,8,4,1,389,1,4,7,2,1,"φρονοῦσι-φρονοῦσι (2), φρονῶν-φρονῶν (2), φρονεῖν-φρονοῦντος (1), φροντίς-φροντίζουσα (1), φρονεῖς-φρονοῦσα (1), φρόνει-φρονεῖν (1), φρονῶν-φρονεῖς (1), φρονοῦντα-φρονεῖν (1), φρονεῖς-φρονῶ (1), φρονεῖν-φρονοῦσα (1), φρονεῖν-φρονοῦς' (1), φρονῶ-φρονεῖς (1), φρονοῦντας-φρονεῖν (1), φρονεῖς-φρονῶν (1), φρονεῖν-φρονοῦντας (1), φρονοῦντος-φρονεῖν (1), φροντίδος-φρόντισον (1), φρονῶν-φρονεῖ (1), φρονοῦσα-φρονεῖς (1), φρονεῖν-φρόνει (1), φρονῶ-φρονῶν (1), φρονεῖν-φρονοῦντα (1), φρονοῦσα-φρονεῖν (1), φρονεῖ-φρονῶν (1), φρονῶν-φρονῶ (1), φρόντισον-φροντίδος (1), φρονεῖν-φρονοῦντι (1), φροντίζουσα-φροντίς (1), φρονοῦντι-φρονεῖν (1), φρονοίην-φρονοίην (0), φροντίζομεν-φροντίζομεν (0), φρονήσομεν-φρονήσομεν (0), φρονοῦντος-φρονοῦντος (0), φρονοῖ-φρονοῖ (0), φροντίζει-φροντίζει (0), φροντίδας-φροντίδας (0), φροντίς-φροντίς (0), ἐφρόντισεν-ἐφρόντισεν (0), πεφροντικός-πεφροντικός (0), φροντιούμεθα-φροντιούμεθα (0), φρόνει-φρόνει (0), φρονεῖτε-φρονεῖτε (0), φροντίζετε-φροντίζετε (0), φροντίδα-φροντίδα (0), φροντιεῖ-φροντιεῖ (0), φρονῶ-φρονῶ (0), φρόντισον-φρόντισον (0), φρονοῦμεν-φρονοῦμεν (0), φρονῇ-φρονῇ (0), φρονοῦσα-φρονοῦσα (0), φρονοῦντι-φρονοῦντι (0), φροντίζων-φροντίζων (0), πεφροντίκαμεν-πεφροντίκαμεν (0), φρονήσασαι-φρονήσασαι (0), φροντίσῃς-φροντίσῃς (0), φροντίδος-φροντίδος (0), φροντίσωμεν-φροντίσωμεν (0), φρονοῦν-φρονοῦν (0), φροντιῶ-φροντιῶ (0), φρόνησον-φρόνησον (0), φροντιεῖς-φροντιεῖς (0), φρονῆσαι-φρονῆσαι (0), φρονοῦσιν-φρονοῦσιν (0), φρονοῦντας-φρονοῦντας (0), φρονήσας-φρονήσας (0), φρονῇς-φρονῇς (0), φρονοῦντες-φρονοῦντες (0), φρόνησις-φρόνησις (0), φροντίδι-φροντίδι (0), φρονεῖς-φρονεῖς (0), φρονεῖν-φρονεῖν (0), φροντίσιν-φροντίσιν (0), φρονεῖ-φρονεῖ (0), φρονείτω-φρονείτω (0), ἐφρόντισα-ἐφρόντισα (0), φροντίζειν-φροντίζειν (0), φρονοῦντε-φρονοῦντε (0), φροντίδων-φροντίδων (0), φροντίσαι-φροντίσαι (0), φροντίσας-φροντίσας (0), φρονοῦντα-φρονοῦντα (0), φροντίζουσα-φροντίζουσα (0), φρόντιζε-φρόντιζε (0), φρον-φρον (0), φροντίδες-φροντίδες (0), φροντίζεις-φροντίζεις (0), ἐφρόντισας-ἐφρόντισας (0), φρονοῦσαν-φρονοῦσαν (0), φρόνησιν-φρόνησιν (0)"
εἰ,φρον,169.099018670619,38,22,16,2,10,2,2,6,0,6,1,2,4,3,"φρονεῖς-εἰ (7), φρονεῖν-εἰ (7), φρονῶν-εἰ (4), φρονεῖ-εἰ (4), φροντίς-εἰ (2), φρονεῖς-εἴ (2), φρονήσομεν-εἰ (1), φρόνησιν-εἰ (1), φρονοῦσι-εἰ (1), φρονῶ-εἰ (1), φρονῶν-εἴ (1), φροντίσαι-εἰ (1), φρονοῦσαν-εἴ (1), φρονοῦσιν-εἴ (1), φροντίζων-εἰ (1), φροντίζουσα-εἴ (1), φροντίδος-εἰ (1), ἐφρόντισας-εἴ (1)"
