Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,οσι,,,,,,,,,,,,,,,,
Instances,63,,,,,,,,,,,,,,,,
Files,4,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
δέ,οσι,110.884477358311,27,11,16,1,1,1,1,7,0,3,3,4,3,3,"ὅσια-δ' (4), ὅσιος-δ' (3), ὅσιον-δ' (3), ὅσιον-δέ (3), ὁσία-δ' (2), ὁσίαν-δ' (2), ὅσιαι-δέ (2), ὁσίων-δέ (1), ὁσιοῦν-δ' (1), ὅσιοι-δ' (1), ὅσιος-δέ (1), ὁσιοῦν-δέ (1), ὁσίων-δ' (1), ὁσιωθείς-δ' (1), ὁσίως-δέ (1)"
οὐ,οσι,95.3120008558035,20,14,6,3,2,1,1,7,0,3,0,2,0,1,"ὅσια-οὐ (5), ὅσιον-οὐ (4), ὁσίαν-οὐχ (2), ὁσίων-οὐχ (1), ὅσιαι-οὐχ (1), ὅσια-οὔ (1), ὅσιον-οὐκ (1), ὅσιος-οὐ (1), ὁσίως-οὔχ (1), ὅσιον-οὐχ (1), ὁσίας-οὐχ (1), ὁσίως-οὐχ (1)"
οσι,οσι,66.7611774019897,6,3,3,0,0,2,0,1,62,1,0,2,0,0,"ὁσία-ὁσία (2), ὁσίας-ὅσιον (1), ὅσιον-ὁσίας (1), ὅσιος-ὁσίου (1), ὁσίου-ὅσιος (1), ὁσίων-ὁσίων (0), ὅσιος-ὅσιος (0), ὁσίοις-ὁσίοις (0), ὅσιαι-ὅσιαι (0), ὁσίαν-ὁσίαν (0), ὁσιώτεροι-ὁσιώτεροι (0), ὁσίας-ὁσίας (0), ὁσίως-ὁσίως (0), ὅσια-ὅσια (0), ὁσίη-ὁσίη (0), ὁσίαις-ὁσίαις (0), ὁσιοῦν-ὁσιοῦν (0), ὁσιωθείς-ὁσιωθείς (0), ὅσιοι-ὅσιοι (0), ὅσιον-ὅσιον (0), ὁσίου-ὁσίου (0), ὁσίους-ὁσίους (0)"
ὁ,οσι,58.726568069309,22,11,11,5,1,0,4,1,0,0,4,2,3,2,"ὅσια-τά (2), ὁσίων-τῶν (2), ὅσιον-τό (2), ὁσίαν-τόν (2), ὁσίων-τόν (1), ὁσίας-ὁ (1), ὁσίαν-τά (1), ὅσιαι-τῶν (1), ὁσίων-ὁ (1), ὁσία-ταῖς (1), ὁσίαν-τήν (1), ὅσιος-ὁ (1), ὁσίαν-τάν (1), ὁσίοις-τά (1), ὅσια-τούς (1), ὁσίας-τά (1), ὅσιοι-τᾶς (1), ὁσίας-τῆς (1)"
ὅς,οσι,38.3933676090091,9,3,6,0,0,1,2,0,0,0,2,0,1,3,"ὁσία-ἅ (2), ὁσία-ἥν (1), ὅσια-ὅν (1), ὁσίων-ὧν (1), ὁσίων-ἅ (1), ὅσιον-οἷσιν (1), ὅσιος-ὅν (1), ὅσιον-οἷς (1)"
δικαι,οσι,36.3425672985613,5,2,3,0,0,1,1,0,0,0,2,1,0,0,"ὅσιον-δίκαιον (2), ὅσια-δικαίως (1), ὅσια-δίκαιος (1), ὅσιος-δίκαιος (1)"
πότνα,οσι,35.4602000694722,2,1,1,0,0,0,1,0,0,1,0,0,0,0,ὁσία-πότνα (2)
γάρ,οσι,35.1510649211705,10,8,2,2,2,0,2,2,0,1,0,0,0,1,"ὅσιος-γάρ (3), ὅσια-γάρ (2), ὁσία-γάρ (2), ὅσιον-γάρ (1), ὁσιοῦν-γάρ (1), ὁσίου-γάρ (1)"
θεός,οσι,32.593296892941,7,2,5,0,0,0,0,2,0,0,3,1,0,1,"ὁσία-θεῶν (2), ὁσίαις-θεούς (1), ὅσιος-θεούς (1), ὁσιώτεροι-θεῶι (1), ὅσιος-θεῶν (1), ὅσια-θεούς (1)"
εἰμί,οσι,31.8039966076612,10,5,5,1,0,1,2,1,0,2,0,2,1,0,"ὅσιος-ὤν (3), ὅσιος-εἰμι (1), ὅσιος-ἐστίν (1), ὁσίου-ὤν (1), ὅσια-ὤν (1), ὅσια-ἔσται (1), ὅσιος-ἔσται (1), ὁσία-ἔστιν (1)"
