Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,398,,,,,,,,,,,,,,,,
Files,4,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σοφ,1093.939846728,256,141,115,12,32,21,18,58,0,16,28,28,21,22,"σοφόν-τό (18), σοφός-ὁ (15), σοφοί-οἱ (12), σοφούς-τούς (11), σοφόν-τόν (10), σοφοῖς-τοῖς (9), σοφός-τά (6), σοφῶν-τῶν (6), σοφός-τόν (5), σοφῶς-ὁ (4), σοφόν-τῶν (4), σοφά-τῶν (4), σοφία-τό (4), σοφοί-τά (3), σοφῶν-τοῖς (3), σοφός-τήν (3), σοφοῖς-τόν (3), σοφός-τό (3), σοφόν-τῆς (2), σοφῶν-ὁ (2), σοφόν-ὁ (2), σοφούς-τῶν (2), σοφώτερος-τῶν (2), σοφῷ-τήν (2), σοφόν-τάς (2), σοφός-οἱ (2), σοφάς-τάς (2), σοφίαν-ὁ (2), σοφά-τοῖς (2), σοφήν-τήν (2), σοφοί-τήν (2), σοφῶς-τό (2), σοφός-τοῖς (2), σοφοί-τούς (2), σοφῶς-τούς (2), σοφίαν-τήν (2), σοφά-τά (2), σοφώτεροι-οἱ (2), σοφοί-τό (2), σοφώτερος-ὁ (2), σοφώτερον-τῶν (2), σοφοί-ἡ (2), σοφούς-τό (2), σοφώτερος-τήν (2), σοφός-τῶν (2), σοφαί-αἱ (1), σοφοῖσι-τῆς (1), σοφώτεροι-τάς (1), σοφόν-ταῖς (1), σοφή-τοῖς (1), σοφαῖσιν-ταῖς (1), σοφίαν-τῶν (1), σοφώτερος-τά (1), σοφά-ὁ (1), σοφούς-οἱ (1), σοφόν-ἡ (1), σοφῆς-τούς (1), σοφώτατοι-τόν (1), σοφαί-χαἰ (1), σοφός-χαἰ (1), σοφωτάτην-τῆς (1), σοφοῖσιν-ἡ (1), σοφοῦ-ἡ (1), σοφῶς-τοῖς (1), σοφίαν-τό (1), σοφώτερος-τοῖς (1), σοφωτέροις-ὁ (1), σοφῶς-τῆς (1), σοφωτάτους-τούς (1), σοφῆς-ὁ (1), σοφώτερον-τῆς (1), σοφίας-ὁ (1), σοφοί-τῶν (1), σοφός-τάς (1), σοφοῖς-τούς (1), σοφοῖς-τό (1), σοφώτατον-τόν (1), σοφᾶς-ἁ (1), σοφοί-τόν (1), σοφώτατοι-τῆς (1), σοφός-ἡ (1), σοφήν-τόν (1), σοφῶι-τοῖς (1), σοφώτατος-ὁ (1), σοφή-τῶν (1), σοφοῖσι-τοῖς (1), σοφήν-τά (1), σοφαῖσιν-ἡ (1), σοφίας-τῆς (1), σοφίαι-τᾶι (1), σοφῶς-τάς (1), σοφοῖς-ὁ (1), σοφῶς-τήν (1), σοφούς-ὁ (1), σοφόν-τά (1), σοφώτατα-ταῖς (1), σοφίας-τά (1), σοφίαι-τῶν (1), σοφοῖς-οἱ (1), σοφώτατα-οἱ (1), σοφά-τό (1), σοφωτέρα-τά (1), σοφώτεροι-τῶν (1), σοφωτέρους-τῶν (1), σοφώτεροι-ὁ (1), σοφώτεραι-αἱ (1), σοφοῖς-τῶν (1), σοφοῖσιν-τάς (1), σοφοί-ο (1), σοφοῖσιν-τοῖς (1), σοφώτερος-ἡ (1), σοφώτατοι-τοῖς (1), σοφῇ-τόν (1), σοφά-ο (1), σοφήν-τῶν (1), σοφοῖς-ἡ (1), σοφοῦ-τά (1), σοφῆι-τό (1), σοφήν-τοῖς (1), σοφός-τούς (1), σοφίας-οἱ (1), σοφοῖς-τά (1), σοφίας-τοῖς (1), σοφή-αἱ (1)"
δέ,σοφ,446.080676097423,128,60,68,13,18,15,13,1,0,13,22,13,9,11,"σοφός-δ' (16), σοφόν-δ' (14), σοφή-δ' (6), σοφός-δέ (5), σοφόν-δέ (5), σοφά-δ' (5), σοφοί-δ' (5), σοφώτερος-δέ (4), σοφῶς-δ' (4), σοφοῖσι-δ' (3), σοφή-δέ (3), σοφώτερος-δ' (3), σοφά-δέ (3), σοφήν-δέ (3), σοφία-δέ (3), σοφοί-δέ (3), σοφοῖς-δέ (2), σοφοῦ-δέ (2), σοφούς-δέ (2), σοφίᾳ-δ' (2), σοφοῖσιν-δ' (2), σοφοῖς-δ' (2), σοφίαν-δ' (2), σοφῶν-δέ (2), σοφίας-δέ (2), σοφώτεροι-δ' (2), σοφώτατος-δ' (2), σοφίας-δ' (2), σοφωτέρους-δέ (1), σοφώτερον-δέ (1), σοφία-δ' (1), σοφῷ-δέ (1), σοφοῦ-δ' (1), σοφώτατε-δ' (1), σοφῶς-δέ (1), σοφῶι-δ' (1), σοφαῖσιν-δ' (1), σοφῆς-δέ (1), σοφίαν-δέ (1), σοφούς-δ' (1), σοφῆς-δ' (1), σοφωτέρα-δέ (1), σοφώτατον-δ' (1), σοφώτατοι-δ' (1), σοφώταται-δέ (1), σοφωτάτους-δ' (1), σοφῆι-δέ (1)"
εἰμί,σοφ,444.978430630639,104,61,43,7,6,17,17,14,0,12,9,9,5,8,"σοφός-ἦ (6), σοφός-ἦν (5), σοφός-ὤν (4), σοφός-εἴη (3), σοφόν-εἶναι (3), σοφός-ἔστιν (2), σοφός-εἶναι (2), σοφός-ᾖ (2), σοφά-ἐστί (2), σοφόν-ἐστί (2), σοφός-ἐστι (2), σοφίαν-ἔστιν (1), σοφόν-ἔν (1), σοφόν-ἔστιν (1), σοφός-ἔστι (1), σοφούς-εἶθ' (1), σοφάς-ἐστι (1), σοφός-ἔστ' (1), σοφώτερος-ἦ (1), σοφή-ἦσθα (1), σοφήν-οὖσαν (1), σοφώτερον-ἔστιν (1), σοφίᾳ-εἶναι (1), σοφῇ-ἐστιν (1), σοφόν-εστιν (1), σοφοί-ὄντες (1), σοφοῖσι-ἐστί (1), σοφάς-εἶτ' (1), σοφώτερος-ἦν (1), σοφός-κᾆτ' (1), σοφοί-εἰσιν (1), σοφοῖσιν-ἦσαν (1), σοφώτατοι-ἦσαν (1), σοφῶν-ὄντες (1), σοφή-εἰμ' (1), σοφώτερος-εἴη (1), σοφός-οὐσῶν (1), σοφίᾳ-ἔστιν (1), σοφά-ὤν (1), σοφόν-ἐστ' (1), σοφόν-ἦν (1), σοφῶν-ἐστιν (1), σοφώτεροι-εἶναι (1), σοφοί-ἦν (1), σοφῶν-ὄντων (1), σοφούς-ἐστί (1), σοφοί-ἦι (1), σοφῶν-ἐστί (1), σοφοί-ἐστι (1), σοφία-ἦν (1), σοφώτατον-εἶναι (1), σοφός-ἐστ' (1), σοφῶν-ἔστι (1), σοφοῦ-ἦ (1), σοφοῦ-ὤν (1), σοφοί-ἦ (1), σοφούς-ἐστι (1), σοφόν-ᾖ (1), σοφαί-'στιν (1), σοφήν-ἔν (1), σοφώτερος-ἔστ' (1), σοφωτέρους-εἶναι (1), σοφόν-ἔσται (1), σοφοί-εἰς' (1), σοφόν-ἐστι (1), σοφῷ-ἔστ' (1), σοφόν-εἶτ' (1), σοφός-ἐσθ' (1), σοφούς-εἶναι (1), σοφή-εἰμί (1), σοφός-εἴης (1), σοφῶν-ἦν (1), σοφός-εἰμι (1), σοφώτεροι-εἰσίν (1), σοφοῖσι-εἶναι (1), σοφοί-εἶναι (1), σοφῶν-ἐστίν (1), σοφοί-ἐσμεν (1), σοφά-ἐστιν (1), σοφοῖσιν-ἦ (1), σοφοῖσιν-ἔστιν (1), σοφοῖς-ἐστ' (1)"
σοφ,σοφ,355.940890092403,45,22,23,2,6,6,3,5,398,5,3,6,7,2,"σοφός-σοφός (4), σοφώτατον-σοφώτατον (2), σοφή-σοφή (2), σοφός-σοφαί (1), σοφοῦ-σοφός (1), σοφός-σοφοῦ (1), σοφία-σοφόν (1), σοφός-σοφῶς (1), σοφαί-σοφός (1), σοφοῖς-σοφήν (1), σοφούς-σοφοῖς (1), σοφώτατε-σοφώτατ' (1), σοφόν-σοφοῦ (1), σοφόν-σοφός (1), σοφῶς-σοφός (1), σοφοῦ-σοφήν (1), σοφοί-σοφῶν (1), σοφώτερος-σοφός (1), σοφός-σοφόν (1), σοφοῖς-σοφῶι (1), σοφῶι-σοφοῖς (1), σοφός-σοφά (1), σοφοῦ-σοφόν (1), σοφούς-σοφῷ (1), σοφήν-σοφοῦ (1), σοφοῦ-σοφώτερος (1), σοφοῖς-σοφούς (1), σοφόν-σοφία (1), σοφοῖς-σοφῶν (1), σοφίᾳ-σοφίαν (1), σοφῷ-σοφούς (1), σοφήν-σοφῷ (1), σοφός-σοφώτερος (1), σοφῷ-σοφήν (1), σοφά-σοφός (1), σοφίαν-σοφίᾳ (1), σοφῶν-σοφοί (1), σοφώτερος-σοφοῦ (1), σοφῶν-σοφοῖς (1), σοφήν-σοφοῖς (1), σοφώτεραι-σοφώτεραι (0), σοφοῖς-σοφοῖς (0), σοφωτάτην-σοφωτάτην (0), σοφαῖσιν-σοφαῖσιν (0), σοφῆς-σοφῆς (0), σοφωτάτους-σοφωτάτους (0), σοφίαν-σοφίαν (0), σοφόν-σοφόν (0), σοφοῖσιν-σοφοῖσιν (0), σοφά-σοφά (0), σοφίᾳ-σοφίᾳ (0), σοφάς-σοφάς (0), σοφῷ-σοφῷ (0), σοφῶι-σοφῶι (0), σοφούς-σοφούς (0), σοφοῖσι-σοφοῖσι (0), σοφώτερον-σοφώτερον (0), σοφοῖν-σοφοῖν (0), σοφωτέρα-σοφωτέρα (0), σοφίαι-σοφίαι (0), σοφώταται-σοφώταται (0), σοφωτέροις-σοφωτέροις (0), σοφῇ-σοφῇ (0), σοφοί-σοφοί (0), σοφ-σοφ (0), σοφωτάτη-σοφωτάτη (0), σοφίας-σοφίας (0), σοφῶς-σοφῶς (0), σοφῶν-σοφῶν (0), σοφωτάτῳ-σοφωτάτῳ (0), σοφώτερος-σοφώτερος (0), σοφωτάτας-σοφωτάτας (0), σοφώτατα-σοφώτατα (0), σοφώτατοι-σοφώτατοι (0), σοφοῦ-σοφοῦ (0), σοφωτέρους-σοφωτέρους (0), σοφήν-σοφήν (0), σοφώτατε-σοφώτατε (0), σοφία-σοφία (0), σοφαί-σοφαί (0), σοφᾶς-σοφᾶς (0), σοφῆι-σοφῆι (0), σοφώτατος-σοφώτατος (0), σοφώτεροι-σοφώτεροι (0)"
καί,σοφ,319.106894921511,95,58,37,8,7,7,7,29,0,11,8,9,5,4,"σοφός-καί (19), σοφόν-καί (13), σοφοῦ-καί (7), σοφοῖς-καί (6), σοφά-καί (4), σοφούς-καί (4), σοφή-καί (4), σοφώτερος-καί (4), σοφίας-καί (4), σοφοί-καί (4), σοφῶν-καί (3), σοφίαν-καί (2), σοφῆς-καί (2), σοφῶς-καί (2), σοφώτεροι-καί (2), σοφώτερον-καί (2), σοφοῖσι-καί (2), σοφωτέρα-καί (2), σοφωτέροις-καί (1), σοφῆι-καί (1), σοφώτατα-καί (1), σοφωτάτους-καί (1), σοφήν-καί (1), σοφᾶς-καί (1), σοφῷ-καί (1), σοφώτατον-καί (1), σοφία-καί (1)"
ἀνήρ,σοφ,247.114468960091,46,22,24,2,1,1,13,5,0,2,14,3,2,3,"σοφοῦ-ἀνδρός (7), σοφός-ἀνήρ (7), σοφόν-ἄνδρα (4), σοφός-ἀνδρός (2), σοφός-ἄνδρα (2), σοφώτερος-ἀνήρ (2), σοφῶν-ἀνδρῶν (2), σοφώτατος-ἀνήρ (1), σοφήν-ἀνδρός (1), σοφίαν-ἀνήρ (1), σοφωτέρους-ἀνήρ (1), σοφίᾳ-ἀνήρ (1), σοφωτέροις-ἀνήρ (1), σοφόν-ἀνδρί (1), σοφοῖσι-ἀνδρῶν (1), σοφοί-ἄνδρα (1), σοφούς-ἄνδρας (1), σοφία-ἄνδρας (1), σοφωτέρους-ἄνδρας (1), σοφόν-ἀνδρός (1), σοφία-ἀνδρί (1), σοφοῖν-ἀνδροῖν (1), σοφῷ-ἀνδρί (1), σοφώτατον-ἄνδρα (1), σοφούς-ἀνδρί (1), σοφωτέρα-ἄνδρας (1), σοφή-ἀνήρ (1)"
γάρ,σοφ,241.017381800339,66,30,36,3,10,4,11,2,0,16,6,5,6,3,"σοφός-γάρ (8), σοφόν-γάρ (8), σοφούς-γάρ (5), σοφοῖς-γάρ (5), σοφά-γάρ (5), σοφοῦ-γάρ (4), σοφῶν-γάρ (4), σοφοί-γάρ (3), σοφώτερος-γάρ (3), σοφοῖσι-γάρ (2), σοφοῖσιν-γάρ (2), σοφίᾳ-γάρ (2), σοφήν-γάρ (2), σοφωτάτῳ-γάρ (1), σοφῶς-γάρ (1), σοφωτέρους-γάρ (1), σοφίας-γάρ (1), σοφώτεραι-γάρ (1), σοφίαν-γάρ (1), σοφῆς-γάρ (1), σοφώτερον-γάρ (1), σοφία-γάρ (1), σοφώτεροι-γάρ (1), σοφή-γάρ (1), σοφῷ-γάρ (1), σοφῆι-γάρ (1)"
οὐ,σοφ,198.448671095073,61,35,26,5,3,4,7,16,0,6,7,4,6,3,"σοφόν-οὐ (10), σοφός-οὐ (5), σοφός-οὐκ (5), σοφός-κοὐ (4), σοφά-οὐκ (3), σοφοῦ-οὐ (3), σοφοί-οὐ (3), σοφῶν-οὐκ (2), σοφός-οὐχ (2), σοφόν-οὐκ (2), σοφώτερος-οὐκ (2), σοφῶς-οὐ (1), σοφῶν-οὐ (1), σοφοῖσιν-οὐκ (1), σοφοί-κοὐ (1), σοφός-οὔ (1), σοφώτεραι-οὐ (1), σοφία-οὐ (1), σοφοῦ-οὐκ (1), σοφίαν-οὐ (1), σοφίαι-οὐκ (1), σοφή-οὐ (1), σοφώτατον-οὐκ (1), σοφή-οὐκ (1), σοφά-κοὐ (1), σοφά-οὐ (1), σοφούς-οὐκ (1), σοφούς-οὔκ (1), σοφίᾳ-οὐκ (1), σοφούς-οὐ (1), σοφίας-οὔ (1)"
σύ,σοφ,187.730237048119,60,26,34,5,6,6,6,3,0,8,6,5,7,8,"σοφός-σύ (7), σοφόν-ς' (5), σοφή-σύ (3), σοφόν-σύ (3), σοφήν-ς' (2), σοφή-σε (2), σοφός-σοι (2), σοφίας-σε (1), σοφόν-σου (1), σοφοῖς-τυ (1), σοφοί-σύ (1), σοφόν-σφῶιν (1), σοφοῖς-ὑμῖν (1), σοφίαι-σε (1), σοφά-ὑμῖν (1), σοφώτεροι-σύ (1), σοφωτέρα-σύ (1), σοφόν-σε (1), σοφωτέρα-σοι (1), σοφίας-σοί (1), σοφός-ς' (1), σοφοῦ-σε (1), σοφώτερος-σοι (1), σοφώτατε-σύ (1), σοφόν-τυ (1), σοφοῖς-σύ (1), σοφωτέρα-σοί (1), σοφαί-σε (1), σοφά-σύ (1), σοφῆι-σοι (1), σοφά-σοι (1), σοφωτάτην-σέ (1), σοφῶς-σοι (1), σοφίας-τυ (1), σοφίαν-ὑμῖν (1), σοφῶς-σοῦ (1), σοφωτέροις-σοῦ (1), σοφοῦ-σύ (1), σοφῶν-σοι (1), σοφούς-σε (1), σοφοί-ς' (1), σοφούς-σύ (1), σοφώτατον-ς' (1)"
τε,σοφ,172.931099688634,52,25,27,4,7,6,7,1,0,7,5,8,2,5,"σοφόν-τ' (8), σοφός-τ' (7), σοφία-τε (3), σοφός-τε (3), σοφοῦ-τε (3), σοφόν-τε (3), σοφῶν-τε (2), σοφά-τ' (2), σοφοί-τ' (2), σοφός-θ' (2), σοφώτεροι-θ' (2), σοφούς-τε (2), σοφῇ-τε (1), σοφίαν-τ' (1), σοφωτέροις-τε (1), σοφωτάτας-τε (1), σοφοί-τε (1), σοφά-τε (1), σοφία-τ' (1), σοφώτατοι-τε (1), σοφώτατον-τε (1), σοφωτέρα-τ' (1), σοφόν-θ' (1), σοφώτερον-τε (1), σοφοῦ-τ' (1)"
