Collocation,2013-09-08
KeyWord,σωφρ
Instances,168
Files,4
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,399.327380700037,101,57,44,8,4,5,7,33,0,5,12,5,11,11,"σωφρονεῖν-τό (12), σῶφρον-τό (10), σώφροσιν-τοῖς (6), σωφροσύνην-τήν (4), σώφρονας-τούς (3), σωφρονεῖν-τήν (3), σωφρονεῖν-ὁ (3), σωφρονεῖν-τά (3), σώφρονα-τά (3), σώφρων-ἡ (3), σώφρων-τόν (2), σώφρονα-τόν (2), σώφρων-ὁ (2), σώφρων-τό (2), σώφρονες-οἱ (2), σώφροσιν-οἱ (1), σωφρονεῖ-τό (1), σώφροσιν-τῶν (1), σωφρόνως-τό (1), σώφρονες-τόν (1), σῶφρον-τῆς (1), σωφρονεῖτε-τῶν (1), σώφρονα-τούς (1), σωφροσύνηι-ὁ (1), σωφροσύνης-τῶν (1), σώφρονος-τόν (1), σωφρονῶν-τόν (1), σωφρονῶν-τό (1), σωφρονοῦσα-τό (1), σωφρονεῖς-τόν (1), σώφρων-οἱ (1), σῶφρον-ὁ (1), σωφρονεῖν-ἡ (1), σώφρονος-τό (1), σωφρονεῖν-τόν (1), σώφρονα-τοῖς (1), σώφροσιν-τάς (1), σωφροσύνην-τόν (1), σωφρονοῦσα-τόν (1), σώφρονες-τῶν (1), σωφροσύνας-τοῖς (1), σώφρονες-τήν (1), ἐσωφρόνησας-τά (1), σωφρονεῖν-τῶν (1), σωφροσύνη-τά (1), σωφροσύνην-τά (1), σώφροσιν-τά (1), σώφρονι-τό (1), σωφρόνως-τά (1), σωφρονίζειν-τούς (1), σώφρονας-τάς (1), σωφρονοῦσα-τῆς (1), σώφρων-τήν (1), σωφροσύνας-τᾶς (1), σωφροσύνης-τῆς (1), σώφρων-τοῖς (1)"
δέ,σωφρ,279.325615828857,70,30,40,5,4,8,10,3,0,6,9,12,7,6,"σωφρονεῖν-δ' (8), σωφρονεῖν-δέ (8), σώφρων-δέ (6), σωφρόνως-δ' (5), σώφρων-δ' (5), σώφρονος-δ' (5), σώφρονας-δέ (5), σώφρονα-δ' (3), σώφροσιν-δέ (3), σωφρονῶν-δ' (2), σωφρονῶν-δέ (2), σώφρονες-δέ (1), σωφρονοῦντι-δ' (1), σωφρονήσεις-δέ (1), σώφρονος-δέ (1), σωφροσύνης-δέ (1), σώφρονι-δέ (1), σῶφρον-δέ (1), σωφρονεῖς-δ' (1), σῶφρον-δ' (1), ἐσωφρόνησε-δ' (1), σωφροσύνα-δέ (1), σωφρονίζει-δ' (1), σωφρονεστάτης-δ' (1), σώφροσιν-δ' (1), σωφρονοῦντες-δ' (1), σωφρονίζειν-δέ (1), σωφρονίζειν-δ' (1), σωφροσύνας-δ' (1)"
οὐ,σωφρ,157.054657738656,39,19,20,3,1,3,2,10,0,4,5,4,4,3,"σωφρονεῖν-οὐ (4), σώφρων-οὐκ (3), σωφρονεῖν-οὐκ (3), σωφρονήσεις-οὐ (2), σώφρονος-οὐκ (2), σῶφρον-οὐ (2), σωφρονούσηι-οὔ (1), σωφρονῶν-οὐ (1), σωφρόνων-οὐκ (1), σωφρονεῖτε-οὐ (1), σώφρονα-οὐχί (1), σώφροσιν-οὐ (1), σώφροσιν-κοὐχί (1), σωφρόνως-οὐ (1), σώφρονος-οὐχί (1), σωφρονίζειν-οὐ (1), σωφρονίζει-οὐ (1), ἐσωφρόνησε-οὐκ (1), σώφρων-οὐχί (1), ἐσωφρόνουν-οὐκ (1), ἐσωφρόνησε-οὐ (1), σώφρονες-οὐχ (1), σώφροσιν-οὐκ (1), σώφρων-οὐ (1), σῶφρον-οὐκ (1), σωφρονεῖν-οὐχί (1), σώφρονος-οὐ (1), σωφρονεῖν-οὐχ (1), σωφρόνως-οὐχ (1)"
σύ,σωφρ,123.865629006177,34,16,18,1,2,8,1,4,0,2,3,4,7,2,"σώφρων-σύ (4), σωφρονεῖν-σύ (3), σῶφρον-σου (2), σώφρων-σοι (1), σωφροσύνης-σύ (1), σωφροσύνης-σφῷν (1), σώφρων-σοί (1), σώφρονας-ὑμεῖς (1), σωφρονεῖν-ὑμίν (1), σωφρόνως-σύ (1), σωφρονεῖν-ς' (1), σώφρονος-ὑμῖν (1), σωφρονεῖν-σέ (1), σώφρονος-σε (1), ἐσωφρόνησας-σε (1), σωφρονῶν-σύ (1), σώφρονα-σύ (1), ἐσωφρόνουν-σέ (1), σώφροσιν-σύ (1), σωφρονεῖν-σφῷν (1), σωφρονῆις-σύ (1), σωφρονέστερος-σύ (1), σωφρονεῖν-σοι (1), σωφρονῶν-σε (1), σώφρονος-σοι (1), σωφρονήσεις-σύ (1), σώφρονες-σε (1), σῶφρον-ς' (1)"
καί,σωφρ,120.018028151244,38,23,15,3,4,4,4,8,0,3,1,4,5,2,"σωφρονεῖν-καί (8), σώφρων-καί (8), σώφρονας-καί (7), σῶφρον-καί (3), σώφρονος-καί (2), σώφρονα-καί (2), σωφρονεῖ-καί (1), σώφρονι-καί (1), σωφρόνως-καί (1), σωφροσύνη-καί (1), σωφρονῶν-καί (1), σωφροσύνης-καί (1), σωφρονοῦσα-καί (1), σωφροσύνηι-καί (1)"
γυνή,σωφρ,111.951725229621,19,11,8,0,4,1,2,4,0,2,1,0,3,2,"σώφρων-γυνή (5), σώφρονος-γυναικός (3), σωφρονοῦσα-γυνή (1), σωφρόνως-γυνή (1), σωφρονίζειν-γύναι (1), σωφρονεῖν-γυναιξί (1), σωφρονεστέραν-γυναῖκα (1), σωφρονεῖν-γυνή (1), σῶφρον-γυναιξί (1), σῶφρον-γύναι (1), σωφρονεῖν-γυναῖκας (1), ἐσωφρόνουν-γυναικός (1), σώφρονας-γυναῖκας (1)"
γε,σωφρ,90.3734421730042,21,12,9,2,1,1,2,6,0,4,1,0,2,2,"σωφρονεῖν-γ' (4), σώφρων-γε (3), σώφροσιν-γε (2), σωφρονεῖν-γε (2), σώφροσιν-γ' (2), σώφρων-γ' (2), σώφρονα-γε (1), σώφρονες-γε (1), σωφρονούσηι-γ' (1), σωφρόνως-γε (1), σωφρονῆις-γε (1), σωφρονῆις-γ' (1)"
ἀνήρ,σωφρ,84.9701348356903,17,7,10,0,1,1,3,2,0,3,1,0,5,1,"σώφρων-ἀνήρ (3), σωφρονέστερον-ἄνδρα (1), σώφροσιν-ἀνδρός (1), σῶφρον-ἀνδράσιν (1), σωφροσύνης-ἀνδρῶν (1), σώφρων-ἀνδρός (1), σωφρονεστέρως-ἀνήρ (1), σώφρονος-ἀνήρ (1), σωφρονέστατον-ἄνδρα (1), σώφρονα-ἀνήρ (1), σώφρονος-ἀνδρός (1), σώφρονας-ἄνδρας (1), σωφρονεῖν-ἀνδρί (1), σώφρονα-ἄνδρα (1), σωφρόνων-ἀνδρῶν (1)"
ἐγώ,σωφρ,77.1196071095765,27,17,10,8,2,2,2,3,0,3,3,1,2,1,"σωφρονεῖν-μοι (3), σωφρονεῖν-ἐγώ (2), ἐσωφρόνουν-ἐγώ (2), σωφρονεῖν-ἡμεῖς (2), σωφρονοῦντι-μ' (1), σῶφρον-με (1), σωφρόνως-'γώ (1), σῶφρον-ἐγώ (1), σώφροσιν-με (1), σωφρονῶν-ἐγώ (1), σώφρονας-ἔγωγε (1), σωφροσύνα-με (1), σωφρονεῖς-ἐγώ (1), σώφρονος-μοι (1), σῶφρον-μ' (1), σωφροσύνηι-ἐγώ (1), σωφρονεστέραν-μοι (1), σωφρονῶν-με (1), σώφρων-ἐγώ (1), σώφροσιν-ἐγώ (1), σώφρονες-ἐγώ (1), ἐσωφρόνησε-ἡμεῖς (1)"
γάρ,σωφρ,73.1430925354362,23,9,14,5,2,1,1,0,0,3,1,2,4,4,"σωφρονεῖν-γάρ (6), σώφρων-γάρ (4), σώφρονος-γάρ (3), σώφροσιν-γάρ (2), σωφρονεστέραν-γάρ (1), σωφρόνως-γάρ (1), σώφρονες-γάρ (1), σώφρονα-γάρ (1), σωφρονεστέρως-γάρ (1), σωφρονεῖς-γάρ (1), ἐσωφρόνησε-γάρ (1), σωφρονέστερος-γάρ (1)"
