Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,12,,,,,,,,,,,,,,,,
Files,2,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
τε,ἠνορέα,67.4212906872854,10,7,3,0,1,2,3,1,0,2,0,1,0,0,"ἠνορέῃ-τε (5), ἠνορέῃ-τ' (1), ἠνορέην-τε (1), ἀνορέᾳ-τ' (1), ἀνορέαις-τ' (1), ἠνορέηφι-τε (1)"
ἔσχατος,ἠνορέα,47.4170704530552,3,2,1,0,2,0,0,0,0,0,1,0,0,0,"ἠνορέῃ-ἔσχατα (2), ἀνορέαις-ἐσχάταισιν (1)"
κάρτεϊ,ἠνορέα,33.2808654317632,2,0,2,0,0,0,0,0,0,0,0,2,0,0,ἠνορέῃ-κάρτεϊ (2)
πίσυνος,ἠνορέα,29.5804118663073,2,0,2,0,0,0,0,0,0,2,0,0,0,0,ἠνορέῃ-πίσυνοι (2)
ἐΐσας,ἠνορέα,27.955243812874,2,2,0,0,0,0,2,0,0,0,0,0,0,0,ἠνορέῃ-ἐΐσας (2)
καί,ἠνορέα,27.7815478034317,6,2,4,0,0,0,0,2,0,0,2,0,1,1,"ἠνορέῃ-καί (3), ἠνορέην-καί (1), ἀνορέας-καί (1), ἠνορέηφι-καί (1)"
χειρόω,ἠνορέα,23.3868275275454,2,0,2,0,0,0,0,0,0,0,0,0,2,0,ἠνορέῃ-χειρῶν (2)
σαόφˈρονος,ἠνορέα,19.9143450306728,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνορέας-σαόφˈρονος (1)
κάλλός,ἠνορέα,19.9143450306728,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἠνορέην-κάλλός (1)
ζεάθου,ἠνορέα,19.9143450306728,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνορέας-ζεάθου (1)
ἀμπλακεῖν,ἠνορέα,19.9143450306728,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνορέας-ἀμπλακών (1)
ἐπέψαυ,ἠνορέα,19.9143450306728,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνορέαις-ἐπέψαυ (1)
ἀρηΐφιλοι,ἠνορέα,19.9143450306728,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνορέᾳ-ἀρηΐφιλοι (1)
ἀριστοφάν,ἠνορέα,19.9143450306728,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνορέαις-ἀριστοφάν (1)
λιν,ἠνορέα,19.9143450306728,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνορέας-λιν (1)
ἐπέτˈρεψας,ἠνορέα,19.9143450306728,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνορέας-ἐπέτˈρεψας (1)
_οἴκοθεν,ἠνορέα,19.9143450306728,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνορέαις-_οἴκοθεν (1)
πλήθεΐ,ἠνορέα,19.9143450306728,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἠνορέῃ-πλήθεΐ (1)
ἐρύω,ἠνορέα,19.3238627240062,2,2,0,0,0,0,0,2,0,0,0,0,0,0,ἠνορέῃ-εἴρυσαν (2)
τέτˈρασιν,ἠνορέα,17.1418469911441,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνορέας-τέτˈρασιν (1)
σθένεΐ,ἠνορέα,17.1418469911441,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἠνορέῃ-σθένεΐ (1)
κάρτεΐ,ἠνορέα,17.1418469911441,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἠνορέῃ-κάρτεΐ (1)
ὑπόπτερος,ἠνορέα,17.1418469911441,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνορέαις-ὑποπτέροις (1)
πείθω,ἠνορέα,16.8971112910658,2,1,1,0,0,0,0,1,0,1,0,0,0,0,"ἠνορέηφι-πεποιθώς (1), ἠνορέῃ-πεποιθότας (1)"
ἀκερσεκόμης,ἠνορέα,16.0954413879663,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνορέας-ἀκερσεκόμα (1)
παῖς,ἠνορέα,15.0959105230868,2,1,1,0,0,0,0,1,0,0,0,1,0,0,"ἀνορέᾳ-παῖδες (1), ἀνορέαις-παῖς (1)"
ἱππόσυνος,ἠνορέα,14.9106835313141,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἠνορέηφι-ἱπποσύνῃ (1)
προῖτος,ἠνορέα,14.5080639459193,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἠνορέην-προῖτος (1)
πό,ἠνορέα,14.5080639459193,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνορέας-πό (1)
σαν,ἠνορέα,13.8866572426632,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνορέαις-σαν (1)
ὅμαδος,ἠνορέα,13.8866572426632,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνορέᾳ-ὅμαδον (1)
ἤϋσεν,ἠνορέα,13.8866572426632,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἠνορέῃ-ἤϋσεν (1)
μορφή,ἠνορέα,13.8866572426632,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνορέαις-μορφᾷ (1)
μέριμνα,ἠνορέα,13.8866572426632,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνορέαις-μέριμναν (1)
στήλη,ἠνορέα,13.4135017283261,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνορέαις-στάλαισιν (1)
στονόεις,ἠνορέα,13.0312789762393,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνορέᾳ-στονόεντ' (1)
ἕκητι,ἠνορέα,12.5677138306201,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνορέας-ἕκατι (1)
κρείσσων,ἠνορέα,12.309381426312,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνορέαις-κρέσσονα (1)
ναῦς,ἠνορέα,12.2714972635731,2,2,0,0,0,2,0,0,0,0,0,0,0,0,ἠνορέῃ-νῆας (2)
καίνυμαι,ἠνορέα,12.0806794660166,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἠνορέῃ-κεκάσμεθα (1)
σφέτερος,ἠνορέα,12.0806794660166,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἠνορέῃ-σφετέρῳ (1)
τύχη,ἠνορέα,12.0806794660166,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνορέας-τύχᾳ (1)
έω,ἠνορέα,11.7803238993511,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνορέᾳ-έω (1)
ἀμφιέπω,ἠνορέα,11.6894741691649,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνορέᾳ-ἀμφέπειν (1)
προστάς,ἠνορέα,11.5193141512573,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἠνορέηφι-πρόσθ' (1)
ἐρατεινός,ἠνορέα,11.4393834974617,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἠνορέην-ἐρατεινήν (1)
ἐλπίς,ἠνορέα,11.3625321369618,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνορέαις-ἐλπίδος (1)
πλοῦτος,ἠνορέα,11.1482902429998,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνορέαις-πλούτου (1)
δʹ,ἠνορέα,10.9548458112404,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνορέας-δʹ (1)
πᾶς,ἠνορέα,10.9481209302321,2,1,1,0,0,0,1,0,0,0,0,1,0,0,"ἠνορέῃ-πᾶσαν (1), ἀνορέαις-πάν (1)"
πέτομαι,ἠνορέα,10.0749656697735,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνορέαις-πέταται (1)
ἐπιβάτης,ἠνορέα,9.68182509206235,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνορέαις-ἐπέβα (1)
τέλος,ἠνορέα,9.61799967754632,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνορέαις-τέλος (1)
ὀπάζω,ἠνορέα,9.38140588998795,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἠνορέην-ὤπασαν (1)
μηδέ,ἠνορέα,9.35371792968363,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἠνορέηφι-μηδέ (1)
χάλκεος,ἠνορέα,9.32641052175313,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνορέᾳ-χάλκεον (1)
ἀλκή,ἠνορέα,9.09619797673076,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἠνορέῃ-ἀλκῇ (1)
ἔρδω,ἠνορέα,9.09619797673076,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνορέαις-ἔρδων (1)
δαίμων,ἠνορέα,9.0250331107527,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνορέας-δαίμονος (1)
ἄρα,ἠνορέα,8.80733980052173,2,2,0,2,0,0,0,0,0,0,0,0,0,0,ἠνορέῃ-ῥ' (2)
πάρος,ἠνορέα,8.62541160639375,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἠνορέῃ-πάρος (1)
μέμαα,ἠνορέα,8.40909040626138,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἠνορέηφι-μεμάτω (1)
ὑπέρ,ἠνορέα,8.18339546211064,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνορέαις-ὑπερτάταις (1)
οἶος,ἠνορέα,8.07952872850001,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἠνορέηφι-οἶος (1)
αἶα,ἠνορέα,8.03663360327482,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἠνορέῃ-αἶαν (1)
ἔοικα,ἠνορέα,7.95354180689901,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνορέαις-ἐοικότα (1)
χόω,ἠνορέα,7.79717179294676,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνορέαις-ἔχων (1)
ἐν,ἠνορέα,7.60287878848612,2,0,2,0,0,0,0,0,0,0,0,0,1,1,"ἀνορέαις-ἐν (1), ἀνορέας-ἐν (1)"
ν,ἠνορέα,6.70930488687009,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνορέᾳ-ν (1)
ἔνθα,ἠνορέα,6.41595711559057,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἠνορέῃ-ἔνθα (1)
καλός,ἠνορέα,6.07103226706386,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνορέαις-καλός (1)
πατήρ,ἠνορέα,5.86491678655148,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνορέας-πάτερ (1)
πέρ,ἠνορέα,5.33202691469342,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἠνορέῃ-περ (1)
δέ,ἠνορέα,5.26094996742904,3,1,2,1,0,0,0,0,0,2,0,0,0,0,"ἀνορέας-δ' (1), ἠνορέην-δέ (1), ἀνορέαις-δ' (1)"
ὁ,ἠνορέα,4.93122119642794,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"ἠνορέῃ-τό (1), ἠνορέην-οἱ (1)"
αὐτάρ,ἠνορέα,4.68021094240248,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἠνορέην-αὐτάρ (1)
ἄλλος,ἠνορέα,4.49991249293089,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἠνορέηφι-ἄλλων (1)
κατά,ἠνορέα,4.30489535536617,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνορέαις-κατά (1)
θεός,ἠνορέα,4.29880578815937,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἠνορέην-θεοί (1)
ἐκ,ἠνορέα,4.07589455321431,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνορέαις-ἐξ (1)
τις,ἠνορέα,3.60542794223875,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἠνορέηφι-τις (1)
ἐπί,ἠνορέα,3.38197519164532,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἠνορέῃ-ἐπ' (1)
οὐ,ἠνορέα,3.19495168421417,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνορέας-οὐκ (1)
μέν,ἠνορέα,2.71209986973554,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνορέας-μέν (1)
ὅς,ἠνορέα,2.48385384678841,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνορέας-ὅς (1)
γ�,ἠνορέα,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνορέας-γ� (1)
λας,ἠνορέα,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνορέαις-λας (1)
ε�,ἠνορέα,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνορέαις-ε� (1)
�,ἠνορέα,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνορέᾳ-� (1)
ἅπ�,ἠνορέα,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνορέαις-ἅπ� (1)
ἠνορέα,ἠνορέα,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,"ἠνορέην-ἠνορέην (0), ἀνορέαις-ἀνορέαις (0), ἠνορέηφι-ἠνορέηφι (0), ἀνορέας-ἀνορέας (0), ἀνορέᾳ-ἀνορέᾳ (0), ἠνορέῃ-ἠνορέῃ (0)"
