Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,45,,,,,,,,,,,,,,,,
Files,3,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
οὐδέ,δικαι,75.0241998517886,12,9,3,0,0,0,0,9,0,2,1,0,0,0,"δίκαιοι-οὐδέ (9), δίκαιον-οὐδέ (2), δικαίως-οὐδέ (1)"
ὁ,δικαι,71.6928557679057,17,13,4,1,1,0,2,9,0,2,1,1,0,0,"δίκαια-τά (7), δίκαιος-τά (1), δικαιῶν-τό (1), δίκαια-τόν (1), δικαιότατον-τό (1), δίκαιον-τόν (1), δικαίωι-τῆς (1), δίκαιοι-οἱ (1), δικαιᾶν-τό (1), δίκαιον-τό (1), δικαίῳ-οἷ (1)"
καί,δικαι,60.5604820176959,16,8,8,1,1,6,0,0,0,1,1,3,1,2,"δίκαιοι-καί (9), δικαιᾶν-καί (1), δίκαια-καί (1), δικαιῶν-καί (1), δικαίωι-καί (1), δίκαιος-καί (1), δικαίων-καί (1), δικαιότερος-καί (1)"
φιλόξενος,δικαι,59.5470721293241,4,0,4,0,0,0,0,0,0,0,3,1,0,0,δίκαιοι-φιλόξεινοι (4)
εἰμί,δικαι,50.7568884566426,12,3,9,0,0,1,0,2,0,4,1,1,2,1,"δίκαιος-ἐών (3), δικαίοις-εἰμί (1), δίκαιοι-ἦσαν (1), δικαιοσύνηι-'στι (1), δικαιότερος-ἔσσεαι (1), δίκαιον-ἐών (1), δίκαιον-ἐστι (1), δίκαια-ἐών (1), δίκαιοι-ἔσαν (1), δικαιότατος-εἰμί (1)"
ἄγριος,δικαι,50.0420808987692,4,4,0,0,0,0,4,0,0,0,0,0,0,0,δίκαιοι-ἄγριοι (4)
τε,δικαι,48.8001067582518,13,9,4,0,6,1,0,2,0,1,2,1,0,0,"δίκαιοι-τε (5), δικαίωι-τ' (1), δικαιῶν-τε (1), δίκαιος-τ' (1), δίκαιον-τ' (1), δίκαιον-τε (1), δικαίοις-τε (1), δικαιοτάτων-τε (1), δικαίως-τ' (1)"
νοήμων,δικαι,42.2004471719265,3,3,0,0,0,0,3,0,0,0,0,0,0,0,δίκαιοι-νοήμονες (3)
ὑβριστής,δικαι,42.2004471719265,3,3,0,3,0,0,0,0,0,0,0,0,0,0,δίκαιοι-ὑβρισταί (3)
δικαι,δικαι,42.1242722067982,4,2,2,0,2,0,0,0,45,0,0,0,2,0,"δικαιότατος-δικαίοις (1), δίκαιος-δίκαια (1), δικαίοις-δικαιότατος (1), δίκαια-δίκαιος (1), δίκαιον-δίκαιον (0), δίκαιοι-δίκαιοι (0), δικαιότερος-δικαιότερος (0), δικαιότατος-δικαιότατος (0), δικαίῳ-δικαίῳ (0), δικαιοσύνηι-δικαιοσύνηι (0), δίκαια-δίκαια (0), δικαιότατον-δικαιότατον (0), δικαίωι-δικαίωι (0), δίκαιος-δίκαιος (0), δικαίοις-δικαίοις (0), δικαιῶν-δικαιῶν (0), δικαίων-δικαίων (0), δικαιοτάτων-δικαιοτάτων (0), δικαιᾶν-δικαιᾶν (0), δικαίως-δικαίως (0)"
ἀνήρ,δικαι,41.5963658578694,8,6,2,0,0,3,0,3,0,0,0,2,0,0,"δικαίων-ἀνδρῶν (2), δίκαια-ἄνδρα (1), δίκαιον-ἀνήρ (1), δικαίοις-ἀνδρῶν (1), δίκαια-ἀνδρῶν (1), δίκαιος-ἀνήρ (1), δικαίῳ-ἀνδρί (1)"
τις,δικαι,41.2598807001486,8,5,3,0,0,5,0,0,0,0,1,0,1,1,"δίκαιοι-τι (3), δικαίῳ-τις (2), δίκαια-τιν' (1), δίκαιος-τιν' (1), δίκαιον-τι (1)"
δέ,δικαι,39.4693903690204,16,11,5,4,1,0,1,5,0,0,1,0,1,3,"δικαίωι-δέ (2), δικαιότατος-δέ (1), δίκαιοι-δέ (1), δικαιότερος-δ' (1), δικαίῳ-δ' (1), δικαίων-δέ (1), δικαίοις-δέ (1), δίκαιοι-δ' (1), δικαίῳ-δέ (1), δικαιότατον-δ' (1), δικαιοτάτων-δ' (1), δικαιοσύνηι-δέ (1), δίκαιος-δέ (1), δίκαια-δ' (1), δικαιότατον-δέ (1)"
οὐ,δικαι,37.8257466014475,8,6,2,3,2,0,1,0,0,0,0,0,0,2,"δίκαιοι-οὔ (2), δίκαιον-οὐ (2), δικαίως-οὐκ (1), δικαιοτάτων-οὐ (1), δικαιότερος-οὐ (1), δίκαιοι-οὐκ (1)"
ἄδικος,δικαι,37.2153491303325,3,2,1,1,0,1,0,0,0,0,0,1,0,0,"δικαίωι-ἀδίκωι (1), δίκαια-ἀδίκου (1), δικαιοσύνηι-ἀδίκως (1)"
σφεῖς,δικαι,36.1479992046952,5,0,5,0,0,0,0,0,0,0,0,0,4,1,"δίκαιοι-σφιν (4), δίκαιοι-σφεων (1)"
ξενόω,δικαι,30.6194711979479,3,0,3,0,0,0,0,0,0,3,0,0,0,0,"δίκαιον-ξείνους (2), δίκαιον-ξένων (1)"
νόος,δικαι,30.284655966796,4,0,4,0,0,0,0,0,0,0,1,0,0,3,"δίκαιοι-νόος (3), δίκαια-νόος (1)"
χρῆμα,δικαι,29.2039986075833,3,1,2,0,1,0,0,0,0,1,1,0,0,0,"δικαιοσύνηι-χρήματα (1), δικαίως-χρήματα (1), δίκαιος-χρήματα (1)"
ρρρανται,δικαι,28.9159099757671,2,2,0,0,0,0,0,2,0,0,0,0,0,0,δικαίῳ-ῥηθέντι (2)
ποιόω,δικαι,27.7313252696767,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"δίκαια-ποιῶσιν (1), δικαίως-ποιοῦ (1)"
ἄνθρωπος,δικαι,26.7737529287115,4,2,2,0,0,0,1,1,0,1,1,0,0,0,"δίκαιοι-ἀνθρώποισι (1), δικαίοις-ἀνθρώπων (1), δικαιοτάτων-ἀνθρώπων (1), δικαιότατος-ἀνθρώπων (1)"
ἀτέμβω,δικαι,26.0863767415285,2,2,0,0,0,0,2,0,0,0,0,0,0,0,δίκαιον-ἀτέμβειν (2)
ἐν,δικαι,25.6322751175612,7,6,1,2,0,0,3,1,0,0,0,0,0,1,"δικαίοις-ἐν (3), δίκαιον-ἐν (1), δίκαιοι-ἐν (1), δικαιοσύνηι-ἐν (1), δικαιᾶν-ἐν (1)"
ἀντίβιος,δικαι,24.9281484484673,2,0,2,0,0,0,0,0,0,2,0,0,0,0,δικαίῳ-ἀντιβίοις' (2)
καλός,δικαι,24.8452083040029,4,4,0,0,0,2,2,0,0,0,0,0,0,0,"δίκαιον-καλόν (2), δικαιότατον-κάλλιστον (1), δικαίῳ-καλά (1)"
καθάπτω,δικαι,24.0325041990727,2,0,2,0,0,0,0,0,0,0,0,2,0,0,δικαίῳ-καθαπτόμενος (2)
ἅζομαι,δικαι,23.6504546022043,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"δίκαιοι-ἅζεται (1), δίκαια-ἁζόμενοι (1)"
πᾶς,δικαι,23.1551253627986,5,2,3,0,0,2,0,0,0,2,0,0,0,1,"δίκαιοι-πάντα (1), δικαιοσύνηι-πᾶς (1), δίκαιοι-πάντες (1), δικαίοις-πάντων (1), δικαιότατος-πάντων (1)"
σωφρ,δικαι,21.9080953728408,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"δικαίως-σώφρονα (1), δίκαιον-σωφροσύνην (1)"
μέν,δικαι,21.7533075083047,6,3,3,0,1,1,1,0,0,0,0,3,0,0,"δίκαιον-μέν (2), δίκαια-μέν (1), δίκαιος-μέν (1), δικαιότατος-μέν (1), δικαίων-μέν (1)"
τῷ,δικαι,21.5154886255041,4,2,2,0,0,0,2,0,0,1,0,1,0,0,"δικαίωι-τῶι (3), δίκαιοι-τῶ (1)"
διδάσκω,δικαι,21.463440968655,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"δικαιότατος-δεδιδάχθαι (1), δικαιότατος-ἐδίδαξε (1)"
πενία,δικαι,21.0634807078168,2,2,0,2,0,0,0,0,0,0,0,0,0,0,"δικαίως-πενίηι (1), δίκαια-πενίην (1)"
μή,δικαι,20.745703083463,4,2,2,0,1,0,1,0,0,0,1,0,1,0,"δίκαια-μή (2), δικαίῳ-μή (1), δίκαιος-μή (1)"
μαίνομαι,δικαι,20.7000508978963,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"δικαίοις-μαίνομαι (1), δικαίοις-μαινομένοις (1)"
