Collocation,2013-09-08
KeyWord,σοφ
Instances,76
Files,3
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σοφ,108.357242993079,28,18,10,2,1,5,2,8,0,4,1,2,1,2,"σοφοί-καί (6), σοφόν-καί (6), σοφία-καί (4), σοφός-καί (3), σοφίη-καί (2), σοφίᾳ-καί (1), σοφᾶς-καί (1), σοφώ-καί (1), σοφῶι-καί (1), σοφίας-καί (1), σοφίης-καί (1), σοφῶν-καί (1)"
δέ,σοφ,96.4344421736896,33,19,14,5,5,3,5,1,0,5,4,1,2,2,"σοφοί-δέ (4), σοφία-δέ (2), σοφίᾳ-δέ (2), σοφώτατοι-δ' (2), σοφόν-δέ (2), σοφίας-δέ (2), σοφοῖς-δ' (2), σοφός-δ' (1), σοφία-δ' (1), σοφός-δέ (1), σοφαῖς-δ' (1), σοφίας-δ' (1), σοφῶν-δ' (1), σοφώτατος-δ' (1), σοφίην-δ' (1), σοφαί-δέ (1), σοφίην-δέ (1), σοφίης-δ' (1), σοφῶι-δέ (1), σοφοί-δ' (1), σοφίαι-δέ (1), σοφίαν-δ' (1), σοφοῖς-δέ (1), σοφόν-δ' (1)"
ὁ,σοφ,79.337853658013,22,12,10,2,4,0,4,2,0,4,1,3,0,2,"σοφία-τό (2), σοφώ-τό (1), σοφόν-τόν (1), σοφίαν-τάν (1), σοφός-τό (1), σοφίας-ο (1), σοφοῖς-ὁ (1), σοφοί-τό (1), σοφίης-τά (1), σοφ-ο (1), σοφίην-ὁ (1), σοφοί-τά (1), σοφαί-αἱ (1), σοφοί-ἁ (1), σοφώτατος-ὁ (1), σοφίης-τῶν (1), σοφῶν-ὁ (1), σοφοῖς-τό (1), σοφοί-οἱ (1), σοφῶι-οἱ (1), σοφός-ὁ (1)"
ἀνήρ,σοφ,66.5694795055315,13,6,7,0,0,0,3,3,0,1,0,3,1,2,"σοφαῖς-ἀνήρ (1), σοφῶι-ἀνδρός (1), σοφοί-ἄνδρες (1), σοφίᾳ-ἄνδρες (1), σοφοῖς-ἀνήρ (1), σοφῷ-ἀνδρί (1), σοφώτατοι-ἀνδρί (1), σοφίαν-ἀνήρ (1), σοφίην-ἄνδρα (1), σοφίας-ἀνδράσι (1), σοφῶι-ἀνδρί (1), σοφώτατα-ἀνδρῶν (1), σοφοῖς-ἀνδρῶν (1)"
εἰμί,σοφ,59.5131904901937,16,10,6,0,1,2,1,6,0,3,0,1,2,0,"σοφόν-ἐόντα (2), σοφός-ἐσσί (1), σοφίᾳ-ἐόντα (1), σοφοί-ἔμμεν (1), σοφίης-εἴη (1), σοφῶι-ἐόντι (1), σοφώ-ἐστί (1), σοφᾶς-ἐντί (1), σοφοῖς-ἐστί (1), σοφός-ἦι (1), σοφός-ἐστιν (1), σοφίαν-ἔμμεν (1), σοφοῖς-ἔν (1), σοφός-εἰσίν (1), σοφώτατοι-ἔστι (1)"
τις,σοφ,45.2748647276312,10,8,2,1,1,1,4,1,0,0,0,1,1,0,"σοφός-τις (2), σοφοί-τι (1), σοφόν-τι (1), σοφίας-τι (1), σοφίαν-τις (1), σοφία-τι (1), σοφίαν-τινες (1), σοφῶι-τι (1), σοφίης-τι (1)"
τε,σοφ,44.2125323116779,15,9,6,1,2,3,1,2,0,2,2,1,0,1,"σοφίᾳ-τε (3), σοφίης-τ' (2), σοφοῖς-τε (2), σοφία-τε (1), σοφίας-τ' (1), σοφόν-τ' (1), σοφός-τ' (1), σοφός-θ' (1), σοφίης-τε (1), σοφοί-τε (1), σοφοί-τ' (1)"
ἀρετή,σοφ,38.5534288501367,5,2,3,0,0,0,1,1,0,0,0,2,0,1,"σοφίης-ἀρετῆς (1), σοφῶν-ἀρετάν (1), σοφοί-ἀρεταῖς (1), σοφίη-ἀρετῆς (1), σοφοί-ἀρετά (1)"
εἰ,σοφ,38.2474765069783,8,2,6,0,1,0,0,1,0,3,0,1,0,2,"σοφός-εἰ (2), σοφῷ-εἰ (1), σοφώ-εἰ (1), σοφός-εἴ (1), σοφίης-εἴ (1), σοφῶι-εἰ (1), σοφίαν-εἰ (1)"
μοῦσα,σοφ,34.7447781320661,4,0,4,0,0,0,0,0,0,2,1,1,0,0,"σοφῶν-μοῖς' (1), σοφαί-μοισᾶν (1), σοφίᾳ-μοισᾶν (1), σοφοί-μοισᾶν (1)"
