Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,10,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,ανδρει,44.3654899196699,8,3,5,0,2,0,1,0,0,2,1,1,0,1,"ἀνδρείους-τούς (2), τἀνδρεῖον-ἡ (2), ἀνδρείας-τήν (1), τἀνδρείου-τά (1), ἀνδρείους-τήν (1), ἀνδρείους-τῶν (1)"
καί,ανδρει,27.2784654577263,5,4,1,2,0,1,1,0,0,0,1,0,0,0,"τἀνδρεῖον-καί (2), ἀνδρείους-καί (1), ἀνδρείαν-καί (1), ἀνδρείας-καί (1)"
εἰμί,ανδρει,21.4390833149664,4,1,3,1,0,0,0,0,0,0,0,1,1,1,"τἀνδρείου-εἴη (1), ἀνδρείαν-εἴην (1), τἀνδρεῖον-ἦν (1), τἀνδρεῖον-ἰών (1)"
ἀντίπρωιρα,ανδρει,19.6044107242487,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείας-ἀντίπρωιρα (1)
παρθενωπός,ανδρει,19.6044107242487,1,1,0,0,0,0,1,0,0,0,0,0,0,0,τἀνδρείου-παρθενωπός (1)
ἀίστωρ,ανδρει,19.6044107242487,1,1,0,0,0,1,0,0,0,0,0,0,0,0,τἀνδρεῖον-ἀίστορες (1)
εὐωπός,ανδρει,16.8319268883206,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρεῖος-εὐωπός (1)
ὀλιγάκις,ανδρει,16.8319268883206,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρεῖος-ὀλιγάκις (1)
δύσμορφος,ανδρει,15.785535487812,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείαν-δύσμορφος (1)
ἀγορή,ανδρει,15.106044227723,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρεῖος-κἀγορᾶς (1)
ἐξαρκέω,ανδρει,14.6008060378954,1,0,1,0,0,0,0,0,0,0,0,0,1,0,τἀνδρεῖον-ἐξαρκέσας (1)
δέ,ανδρει,14.2582048624754,4,0,4,0,0,0,0,0,0,2,1,1,0,0,"ἀνδρεῖος-δ' (1), ἀνδρείας-δ' (1), τἀνδρεῖον-δ' (1), κἀνδρείαι-δέ (1)"
ἄγραι,ανδρει,14.1982006565668,1,0,1,0,0,0,0,0,0,0,0,1,0,0,τἀνδρεῖον-ἄγρας (1)
προστάτης,ανδρει,14.1982006565668,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείας-προστάτην (1)
σύνεσις,ανδρει,13.5768223623745,1,1,0,0,1,0,0,0,0,0,0,0,0,0,κἀνδρείαι-ξυνέσει (1)
προμήθεια,ανδρει,13.3262721071951,1,0,1,0,0,0,0,0,0,0,1,0,0,0,τἀνδρεῖον-προμηθία (1)
σείω,ανδρει,13.1036952566355,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείας-σείοντες (1)
ἀκήρατος,ανδρει,12.9034654744901,1,0,1,0,0,0,0,0,0,0,1,0,0,0,κἀνδρείαι-ἀκήρατον (1)
σόφισμα,ανδρει,12.7215009159409,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείαν-σόφισμα (1)
τοῦτό,ανδρει,12.2579783867113,1,1,0,0,0,0,1,0,0,0,0,0,0,0,τἀνδρεῖον-τοῦτό (1)
εὐγένεια,ανδρει,12.2579783867113,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείους-εὐγένειαν (1)
ὁμιλία,ανδρει,11.9996743956581,1,0,1,0,0,0,0,0,0,0,0,1,0,0,τἀνδρεῖον-ὁμιλία (1)
τροπόω,ανδρει,11.8820642917417,1,0,1,0,0,0,0,0,0,1,0,0,0,0,τἀνδρείου-τρόπου (1)
πρός,ανδρει,11.5501034157351,2,2,0,0,0,0,1,1,0,0,0,0,0,0,"τἀνδρεῖον-πρός (1), ἀνδρείας-πρός (1)"
δύω,ανδρει,10.9789810692891,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείας-δύ' (1)
μάχομαι,ανδρει,10.9789810692891,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείας-μάχεσθαι (1)
ἕκητι,ανδρει,10.7721938076429,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείας-ἕκατι (1)
μορφή,ανδρει,10.7077713897452,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεῖος-μορφῆι (1)
φυσάω,ανδρει,10.7077713897452,1,1,0,0,1,0,0,0,0,0,0,0,0,0,τἀνδρεῖον-φύσει (1)
ἐναντίος,ανδρει,10.7077713897452,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖος-ἐναντία (1)
καιρός,ανδρει,10.5848556854762,1,1,0,1,0,0,0,0,0,0,0,0,0,0,τἀνδρεῖον-καιρῶι (1)
μή,ανδρει,10.5434549478814,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"τἀνδρείου-μή (1), ἀνδρείαν-μή (1)"
ἄστυ,ανδρει,10.3596693295985,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖος-ἄστυ (1)
πλοῦτος,ανδρει,10.255953820888,1,1,0,0,0,0,1,0,0,0,0,0,0,0,κἀνδρείαι-πλούτωι (1)
μαχάω,ανδρει,10.0634435620159,1,1,0,0,1,0,0,0,0,0,0,0,0,0,τἀνδρεῖον-μάχης (1)
