Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ευσεβ,,,,,,,,,,,,,,,,
Instances,57,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,ευσεβ,133.473218675237,31,18,13,1,2,2,7,6,0,4,2,3,1,3,"εὐσεβές-τό (3), εὐσέβειαν-τήν (3), εὐσεβεῖς-τούς (2), εὐσεβίας-τῆς (2), εὐσεβούντων-τῶν (2), εὐσεβής-ἡ (2), εὐσέβεια-ἡ (1), εὐσεβοῦσιν-τοῖς (1), εὐσέβει-τό (1), εὐσεβῇ-ὁ (1), εὐσεβεῖν-τά (1), εὐσεβεῖν-τούς (1), εὐσεβείας-τό (1), εὐσεβεῖν-οἱ (1), εὐσεβεῖν-τό (1), εὐσεβεῖν-τοῖς (1), εὐσεβείας-ἡ (1), εὐσεβές-τῆς (1), εὐσεβεστάτου-τούς (1), εὐσεβεστέρους-τῶν (1), εὐσεβής-τάν (1), εὐσεβείας-τῆς (1), εὐσέβειαν-αἱ (1)"
δέ,ευσεβ,107.628335044719,27,16,11,0,5,4,1,6,0,0,3,6,0,2,"εὐσεβής-δ' (6), εὐσεβεῖν-δ' (3), εὐσεβῆ-δ' (2), εὐσεβές-δ' (2), εὐσεβεῖς-δ' (2), εὐσέβειαν-δέ (2), εὐσεβοῦσιν-δέ (1), εὐσεβίας-δ' (1), εὐσεβέσι-δ' (1), εὐσεβεῖς-δέ (1), εὐσεβεστάτου-δ' (1), εὐσεβείας-δ' (1), εὐσέβειαν-δ' (1), εὐσεβεστέρους-δ' (1), εὐσέβεια-δ' (1), εὐσεβεῖν-δέ (1)"
τε,ευσεβ,83.330047570169,18,8,10,0,2,2,2,2,0,3,1,2,2,2,"εὐσεβής-τ' (5), εὐσεβεῖν-τ' (4), εὐσεβούντων-τε (2), εὐσεβεστάτου-τ' (1), εὐσεβοῦς-τε (1), εὐσεβεῖν-τε (1), εὐσεβεῖν-θ' (1), εὐσεβεστάτη-τ' (1), εὐσεβές-τε (1), εὐσεβές-τ' (1)"
εἰμί,ευσεβ,52.8989809770137,13,7,6,0,4,2,0,1,0,1,2,1,2,0,"εὐσεβής-ἦσθ' (2), εὐσεβεστέρους-ὄντας (1), εὐσεβῇ-ἐστί (1), εὐσεβούντων-εἶναι (1), εὐσεβής-ὤν (1), εὐσέβει-ὤν (1), εὐσεβοῦς-ἐστι (1), εὐσεβῆ-ἦν (1), εὐσεβής-ἦν (1), εὐσεβεστάτη-ἐστίν (1), εὐσεβής-ἐστ' (1), εὐσεβούντων-εἰς' (1)"
θεός,ευσεβ,45.8734902273864,9,2,7,1,0,0,1,0,0,3,2,2,0,0,"εὐσεβεῖν-θεόν (1), εὐσεβεῖς-θεοί (1), εὐσεβές-θεοῦ (1), εὐσεβεῖν-θεούς (1), εὐσεβῶν-θεοῖς (1), εὐσεβέστατος-θεοῦ (1), εὐσεβής-θεούς (1), εὐσεβοῦσιν-θεούς (1), εὐσεβῇ-θεόν (1)"
εἰς,ευσεβ,38.1624169326387,9,4,5,2,0,2,0,0,0,2,0,0,3,0,"εὐσεβής-εἰς (3), εὐσεβοῦσιν-εἰς (1), εὐσεβεῖν-ἐς (1), εὐσεβείας-ἐς (1), εὐσεβίας-εἰς (1), εὐσεβής-ἔς (1), εὐσεβῆ-ἐς (1)"
σός,ευσεβ,38.0450931000523,8,5,3,0,1,1,1,2,0,0,0,1,1,1,"εὐσεβοῦς-σῆς (1), εὐσέβειαν-σήν (1), εὐσέβεια-σῶι (1), εὐσέβειαν-σῶι (1), εὐσεβείας-σόν (1), εὐσεβεῖν-σή (1), εὐσεβές-σῆς (1), εὐσεβείας-σῆς (1)"
ευσεβ,ευσεβ,35.4333690539934,4,2,2,0,2,0,0,0,57,0,0,0,2,0,"εὐσεβῆ-εὐσεβεῖς (1), εὐσεβεῖς-εὐσεβῆ (1), εὐσεβής-εὐσέβεια (1), εὐσέβεια-εὐσεβής (1), εὐσεβίαι-εὐσεβίαι (0), εὐσεβεστέρους-εὐσεβεστέρους (0), εὐσεβείας-εὐσεβείας (0), εὐσεβεῖς-εὐσεβεῖς (0), εὐσέβειαν-εὐσέβειαν (0), εὐσεβούντων-εὐσεβούντων (0), εὐσεβῇ-εὐσεβῇ (0), εὐσεβεστάτην-εὐσεβεστάτην (0), εὐσεβεῖν-εὐσεβεῖν (0), εὐσεβής-εὐσεβής (0), εὐσεβῶν-εὐσεβῶν (0), εὐσεβεῖ-εὐσεβεῖ (0), εὐσεβεστάτου-εὐσεβεστάτου (0), εὐσεβίας-εὐσεβίας (0), εὐσέβει-εὐσέβει (0), εὐσεβές-εὐσεβές (0), εὐσεβεστάτη-εὐσεβεστάτη (0), εὐσεβῆ-εὐσεβῆ (0), εὐσεβέστατος-εὐσεβέστατος (0), εὐσέβεια-εὐσέβεια (0), εὐσεβοῦς-εὐσεβοῦς (0), εὐσεβέσι-εὐσεβέσι (0), εὐσεβοῦσιν-εὐσεβοῦσιν (0)"
δυσσεβής,ευσεβ,32.7862388021313,3,2,1,0,0,1,1,0,0,0,0,1,0,0,"εὐσεβοῦς-δυσσεβής (1), εὐσεβεστέρους-δυσσεβεῖς (1), εὐσεβής-δυσσεβεστάτοις (1)"
σύ,ευσεβ,31.3670942988247,10,6,4,4,1,0,0,1,0,0,1,0,1,2,"εὐσεβεστάτην-σε (1), εὐσεβές-ς' (1), εὐσεβής-σοῦ (1), εὐσεβής-σύ (1), εὐσεβεστάτου-σύ (1), εὐσεβέσι-σέ (1), εὐσεβεῖς-σύ (1), εὐσεβές-σύ (1), εὐσεβῆ-ς' (1), εὐσέβειαν-σε (1)"
