Collocation,2013-09-07
KeyWord,σοφ
Instances,231
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,675.391391729936,144,79,65,6,21,12,10,30,0,9,14,15,13,14,"σοφόν-τό (15), σοφόν-τόν (8), σοφούς-τούς (7), σοφοί-οἱ (7), σοφός-τά (6), σοφός-ὁ (6), σοφοῖς-τοῖς (5), σοφός-τήν (3), σοφία-τό (3), σοφόν-τάς (2), σοφά-τοῖς (2), σοφούς-τῶν (2), σοφός-τῶν (2), σοφός-τόν (2), σοφώτερον-τῶν (2), σοφώτεροι-οἱ (2), σοφούς-τό (2), σοφοί-τό (2), σοφοί-τούς (2), σοφόν-τῶν (2), σοφοί-τά (2), σοφαῖσιν-ταῖς (1), σοφήν-τῶν (1), σοφοῦ-τά (1), σοφοῖσι-τῆς (1), σοφός-ἡ (1), σοφοῖσι-τοῖς (1), σοφός-τάς (1), σοφῆς-τούς (1), σοφώτερος-τῶν (1), σοφώτερον-τῆς (1), σοφοῖς-οἱ (1), σοφῶν-τοῖς (1), σοφοί-τήν (1), σοφοῖς-ὁ (1), σοφῶς-ὁ (1), σοφῶι-τοῖς (1), σοφώτεροι-τάς (1), σοφώτεραι-αἱ (1), σοφός-τό (1), σοφώτερος-ἡ (1), σοφῶς-τούς (1), σοφίαν-τό (1), σοφόν-τῆς (1), σοφά-τό (1), σοφίας-τά (1), σοφοῖς-ἡ (1), σοφίαι-τᾶι (1), σοφόν-ὁ (1), σοφαῖσιν-ἡ (1), σοφά-τῶν (1), σοφή-τοῖς (1), σοφωτέροις-ὁ (1), σοφῶς-τό (1), σοφός-τοῖς (1), σοφοῖς-τόν (1), σοφοί-ἡ (1), σοφωτέρα-τά (1), σοφός-τούς (1), σοφή-τῶν (1), σοφῆς-ὁ (1), σοφώτερος-τοῖς (1), σοφήν-τά (1), σοφωτέρους-τῶν (1), σοφοῖσιν-ἡ (1), σοφός-οἱ (1), σοφόν-τά (1), σοφοῖς-τό (1), σοφήν-τοῖς (1), σοφώτεροι-τῶν (1), σοφόν-ἡ (1), σοφώτερος-ὁ (1), σοφοῖς-τά (1), σοφοῖσιν-τοῖς (1), σοφήν-τόν (1), σοφίαι-τῶν (1), σοφώτεροι-ὁ (1), σοφά-τά (1), σοφώτερος-τά (1), σοφοῖσιν-τάς (1), σοφῆι-τό (1)"
δέ,σοφ,320.345881276298,91,42,49,10,9,13,9,1,0,12,18,9,5,5,"σοφός-δ' (13), σοφόν-δ' (8), σοφός-δέ (4), σοφή-δ' (4), σοφοί-δ' (4), σοφήν-δέ (3), σοφά-δ' (3), σοφή-δέ (3), σοφία-δέ (3), σοφῶς-δ' (3), σοφώτερος-δ' (3), σοφοί-δέ (3), σοφοῖσι-δ' (3), σοφίας-δ' (2), σοφοῖς-δέ (2), σοφοῖσιν-δ' (2), σοφώτατος-δ' (2), σοφοῖς-δ' (2), σοφῶν-δέ (2), σοφόν-δέ (2), σοφώτεροι-δ' (2), σοφώτερος-δέ (2), σοφούς-δέ (2), σοφοῦ-δέ (1), σοφούς-δ' (1), σοφοῦ-δ' (1), σοφίας-δέ (1), σοφαῖσιν-δ' (1), σοφῆι-δέ (1), σοφίαν-δέ (1), σοφώτατον-δ' (1), σοφά-δέ (1), σοφία-δ' (1), σοφωτέρους-δέ (1), σοφῶι-δ' (1), σοφώταται-δέ (1), σοφῆς-δ' (1)"
εἰμί,σοφ,222.4855948966,54,33,21,1,5,9,9,9,0,2,5,5,3,6,"σοφός-εἴη (3), σοφός-ὤν (3), σοφός-ἐστι (2), σοφόν-ἐστί (2), σοφόν-ἐστι (1), σοφή-εἰμί (1), σοφός-ἦ (1), σοφά-ἐστί (1), σοφοί-εἰς' (1), σοφοῖσι-ἐστί (1), σοφῷ-ἔστ' (1), σοφόν-ἔσται (1), σοφός-εἴης (1), σοφός-ᾖ (1), σοφώτατον-εἶναι (1), σοφός-ἔστι (1), σοφούς-εἶναι (1), σοφά-ὤν (1), σοφώτεροι-εἶναι (1), σοφοί-εἰσιν (1), σοφόν-εἶναι (1), σοφός-εἰμι (1), σοφοῖσιν-ἦσαν (1), σοφός-ἔστ' (1), σοφήν-οὖσαν (1), σοφόν-ᾖ (1), σοφοί-εἶναι (1), σοφός-οὐσῶν (1), σοφοῦ-ὤν (1), σοφῶν-ἐστίν (1), σοφοί-ἐσμεν (1), σοφοί-ἦι (1), σοφοῖσιν-ἦ (1), σοφός-ἐστ' (1), σοφή-εἰμ' (1), σοφωτέρους-εἶναι (1), σοφόν-ἦν (1), σοφόν-ἔστιν (1), σοφοί-ἦν (1), σοφήν-ἔν (1), σοφώτεροι-εἰσίν (1), σοφοί-ἦ (1), σοφοί-ὄντες (1), σοφῶν-ἐστιν (1), σοφοῖσιν-ἔστιν (1), σοφοῖς-ἐστ' (1), σοφία-ἦν (1), σοφοῖσι-εἶναι (1)"
ἀνήρ,σοφ,205.687911094632,34,17,17,2,0,1,10,4,0,0,11,3,2,1,"σοφοῦ-ἀνδρός (7), σοφός-ἀνήρ (5), σοφόν-ἄνδρα (3), σοφόν-ἀνδρί (1), σοφός-ἀνδρός (1), σοφώτατος-ἀνήρ (1), σοφή-ἀνήρ (1), σοφοί-ἄνδρα (1), σοφωτέρα-ἄνδρας (1), σοφώτερος-ἀνήρ (1), σοφούς-ἄνδρας (1), σοφός-ἄνδρα (1), σοφοῖσι-ἀνδρῶν (1), σοφούς-ἀνδρί (1), σοφία-ἄνδρας (1), σοφόν-ἀνδρός (1), σοφήν-ἀνδρός (1), σοφωτέρους-ἀνήρ (1), σοφῶν-ἀνδρῶν (1), σοφωτέροις-ἀνήρ (1), σοφῷ-ἀνδρί (1), σοφωτέρους-ἄνδρας (1)"
καί,σοφ,185.516148395371,52,29,23,5,3,3,4,14,0,5,7,5,3,3,"σοφός-καί (12), σοφόν-καί (7), σοφοῖς-καί (4), σοφοῦ-καί (3), σοφοί-καί (3), σοφοῖσι-καί (2), σοφίας-καί (2), σοφώτερον-καί (2), σοφά-καί (2), σοφωτέρα-καί (2), σοφώτεροι-καί (2), σοφώτερος-καί (2), σοφή-καί (2), σοφώτατον-καί (1), σοφία-καί (1), σοφῆι-καί (1), σοφήν-καί (1), σοφῆς-καί (1), σοφῶν-καί (1), σοφούς-καί (1)"
οὐ,σοφ,162.857306264341,46,26,20,4,0,1,6,15,0,4,5,4,5,2,"σοφόν-οὐ (8), σοφός-κοὐ (4), σοφός-οὐ (4), σοφός-οὐκ (3), σοφοί-οὐ (3), σοφά-οὐκ (2), σοφοῦ-οὐ (2), σοφόν-οὐκ (2), σοφοί-κοὐ (1), σοφή-οὐ (1), σοφίαν-οὐ (1), σοφοῦ-οὐκ (1), σοφώτερος-οὐκ (1), σοφίαι-οὐκ (1), σοφοῖσιν-οὐκ (1), σοφός-οὐχ (1), σοφός-οὔ (1), σοφῶς-οὐ (1), σοφίας-οὔ (1), σοφία-οὐ (1), σοφώτεραι-οὐ (1), σοφούς-οὐκ (1), σοφά-κοὐ (1), σοφή-οὐκ (1), σοφούς-οὐ (1), σοφῶν-οὐκ (1)"
γάρ,σοφ,143.853266576305,40,19,21,1,7,3,6,2,0,9,3,2,4,3,"σοφός-γάρ (6), σοφόν-γάρ (5), σοφοῖς-γάρ (3), σοφώτερος-γάρ (2), σοφούς-γάρ (2), σοφῶν-γάρ (2), σοφά-γάρ (2), σοφοί-γάρ (2), σοφοῖσιν-γάρ (2), σοφοῖσι-γάρ (2), σοφοῦ-γάρ (2), σοφή-γάρ (1), σοφώτεραι-γάρ (1), σοφῆι-γάρ (1), σοφία-γάρ (1), σοφῆς-γάρ (1), σοφώτεροι-γάρ (1), σοφωτέρους-γάρ (1), σοφίαν-γάρ (1), σοφωτάτῳ-γάρ (1), σοφήν-γάρ (1)"
σοφ,σοφ,129.926630289759,20,10,10,0,3,2,1,4,231,4,1,2,3,0,"σοφός-σοφός (2), σοφή-σοφή (2), σοφῶι-σοφοῖς (1), σοφόν-σοφία (1), σοφῶς-σοφός (1), σοφία-σοφόν (1), σοφά-σοφός (1), σοφήν-σοφοῖς (1), σοφός-σοφά (1), σοφοῖς-σοφῶι (1), σοφοῦ-σοφήν (1), σοφόν-σοφοῦ (1), σοφός-σοφῶς (1), σοφοῦ-σοφόν (1), σοφοῖς-σοφήν (1), σοφήν-σοφοῦ (1), σοφούς-σοφῷ (1), σοφῷ-σοφούς (1), σοφῶς-σοφῶς (0), σοφοῦ-σοφοῦ (0), σοφώτεροι-σοφώτεροι (0), σοφοῖς-σοφοῖς (0), σοφώτερον-σοφώτερον (0), σοφήν-σοφήν (0), σοφαί-σοφαί (0), σοφῆι-σοφῆι (0), σοφῶι-σοφῶι (0), σοφωτέρα-σοφωτέρα (0), σοφώτατον-σοφώτατον (0), σοφά-σοφά (0), σοφώταται-σοφώταται (0), σοφώτεραι-σοφώτεραι (0), σοφόν-σοφόν (0), σοφωτέρους-σοφωτέρους (0), σοφῆς-σοφῆς (0), σοφοῖσι-σοφοῖσι (0), σοφώτατος-σοφώτατος (0), σοφωτάτῳ-σοφωτάτῳ (0), σοφωτέροις-σοφωτέροις (0), σοφία-σοφία (0), σοφῶν-σοφῶν (0), σοφούς-σοφούς (0), σοφίαν-σοφίαν (0), σοφαῖσιν-σοφαῖσιν (0), σοφώτερος-σοφώτερος (0), σοφίαι-σοφίαι (0), σοφῷ-σοφῷ (0), σοφοῖσιν-σοφοῖσιν (0), σοφίας-σοφίας (0), σοφοί-σοφοί (0)"
σύ,σοφ,118.986283106264,39,18,21,2,5,2,6,3,0,7,4,3,2,5,"σοφός-σύ (5), σοφόν-ς' (4), σοφή-σύ (3), σοφός-σοι (2), σοφήν-ς' (2), σοφώτεροι-σύ (1), σοφωτέρα-σοι (1), σοφά-σοι (1), σοφούς-σύ (1), σοφοῖς-σύ (1), σοφός-ς' (1), σοφαί-σε (1), σοφοί-ς' (1), σοφόν-σου (1), σοφά-ὑμῖν (1), σοφή-σε (1), σοφόν-τυ (1), σοφοῦ-σύ (1), σοφόν-σύ (1), σοφωτέρα-σοί (1), σοφίαι-σε (1), σοφίας-τυ (1), σοφῆι-σοι (1), σοφόν-σφῶιν (1), σοφοῦ-σε (1), σοφῶς-σοῦ (1), σοφοῖς-τυ (1), σοφωτέροις-σοῦ (1)"
τις,σοφ,111.932718781289,26,14,12,0,3,5,3,3,0,4,2,1,1,4,"σοφόν-τι (7), σοφός-τις (4), σοφόν-τις (4), σοφούς-τιν' (1), σοφοῦ-τινος (1), σοφίας-τις (1), σοφούς-τι (1), σοφῶν-του (1), σοφήν-τινα (1), σοφώτερον-τι (1), σοφίαν-τις (1), σοφοῦ-τι (1), σοφά-τι (1), σοφά-τις (1)"
