Collocation,2013-09-07
KeyWord,σωφρ
Instances,101
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,267.767175500747,61,34,27,3,3,2,5,21,0,2,9,3,6,7,"σῶφρον-τό (9), σωφρονεῖν-τό (7), σώφροσιν-τοῖς (5), σωφρονεῖν-τά (3), σώφρων-ἡ (3), σωφρονεῖν-τήν (3), σωφρονεῖν-ὁ (2), σώφρων-τό (2), σώφρονες-τῶν (1), σώφροσιν-τῶν (1), σωφρονῶν-τόν (1), σώφρονα-τά (1), σώφρονες-τήν (1), σωφρονίζειν-τούς (1), σωφροσύνηι-ὁ (1), σωφρόνως-τά (1), σώφρονι-τό (1), σώφρονας-τάς (1), σώφρων-τόν (1), σώφροσιν-τάς (1), σωφρονεῖν-τῶν (1), σώφρονες-οἱ (1), σωφροσύνας-τοῖς (1), σωφροσύνας-τᾶς (1), σωφρονοῦσα-τό (1), σώφρονες-τόν (1), σωφρονοῦσα-τῆς (1), σωφρονεῖν-τόν (1), σωφρονοῦσα-τόν (1), σῶφρον-ὁ (1), σώφρονος-τό (1), σώφροσιν-τά (1), σωφρονεῖν-ἡ (1), σωφρονῶν-τό (1), σῶφρον-τῆς (1)"
δέ,σωφρ,188.977614993695,49,22,27,3,2,7,9,1,0,6,6,7,3,5,"σωφρονεῖν-δ' (7), σώφρων-δέ (4), σωφρόνως-δ' (4), σώφρονας-δέ (3), σωφρονεῖν-δέ (3), σώφρονος-δ' (3), σώφροσιν-δέ (3), σώφρων-δ' (3), σωφρονῶν-δέ (2), σώφρονα-δ' (2), σῶφρον-δέ (1), σωφρονεστάτης-δ' (1), ἐσωφρόνησε-δ' (1), σώφρονος-δέ (1), σώφρονι-δέ (1), σωφρονίζειν-δέ (1), σωφροσύνας-δ' (1), σωφρονίζει-δ' (1), σώφρονες-δέ (1), σωφρονῶν-δ' (1), σωφρονοῦντι-δ' (1), σωφροσύνα-δέ (1), σωφρονίζειν-δ' (1), σῶφρον-δ' (1), σωφροσύνης-δέ (1)"
οὐ,σωφρ,134.047454942483,31,12,19,1,1,1,1,8,0,3,5,4,4,3,"σώφρων-οὐκ (3), σωφρονεῖν-οὐ (3), σωφρονεῖν-οὐκ (3), σώφρονος-οὐκ (2), σῶφρον-οὐ (2), ἐσωφρόνουν-οὐκ (1), σωφρόνως-οὐ (1), σωφρονίζειν-οὐ (1), σωφρονεῖν-οὐχ (1), σώφρων-οὐχί (1), σώφροσιν-οὐ (1), ἐσωφρόνησε-οὐ (1), σωφρόνως-οὐχ (1), σωφρονῶν-οὐ (1), σωφρονούσηι-οὔ (1), σωφρονίζει-οὐ (1), σώφρονα-οὐχί (1), σώφρονες-οὐχ (1), σῶφρον-οὐκ (1), ἐσωφρόνησε-οὐκ (1), σώφροσιν-κοὐχί (1), σώφρων-οὐ (1), σωφρονεῖν-οὐχί (1)"
γυνή,σωφρ,102.738375078421,17,9,8,0,4,1,1,3,0,2,1,0,3,2,"σώφρων-γυνή (4), σώφρονος-γυναικός (3), σώφρονας-γυναῖκας (1), σῶφρον-γύναι (1), σωφρονεῖν-γυνή (1), σωφρονεστέραν-γυναῖκα (1), σωφρονοῦσα-γυνή (1), σωφρονεῖν-γυναῖκας (1), ἐσωφρόνουν-γυναικός (1), σῶφρον-γυναιξί (1), σωφρονίζειν-γύναι (1), σωφρονεῖν-γυναιξί (1)"
γε,σωφρ,74.7513689752668,15,8,7,2,0,1,0,5,0,2,1,0,2,2,"σώφρων-γε (3), σωφρονεῖν-γ' (2), σωφρονεῖν-γε (2), σώφροσιν-γε (2), σώφροσιν-γ' (2), σωφρονούσηι-γ' (1), σώφρονα-γε (1), σωφρονῆις-γ' (1), σωφρονῆις-γε (1)"
σωφρ,σωφρ,71.2604292607866,9,4,5,1,2,0,1,0,101,0,1,1,2,1,"σώφρων-σώφρων (2), ἐσωφρόνησε-σωφρονεῖν (1), σώφρων-σώφρον' (1), σώφρων-σώφρονα (1), σώφρονα-σώφρων (1), σωφρονῶν-σώφροσιν (1), σωφρονεῖν-ἐσωφρόνησε (1), σώφροσιν-σωφρονῶν (1), σεσωφρόνηκας-σεσωφρόνηκας (0), σώφρονα-σώφρονα (0), σώφρονος-σώφρονος (0), σωφρονούσηι-σωφρονούσηι (0), σώφροσιν-σώφροσιν (0), σωφροσύνηι-σωφροσύνηι (0), σωφρονέστατον-σωφρονέστατον (0), σωφροσύνης-σωφροσύνης (0), σώφρονι-σώφρονι (0), σωφροσύνην-σωφροσύνην (0), σώφρονες-σώφρονες (0), σωφρονίζειν-σωφρονίζειν (0), σωφρονίζει-σωφρονίζει (0), σωφρονῆις-σωφρονῆις (0), σωφρονεστέραν-σωφρονεστέραν (0), σωφρονέστερον-σωφρονέστερον (0), σωφρόνως-σωφρόνως (0), ἐσωφρόνουν-ἐσωφρόνουν (0), σωφρονεῖν-σωφρονεῖν (0), σωφρονεστάτης-σωφρονεστάτης (0), σωφρονοῦντι-σωφρονοῦντι (0), σωφρονέστερος-σωφρονέστερος (0), σωφρονεῖς-σωφρονεῖς (0), σῶφρον-σῶφρον (0), σωφρονεστέρως-σωφρονεστέρως (0), σωφρονῶν-σωφρονῶν (0), ἐσωφρόνησε-ἐσωφρόνησε (0), σωφροσύνα-σωφροσύνα (0), σωφροσύνας-σωφροσύνας (0), σωφρονοῦσα-σωφρονοῦσα (0), σώφρονας-σώφρονας (0)"
ἀλλά,σωφρ,62.0454415152781,14,8,6,3,1,1,0,3,0,2,2,1,1,0,"σωφρονεῖν-ἀλλ' (2), σῶφρον-ἀλλ' (2), σωφρόνως-ἀλλά (2), ἐσωφρόνουν-ἀλλ' (1), σεσωφρόνηκας-ἀλλ' (1), σωφρονεστέρως-ἀλλά (1), σωφρονεῖν-ἀλλά (1), σώφρονες-ἀλλ' (1), σώφρονος-ἀλλά (1), σώφροσιν-ἀλλ' (1), σωφρονούσηι-ἀλλά (1)"
σύ,σωφρ,59.4015843970701,19,8,11,1,0,3,1,3,0,2,2,2,3,2,"σώφρων-σύ (3), σωφρονέστερος-σύ (1), σωφρονῶν-σύ (1), σωφρονῶν-σε (1), σωφρονῆις-σύ (1), σωφρόνως-σύ (1), σωφρονεῖν-σοι (1), ἐσωφρόνουν-σέ (1), σώφρονα-σύ (1), σῶφρον-σου (1), σωφρονεῖν-ς' (1), σώφρονος-ὑμῖν (1), σώφρων-σοί (1), σώφρονος-σοι (1), σῶφρον-ς' (1), σώφρων-σοι (1), σωφρονεῖν-σύ (1)"
καί,σωφρ,57.9302987838164,19,11,8,0,3,2,3,3,0,3,1,1,2,1,"σώφρων-καί (6), σωφρονεῖν-καί (4), σῶφρον-καί (3), σωφρονοῦσα-καί (1), σώφρονι-καί (1), σώφρονας-καί (1), σωφρονῶν-καί (1), σωφροσύνηι-καί (1), σώφρονος-καί (1)"
ἐγώ,σωφρ,51.4663588684052,18,11,7,5,1,2,1,2,0,2,2,1,1,1,"σωφρονεῖν-μοι (2), ἐσωφρόνουν-ἐγώ (2), σωφρονῶν-με (1), σώφρονος-μοι (1), σωφρονεῖν-ἡμεῖς (1), σωφροσύνα-με (1), σωφροσύνηι-ἐγώ (1), σωφρονοῦντι-μ' (1), σῶφρον-ἐγώ (1), σωφρονῶν-ἐγώ (1), σῶφρον-μ' (1), σώφροσιν-ἐγώ (1), σῶφρον-με (1), ἐσωφρόνησε-ἡμεῖς (1), σώφροσιν-με (1), σώφρονες-ἐγώ (1)"
μή,σωφρ,48.4210629533045,12,8,4,1,2,0,4,1,0,0,0,1,2,1,"σώφρων-μή (3), σώφροσιν-μή (2), σωφρονῶν-μή (1), σωφρονεῖν-μή (1), ἐσωφρόνουν-μή (1), σωφρονέστερος-μή (1), σωφρονέστερον-μή (1), σωφρονῆις-μή (1), σώφρονας-μή (1)"
εἰμί,σωφρ,45.469039906282,15,7,8,2,2,1,0,2,0,0,0,2,3,3,"σώφρων-ὤν (2), σῶφρον-ὤν (1), σώφρονες-εἴμ' (1), σωφρονοῦντι-ὄντας (1), σωφρονοῦσα-ἦ (1), σωφρονεστέραν-ἦν (1), σωφρονεῖν-εἶναι (1), σώφρων-ἐστίν (1), σωφρονεῖν-εἴην (1), σώφρων-εἶναι (1), σώφρονος-ἔστιν (1), σώφρων-ἦι (1), σωφρονεῖν-ἐστιν (1), ἐσωφρόνουν-ἔστι (1)"
ὡς,σωφρ,44.4336943710223,12,6,6,0,4,1,1,0,0,2,2,1,0,1,"σώφρονα-ὡς (2), σῶφρον-ὡς (2), σώφροσιν-ὡς (1), σωφρονεστέρως-ὡς (1), σώφρονος-ὥς (1), σώφρων-ὡς (1), σωφρονέστατον-ὡς (1), σωφρονίζει-ὥς (1), σωφρονέστερον-ὡς (1), σωφρόνως-ὡς (1)"
τε,σωφρ,43.0870328159072,15,8,7,1,1,1,3,2,0,3,0,2,2,0,"σωφρονοῦσα-τ' (2), σῶφρον-τ' (1), σωφρονεστάτης-θ' (1), σώφρων-τε (1), σωφρονεῖν-τέ (1), σωφρονῶν-τε (1), σωφροσύνας-τε (1), σωφρονεῖς-τε (1), σωφρονεῖν-τ' (1), σώφρονες-τε (1), σωφρονεῖν-θ' (1), σῶφρον-τε (1), σώφρων-θ' (1), σωφρονεῖν-τε (1)"
εἰς,σωφρ,42.1426836540923,12,3,9,0,0,1,2,0,0,1,2,4,1,1,"σωφρονεῖν-εἰς (2), σωφρονεῖν-ἐς (2), σωφροσύνηι-ἐς (1), σωφρονίζει-ἐς (1), σώφρονα-εἰς (1), σώφροσιν-ἐς (1), σωφρόνως-ἐς (1), σῶφρον-εἰς (1), σωφρονεστέραν-ἐς (1), σωφρονοῦσα-ἔς (1)"
ἔχω,σωφρ,40.8868500287645,9,3,6,0,0,2,0,1,0,0,1,2,2,1,"σωφρονεῖν-ἔχειν (2), σῶφρον-ἔχουσαν (1), σωφρονεῖν-ἔχουσα (1), ἐσωφρόνησε-ἔχουσα (1), σωφρονεῖν-εἶχες (1), σωφρονεῖν-ἔχοντες (1), ἐσωφρόνουν-ἔσχον (1), σώφροσιν-ἔχειν (1)"
μέν,σωφρ,39.9193566567264,11,3,8,0,2,0,0,1,0,2,2,1,1,2,"σωφρονεῖν-μέν (3), σώφρων-μέν (2), σώφρονας-μέν (1), σώφροσιν-μέν (1), σώφρονος-μέν (1), σωφρονεστέραν-μέν (1), σῶφρον-μέν (1), σωφρονέστερος-μέν (1)"
πᾶς,σωφρ,38.6101124193519,8,1,7,0,0,0,1,0,0,3,0,1,2,1,"σωφρονεῖν-πάντ' (2), σώφρων-πάντ' (1), σώφρων-πᾶς (1), σώφρων-πᾶσα (1), σωφρονεῖν-πάσαισι (1), σωφροσύνηι-πάντας (1), σωφρονέστατον-πάντων (1)"
ἄν,σωφρ,37.2651636470109,10,2,8,0,1,1,0,0,0,0,2,3,1,2,"σώφρων-ἄν (4), σωφρόνως-ἄν (2), σωφρονῶν-ἄν (1), σωφρονεῖς-κα (1), ἐσωφρόνουν-ἄν (1), σωφρονεστέραν-ἄν (1)"
ἀνήρ,σωφρ,36.6876948396675,8,4,4,0,0,1,2,1,0,1,1,0,2,0,"σώφρων-ἀνήρ (2), σώφρων-ἀνδρός (1), σωφρονέστερον-ἄνδρα (1), σώφροσιν-ἀνδρός (1), σωφρονεστέρως-ἀνήρ (1), σῶφρον-ἀνδράσιν (1), σωφρονεῖν-ἀνδρί (1)"
καλός,σωφρ,32.7136609121226,7,3,4,1,0,0,1,1,0,1,1,1,0,1,"σωφρονεῖν-καλῶς (2), σωφροσύνα-κάλλιστον (1), σωφρονεῖν-κάλλιστον (1), σῶφρον-καλόν (1), σώφρων-κάλλιστα (1), σώφρονας-καλά (1)"
μετριάω,σωφρ,32.0447193868458,3,3,0,0,2,1,0,0,0,0,0,0,0,0,"σωφροσύνας-μετρίας (1), σώφρονος-μετρία (1), σωφροσύνης-μετρίων (1)"
εἰ,σωφρ,31.4480063808151,8,6,2,2,0,3,1,0,0,1,0,1,0,0,"σωφρονεῖν-εἰ (4), σώφρων-εἰ (1), σώφρονας-εἰ (1), σωφρονεστέραν-εἰ (1), σώφροσιν-εἰ (1)"
σύνειμι,σωφρ,27.3659998294897,3,1,2,0,0,0,1,0,0,0,0,1,0,1,"σώφρων-ξυνόνθ' (1), σωφροσύνας-ξύνεστιν (1), σώφρων-ξύνει (1)"
δοκεύς,σωφρ,25.4906137292273,4,2,2,0,1,0,1,0,0,0,0,2,0,0,"σωφρονεῖν-δοκεῖ (2), σώφρων-δοκεῖς (1), σωφρονεῖν-δοκεῖς (1)"
