Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,12,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,73.7390366332111,16,7,9,1,2,2,1,1,0,1,2,2,1,3,"δικαιότερος-ὁ (3), δίκαιοι-τούς (2), δικαίωι-τούς (2), δίκαιον-τόν (2), δίκαια-τόν (1), δίκαια-τά (1), δίκαιον-ἡ (1), δίκαιον-τῆς (1), δίκαιον-τήν (1), δικαίου-τό (1), δικαίων-τῶν (1)"
ἀπατάω,δικαι,41.2965031014901,4,3,1,1,0,0,0,2,0,0,0,1,0,0,"δικαιότερος-ἀπατήσας (2), δικαιότερος-ἀπατήσαντος (1), δικαιότερος-ἀπατηθέντος (1)"
πρός,δικαι,29.778772586782,4,2,2,1,1,0,0,0,0,0,1,1,0,0,"δίκαιοι-πρός (2), δικαίωι-πρός (2)"
τε,δικαι,25.662384087118,4,3,1,1,0,0,2,0,0,0,1,0,0,0,"δικαίου-τε (3), δικαιότερος-τ' (1)"
τοκεύς,δικαι,20.2484266108368,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"δίκαιοι-τοκέας (1), δικαίωι-τοκέας (1)"
χρή,δικαι,18.1612143836392,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"δικαίως-χρή (1), δίκαιον-χρή (1)"
μέν,δικαι,17.6390899792314,4,3,1,1,0,2,0,0,0,0,0,1,0,0,"δικαίωι-μέν (1), δίκαια-μέν (1), δίκαιον-μέν (1), δικαιότερος-μέν (1)"
τῷ,δικαι,17.6062156074186,3,2,1,0,0,0,1,1,0,0,0,0,0,1,"δικαίωι-τῶι (2), δίκαιοι-τῶι (1)"
δέ,δικαι,17.2914526629465,5,1,4,0,0,0,1,0,0,1,1,1,0,1,"δίκαιοι-δέ (1), δικαίωι-δέ (1), δίκαια-δ' (1), δίκαιον-δέ (1), δικαίου-δέ (1)"
τίς,δικαι,13.2292469540553,3,2,1,0,0,0,1,1,0,1,0,0,0,0,"δικαίου-τοῦ (2), δικαιότερος-τοῦ (1)"
ἐπιεικής,δικαι,12.803310884221,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίου-ἐπιεικές (1)
πρᾶος,δικαι,12.803310884221,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαίου-πρᾶον (1)
πότερά,δικαι,12.803310884221,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίως-πότερά (1)
ἀπατήσαντά,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίωι-ἀπατήσαντά (1)
ἀστός,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιοι-ἀστούς (1)
παρασκευή,δικαι,12.803310884221,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-παρασκευαῖς (1)
242e,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίων-242e (1)
οἰκτείρω,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιον-οἰκτῖραι (1)
mul,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαίων-mul (1)
οσι,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίωι-ὅσιοι (1)
virt,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαίων-virt (1)
ὀργαίνω,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίου-ὄργανον (1)
ὑπουργέω,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαια-ὑπουργεῖν (1)
γραπτός,δικαι,12.803310884221,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαίου-γραπτούς (1)
γράμματά,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίου-γράμματά (1)
ὑπηρετέω,δικαι,12.803310884221,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαίων-ὑπηρετήσει (1)
κίνδυνός,δικαι,12.803310884221,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαίως-κίνδυνός (1)
θεραπεία,δικαι,12.803310884221,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δίκαιοι-θεραπείαι (1)
ὄνειδος,δικαι,12.803310884221,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίως-ὀνειδῶν (1)
δράω,δικαι,12.803310884221,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-ἔδρασε (1)
οὖν,δικαι,10.2215020503645,2,1,1,0,0,0,1,0,0,1,0,0,0,0,δίκαιον-οὖν (2)
φίλος,δικαι,10.0338995167695,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαια-φίλον (1)
φύλαξ,δικαι,10.0338995167695,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίου-φύλακας (1)
προκρίνω,δικαι,10.0338995167695,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίου-προκρίνοντες (1)
μέτρον,δικαι,10.0338995167695,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίου-μέτρα (1)
αὐθάδης,δικαι,10.0338995167695,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δικαίου-αὐθάδους (1)
ὑπέχω,δικαι,10.0338995167695,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαιότερος-ὑποσχόμενος (1)
πολύς,δικαι,9.91829951487307,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"δικαίων-πολλά (1), δικαίου-πολλά (1)"
ὅτι,δικαι,9.37658943496353,2,1,1,0,0,1,0,0,0,1,0,0,0,0,"δικαιότερος-ὅτι (1), δικαιότερος-ὅ (1)"
μῶμος,δικαι,8.99058104299183,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιον-μῶμον (1)
_de,δικαι,8.99058104299183,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίων-_de (1)
ἀποθνήσκω,δικαι,8.99058104299183,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίως-ἀποθανεῖν (1)
μνήμη,δικαι,8.99058104299183,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαίου-μνήμης (1)
ἀξιόω,δικαι,8.99058104299183,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαια-ἀξιώσει (1)
διδάσκω,δικαι,8.99058104299183,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίωι-διδάξαντα (1)
20,δικαι,8.99058104299183,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-20 (1)
μή,δικαι,8.75840849694214,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"δικαιότερος-μή (1), δικαίων-μή (1)"
ἡγέομαι,δικαι,8.31416316865943,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιον-ἡγήσασθαι (1)
μεταί,δικαι,8.31416316865943,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαίως-μετ' (1)
δεινός,δικαι,7.8119988223043,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-δεινά (1)
σαφής,δικαι,7.8119988223043,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δικαίωι-σαφεστάτωι (1)
πάσχω,δικαι,7.41246774271713,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δίκαιον-ἔπαθε (1)
ἑαυτοῦ,δικαι,7.08075344396639,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαια-αὑτῶι (1)
ἑλένη,δικαι,6.79723943046702,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιον-ἑλένης (1)
ἀληθής,δικαι,6.54976485569205,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαίωι-τἀληθές (1)
νόμος,δικαι,6.3302641431801,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίου-νόμου (1)
θεός,δικαι,6.3302641431801,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαίωι-θεούς (1)
p,δικαι,6.3302641431801,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίων-p (1)
ἐκεῖνος,δικαι,5.95422345818952,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαια-ἐκείνωι (1)
πείθω,δικαι,5.63973039801931,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαίωι-πείθειν (1)
τῇ,δικαι,5.63973039801931,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαιοι-τῆι (1)
ποιέω,δικαι,5.63973039801931,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαιότερος-πεποίηκεν (1)
φημί,δικαι,5.24778912396869,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαιότερος-φησίν (1)
ὑμός,δικαι,5.13325883793004,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαίωι-ὑμᾶς (1)
πως,δικαι,4.73420632930356,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαιον-πῶς (1)
μέγας,δικαι,4.73420632930356,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίως-μεγίστων (1)
γ,δικαι,4.2609991409845,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαια-γ (1)
ἐγώ,δικαι,3.72342378320172,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαίως-με (1)
ἤ,δικαι,3.1932517549285,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαίως-ἤ (1)
ὅς,δικαι,2.75992190404213,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαιότερος-ἥν (1)
ἀλλά,δικαι,2.70232673476858,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίωι-ἀλλά (1)
καί,δικαι,2.69099085037305,2,1,1,0,0,1,0,0,0,0,0,0,1,0,"δικαίων-καί (1), δικαιότερος-καί (1)"
οὗτος,δικαι,2.21892414141621,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαιότερος-τοῦθ' (1)
οὐ,δικαι,1.38444572828303,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαίωι-οὐκ (1)
γάρ,δικαι,1.30853762368497,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαιότερος-γάρ (1)
εἰμί,δικαι,0.401320812481572,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαίως-ἐστι (1)
ἀκριβε,δικαι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίου-ἀκριβε (1)
δικαι,δικαι,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,"δικαίων-δικαίων (0), δίκαια-δίκαια (0), δίκαιον-δίκαιον (0), δικαίως-δικαίως (0), δικαίωι-δικαίωι (0), δικαιότερος-δικαιότερος (0), δίκαιοι-δίκαιοι (0), δικαίου-δικαίου (0)"
