Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,26,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
εἰμί,φρον,160.484333177112,25,12,13,2,3,1,2,4,0,1,4,3,3,2,"φρονεῖται-ὄν (5), φρονούμενα-ἔστιν (5), φρονεῖσθαι-ὄντι (3), φρονουμένοις-εἶναι (2), φρονεῖται-ὄντων (1), φρονεῖται-ἔστιν (1), φρονῆι-ἐστι (1), φρονούμενα-ἐστιν (1), φρονούμενα-ἐστί (1), φρονήσηι-ἐστίν (1), φρονεῖσθαι-οὖσι (1), φρονούμενα-ὄν (1), φρονουμένοις-οὖσι (1), φρονεῖσθαι-ἐστί (1)"
ὁ,φρον,143.384723044495,31,20,11,0,1,5,6,8,0,1,3,2,4,1,"φρονούμενα-τά (6), φρονεῖται-τό (5), φρονεῖσθαι-τό (3), φρονεῖσθαι-τοῖς (3), φρονουμένοις-τοῖς (2), φρονούμενα-τό (2), φρονηθήσεται-τά (2), φρονεῖται-τά (2), φρονούντων-οἱ (1), φρονοῦντας-τάς (1), φρονεῖται-τῶν (1), φρονούμενα-ὁ (1), φρονοῦντας-τούς (1), φρονηθήσεται-τοῖς (1)"
συμβαίνω,φρον,72.7580853170366,7,4,3,0,1,2,1,0,0,2,0,0,1,0,"φρονεῖσθαι-συμβήσεται (3), φρονουμένοις-συμβέβηκεν (2), φρονεῖσθαι-συμβέβηκε (1), φρονεῖσθαι-συμβεβήκει (1)"
ὄντα,φρον,66.0060584720195,7,4,3,1,1,1,1,0,0,0,0,2,0,1,"φρονούμενα-ὄντα (4), φρονηθήσεται-ὄντα (2), φρονεῖται-ὄντα (1)"
οὐ,φρον,63.398323182133,12,7,5,2,3,0,0,2,0,3,0,1,1,0,"φρονούμενα-οὐκ (4), φρονεῖται-οὐκ (4), φρονοῦντας-οὐ (1), φρονούμενα-οὐ (1), φρονηθήσεται-οὐ (1), φρονεῖται-οὐ (1)"
εἰ,φρον,52.2995490204776,9,5,4,1,0,1,3,0,0,0,2,0,1,1,"φρονουμένοις-εἰ (2), φρονούμενα-εἰ (2), φρονεῖσθαι-εἰ (2), φρονήσηι-εἰ (1), φρονεῖ-εἰ (1), φρονεῖται-εἰ (1)"
μή,φρον,49.0665907437506,8,5,3,1,0,1,1,2,0,0,2,1,0,0,"φρονεῖσθαι-μή (4), φρονηθήσεται-μή (1), φρονεῖται-μή (1), φρονουμένοις-μή (1), φρονούμενα-μή (1)"
καί,φρον,45.2784937532269,12,4,8,2,1,0,1,0,0,4,1,0,2,1,"φρονεῖται-καί (5), φρονούμενα-καί (4), φρονεῖσθαι-καί (2), φρονήσηι-καί (1)"
φρον,φρον,43.8891383491427,6,3,3,2,1,0,0,0,23,0,0,0,1,2,"φρονεῖται-φρονεῖται (2), φρονεῖσθαι-φρονουμένοις (1), φρονούμενα-φρονεῖται (1), φρονεῖται-φρονούμενα (1), φρονουμένοις-φρονεῖσθαι (1), φρονεῖσθαι-φρονεῖσθαι (0), φρονοῦντας-φρονοῦντας (0), φρονούμενα-φρονούμενα (0), φρονεῖ-φρονεῖ (0), φρονούντων-φρονούντων (0), φρονουμένοις-φρονουμένοις (0), φρονῆι-φρονῆι (0), φρονηθήσεται-φρονηθήσεται (0), φρονήσηι-φρονήσηι (0)"
λευκόω,φρον,34.6569486737717,3,2,1,1,0,0,0,1,0,0,0,1,0,0,"φρονουμένοις-λευκοῖς (2), φρονεῖσθαι-λευκοῖς (1)"
