Collocation,2013-09-07
KeyWord,σοφ
Instances,15
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,73.7251447231538,16,9,7,2,0,2,4,1,0,0,2,2,2,1,"σοφίας-τό (3), σοφώτερος-ὁ (3), σοφώτερον-τόν (1), σοφώτερον-τήν (1), σοφίαι-τοῖς (1), σοφίας-οἱ (1), σοφούς-τούς (1), σοφώτερος-τῶν (1), σοφίαι-τῶν (1), σοφώτερος-τοῖς (1), σοφίαν-τά (1), σοφίας-ὁ (1)"
δέ,σοφ,55.8905488110031,11,6,5,1,1,1,1,2,0,1,1,0,2,1,"σοφία-δέ (4), σοφίας-δέ (3), σοφός-δ' (2), σοφίαν-δέ (1), σοφώτερος-δ' (1)"
ἁμαρτάνω,σοφ,50.2576466415339,4,2,2,1,0,0,1,0,0,0,1,0,0,1,σοφός-ἥμαρτον (4)
καί,σοφ,44.7639181026025,10,6,4,0,1,2,1,2,0,2,1,0,1,0,"σοφίαι-καί (4), σοφίαν-καί (3), σοφίας-καί (2), σοφώτερος-καί (1)"
ἀπατάω,σοφ,39.1788599692518,4,3,1,0,1,0,0,2,0,0,0,1,0,0,"σοφώτερος-ἀπατηθείς (2), σοφώτερος-ἀπατηθέντος (1), σοφώτερος-ἀπατήσαντος (1)"
τολμάω,σοφ,32.9605664780102,3,2,1,1,0,0,1,0,0,1,0,0,0,0,σοφίας-τόλμης (3)
ὑπομένω,σοφ,24.8216376157798,2,1,1,0,0,0,0,1,0,0,0,0,0,1,σοφίας-ὑπομεῖναι (2)
εἰ,σοφ,19.3582720108679,4,2,2,0,2,0,0,0,0,0,0,1,1,0,"σοφός-εἰ (3), σοφίαι-εἰ (1)"
κίνδυνος,σοφ,17.1979203465744,2,1,1,0,0,0,1,0,0,0,0,0,1,0,σοφίας-κίνδυνον (2)
μέν,σοφ,15.6186043325142,4,2,2,0,1,1,0,0,0,0,1,0,0,1,"σοφίας-μέν (2), σοφός-μέν (1), σοφώτερος-μέν (1)"
λογάω,σοφ,14.0451826456265,2,1,1,0,1,0,0,0,0,0,0,0,0,1,"σοφίαν-λόγων (1), σοφώτερος-λόγων (1)"
ὑπό,σοφ,13.7000152077089,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"σοφώτερος-ὑφ' (1), σοφίαι-ὑφ' (1)"
ἄλλος,σοφ,13.3829195297585,2,1,1,0,0,0,0,1,0,0,0,1,0,0,"σοφίαι-ἄλλοις (1), σοφώτερος-ἄλλων (1)"
ἀρετή,σοφ,12.5623087592685,2,1,1,0,1,0,0,0,0,0,0,1,0,0,"σοφία-ἀρετή (1), σοφίας-ἀρετῶν (1)"
διαβολή,σοφ,12.3394736737246,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφώτερον-διαβολήν (1)
πλίγμα,σοφ,12.3394736737246,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφίας-πλίγμα (1)
ἐπίκτητος,σοφ,12.3394736737246,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίας-ἐπικτήτου (1)
γιγνώσκω,σοφ,12.3394736737246,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίας-γνῶναι (1)
εὐεξία,σοφ,12.3394736737246,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίας-εὐεξίαν (1)
δέομαι,σοφ,12.3394736737246,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίας-δεῖται (1)
ἥκω,σοφ,12.3394736737246,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφίας-ἧκον (1)
εὐάλωτος,σοφ,12.3394736737246,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφώτερος-εὐάλωτον (1)
σύ,σοφ,10.6563298906403,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"σοφώτερος-σύ (1), σοφούς-σοῦ (1)"
ἀνόητος,σοφ,9.57092973438557,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφούς-ἀνοήτους (1)
κριτός,σοφ,9.57092973438557,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφώτερον-κριτήν (1)
ἀσφάλεια,σοφ,9.57092973438557,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφίαι-ἀσφαλείας (1)
κάλλος,σοφ,9.57092973438557,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφία-κάλλος (1)
ἔντιμος,σοφ,9.57092973438557,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίαι-ἐντιμοτάτων (1)
οὐκοῦν,σοφ,9.57092973438557,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφός-οὐκοῦν (1)
πυνθάνομαι,σοφ,9.57092973438557,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφούς-πυθέσθαι (1)
ἀλκή,σοφ,9.57092973438557,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφίας-ἀλκῆς (1)
ὅπου,σοφ,9.57092973438557,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφίαν-ὅπου (1)
δύο,σοφ,9.57092973438557,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίαν-δύο (1)
οὖν,σοφ,9.28604827247909,2,1,1,0,0,0,1,0,0,0,0,0,0,1,"σοφός-οὖν (1), σοφίαι-οὖν (1)"
οὐ,σοφ,8.98220144642983,3,1,2,0,0,0,0,1,0,1,0,0,1,0,"σοφίαν-οὐχ (1), σοφός-οὐχ (1), σοφός-οὐ (1)"
17,σοφ,8.52847881414345,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίαι-17 (1)
ἡδονά,σοφ,8.52847881414345,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφώτερος-ἡδονῆς (1)
μανιάω,σοφ,8.52847881414345,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφίαν-μανίαν (1)
ἴδιος,σοφ,8.52847881414345,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίας-ἰδίας (1)
πόριμος,σοφ,8.52847881414345,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφίαν-πόριμον (1)
βία,σοφ,7.85292861875496,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφίαι-βίαι (1)
ἡγέομαι,σοφ,7.85292861875496,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφώτερον-ἡγεῖσθαι (1)
μή,σοφ,7.83779756737931,2,1,1,1,0,0,0,0,0,0,1,0,0,0,σοφώτερος-μή (2)
μηδέ,σοφ,7.35163207689766,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφώτερον-μηδέ (1)
