Collocation,2013-09-07
KeyWord,σοφ
Instances,12
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σοφ,41.8528098158276,9,2,7,0,0,0,0,2,0,3,0,2,0,2,"σοφίαι-καί (3), σοφωτάτη-καί (2), σοφίη-καί (2), σοφώτατος-καί (1), σοφόν-καί (1)"
ἀριστάω,σοφ,39.203717235956,3,1,2,1,0,0,0,0,0,0,2,0,0,0,σοφωτάτη-ἀρίστη (3)
_,σοφ,30.5223764481198,5,3,2,2,1,0,0,0,0,0,0,1,1,0,"σοφόν-_ (2), σοφωτάτη-_ (2), σοφώτατος-_ (1)"
ἵημι,σοφ,27.0039531009097,3,2,1,0,0,0,2,0,0,0,1,0,0,0,σοφόν-ἕν (3)
φανάω,σοφ,25.9429537916731,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"σοφώτατος-φανεῖται (1), σοφίαι-φανεῖται (1)"
αὖος,σοφ,25.9429537916731,2,1,1,0,0,0,1,0,0,0,0,0,0,1,σοφωτάτη-αὔη (2)
vielmehr,σοφ,25.9429537916731,2,1,1,0,0,1,0,0,0,0,0,0,1,0,σοφωτάτη-vielmehr (2)
oder,σοφ,25.9429537916731,2,1,1,0,1,0,0,0,0,0,0,1,0,0,σοφωτάτη-oder (2)
πίθηκος,σοφ,25.942398428946,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"σοφώτατος-πίθηκος (1), σοφίαι-πίθηκος (1)"
ὁ,σοφ,25.1592710016121,8,6,2,0,1,0,1,4,0,0,0,0,1,1,"σοφόν-τό (3), σοφίαι-τοῖς (1), σοφώτατος-ὁ (1), σοφώτερος-τῶν (1), σοφίην-τάς (1), σοφόν-ὁ (1)"
40,σοφ,19.2206214642356,2,1,1,1,0,0,0,0,0,0,0,0,0,1,"σοφωτάτη-40 (1), σοφόν-40 (1)"
πᾶς,σοφ,15.9400365838665,3,0,3,0,0,0,0,0,0,1,1,1,0,0,"σοφόν-πάντων (1), σοφόν-πάντα (1), σοφώτερος-πάντων (1)"
γάρ,σοφ,14.0370899770205,3,2,1,0,0,2,0,0,0,0,0,0,1,0,"σοφόν-γάρ (2), σοφώτερος-γάρ (1)"
ἐκεῖνόν,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφώτερος-ἐκεῖνόν (1)
ἀληθής,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίη-ἀληθέα (1)
πάντων’,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφόν-πάντων’ (1)
ξηρά,σοφ,12.8805810010526,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφωτάτη-ξηρή (1)
κάλλος,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφίαι-κάλλει (1)
συγγραφή,σοφ,12.8805810010526,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίην-συγγραφάς (1)
κακοτεχνία,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφίην-κακοτεχνίην (1)
‘ἕν,σοφ,12.8805810010526,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφόν-‘ἕν (1)
εἶναι’,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφόν-εἶναι’ (1)
ὁτέη,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφόν-ὁτέη (1)
monac,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίην-monac (1)
_176,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφόν-_176 (1)
_8,σοφ,12.8805810010526,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφωτάτη-_8 (1)
gnomol,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφίην-gnomol (1)
lat,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφίην-lat (1)
_εἶναι,σοφ,12.8805810010526,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφόν-_εἶναι (1)
‘τόν’,σοφ,12.8805810010526,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφόν-‘τόν’ (1)
_b,σοφ,12.8805810010526,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφώτατος-_b (1)
ποιέω,σοφ,12.7866029364377,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"σοφίην-ἐποιήσατο (1), σοφίη-ποιεῖν (1)"
ψυχή,σοφ,12.7866029364377,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σοφωτάτη-ψυχή (2)
θεός,σοφ,12.7866029364377,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"σοφίαι-θεόν (1), σοφώτατος-θεόν (1)"
πρός,σοφ,12.2355099916749,2,1,1,1,0,0,0,0,0,1,0,0,0,0,"σοφώτατος-πρός (1), σοφίαι-πρός (1)"
εἰμί,σοφ,11.6370734179218,3,1,2,0,1,0,0,0,0,2,0,0,0,0,"σοφόν-ἐστι (1), σοφόν-εἶναι (1), σοφόν-ἐστιν (1)"
λέγω,σοφ,10.7020504877,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"σοφίη-λέγειν (1), σοφόν-λέγεσθαι (1)"
πολυμαθία,σοφ,10.1110491086583,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίην-πολυμαθίην (1)
404,σοφ,10.1110491086583,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφόν-404 (1)
ἕλλην,σοφ,10.1110491086583,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφώτερος-ἑλλήνων (1)
178,σοφ,10.1110491086583,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφίη-178 (1)
αὐγή,σοφ,10.1110491086583,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφωτάτη-αὐγή (1)
σωφρ,σοφ,10.1110491086583,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίη-σωφρονεῖν (1)
ἀρετή,σοφ,10.1110491086583,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίη-ἀρετή (1)
ἐπίσταμαι,σοφ,10.1110491086583,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφόν-ἐπίστασθαι (1)
ὥστε,σοφ,9.06761007574096,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφόν-ὥστε (1)
ὁμολογέω,σοφ,9.06761007574096,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφόν-ὁμολογεῖν (1)
γνώμη,σοφ,9.06761007574096,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφόν-γνώμην (1)
_iv,σοφ,9.06761007574096,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφωτάτη-_iv (1)
41,σοφ,9.06761007574096,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφόν-41 (1)
τε,σοφ,8.56688275455963,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"σοφώτερος-τε (1), σοφόν-τε (1)"
ὅμηρος,σοφ,8.39107160811545,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφώτερος-ὁμήρωι (1)
συμβάλλω,σοφ,8.39107160811545,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφώτατος-συμβάλλειν (1)
χωρίζω,σοφ,8.39107160811545,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφόν-κεχωρισμένον (1)
μέγας,σοφ,7.88878663422656,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφίη-μεγίστη (1)
μόνος,σοφ,7.48913489295228,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφόν-μοῦνον (1)
ἐθέλω,σοφ,7.15729989830288,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφόν-ἐθέλει (1)
λογόω,σοφ,6.87366515463509,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφόν-λόγου (1)
γιγνώσκω,σοφ,6.40644830430392,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφόν-γινώσκειν (1)
