Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,3,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Stats,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
δέ,δικαι,,2,1,1,0,0,0,0,1,0,0,1,0,0,0,δίκαια-δέ (2)
καί,δικαι,,2,2,0,0,0,1,0,1,0,0,0,0,0,0,δίκαια-καί (2)
μέν,δικαι,,2,1,1,1,0,0,0,0,0,0,0,0,1,0,δίκαια-μέν (2)
ἄδικος,δικαι,,2,1,1,0,1,0,0,0,0,0,0,0,0,1,δίκαια-ἄδικα (2)
ὅς,δικαι,,2,1,1,0,0,0,1,0,0,0,0,1,0,0,δίκαια-ἅ (2)
200,δικαι,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαια-200 (1)
i,δικαι,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαια-i (1)
porphyr,δικαι,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαια-porphyr (1)
zu,δικαι,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαια-zu (1)
αἰών,δικαι,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-αἰῶνα (1)
θεός,δικαι,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δίκαιον-θεόν (1)
καλός,δικαι,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαια-καλά (1)
λογόω,δικαι,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιον-λόγου (1)
λόγος,δικαι,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-λόγον (1)
ξ,δικαι,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαια-ξ (1)
πατήρ,δικαι,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαιον-πατέρα (1)
πᾶς,δικαι,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαια-πάντα (1)
τίς,δικαι,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιον-τοῦ (1)
υἱός,δικαι,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαιον-υἱόν (1)
ἀγαθός,δικαι,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαια-ἀγαθά (1)
ἀλλά,δικαι,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαιον-ἀλλά (1)
ἄνθρωπος,δικαι,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαια-ἄνθρωποι (1)
ἐμός,δικαι,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-ἐμοῦ (1)
ὑπολαμβάνω,δικαι,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαια-ὑπειλήφασιν (1)
‘οὐκ,δικαι,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιον-‘οὐκ (1)
δικαι,δικαι,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"δίκαιον-δίκαιον (0), δίκαια-δίκαια (0)"
