Collocation,2013-09-07
KeyWord,οσι
Instances,16
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
οὐ,οσι,87.1224611364305,11,11,0,0,0,1,1,9,0,0,0,0,0,0,"ὅσιον-οὐκ (6), ὅσια-οὐκ (3), ὁσίου-οὐκ (1), ὅσιον-οὐ (1)"
εἰμί,οσι,40.6371238799766,8,2,6,0,1,1,0,0,0,3,1,0,0,2,"ὅσιον-ἦν (3), ὅσιον-εἶναι (2), ὁσίη-ἐστί (2), ὅσια-εἶναι (1)"
γάρ,οσι,37.0335193099454,6,3,3,0,0,2,0,1,0,0,3,0,0,0,"ὅσιον-γάρ (2), ὅσια-γάρ (2), ὁσίη-γάρ (1), ὁσίου-γάρ (1)"
ὁ,οσι,30.1798284044489,11,4,7,1,2,0,1,0,0,0,2,1,2,2,"ὅσιον-ὁ (3), ὅσια-τούς (2), ὅσιον-αἱ (1), ὅσιον-τό (1), ὅσιον-τῶν (1), ὁσίη-αἱ (1), ὅσια-τά (1), ὅσιον-τῆς (1)"
καί,οσι,29.6371336095035,8,4,4,1,3,0,0,0,0,1,1,0,0,2,"ὅσια-καί (6), ὅσιον-καί (1), ὁσίη-καί (1)"
ἀρέσκω,οσι,27.2750424724072,2,2,0,0,1,0,0,1,0,0,0,0,0,0,ὅσια-ἀρεσκόμενον (2)
τοιοῦτος,οσι,26.2757431101054,3,1,2,1,0,0,0,0,0,0,0,1,0,1,"ὅσιον-τοιούτῳ (2), ὅσιον-τοιοῦτο (1)"
οσι,οσι,25.6502149719745,2,1,1,0,0,1,0,0,16,0,0,1,0,0,"ὅσια-ὅσια (2), ὁσίη-ὁσίη (0), ὅσιον-ὅσιον (0), ὁσίου-ὁσίου (0)"
πρᾶγμα,οσι,25.4634883794934,3,2,1,0,0,0,2,0,0,0,0,0,1,0,"ὅσιον-πρῆγμα (1), ὅσιον-πρήγματι (1), ὁσίου-πρήγματος (1)"
ποιέω,οσι,25.1562069384381,4,3,1,0,0,0,0,3,0,0,1,0,0,0,"ὅσια-ποιέειν (3), ὅσια-ποιέετε (1)"
ποιόω,οσι,22.4584769867361,3,1,2,0,0,0,1,0,0,2,0,0,0,0,"ὅσιον-ποιεῦμαι (2), ὅσια-ποιεῦντες (1)"
τίς,οσι,22.152569537051,5,3,2,0,1,0,2,0,0,1,0,0,1,0,"ὅσιον-τοῦ (2), ὁσίη-τοῖσι (1), ὅσια-τοῖσι (1), ὅσιον-τοῖσι (1)"
ἐπί,οσι,21.7016288153827,4,0,4,0,0,0,0,0,0,1,2,0,1,0,"ὅσιον-ἐπί (3), ὅσια-ἐπί (1)"
ἀποδίδωμι,οσι,21.2576452130452,2,1,1,0,0,0,1,0,0,0,0,1,0,0,ὅσια-ἀποδιδόντες (2)
συγκαταθάπτεταί,οσι,18.7856762036681,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσιον-συγκαταθάπτεταί (1)
θύω,οσι,18.6728413468227,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"ὁσίη-θύειν (1), ὅσιον-θύειν (1)"
θυγάτηρ,οσι,17.3122957190499,2,0,2,0,0,0,0,0,0,0,0,0,1,1,"ὁσίη-θυγατέρες (1), ὅσιον-θυγατρί (1)"
εὔστομος,οσι,16.013248777017,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίη-εὔστομα (1)
οὐδέ,οσι,14.7081478340551,2,2,0,1,0,0,1,0,0,0,0,0,0,0,"ὅσιον-οὐδέ (1), ὁσίη-οὐδέ (1)"
ἐπιτεχνάζω,οσι,14.2874789405614,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιον-ἐπιτεχνᾶται (1)
δαναός,οσι,13.7822971632704,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίη-δαναοῦ (1)
ἐνδέω,οσι,13.3797481916845,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσια-ἐνδεδέσθαι (1)
φημί,οσι,13.1321846153587,2,2,0,0,1,0,1,0,0,0,0,0,0,0,"ὅσιον-φάς (1), ὅσιον-φασί (1)"
ἀπαγορεύω,οσι,12.7584827216342,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιον-ἀπηγόρευε (1)
οὔτε,οσι,12.5421835575253,2,0,2,0,0,0,0,0,0,1,0,0,0,1,ὁσίου-οὔτε (2)
ταφή,οσι,11.4400336407125,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιον-ταφαί (1)
υἱός,οσι,11.3067626748234,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίη-ὑῶν (1)
κατακαίω,οσι,10.9532817630097,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-κατακαῦσαι (1)
ἅπτω,οσι,10.5623589586467,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιον-ἅπτεσθαι (1)
ἐπιθυμέω,οσι,10.3923401907086,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίου-ἐπεθύμησε (1)
