Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,48,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
εἰμί,σοφ,129.868544003926,25,16,9,1,1,4,3,7,0,3,2,3,0,1,"σοφός-ἦν (4), σοφός-εἶναι (3), σοφός-ἐών (3), σοφόν-εἶναι (3), σοφώτατος-εἶναι (2), σοφίην-εἶναι (2), σοφίῃ-ἐούσης (1), σοφή-ἐστι (1), σοφοί-εἰσι (1), σοφή-ἐοῦσα (1), σοφίην-ἔν (1), σοφίης-ἐστι (1), σοφωτάτους-εἶναι (1), σοφώτερα-εἴη (1)"
καί,σοφ,95.3502088673413,25,13,12,2,6,1,0,4,0,3,3,0,1,5,"σοφίῃ-καί (6), σοφίης-καί (6), σοφός-καί (4), σοφίην-καί (3), σοφώτατος-καί (1), σοφώτατον-καί (1), σοφοῦ-καί (1), σοφόν-καί (1), σοφή-καί (1), σοφῷ-καί (1)"
δέ,σοφ,74.3856585202739,22,11,11,3,3,0,3,2,0,3,4,0,3,1,"σοφός-δέ (4), σοφίῃ-δέ (4), σοφίην-δέ (4), σοφίης-δέ (2), σοφόν-δέ (2), σοφωτάτους-δέ (1), σοφωτάτην-δέ (1), σοφώτατον-δέ (1), σοφώτατον-δ' (1), σοφοί-δέ (1), σοφώτερον-δέ (1)"
ὁ,σοφ,63.8884592289105,28,13,15,6,1,3,2,1,0,0,3,5,4,3,"σοφώτατος-τήν (3), σοφώτατος-ὁ (2), σοφώτατα-τῶν (2), σοφωτάτους-τούς (2), σοφίῃ-ὁ (2), σοφίῃ-τά (1), σοφόν-τό (1), σοφίην-τά (1), σοφίης-τῆς (1), σοφός-ὁ (1), σοφίην-οἱ (1), σοφός-τῆς (1), σοφωτάτους-οἱ (1), σοφοί-τά (1), σοφώτατος-τῶν (1), σοφοί-τούς (1), σοφόν-ἡ (1), σοφώτατον-τήν (1), σοφίῃ-τόν (1), σοφωτάτῳ-ὁ (1), σοφώτατον-τούς (1), σοφοί-τό (1)"
ἀνήρ,σοφ,45.8133966932073,8,7,1,2,0,2,0,3,0,0,0,1,0,0,"σοφός-ἀνήρ (3), σοφώτατος-ἀνήρ (2), σοφόν-ἄνδρα (1), σοφῷ-ἀνδρί (1), σοφίης-ἄνδρα (1)"
τε,σοφ,36.1072623888031,10,3,7,1,0,0,1,1,0,1,3,0,1,2,"σοφίης-τε (2), σοφίῃ-τε (2), σοφός-τε (2), σοφίην-τε (1), σοφή-τε (1), σοφῷ-τε (1), σοφόν-τε (1)"
οὐδείς,σοφ,33.7904483517632,6,3,3,0,0,1,1,1,0,0,0,2,1,0,"σοφίης-οὐδέν (2), σοφός-οὐδένα (1), σοφωτάτους-οὐδέν (1), σοφίῃ-οὐδεμιῇ (1), σοφόν-οὐδέν (1)"
οὗτος,σοφ,33.0604201527312,11,4,7,0,2,2,0,0,0,0,0,5,0,2,"σοφίην-τούτοισι (1), σοφός-ταύτης (1), σοφίην-τούτου (1), σοφίῃ-τοῦτον (1), σοφίην-τούτων (1), σοφόν-τοῦτο (1), σοφίῃ-ταῦτα (1), σοφωτάτους-ταῦτα (1), σοφοῦ-οὗτοι (1), σοφωτάτην-τούτων (1), σοφίῃ-τοῦτο (1)"
γάρ,σοφ,28.4949136013165,7,2,5,1,0,0,0,1,0,1,2,2,0,0,"σοφίῃ-γάρ (2), σοφή-γάρ (1), σοφώτερα-γάρ (1), σοφίης-γάρ (1), σοφόν-γάρ (1), σοφός-γάρ (1)"
φανάω,σοφ,28.0234378930181,3,1,2,0,0,1,0,0,0,1,0,0,0,1,"σοφός-ἐφάνη (2), σοφίῃ-φάνης (1)"
ταχύτερος,σοφ,27.5895096762106,2,2,0,0,0,1,1,0,0,0,0,0,0,0,σοφώτερα-ταχύτερα (2)
ἕλλην,σοφ,26.5093794167042,5,3,2,0,1,0,0,2,0,1,0,0,0,1,"σοφώτερον-ἕλληνες (1), σοφώτατος-ἑλλήνων (1), σοφῷ-ἕλληνι (1), σοφίην-ἑλλήνων (1), σοφώτερον-ἑλλήνων (1)"
ἐν,σοφ,25.9687376441434,7,2,5,1,1,0,0,0,0,1,0,1,1,2,"σοφός-ἐν (2), σοφώτατον-ἐν (1), σοφίην-ἐν (1), σοφώτερα-ἐν (1), σοφῷ-ἐν (1), σοφίην-εἶν (1)"
γίγνομαι,σοφ,23.6156488591805,6,5,1,2,0,0,1,2,0,1,0,0,0,0,"σοφίην-γενέσθαι (1), σοφός-γενομένῃ (1), σοφόν-γενόμενον (1), σοφός-ἐγένετο (1), σοφίῃ-γίνεται (1), σοφώτατος-γενόμενος (1)"
ἀνθρώπειος,σοφ,21.0839784983546,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"σοφώτερα-ἀνθρωπηίῃ (1), σοφώτατα-ἀνθρωπηίων (1)"
