Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,7,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
εἶπον,σωφρ,19.0157582145184,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"ἐσωφρόνεον-εἴπας (1), σωφρονέειν-εἰπόντα (1)"
ὦρος,σωφρ,17.7528566215187,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρόνων-ὤρην (1)
ἄβουλος,σωφρ,17.7528566215187,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονέστερον-ἀβούλως (1)
συνταχύνω,σωφρ,16.7064248519018,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονέστερον-συντάχυνε (1)
καί,σωφρ,16.2630261611193,4,2,2,0,0,2,0,0,0,0,0,1,0,1,"σωφρονέειν-καί (2), ἐσωφρόνησε-καί (1), σωφρόνως-καί (1)"
εὐνάω,σωφρ,16.0268932227045,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονα-εὐνοίην (1)
δοῦναί,σωφρ,15.5216146623716,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρόνως-δοῦναί (1)
θεοπροπέω,σωφρ,15.5216146623716,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἐσωφρόνησε-θεοπρόπιον (1)
διωθέω,σωφρ,15.1189689105377,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονα-διωθέεσθαι (1)
ἐκπλήσσω,σωφρ,15.1189689105377,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἐσωφρόνησε-ἐκπεπληγμένος (1)
μάταιος,σωφρ,14.4975098744035,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἐσωφρόνεον-μάταια (1)
παραυτίκα,σωφρ,13.0450155436993,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἐσωφρόνεον-παραυτίκα (1)
τραῦμα,σωφρ,12.6912442678586,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἐσωφρόνησε-τρώματος (1)
ἁρπάζω,σωφρ,12.1297219516709,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρόνων-ἁρπασθεισέων (1)
συλλαμβάνω,σωφρ,11.8988611111417,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἐσωφρόνησε-συλλαβών (1)
δῆλος,σωφρ,11.6274899234995,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρόνων-δῆλα (1)
γάρ,σωφρ,11.0468125492334,2,0,2,0,0,0,0,0,0,0,1,0,1,0,"σωφρονέστερον-γάρ (1), σωφρόνων-γάρ (1)"
ἀληθής,σωφρ,10.8929000524804,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονέειν-ἀληθέα (1)
ἔοικα,σωφρ,10.6455394579098,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρονα-οἰκός (1)
δείκνυμι,σωφρ,10.4961908087134,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρόνως-δέξασθαι (1)
ἔπος,σωφρ,9.85571789182723,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἐσωφρόνεον-ἔπεα (1)
μηδείς,σωφρ,9.77897790726274,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρόνων-μηδεμίαν (1)
δεῖ,σωφρ,9.65731009468436,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονέστερον-δεῖ (1)
δέ,σωφρ,9.64582110662013,3,1,2,0,0,1,0,0,0,0,1,1,0,0,"σωφρονέειν-δέ (1), σωφρόνως-δέ (1), ἐσωφρόνησε-δέ (1)"
φαίνω,σωφρ,9.39249900635332,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονα-φαινομένην (1)
εἶπος,σωφρ,8.9831762816757,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἐσωφρόνησε-εἶπε (1)
ὁ,σωφρ,8.91099750809371,4,3,1,0,1,0,0,2,0,0,0,1,0,0,"ἐσωφρόνεον-τό (1), σώφρονα-τόν (1), ἐσωφρόνησε-τό (1), σωφρονέστερον-τό (1)"
»,σωφρ,8.70151361450553,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρονέειν-» (1)
πλείων,σωφρ,8.31809153687209,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονέστερον-πλέονας (1)
μόνος,σωφρ,8.15658713132143,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρόνως-μούνοισι (1)
λαμβάνω,σωφρ,8.11276642046869,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονέστερον-λάμβανε (1)
εἰμί,σωφρ,7.44784023426473,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"σώφρονα-ἐστι (1), σωφρόνως-εἶναι (1)"
ἐμός,σωφρ,7.29878023825586,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονέειν-ἐμέ (1)
λόγος,σωφρ,7.10117604956031,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρόνως-λόγον (1)
οὗτος,σωφρ,6.94676557276398,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"σωφρονέειν-ταῦτα (1), σωφρόνως-τούτοισι (1)"
