Collocation,2013-09-08
KeyWord,ευσεβ
Instances,25
Files,7
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,103.406439274549,25,14,11,3,2,4,4,1,0,2,2,4,1,2,"εὐσέβειαν-τήν (4), εὐσεβείας-τῆς (2), εὐσέβειαν-τό (2), εὐσέβειαν-τῶν (2), εὐσεβεῖς-τούς (2), εὐσεβές-τό (2), εὐσεβοῦς-τῶν (1), εὐσεβεστάτους-τῶν (1), εὐσεβεῖν-τά (1), εὐσεβείας-τήν (1), εὐσεβοῦντες-τόν (1), εὐσέβειαν-ὁ (1), εὐσέβειαν-τούς (1), εὐσεβέστερον-τόν (1), εὐσεβέστερον-τούς (1), εὐσεβείας-τῶν (1), εὐσεβέστερον-τοῖς (1)"
καί,ευσεβ,68.1821003388613,17,7,10,0,1,2,2,2,0,1,1,2,5,1,"εὐσέβειαν-καί (3), εὐσεβείας-καί (3), εὐσεβές-καί (3), εὐσεβεστάτους-καί (2), εὐσεβέστερον-καί (2), εὐσεβοῦντες-καί (2), εὐσεβοῦς-καί (2)"
ἀλλά,ευσεβ,29.71736144647,5,3,2,0,0,1,1,1,0,1,1,0,0,0,"εὐσεβεῖτε-ἀλλ' (1), εὐσεβεῖν-ἀλλ' (1), εὐσεβέστερον-ἀλλά (1), εὐσεβές-ἀλλά (1), εὐσέβειαν-ἀλλ' (1)"
ἐμός,ευσεβ,27.399354133755,4,3,1,1,0,2,0,0,0,0,1,0,0,0,"εὐσέβειαν-ἐμέ (1), εὐσεβέστερος-ἐμοῦ (1), εὐσεβεῖν-ἐμέ (1), εὐσεβής-ἐμέ (1)"
δέ,ευσεβ,26.9141993056983,9,5,4,0,1,2,1,1,0,1,2,1,0,0,"εὐσέβειαν-δέ (2), εὐσεβής-δ' (1), εὐσέβειαν-δ' (1), εὐσεβέστερος-δ' (1), εὐσεβοῦς-δέ (1), εὐσεβοῦντες-δέ (1), εὐσεβεῖν-δέ (1), εὐσεβεῖς-δέ (1)"
ὑμός,ευσεβ,26.8221924398094,4,2,2,0,1,0,1,0,0,1,0,0,1,0,"εὐσεβεῖν-ὑμᾶς (1), εὐσεβές-ὑμῶν (1), εὐσεβεστάτους-ὑμᾶς (1), εὐσεβοῦς-ὑμῶν (1)"
ὑμέτερος,ευσεβ,26.4482405185699,3,3,0,0,0,0,0,3,0,0,0,0,0,0,"εὐσεβείας-ὑμετέρας (2), εὐσεβές-ὑμέτερον (1)"
εἰμί,ευσεβ,25.8780178576708,7,2,5,0,2,0,0,0,0,3,0,1,0,1,"εὐσεβείας-εἰσί (1), εὐσεβές-ἐστιν (1), εὐσέβειαν-εἶναι (1), εὐσέβειαν-ἐσμέν (1), εὐσεβής-ἐών (1), εὐσεβεῖν-εἶναι (1), εὐσεβές-εἶναι (1)"
οὖν,ευσεβ,25.3361497297883,4,2,2,0,0,0,1,1,0,0,1,0,0,1,"εὐσέβειαν-οὖν (1), εὐσεβέστερον-οὖν (1), εὐσεβείας-οὖν (1), εὐσεβές-οὖν (1)"
ἀποθνήσκω,ευσεβ,23.4690034538507,3,1,2,0,0,0,0,1,0,0,0,0,2,0,"εὐσεβέστερον-ἀποθανόντι (1), εὐσέβειαν-ἀποθανόντος (1), εὐσεβεῖτε-ἀποθανών (1)"
μέν,ευσεβ,23.4355931915343,6,2,4,1,0,0,1,0,0,1,0,1,1,1,"εὐσεβείας-μέν (3), εὐσεβέστερον-μέν (1), εὐσεβής-μέν (1), εὐσεβείᾳ-μέν (1)"
καθίστημι,ευσεβ,22.7324186023325,3,3,0,1,1,1,0,0,0,0,0,0,0,0,"εὐσεβείας-καθίστασθε (1), εὐσεβεῖτε-καταστήσητε (1), εὐσέβειαν-καταστήσετε (1)"
ἀπολύω,ευσεβ,20.6117479708046,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"εὐσεβεῖτε-ἀπολύοντες (1), εὐσέβειαν-ἀπολύσεσθε (1)"
ἔστω«,ευσεβ,20.0249088034034,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβής-ἔστω« (1)
