Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,164,,,,,,,,,,,,,,,,
Files,8,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,φρον,714.858076667413,160,91,69,13,11,24,33,10,0,10,14,13,23,9,"φρονοῦντας-τούς (7), φρονούμενα-τά (6), φρονεῖται-τό (5), φροντίζειν-τῶν (4), φρονεῖσθαι-τό (3), φρονοῦντες-τά (3), φρονοῦντες-οἱ (3), φρονεῖσθαι-τοῖς (3), φρονοῦντες-τῶν (3), φρονοῦντας-τά (3), φροντίδος-τῆς (2), φροντίζειν-τά (2), ἐφρόνεον-οἱ (2), ἐφρόντισεν-τῶν (2), φρονοῦντας-ταῖς (2), φρονεόντων-τά (2), φρονηθήσεται-τά (2), φρονέειν-τά (2), φρονούμενα-τό (2), ἐφρόντιζον-τόν (2), φρονούντων-τῶν (2), φρονεῖται-τά (2), ἐφρόντιζον-τῶν (2), φρονεουσέων-τῶν (2), φρονῶ-τοῖς (2), ἐφρόντιζε-ὁ (2), φρονέουσα-τά (2), φροντίζει-τά (2), φρονουμένοις-τοῖς (2), φροντίσας-τῶν (2), φρονέοιεν-τῶν (2), φρονοῦντες-τό (1), φρονέοντας-τά (1), φρονοῦσαι-αἱ (1), φρονέειν-ὁ (1), ἐφρόντιζε-τά (1), ἐφρόνουν-οἱ (1), φροντίζει-τήν (1), φρονεῖν-τά (1), φρονέειν-οἱ (1), φρονέοντας-τούς (1), φρονέοιεν-τά (1), φροντίσαι-τούς (1), φρονούντων-τοῖς (1), φρονέοντας-τῶν (1), φροντίσας-τάς (1), φρονούντων-οἱ (1), φρονήσας-ὁ (1), φροντίσας-τῆς (1), φρονέοντα-τῶν (1), φρονεῖν-τῶν (1), φροντίσας-τό (1), φρονεῖ-τῶν (1), ἐφρόνεον-τά (1), φρονοῦντας-τάς (1), ἐφρόνεον-τόν (1), φρονέοντα-τήν (1), ἐφρόνουν-τό (1), φρονέων-τήν (1), φρονοῦσι-τά (1), φρονοῦσιν-τοῖς (1), φρονοῦσιν-τούς (1), ἐφρόντιζε-τούς (1), φρονεῖν-τήν (1), φρονοῦσαι-τά (1), φρονοῦντας-τόν (1), φρονοῦσι-τοῖς (1), φροντίζοντας-τήν (1), φρονεῖν-τό (1), φρονέωσι-τά (1), ἐφρόντιζον-οἱ (1), φροντίδι-ὁ (1), φρονέων-ὁ (1), φρονεῖ-ὁ (1), φρονήσαντας-τούς (1), φρονούμενα-ὁ (1), φρονηθήσεται-τοῖς (1), φρονέειν-τούς (1), φρονέων-τάς (1), φρονεῖται-τῶν (1), φροντίδι-οἱ (1), φρονέοντες-τούς (1), φροντίζειν-τό (1), φρονεουσέων-τά (1), φρονεόντων-τήν (1), ἐφρόνει-τόν (1), φροντίζειν-ἡ (1), φρονοῦσαι-οἱ (1), φρονέων-τῶν (1), φρονήσαντες-τά (1), φρονέων-τά (1), φρονέεις-τήν (1), φρονέοιεν-τήν (1), φρονέοντες-οἱ (1), ἐφρόνει-οἱ (1), φροντίζει-τάς (1), φρονεῖ-ἡ (1), ἐφρόνεε-τήν (1), φρονεουσέων-τήν (1), φρονοῦσιν-τά (1), φρονοῦσιν-οἱ (1), φρονοῦντες-τοῖς (1), φρονεῖ-τούς (1), φρονήσαντες-οἱ (1), φροντίζει-τῶν (1), ἐφρόνεε-τῶν (1), φροντιζόντων-τοῖς (1), φροντίζοντας-τῆς (1), ἐφρόντιζε-τῆς (1)"
δέ,φρον,189.04576459527,56,23,33,10,1,3,8,1,0,5,12,5,3,8,"φρονοῦντες-δέ (3), φροντίδι-δέ (3), ἐφρόντιζον-δέ (3), ἐφρόντιζε-δέ (3), φρονοῦντας-δέ (2), ἐφρόνεον-δέ (2), φροντίζων-δέ (2), φρονήσαντες-δέ (2), φρονοῦντας-δ' (2), φροντίζει-δέ (2), ἐφρόνουν-δ' (2), φροντίζοντας-δέ (2), φρονέωσι-δέ (1), φρονεουσέων-δέ (1), φρονεῖν-δέ (1), φρονεῖ-δέ (1), φρονῆτε-δέ (1), φροντίδα-δέ (1), φροντίζειν-δέ (1), φρονούντων-δ' (1), φρονεῖσθαι-δ' (1), φροντίδος-δέ (1), φρονεόντων-δέ (1), φρονέοι-δέ (1), φρονέοντες-δέ (1), φρονέοντας-δέ (1), φρονούμενα-δέ (1), φρονοῦσι-δέ (1), φροντιζόντων-δέ (1), φρονήσας-δέ (1), φρονούντων-δέ (1), φρονοῦσιν-δ' (1), φρονοῦσαι-δέ (1), φροντίς-δέ (1), φρονήσηι-δέ (1), ἐφρόνεε-δέ (1), φρονοῦμεν-δ' (1), φρονοῦντες-δ' (1), φρονέουσι-δέ (1), ἐφρόνουν-δέ (1)"
εἰμί,φρον,161.296681258827,41,17,24,3,5,2,3,4,0,5,7,5,5,2,"φρονεῖται-ὄν (5), φρονούμενα-ἔστιν (5), φρονεῖσθαι-ὄντι (3), φροντίδι-ἦσαν (2), φρονουμένοις-εἶναι (2), φρονούμενα-ὄν (1), φρονεῖσθαι-ἐστί (1), φρονούμενα-ἐστιν (1), φρονεῖται-ἔστιν (1), φρονῶν-ὤν (1), φρονεῖσθαι-οὖσι (1), φρονεῖν-εἶναι (1), φρονοῦντα-εἶναι (1), φρονούμενα-ἐστί (1), φρονέουσα-ἐστι (1), φρονεῖται-ὄντων (1), φροντίσας-ἐόν (1), φρονῆι-ἐστι (1), φρονοῦντας-ἦσαν (1), ἐφρόντιζε-ἦν (1), φροντίζειν-ἦν (1), φρονεῖν-εἰσί (1), φροντίζειν-εἰσί (1), φρονουμένοις-οὖσι (1), φρονήσηι-ἐστίν (1), φρονοῦντες-ἦσαν (1), φρονούντων-ἐστί (1), φρονέοντες-ἐστι (1), φροντίζω-ᾖ (1)"
καί,φρον,155.250629592687,56,23,33,7,9,4,2,1,0,10,3,3,9,8,"φρονεῖται-καί (5), φρονοῦντας-καί (4), φρονούμενα-καί (4), φρονοῦντες-καί (4), φρονεῖν-καί (3), φρονεόντων-καί (3), φρονέω-καί (2), ἐφρόντιζον-καί (2), φρονεῖσθαι-καί (2), φροντίζειν-καί (2), φρονέων-καί (2), ἐφρόνουν-καί (2), φρονῶν-καί (2), φρονῆτε-καί (1), φρονήσηι-καί (1), φροντίσας-καί (1), φροντίζουσα-καί (1), φροντίζω-καί (1), φροντίδος-καί (1), φρονήσαντες-καί (1), φρονοῦντα-καί (1), φρονήσωσιν-καί (1), φρονοῦσαι-καί (1), φροντίζων-καί (1), φρονῆσαι-καί (1), φροντίδι-καί (1), φρονήσας-καί (1), φρονέειν-καί (1), ἐφρόνεον-καί (1), φροντίδας-καί (1), ἐφρόντισεν-καί (1), φρονοῦσι-καί (1)"
ὁ,φρόνημα,138.457119157538,31,17,14,3,2,2,6,4,0,5,5,0,2,2,"φρόνημα-τό (8), φρονήματα-τά (4), φρόνημα-τήν (2), φρόνημα-τῶν (2), φρονημάτων-τῶν (2), φρονήματι-τά (1), φρονήματι-αἱ (1), φρονήματι-τάς (1), φρονήματι-τῆς (1), φρονήματι-ἡ (1), φρονήματι-τοῖς (1), φρονήματι-τήν (1), φρόνημα-ἡ (1), φρονήματα-τῶν (1), φρονήματι-τόν (1), φρονήματος-τούς (1), φρονημάτων-οἱ (1), φρόνημα-ὁ (1)"
μέγας,φρον,119.768395639956,19,16,3,0,0,2,2,12,0,1,0,1,0,1,"φρονούντων-μέγα (2), φρονοῦντες-μέγα (2), φρονήσας-μέγα (2), ἐφρόνουν-μέγα (2), φρονοῦντας-μεγίστας (1), φρονοῦντα-μέγα (1), ἐφρόνουν-μεῖζον (1), φρονοῦντας-μέγιστον (1), φρονεῖν-μέγα (1), φρονεῖ-μεῖζον (1), φρονούντων-μεγάλοις (1), φρονοῦντας-μέγα (1), φρονῶ-μέγα (1), φρονέειν-μέγα (1), φροντίδα-μεγάλους (1)"
οὗτος,φρον,98.8342667091638,29,15,14,2,4,2,2,5,0,2,2,3,5,2,"ἐφρόντιζε-ταῦτα (2), ἐφρόντιζον-ταῦτα (1), φροντίζει-οὗτοι (1), φρονῶν-τούτων (1), ἐφρόνουν-τούτου (1), φρονέοντες-τούτους (1), φρονεῖσθαι-τοῦτο (1), φρονεῖται-τοῦτο (1), φροντίς-τούτου (1), φρονοῦσι-ταῦτα (1), ἐφρόντιζον-τοῦτον (1), φρονήσωσιν-τούτων (1), φρονέοντα-αὕτη (1), φρονοῦντας-οὗτοι (1), φρονήσας-τούτῳ (1), φρονοῦντας-τούτων (1), φροντίδας-τοῦτο (1), φρονῆτε-τοῦτο (1), φρονοῦντες-ταῦτα (1), ἐφρόνεον-ταῦτα (1), ἐφρόντισεν-τούτων (1), ἐφρόνεον-οὗτοι (1), φρονεῖ-τοῦτο (1), φροντίδι-ταῦτα (1), φρονέοντα-ταῦτα (1), φρονέοιεν-οὗτοι (1), φροντίσαι-οὗτος (1), φρονέων-ταῦτα (1)"
οὐ,φρον,86.621690614149,22,16,6,4,5,3,1,3,0,3,0,1,2,0,"φρονεῖται-οὐκ (4), φρονούμενα-οὐκ (4), φρονοῦντας-οὐ (2), ἐφρόντιζε-οὐ (1), φρονέουσι-οὐκ (1), φρονήσαντες-οὐ (1), φρονεῖται-οὐ (1), ἐφρόντιζον-οὐχ (1), φρονηθήσεται-οὐ (1), ἐφρόντισεν-οὐκ (1), φροντίζετε-οὐκ (1), φρονέειν-οὐ (1), φρονούμενα-οὐ (1), φρονῶν-οὐ (1), φρονῶ-οὐκ (1)"
εἰ,φρον,82.9228509105742,17,9,8,1,1,3,3,1,0,2,3,1,1,1,"φρονουμένοις-εἰ (2), φρονεῖσθαι-εἰ (2), φρονούμενα-εἰ (2), φρονέετε-εἴ (1), φρονεῖται-εἰ (1), φρονέουσι-εἰ (1), φρονεῖ-εἰ (1), φρονέοιεν-εἰ (1), φρονήσηι-εἰ (1), φρονέεις-εἴ (1), φρονήσαντες-εἴ (1), φρονέοντα-εἰ (1), φρονέοντες-εἴ (1), φροντίδα-εἴ (1)"
μή,φρον,80.8257910311222,17,9,8,1,1,2,2,3,0,3,3,1,1,0,"φρονεῖσθαι-μή (4), φρονοῦντες-μή (2), φρονοῦντα-μή (1), φρονηθήσεται-μή (1), φρονουμένοις-μή (1), φρονεῖται-μή (1), φρονούμενα-μή (1), φρονέοντας-μή (1), φρονέωσι-μή (1), φροντίζειν-μή (1), φρονῆσαι-μή (1), ἐφρόντιζον-μή (1), φροντίζω-μή (1)"
