Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,οσι,,,,,,,,,,,,,,,,
Instances,66,,,,,,,,,,,,,,,,
Files,8,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,οσι,349.435183748603,63,31,32,4,5,6,1,15,0,13,8,4,2,5,"ὅσιον-καί (16), ὅσια-καί (14), ὁσίως-καί (9), ὁσιώτερον-καί (6), ὁσίων-καί (6), ὁσιώτατα-καί (3), ὁσιώτερα-καί (3), ὅσιος-καί (2), ὁσίη-καί (1), ὡσιώθησαν-καί (1), ὁσίοις-καί (1), ὅσιοι-καί (1)"
δικαι,οσι,207.73630303517,21,12,9,0,0,1,10,1,0,0,6,2,0,1,"ὅσια-δίκαια (6), ὅσιον-δίκαιον (4), ὁσίως-δικαίως (4), ὁσιώτερα-δικαιότερα (1), ὁσιώτερον-δικαίως (1), ὁσιώτερον-δικαιότερον (1), ὁσίως-δίκαιον (1), ὅσιοι-δικαίους (1), ὁσιώτατα-δικαιότατα (1), ὅσιοι-δικαίωι (1)"
ὁ,οσι,123.187622128054,45,22,23,3,5,6,5,3,0,2,6,5,6,4,"ὅσια-τά (5), ὅσιον-ὁ (4), ὁσίων-τῶν (3), ὁσίως-τῆς (2), ὅσιον-τῶν (2), ὅσια-τούς (2), ὅσια-τῶν (2), ὁσίως-τούς (2), ὁσίως-τά (2), ὅσιοι-τούς (2), ὅσιον-τόν (2), ὅσιοι-τά (1), ὁσίοις-τοῖς (1), ὅσιοι-τῆς (1), ὅσιον-τά (1), ὁσιώτερον-τό (1), ὁσίως-τήν (1), ὡσιώθησαν-αἱ (1), ὅσιον-αἱ (1), ὅσιον-τό (1), ὁσίως-τόν (1), ὅσιον-τῆς (1), ὅσιος-ὁ (1), ὁσίων-τά (1), ὁσίως-τό (1), ὅσια-τόν (1), ὁσίη-αἱ (1), ὁσίου-τό (1)"
οὐ,οσι,98.8484403770417,19,17,2,2,1,1,1,12,0,0,1,0,0,1,"ὅσιον-οὐκ (8), ὅσια-οὐκ (3), ὅσιον-οὐ (1), ὁσίως-οὐκ (1), ὅσιοι-οὐ (1), ὁσίου-οὐκ (1), ὅσιον-οὐχ (1), ὁσίως-οὐχ (1), ὁσίου-οὐ (1), ὅσιοι-οὐχ (1)"
εἰμί,οσι,85.4995109327137,21,6,15,1,2,1,2,0,0,8,3,1,1,2,"ὅσιον-εἶναι (7), ὅσιον-ἦν (3), ὅσιον-ἐστιν (2), ὁσίη-ἐστί (2), ὅσια-εἶναι (2), ὁσίως-ὄντος (1), ὅσιοι-ὄντες (1), ὅσιον-ὄν (1), ὅσιον-ὤν (1), ὁσιώτερον-εἴη (1)"
γάρ,οσι,74.4736868441105,15,8,7,0,3,2,1,2,0,0,3,1,1,2,"ὅσια-γάρ (5), ὅσιον-γάρ (2), ὁσιώτατα-γάρ (2), ὁσίως-γάρ (2), ὁσίου-γάρ (2), ὁσίη-γάρ (1), ὁσιώτερον-γάρ (1)"
ἄν,οσι,73.0237614139915,13,7,6,0,2,4,1,0,0,4,1,1,0,0,"ὅσια-ἄν (4), ὁσιώτερον-ἄν (3), ὁσιώτατα-ἄν (2), ὁσίως-ἄν (2), ὁσιώτερα-ἄν (1), ὁσίου-ἄν (1)"
οὔτε,οσι,60.1151129622012,9,4,5,0,1,1,1,1,0,2,0,1,1,1,"ὅσια-οὔτε (4), ὅσιον-οὔτε (2), ὁσίου-οὔτε (2), ὁσίως-οὔτε (1)"
ἐγώ,οσι,55.9296402093023,11,7,4,3,0,3,0,1,0,0,0,0,1,3,"ὅσια-μοι (2), ὅσια-ἔγωγε (2), ὁσιώτερον-ἡμεῖς (2), ὁσίως-με (1), ὅσια-ἐγώ (1), ὁσίως-ἡμεῖς (1), ὅσιον-μοί (1), ὅσιον-μοι (1)"
τίς,οσι,53.0831551067531,13,8,5,3,1,1,3,0,0,1,0,1,3,0,"ὅσιον-τοῦ (4), ὁσιώτερον-τοῦ (2), ὁσίου-τοῦ (2), ὅσια-τοῦ (1), ὅσιοι-τοῦ (1), ὅσια-τοῖσι (1), ὅσιον-τοῖσι (1), ὁσίη-τοῖσι (1)"
θεός,οσι,52.0662939827889,7,3,4,0,0,2,1,0,0,0,0,2,1,1,"ὁσίως-θεούς (1), ὁσίως-θεόν (1), ὁσιώτερον-θεῶν (1), ὅσιοι-θεούς (1), ὁσιώτερα-θεῷ (1), ὅσια-θεόν (1), ὅσιον-θεός (1)"
μή,οσι,51.6801144294441,10,2,8,0,1,1,0,0,0,0,2,2,3,1,"ὁσιώτερον-μή (3), ὅσιον-μή (2), ὅσια-μή (2), ὅσιοι-μή (1), ὁσίως-μή (1), ὁσίων-μή (1)"
ἀπολύω,οσι,51.5269812438637,5,2,3,0,1,0,0,1,0,1,0,2,0,0,"ὁσίως-ἀπολύετε (2), ὁσίως-ἀπολύοιτε (1), ὁσιώτερον-ἀπολυομένου (1), ὁσιώτερον-ἀπολῦσαι (1)"
πρός,οσι,43.9615366440266,9,3,6,1,1,1,0,0,0,1,2,1,0,2,"ὅσιοι-πρός (3), ὅσιον-πρός (2), ὁσιώτερον-πρός (2), ὁσίως-πρός (1), ὅσια-πρός (1)"
