Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,70,,,,,,,,,,,,,,,,
Files,6,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σοφ,156.535038631409,52,27,25,8,2,7,7,3,0,0,6,8,7,4,"σοφίας-τό (4), σοφώτερος-ὁ (3), σοφώτατος-τήν (3), σοφωτάτους-τούς (3), σοφώτατος-ὁ (2), σοφήν-τήν (2), σοφώτεροι-τῶν (2), σοφίας-οἱ (2), σοφώτατα-τῶν (2), σοφίῃ-ὁ (2), σοφώτατος-τῶν (1), σοφώτερος-τῶν (1), σοφώτατον-τήν (1), σοφοί-τούς (1), σοφοί-τό (1), σοφώτατον-τούς (1), σοφώτερος-τοῖς (1), σοφωτάτῳ-ὁ (1), σοφίην-τά (1), σοφούς-τούς (1), σοφίῃ-τόν (1), σοφίαι-τοῖς (1), σοφοί-τά (1), σοφωτέρων-τῶν (1), σοφίης-τῆς (1), σοφόν-ἡ (1), σοφόν-τό (1), σοφίαν-τά (1), σοφίας-ὁ (1), σοφίῃ-τά (1), σοφίην-οἱ (1), σοφίαι-τῶν (1), σοφώτερον-τόν (1), σοφωτάτους-οἱ (1), σοφός-τῆς (1), σοφός-ὁ (1), σοφώτερον-τήν (1)"
καί,σοφ,151.159726860002,41,22,19,2,8,3,1,8,0,8,4,0,2,5,"σοφίης-καί (6), σοφίῃ-καί (6), σοφίας-καί (5), σοφός-καί (4), σοφίαι-καί (4), σοφίην-καί (3), σοφίαν-καί (3), σοφωτάτους-καί (2), σοφοῦ-καί (1), σοφή-καί (1), σοφῷ-καί (1), σοφήν-καί (1), σοφώτατος-καί (1), σοφόν-καί (1), σοφώτατον-καί (1), σοφώτερος-καί (1)"
εἰμί,σοφ,143.573399983346,30,17,13,1,1,4,3,8,0,4,2,4,1,2,"σοφός-ἦν (4), σοφός-ἐών (3), σοφόν-εἶναι (3), σοφός-εἶναι (3), σοφός-εἰμι (2), σοφώτατος-εἶναι (2), σοφίην-εἶναι (2), σοφώτερα-εἴη (1), σοφοί-εἰσι (1), σοφίην-ἔν (1), σοφίας-ὄντας (1), σοφή-ἐστι (1), σοφίης-ἐστι (1), σοφήν-εἶναι (1), σοφίῃ-ἐούσης (1), σοφή-ἐοῦσα (1), σοφωτάτους-εἶναι (1), σοφωτάτους-ὄντας (1)"
δέ,σοφ,135.731019701809,35,18,17,5,4,1,4,4,0,4,5,0,5,3,"σοφίῃ-δέ (4), σοφίην-δέ (4), σοφία-δέ (4), σοφός-δέ (4), σοφίας-δέ (3), σοφός-δ' (2), σοφίης-δέ (2), σοφόν-δέ (2), σοφωτάτους-δέ (2), σοφωτάτους-δ' (1), σοφωτάτην-δέ (1), σοφίαν-δέ (1), σοφώτερος-δ' (1), σοφώτατον-δέ (1), σοφοί-δέ (1), σοφώτατον-δ' (1), σοφώτερον-δέ (1)"
ἀπατάω,σοφ,49.2926364019513,4,3,1,0,1,0,0,2,0,0,0,1,0,0,"σοφώτερος-ἀπατηθείς (2), σοφώτερος-ἀπατηθέντος (1), σοφώτερος-ἀπατήσαντος (1)"
ἀνήρ,σοφ,48.6799641363323,9,7,2,2,0,2,0,3,0,1,0,1,0,0,"σοφός-ἀνήρ (3), σοφώτατος-ἀνήρ (2), σοφόν-ἄνδρα (1), σοφῷ-ἀνδρί (1), σοφίης-ἄνδρα (1), σοφούς-ἄνδρας (1)"
τε,σοφ,48.5970895402133,13,5,8,2,0,0,2,1,0,1,3,0,2,2,"σοφώτεροι-τε (2), σοφός-τε (2), σοφίῃ-τε (2), σοφίης-τε (2), σοφόν-τε (1), σοφίαν-τε (1), σοφίην-τε (1), σοφῷ-τε (1), σοφή-τε (1)"
ἁμαρτάνω,σοφ,40.0127874072641,4,2,2,1,0,0,1,0,0,0,1,0,0,1,σοφός-ἥμαρτον (4)
γάρ,σοφ,39.8112848047167,10,4,6,1,1,0,1,1,0,1,3,2,0,0,"σοφίῃ-γάρ (2), σοφή-γάρ (1), σοφώτερα-γάρ (1), σοφώτερος-γάρ (1), σοφωτάτους-γάρ (1), σοφός-γάρ (1), σοφίης-γάρ (1), σοφόν-γάρ (1), σοφώτεροι-γάρ (1)"
οὗτος,σοφ,35.7169829048216,12,5,7,0,3,2,0,0,0,0,0,5,0,2,"σοφίῃ-τοῦτον (1), σοφίην-τούτου (1), σοφώτερος-τούτωι (1), σοφωτάτην-τούτων (1), σοφόν-τοῦτο (1), σοφοῦ-οὗτοι (1), σοφίην-τούτων (1), σοφίῃ-τοῦτο (1), σοφωτάτους-ταῦτα (1), σοφίην-τούτοισι (1), σοφίῃ-ταῦτα (1), σοφός-ταύτης (1)"
