Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,95,,,,,,,,,,,,,,,,
Files,7,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σωφρ,400.912523206323,94,42,52,6,9,12,8,7,0,11,5,12,10,14,"σῶφρον-τό (4), σώφροσι-τῶν (3), σωφρονέστεροι-τῶν (2), σωφρονεῖν-οἱ (2), σωφρονῆτε-τήν (2), σωφρόνως-οἱ (2), σωφρονεστάτην-τήν (2), σωφρονεστέρους-τούς (2), σωφροσύνην-τόν (2), ἐσωφρόνουν-τούς (2), σωφρονοῦμεν-ὁ (2), σώφροσι-τοῖς (2), σωφρονεῖν-ὁ (2), σωφρονεῖν-τούς (2), ἐσωφρόνουν-τοῖς (1), σωφρονέστερον-τό (1), σωφρονίζει-τοῖς (1), σωφρονεστάτην-τῶν (1), σώφρονα-τόν (1), σωφρονέστατος-τάς (1), σωφρονίζειν-ἡ (1), ἐσωφρόνουν-τήν (1), σωφρονῆτε-τούς (1), σωφρονίσαι-τοῖς (1), σωφροσύνῃ-τό (1), σωφρονοῦσιν-τούς (1), σωφροσύνην-τήν (1), σωφρονίσαι-τό (1), σωφρονισθῶμεν-τάς (1), σωφρονεῖν-τό (1), σωφρόνων-τῶν (1), σωφρονεῖν-τῆς (1), σῶφρον-τήν (1), σωφρονίσαι-τήν (1), σωφρονεστέρους-τῶν (1), σώφρονες-οἱ (1), σωφρονιζούσας-τό (1), σωφρονῶμεν-τῆς (1), σωφρονοῦμεν-τῆς (1), σωφρονισθῶμεν-τῆς (1), σωφροσύνης-τό (1), σωφρονίσαι-τῆς (1), σωφρονέστερον-ὁ (1), σώφρονες-τούς (1), σωφρονίζει-τῶν (1), σωφρονοῦμεν-ἡ (1), σωφροσύνη-ἡ (1), σωφρονοῦντες-ο (1), σωφροσύνην-αἱ (1), σωφροσύνη-τό (1), σῶφρον-τῶν (1), σωφρονοῦσι-τοῖς (1), σωφρονέστατοι-οἱ (1), σώφρονα-τήν (1), σωφρονέστερον-τῆς (1), ἐσωφρόνεον-τό (1), σωφροσύνην-τῶν (1), σωφρονέστερον-τῶν (1), σωφρονίζειν-τάς (1), σωφρονῆτε-τά (1), ἐσωφρόνησε-τό (1), σωφρονεστάτην-τόν (1), σωφρονῶμεν-τούς (1), σωφρονοῦμεν-τά (1), σωφρονοῦμεν-τῶν (1), σωφρονέστερον-τάς (1), σωφρονέστεροι-οἱ (1), σωφρόνως-ὁ (1), σωφροσύνῃ-τῶν (1), σωφροσύνην-ἡ (1), σώφρονος-τά (1), σῶφρον-ἡ (1), σωφρονεῖν-τά (1), σωφροσύνῃ-τήν (1), σωφρονιζούσας-τάς (1), σώφροσι-τήν (1), ἐσωφρόνησαν-ἡ (1)"
καί,σωφρ,162.433383150026,49,29,20,4,4,6,4,11,0,9,2,4,2,3,"σωφρονέστερον-καί (4), σωφρονεῖν-καί (4), σωφροσύνην-καί (3), σωφρονέστεροι-καί (3), ἐσωφρόνουν-καί (3), σώφρονα-καί (2), σωφρόνων-καί (2), σωφρονίσαι-καί (2), σωφρονῶμεν-καί (2), ἐσωφρόνησαν-καί (2), σώφροσι-καί (2), σωφρονοῖεν-καί (2), σωφρονῆτε-καί (2), σωφρόνως-καί (2), σώφρων-καί (2), σωφρονέειν-καί (2), σωφροσύνη-καί (1), σώφρονες-καί (1), σωφρονεστέρους-καί (1), σώφρονι-καί (1), ἐσωφρόνησε-καί (1), σώφρονας-καί (1), σωφρονεστάτῳ-καί (1), σωφρονέστατος-καί (1), σώφρονος-καί (1), σῶφρον-καί (1)"
εἰ,σωφρ,103.514493480325,18,13,5,0,3,0,1,9,0,0,0,1,1,3,"σωφρονοῦμεν-εἰ (5), σωφρόνων-εἰ (3), σωφρονέστερον-εἰ (2), ἐσωφρόνουν-εἰ (2), σωφρονεῖν-εἰ (2), σωφρόνως-εἰ (1), σωφρονοῖεν-εἰ (1), σώφρων-εἰ (1), σωφρονοῦσι-εἰ (1)"
εἰμί,σωφρ,102.450923334807,27,14,13,3,0,1,8,2,0,5,4,4,0,0,"σωφρόνων-εἶναι (2), σωφρονεστάτην-οὖσαν (1), σωφρόνων-ἔστι (1), σωφρόνων-ἐστί (1), σωφρονέστεροι-ἦσαν (1), σωφρόνως-εἶναι (1), σωφρονεῖν-ἦν (1), σωφρονέστατος-εἴη (1), σωφρονίσαι-ἦν (1), σωφρόνων-ἐστιν (1), σώφρονες-ἦσαν (1), σωφρόνων-ἔσεσθαι (1), σωφρονεστάτην-εἶναι (1), σώφρονα-εἶναι (1), σώφρων-εἶναι (1), σῶφρον-εἶναι (1), σωφρονῶμεν-ἐσμέν (1), σώφρονα-ἐστι (1), σωφρονέστερον-ἐστιν (1), σωφρονοῦμεν-ἔσται (1), σωφροσύνη-εἶναι (1), σώφρων-ἐστίν (1), σωφρονέστεροι-ὄντες (1), σωφρονέστερον-εἴη (1), σωφρονεστάτῳ-ἐστι (1), σωφρόνως-εἰσι (1)"
δέ,σωφρ,93.040489770472,32,12,20,1,4,2,2,3,0,4,6,4,3,3,"σωφρόνως-δέ (4), σωφρονοῦντες-δέ (2), σωφρονεῖν-δέ (2), σωφρόνων-δέ (2), σῶφρον-δέ (2), σῶφρον-δ' (2), σωφρονέστατοι-δέ (1), σωφροσύνης-δέ (1), σωφρονοῦσιν-δ' (1), σωφρονισθείην-δέ (1), σώφροσι-δ' (1), σωφροσύνην-δέ (1), σωφρονέειν-δέ (1), σωφρονεῖν-δ' (1), σώφρονα-δέ (1), σωφρονισθῶμεν-δέ (1), σωφρονέστατος-δέ (1), σωφρονέστεροι-δέ (1), σωφροσύνην-δ' (1), ἐσωφρόνησε-δέ (1), σωφρονίζει-δέ (1), σωφρονεστάτῳ-δέ (1), σωφρονῆτε-δέ (1), σωφρονέστερον-δέ (1)"
μέν,σωφρ,91.7380950246006,23,12,11,1,1,3,5,2,0,3,0,4,2,2,"σωφρονεῖν-μέν (3), σωφροσύνην-μέν (2), σωφρόνως-μέν (2), σωφρόνων-μέν (2), σωφρονέστατοι-μέν (1), σώφρονες-μέν (1), σῶφρον-μέν (1), σωφροσύνῃ-μέν (1), σωφρονεστέρους-μέν (1), σώφρονος-μέν (1), σωφρονῆτε-μέν (1), ἐσωφρόνουν-μέν (1), σωφρονέστεροι-μέν (1), σωφροσύνης-μέν (1), σωφρονοῦντες-μέν (1), σωφρονεστάτῳ-μέν (1), ἐσωφρόνεον-μέν (1), σωφρονισθῶμεν-μέν (1)"
ἤν,σωφρ,65.7475784737617,9,9,0,0,0,1,4,4,0,0,0,0,0,0,"σωφρονῶμεν-ἤν (4), σωφρονῆτε-ἤν (3), σωφρονίζειν-ἤν (1), σωφρόνως-ἤν (1)"
οὐ,σωφρ,64.212176989764,16,5,11,1,0,1,1,2,0,4,3,2,1,1,"ἐσωφρόνουν-οὐκ (2), σωφρονῶμεν-οὐ (2), σωφρόνως-οὐκ (1), σωφρόνως-οὔκ (1), ἐσωφρόνεον-οὐκ (1), σωφρόνως-οὐ (1), σωφρονέστερον-οὐχ (1), σώφρων-οὐκ (1), σωφρονιζούσας-οὐχ (1), σωφρονέστερον-οὐ (1), σῶφρον-οὐ (1), σωφρονίσαι-οὐκ (1), σωφρονῆτε-οὐ (1), σωφρόνως-οὐχ (1)"
ἄν,σωφρ,49.2484773714095,11,4,7,1,1,1,1,0,0,1,3,1,1,1,"σωφρονεῖν-ἄν (2), ἐσωφρόνουν-ἄν (2), σωφρονῆτε-ἄν (1), σωφρονισθείην-ἄν (1), σωφροσύνην-ἄν (1), σωφρονέστατος-ἄν (1), σωφρονέστερον-ἄν (1), σωφρονέστατοι-ἄν (1), σωφρόνως-ἄν (1)"
οὖν,σωφρ,47.7255761250854,9,8,1,1,0,0,1,6,0,0,0,1,0,0,"σωφρονῆτε-οὖν (5), σώφρονα-ὦν (1), σωφρονῶμεν-οὖν (1), σωφρονοῖεν-οὖν (1), σωφρονίσαι-οὖν (1)"
