Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,6,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
τε,ἠνορέα,62.3206019010395,8,5,3,0,1,0,3,1,0,2,0,1,0,0,"ἠνορέῃ-τε (5), ἠνορέην-τε (1), ἠνορέῃ-τ' (1), ἠνορέηφι-τε (1)"
κάρτεϊ,ἠνορέα,35.6998414006084,2,0,2,0,0,0,0,0,0,0,0,2,0,0,ἠνορέῃ-κάρτεϊ (2)
ἔσχατος,ἠνορέα,34.7918278891593,2,2,0,0,2,0,0,0,0,0,0,0,0,0,ἠνορέῃ-ἔσχατα (2)
πίσυνος,ἠνορέα,34.054263507016,2,0,2,0,0,0,0,0,0,2,0,0,0,0,ἠνορέῃ-πίσυνοι (2)
καί,ἠνορέα,31.0394668895751,5,2,3,0,0,0,0,2,0,0,2,0,0,1,"ἠνορέῃ-καί (3), ἠνορέηφι-καί (1), ἠνορέην-καί (1)"
ἐΐσας,ἠνορέα,30.3737511457875,2,2,0,0,0,0,2,0,0,0,0,0,0,0,ἠνορέῃ-ἐΐσας (2)
χειρόω,ἠνορέα,26.4488800335675,2,0,2,0,0,0,0,0,0,0,0,0,2,0,ἠνορέῃ-χειρῶν (2)
ἐρύω,ἠνορέα,21.7683185953647,2,2,0,0,0,0,0,2,0,0,0,0,0,0,ἠνορέῃ-εἴρυσαν (2)
κάλλός,ἠνορέα,21.013579081744,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἠνορέην-κάλλός (1)
πλήθεΐ,ἠνορέα,21.013579081744,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἠνορέῃ-πλήθεΐ (1)
πείθω,ἠνορέα,19.8033800469711,2,1,1,0,0,0,0,1,0,1,0,0,0,0,"ἠνορέῃ-πεποιθότας (1), ἠνορέηφι-πεποιθώς (1)"
σθένεΐ,ἠνορέα,18.2410401562229,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἠνορέῃ-σθένεΐ (1)
κάρτεΐ,ἠνορέα,18.2410401562229,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἠνορέῃ-κάρτεΐ (1)
