Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,16,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
οὐδέ,δικαι,94.7243782375008,11,9,2,0,0,0,0,9,0,1,1,0,0,0,"δίκαιοι-οὐδέ (8), δίκαιον-οὐδέ (2), δικαίως-οὐδέ (1)"
φιλόξενος,δικαι,76.595995567739,4,0,4,0,0,0,0,0,0,0,3,1,0,0,δίκαιοι-φιλόξεινοι (4)
ἄγριος,δικαι,58.0473338402808,4,4,0,0,0,0,4,0,0,0,0,0,0,0,δίκαιοι-ἄγριοι (4)
οὐ,δικαι,57.0592510029674,8,6,2,3,2,0,1,0,0,0,0,0,0,2,"δίκαιον-οὐ (2), δίκαιοι-οὔ (2), δικαιότερος-οὐ (1), δίκαιοι-οὐκ (1), δικαιοτάτων-οὐ (1), δικαίως-οὐκ (1)"
καί,δικαι,51.9437048202381,10,4,6,0,0,4,0,0,0,1,0,3,1,1,"δίκαιοι-καί (9), δικαιότερος-καί (1)"
ὑβριστής,δικαι,50.4968375982717,3,3,0,3,0,0,0,0,0,0,0,0,0,0,δίκαιοι-ὑβρισταί (3)
νοήμων,δικαι,47.6664997609332,3,3,0,0,0,0,3,0,0,0,0,0,0,0,δίκαιοι-νοήμονες (3)
σφεῖς,δικαι,47.0192694719881,5,0,5,0,0,0,0,0,0,0,0,0,4,1,"δίκαιοι-σφιν (4), δίκαιοι-σφεων (1)"
ρρρανται,δικαι,38.0113634159788,2,2,0,0,0,0,0,2,0,0,0,0,0,0,δικαίῳ-ῥηθέντι (2)
τε,δικαι,32.9684071959928,7,6,1,0,4,1,0,1,0,0,1,0,0,0,"δίκαιοι-τε (5), δικαίως-τ' (1), δικαιοτάτων-τε (1)"
τις,δικαι,32.1693616760895,5,4,1,0,0,4,0,0,0,0,1,0,0,0,"δίκαιοι-τι (3), δικαίῳ-τις (2)"
νόος,δικαι,30.1704668691382,3,0,3,0,0,0,0,0,0,0,0,0,0,3,δίκαιοι-νόος (3)
ἀτέμβω,δικαι,29.636286363937,2,2,0,0,0,0,2,0,0,0,0,0,0,0,δίκαιον-ἀτέμβειν (2)
ἀντίβιος,δικαι,28.4776279022917,2,0,2,0,0,0,0,0,0,2,0,0,0,0,δικαίῳ-ἀντιβίοις' (2)
διδάσκω,δικαι,27.5815534815192,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"δικαιότατος-ἐδίδαξε (1), δικαιότατος-δεδιδάχθαι (1)"
καθάπτω,δικαι,27.5815534815192,2,0,2,0,0,0,0,0,0,0,0,2,0,0,δικαίῳ-καθαπτόμενος (2)
ξενόω,δικαι,23.7560387346894,2,0,2,0,0,0,0,0,0,2,0,0,0,0,δίκαιον-ξείνους (2)
