Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,293,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,1531.19557481119,378,212,166,45,31,36,31,69,0,22,48,34,28,34,"δίκαιον-τό (30), δικαίως-τήν (27), δικαίων-τῶν (26), δικαιοσύνην-τήν (26), δίκαιον-τούς (15), δικαίως-τούς (15), δικαίως-τῶν (13), δικαίως-τοῖς (13), δίκαιον-τῶν (12), δίκαια-τά (11), δικαίως-τῆς (10), δίκαιον-τοῖς (9), δικαίως-τόν (7), δικαιοσύνην-τούς (6), δικαίως-τάς (6), δίκαια-τῶν (6), δικαίων-τούς (5), δικαίαν-τήν (5), δίκαιον-τάς (5), δικαιότερον-τῶν (4), δικαιοσύνην-τῆς (4), δίκαιον-τῆς (3), δικαιοσύνης-τῶν (3), δίκαιοι-τῶν (3), δικαιοσύνης-τῆς (3), δικαίως-οἱ (3), δικαίως-τά (3), δικαίου-τούς (3), δίκαια-τήν (3), δικαιοτάτους-τούς (3), δικαιοσύνης-τήν (3), δικαίων-τοῖς (3), δικαιοτάτους-τῶν (3), δίκαιοι-τά (2), δικαιοσύνην-ταῖς (2), δικαιότερον-τόν (2), δικαιότερον-τοῖς (2), δικαίως-ταῖς (2), δίκαιον-οἱ (2), δικαίως-ὁ (2), δικαιότερον-τάς (2), δικαίως-τό (2), δικαιότερον-τήν (2), δίκαια-τούς (2), δικαιοτέραν-τῆς (2), δικαιοτάτην-τήν (2), δικαιότατον-τούς (2), δικαιοσύνης-τούς (2), δικαιοτέραις-τόν (2), δικαίους-τούς (2), δικαιοσύνῃ-ταῖς (2), δικαιοτάτην-τῶν (1), δικαιοσύνης-οἱ (1), δικαιοσύνην-τῶν (1), δικαίαν-τούς (1), δικαιότατα-τῶν (1), δικαιοσύνης-τοῖς (1), δικαίου-τήν (1), δικαιοσύνῃ-τό (1), δικαιότερον-τό (1), δίκαιον-αἱ (1), δικαιοσύνῃ-τῆς (1), δικαιοσύνην-οἱ (1), δικαιοσύνη-τά (1), δικαιοσύνην-τόν (1), δικαίων-τήν (1), δίκαιον-τήν (1), δικαιοσύνην-τάς (1), δικαιοτέραν-τούς (1), δίκαιον-ἡ (1), δικαιότερος-τούς (1), δικαιότατον-τό (1), δικαιοσύνην-ὁ (1), δίκαιον-ταῖς (1), δικαιότερον-τούς (1), δικαιοσύνης-τάς (1), δικαίους-τῶν (1), δίκαια-τό (1), δικαιοσύνην-τό (1), δικαιοτέραις-ταῖς (1), δικαίου-τῶν (1), δίκαιον-τοῖν (1), δικαιοτέρας-τοῖς (1), δικαίους-τό (1), δικαιότερα-τῆς (1), δικαιοσύνης-ὁ (1), δικαιότατα-τούς (1), δικαιοσύνης-ταῖς (1), δικαιοτέρων-τάς (1), δικαιοσύνῃ-τούς (1), δικαιότατον-τοῖς (1), δικαίων-οἱ (1), δικαιοσύνῃ-τῶν (1), δικαίως-ἡ (1), δικαιότατον-τόν (1), δίκαιοι-οἱ (1), δικαιοσύνῃ-ὁ (1), δικαιοσύνην-τοῖς (1), δικαιοτέρων-οἱ (1), δικαίῳ-τήν (1), δικαίῳ-τά (1), δικαιότατον-τῶν (1)"
καί,δικαι,799.565187871922,191,112,79,10,11,19,13,59,0,26,18,13,14,8,"δικαίως-καί (52), δικαιοσύνην-καί (20), δίκαιον-καί (20), δικαιότατον-καί (10), δικαίους-καί (10), δίκαια-καί (9), δικαιοσύνῃ-καί (9), δικαίων-καί (9), δικαιοσύνης-καί (8), δίκαιος-καί (6), δικαιοσύνη-καί (6), δικαιοτάτους-καί (5), δικαίου-καί (3), δικαιοτάτης-καί (3), δίκαιοι-καί (3), δικαιότατος-καί (3), δικαιοτέρα-καί (2), δικαιοτέρας-καί (2), δικαιότερον-καί (2), δικαιότατα-καί (2), δικαίοις-καί (1), δικαιοτέραις-καί (1), δικαιοτέρως-καί (1), δικαιοτάτην-καί (1), δικαιοτέρων-καί (1), δικαίας-καί (1), δικαίαν-καί (1)"
ἄν,δικαι,443.029765766114,88,31,57,1,6,3,8,13,0,46,4,0,4,3,"δικαίως-ἄν (63), δικαιότερον-ἄν (6), δικαιοσύνην-ἄν (4), δίκαιον-ἄν (4), δίκαια-ἄν (3), δικαιότερος-ἄν (2), δικαίου-ἄν (1), δικαιότατον-ἄν (1), δικαιοτέρα-ἄν (1), δίκαιος-ἄν (1), δικαιότερα-ἄν (1), δικαιοτέρως-ἄν (1)"
εἰμί,δικαι,191.372339893132,56,22,34,2,9,4,5,2,0,14,9,4,4,3,"δίκαιον-εἶναι (7), δικαίως-εἶναι (7), δικαίως-ἦν (4), δίκαιοι-ὄντες (3), δίκαιον-ἐστίν (3), δικαιότατον-εἶναι (2), δίκαιον-ἦσαν (2), δίκαιον-ἦν (2), δικαιοσύνην-εἶναι (2), δικαιοσύνην-ὄντας (1), δίκαιος-εἶναι (1), δικαιοσύνης-ἐστίν (1), δικαίως-εἴη (1), δικαιοτάτης-εἶναι (1), δικαιοσύνης-ἐστιν (1), δικαιοτάτους-εἶναι (1), δικαιοσύνην-ἔστιν (1), δικαίως-ὄντων (1), δικαιοτέρας-εἶναι (1), δικαιοσύνη-ἔστιν (1), δικαίαν-οὖσαν (1), δικαιοτέρα-ἐστίν (1), δικαιοτάτην-εἶναι (1), δικαιότερον-εἶναι (1), δικαίαν-εἶναι (1), δικαιοσύνης-ἔν (1), δίκαια-εἶναι (1), δικαιοτάτους-ὄντας (1), δικαιότερον-οὔσης (1), δικαιοσύνῃ-εἶναι (1), δικαιοσύνης-οὔσας (1), δικαιοσύνη-ἐστιν (1), δικαίοις-οὖσιν (1)"
οὐ,δικαι,177.717617076822,49,28,21,6,4,1,6,11,0,6,7,3,1,4,"δίκαιον-οὐ (11), δικαίως-οὐ (9), δικαίως-οὐκ (8), δικαιοτάτους-οὐ (3), δίκαια-οὐκ (2), δικαίαν-οὐ (2), δίκαια-οὐ (2), δικαιοσύνην-οὐ (2), δίκαιον-οὐχ (1), δικαίας-οὐ (1), δικαιοσύνης-οὐ (1), δικαίων-οὐ (1), δικαιοσύνη-οὐ (1), δικαίων-οὐκ (1), δικαίου-οὐ (1), δικαίως-οὐχ (1), δικαίους-οὐ (1), δικαιοτάτης-οὐ (1)"
δέ,δικαι,168.073024773505,66,29,37,6,7,2,7,7,0,8,2,11,11,5,"δικαίως-δ' (13), δίκαιον-δέ (10), δικαίων-δέ (7), δικαιοσύνην-δέ (7), δικαίως-δέ (6), δικαιοσύνης-δέ (4), δικαιοσύνην-δ' (3), δίκαιον-δ' (2), δικαίων-δ' (2), δικαίαν-δέ (2), δίκαια-δ' (1), δικαίους-δέ (1), δικαιοσύνῃ-δέ (1), δικαιότερα-δέ (1), δικαίου-δέ (1), δικαίαν-δ' (1), δικαιότατον-δέ (1), δίκαιοι-δέ (1), δικαίους-δ' (1), δικαιοτάτην-δέ (1)"
αὐτός,δικαι,157.248290270567,51,22,29,2,6,6,5,3,0,2,11,4,9,3,"δικαίως-αὐτούς (7), δικαίως-αὐτοῖς (6), δικαίως-αὐτήν (5), δικαίως-αὐτόν (4), δικαίως-αὐτῆς (3), δίκαιον-αὐτοῖς (2), δίκαιον-αὐτό (2), δικαίους-αὐτοῖς (2), δικαίως-αὐτῷ (2), δίκαιον-αὐτῶν (1), δικαιότερον-αὐτόν (1), δικαίως-αὐτάς (1), δικαιότερον-αὐτήν (1), δικαίως-αὐτός (1), δικαίους-αὐτῶν (1), δικαίως-αὐτοί (1), δικαιοτάτους-αὐτούς (1), δικαιότατον-αὐτόν (1), δικαιότερος-αὐτήν (1), δικαιοσύνης-αὐτήν (1), δίκαια-αὐτῶν (1), δικαίου-αὐτήν (1), δίκαια-αὐτόν (1), δικαίως-αὐτῶν (1), δικαίων-αὐτούς (1), δίκαιον-αὐτῆς (1), δικαιοτέρως-αὐτήν (1)"
ἀλλά,δικαι,144.491568897851,42,24,18,7,3,10,2,2,0,3,2,3,6,4,"δικαίως-ἀλλά (7), δίκαιον-ἀλλά (7), δικαίως-ἀλλ' (6), δικαιότερον-ἀλλά (2), δικαιοτάτους-ἀλλ' (2), δικαιοσύνην-ἀλλά (2), δικαίων-ἀλλά (2), δίκαιον-ἀλλ' (2), δικαιοσύνης-ἀλλά (2), δικαιοτάτης-ἀλλά (1), δίκαιος-ἀλλ' (1), δικαίου-ἀλλά (1), δικαίας-ἀλλά (1), δικαιοτάτους-ἀλλά (1), δίκαια-ἀλλ' (1), δικαίοις-ἀλλά (1), δικαίαν-ἀλλά (1), δικαιοσύνης-ἀλλ' (1), δικαίου-ἀλλ' (1)"
περί,δικαι,137.684346191119,43,21,22,5,2,6,8,0,0,2,3,9,4,4,"δικαίως-περί (9), δικαίων-περί (7), δίκαιον-περί (6), δικαιοσύνην-περί (4), δικαιότερον-περί (2), δικαίου-περί (2), δικαιότερα-περί (2), δίκαιοι-περί (2), δικαιοσύνης-περί (2), δίκαια-περί (2), δίκαιος-περί (1), δικαιότερος-περί (1), δικαιοτέραις-περί (1), δικαιότατον-περί (1), δικαιοτέρων-περί (1)"
οὗτος,δικαι,126.543828329071,45,19,26,4,6,5,1,3,0,2,5,5,8,6,"δίκαιον-τούτων (5), δικαίως-τούτων (5), δικαίως-ταύτην (4), δικαίως-τούτοις (3), δικαίων-οὗτος (2), δικαίως-ταῦτ' (2), δικαίων-τούτοις (1), δικαίου-ταύτης (1), δίκαιοι-τούτους (1), δίκαιον-τοῦτο (1), δίκαιον-ταῦτα (1), δίκαιον-ταῦτ' (1), δικαίως-τοῦτ' (1), δικαίως-τοῦτον (1), δικαιοτέρας-τούτων (1), δικαιοσύνη-ταῦτ' (1), δικαίως-τούτου (1), δικαίως-ταῦθ' (1), δικαιότερον-τούτοις (1), δικαιοσύνης-ταῦτα (1), δίκαιον-ταύτην (1), δικαιοτέραν-ταύτης (1), δικαίως-τούτῳ (1), δικαιοσύνην-τούτοις (1), δικαίου-τούτοις (1), δικαίως-τούτους (1), δικαίοις-ταῦτα (1), δικαιότερον-τούτους (1), δικαίαν-ταύτην (1), δικαιότατον-τούτων (1)"
