Collocation,2013-09-07
KeyWord,φρον
Instances,183
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,1080.44065317186,267,141,126,19,25,25,52,20,0,21,19,29,32,25,"φρόνησιν-τήν (30), φρονοῦντας-τούς (21), φρονούντων-τῶν (18), φρονεῖν-τό (11), φρονοῦσιν-τοῖς (11), φροντίζειν-τῶν (8), φρονεῖν-τῶν (7), φρονοῦσιν-τῶν (6), φρόνησιν-τῶν (6), φρονεῖν-τοῖς (6), φρονοῦντας-τῶν (6), φρονήσεως-τῆς (5), φροντίζοντες-τῶν (5), φρόνησιν-τούς (5), φρονοῦντας-τοῖς (4), φρονούντων-τοῖς (3), φρονεῖν-τάς (3), φρονῶν-τοῖς (3), φρονεῖν-τῆς (3), ἐφρόντιζον-τῶν (3), φρονοῦντας-τήν (3), φρονεῖν-τούς (3), φρονεῖτε-τήν (2), φροντίζειν-τῆς (2), φροντίζων-τῆς (2), ἐφρόνησεν-τῶν (2), φρονοῦντας-τό (2), φρονοῦσιν-τούς (2), φροντίζειν-τό (2), φροντίζουσιν-τοῖς (2), φρονήσεως-τούς (2), φρονοῦσαν-τήν (2), φρόνησιν-τῆς (2), φρονούντων-τάς (2), φροντίζουσιν-τῆς (2), φροντίζουσιν-τήν (2), φροντίζειν-τόν (2), φρόνησις-ἡ (2), φρονήσει-τῶν (2), φροντίζουσιν-τῶν (1), φρονοῦντες-τήν (1), φρόνησιν-τάς (1), φροντίζον-τῆς (1), ἐφρόνησεν-τήν (1), φρονοῦντας-τῆς (1), φρονήσασα-τῶν (1), πεφρόντικε-τῶν (1), φρονούντων-τούς (1), φρονῆσαι-τό (1), ἐφρόνησαν-οἱ (1), πεφρόνηκεν-τῶν (1), φρονήσεως-τήν (1), φροντίσαι-τῆς (1), φρονήσασα-τήν (1), φρονούντων-ταῖς (1), φροντιζόντων-τῶν (1), ἐφρόνησεν-τῆς (1), φροντίζον-τό (1), φρονοῦντες-ταῖς (1), φρονήσεως-ὁ (1), ἐφρόντισα-τῶν (1), φρονοῦντας-τόν (1), φρονήσει-τούς (1), φρονεῖν-ταῖς (1), φρόνησιν-οἱ (1), φροντίζουσαν-τῶν (1), φρονούσης-τοῖς (1), φροντίσαι-τό (1), φρονούσης-τούς (1), πεφρόντικε-τῆς (1), φρονήσαντας-τῆς (1), φρονήσαντας-τῶν (1), φρονήσας-τῶν (1), φρονοῦντες-τῆς (1), φρονήσεως-τοῖς (1), φρονούντων-τῆς (1), φρονήσει-τόν (1), φρονοῦμεν-τῶν (1), φρονοῦντες-τό (1), φρονῆσαι-τοῖς (1), φροντίζουσα-τόν (1), φροντίζειν-τήν (1), φρονεῖν-ἡ (1), φρόνει-τῆς (1), ἐφρόνησαν-τῶν (1), φρονῶν-τούς (1), φρονήσαντα-τόν (1), φροντίδας-τούς (1), φρονεῖν-οἱ (1), φρονήσαντος-οἱ (1), φρονήσασιν-τόν (1), πεφρόνηκεν-τῆς (1), φρονήσει-ὁ (1), φρονοῦντος-τῶν (1), φροντίσαντες-τάς (1), πεφρόντικε-ὁ (1), φρονοῦντας-ταῖς (1), φρονήσας-τήν (1), φρόνησιν-τοῖς (1), φροντίζει-τῶν (1), φρονεῖν-τήν (1), φρονούντων-τά (1)"
εὖ,φρον,503.211419370491,48,43,5,0,1,1,0,41,0,5,0,0,0,0,"φρονοῦντας-εὖ (14), φρονούντων-εὖ (12), φρονεῖν-εὖ (11), φρονοῦσιν-εὖ (5), φρονούσης-εὖ (1), φρονήσαντος-εὖ (1), φρονοῦντες-εὖ (1), φρονήσασιν-εὖ (1), φρονήσαντας-εὖ (1), φρονήσασα-εὖ (1)"
καί,φρον,303.315836763941,89,33,56,4,5,7,9,8,0,21,10,7,12,6,"φρονεῖν-καί (22), φρόνησιν-καί (14), φρονοῦντας-καί (9), φροντίζειν-καί (6), φρονήσει-καί (6), φρονούντων-καί (4), φρονοῦσιν-καί (3), φρονήσαντας-καί (2), φρονοῦντος-καί (2), φρονοῦμεν-καί (2), φρονήσαντα-καί (2), φρονήσαντες-καί (2), φρονήσεως-καί (2), φρονῶ-καί (1), φροντιζόντων-καί (1), φροντίζοντας-καί (1), φροντίζουσιν-καί (1), ἐφρόνησεν-καί (1), φροντίζον-καί (1), φροντίδας-καί (1), φροντίζοιεν-καί (1), φρονήσας-καί (1), φρονούσης-καί (1), φρονεῖτε-καί (1), φρονῶν-καί (1), φροντίζοντες-καί (1)"
μέγας,φρον,253.100776317529,40,34,6,0,2,3,0,29,0,2,3,0,1,0,"φρονεῖν-μέγα (4), φρονοῦντας-μέγα (4), ἐφρόνησεν-μέγ' (3), φρονούντων-μέγα (2), φρονοῦσιν-μέγα (2), φρονεῖν-μέγιστον (2), φρονοῦσιν-μεῖζον (2), φρονῶν-μέγα (2), φρονῶν-μεῖζον (1), φρονοῦμεν-μέγα (1), φρονήσαντα-μέγα (1), φρονοίης-μέγα (1), φρονήσαντας-μεῖζον (1), φρονήσειν-μέγα (1), ἐφρόνησαν-μέγιστον (1), φρονεῖν-μεγίστων (1), φρονοῦντες-μεῖζον (1), φρονήσας-μεῖζον (1), φρονῶ-μέγα (1), φρονοῦντας-μεῖζον (1), φρονήσεως-μεγίστην (1), φρονοῦντος-μέγα (1), φρονεῖν-μεῖζον (1), φρόνησιν-μέγιστον (1), φρονοῦντας-μεγάλην (1), φρονοῦντες-μέγα (1), φρονήσαντες-μεῖζον (1)"
δέ,φρον,124.257848124951,45,19,26,5,3,8,1,2,0,0,11,6,4,5,"φροντίζουσιν-δέ (3), φρόνησιν-δέ (3), φρονοῦντας-δέ (3), φροντίζειν-δέ (3), φρόνησιν-δ' (3), φρονοῦσιν-δέ (2), φροντίζειν-δ' (2), φρονήσεως-δέ (2), φρονεῖν-δέ (2), φρονούντων-δέ (2), ἐφρόνησαν-δέ (2), πεφρόνηκεν-δ' (1), φροντίζουσα-δ' (1), φρονοῦντας-δ' (1), φρονοῦντες-δέ (1), φρονοῦσιν-δ' (1), φρονήσαντος-δ' (1), ἐφρόντιζον-δέ (1), ἐφρόνησεν-δ' (1), φροντίζοντες-δέ (1), φρονεῖν-δ' (1), φρονούντων-δ' (1), φρονοίης-δ' (1), φροντίδας-δ' (1), φρονήσασα-δ' (1), φροντίζουσαν-δ' (1), φρονήσαντες-δέ (1), φρόνει-δέ (1), φρονῶ-δ' (1)"
ἐπί,φρον,105.675411318429,22,11,11,4,2,5,0,0,0,4,4,0,0,3,"φρονεῖν-ἐπί (3), φρονοῦντες-ἐπί (3), φρονοῦσιν-ἐπί (2), φρονοῦμεν-ἐπί (1), φρονῆσαι-ἐπί (1), φρονούντων-ἐπ' (1), φρονῶν-ἐπ' (1), φρονούντων-ἐπί (1), φρονοῦσιν-ἐφ' (1), φροντίζειν-ἐπί (1), φρονοῦντας-ἐπί (1), ἐφρόνησεν-ἐφ' (1), φρόνησιν-ἐπί (1), φρονήσεως-ἐπί (1), φρονῶ-ἐπ' (1), ἐφρόνησεν-ἐπί (1), φρονῶν-ἐπί (1)"
τίς,φρον,93.7877179058269,23,14,9,3,1,1,4,5,0,4,2,1,0,2,"φρονεῖν-τοῦ (9), φροντίζει-τοῦ (2), φροντιζόντων-τοῦ (2), φρονούντων-τίς (2), φροντίζειν-τοῦ (1), φρονήσαντες-τοῦ (1), φροντίζοιεν-τοῦ (1), ἐφρόντισα-τοῦ (1), φροντίζουσα-τοῦ (1), φρόνησιν-τοῦ (1), φρονοῦντας-τοῦ (1), φρονήσεως-τοῦ (1)"
ἄλλος,φρον,79.0367898005061,21,7,14,1,1,1,1,3,0,0,2,1,8,3,"φρονοῦσιν-ἄλλων (3), φρόνησιν-ἄλλων (3), φρονοῦσιν-ἄλλοις (2), φρονεῖν-ἄλλας (2), φρονήσει-ἄλλων (1), φρονεῖν-ἄλλων (1), ἐφρόντισα-ἄλλων (1), ἐφρόνησεν-ἄλλην (1), φρόνησιν-ἄλλας (1), φρονοῦντας-ἄλλων (1), φρονήσασα-ἄλλων (1), φρονήσαντος-ἄλλοις (1), φρονεῖν-ἄλλους (1), φρονεῖν-ἄλλοις (1), φρονοῦντας-ἄλλοις (1)"
οὐ,φρον,70.8164367964491,23,11,12,3,3,0,5,0,0,3,0,3,3,3,"φρονούντων-οὐκ (3), φρονεῖν-οὐκ (2), φρονεῖν-οὐ (2), φρονοίης-οὐκ (2), φροντίζον-οὐκ (1), φρονοῦντας-οὐκ (1), φρονῆσαι-οὐ (1), φροντίζειν-οὐχ (1), φροντίζοντες-οὐ (1), φρονοῦντες-οὐκ (1), φροντίζειν-οὐ (1), φρονήσειν-οὐ (1), φρονοῦντας-οὐ (1), φροντίσαι-οὐ (1), φρόνησιν-οὐ (1), ἐφρόνησεν-οὐκ (1), φρονῶν-οὐκ (1), φροντίζουσιν-οὐκ (1)"
αὐτός,φρον,65.9028383102268,25,14,11,1,3,3,2,5,0,1,4,3,3,0,"φροντίζειν-αὐτῶν (2), φρονεῖν-αὐτούς (2), φρονοῦντας-αὐτῶν (2), φρονεῖν-αὐτῶν (2), φρονοῦσιν-αὐτῶν (1), φροντίζει-αὐτόν (1), φρονήσαντας-αὐτοῖς (1), φρονεῖν-αὐτόν (1), φροντίζειν-αὐτούς (1), φροντίζουσιν-αὐτῶν (1), φροντίζοντες-αὐτῆς (1), φρονῆσαι-αὐτούς (1), φρονῶν-αὐτό (1), φροντίζουσαν-αὐτήν (1), φρόνησιν-αὐτούς (1), φρονοῦσιν-αὐτοῖς (1), φρονοῦντας-αὐτούς (1), φροντίζειν-αὐτόν (1), φρονοῦσιν-αὐτοί (1), φρονοῦντας-αὐτήν (1), φρονήσειν-αὐτοῖς (1)"
