Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,23,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,σοφ,152.602275253274,25,9,16,1,2,2,1,3,0,7,2,4,2,1,"σοφία-καί (6), σοφίᾳ-καί (4), σοφίας-καί (4), σοφωτέρους-καί (4), σοφωτέρῳ-καί (2), σοφώτατον-καί (2), σοφούς-καί (2), σοφίαν-καί (1)"
ὁ,σοφ,133.203825632576,33,15,18,3,0,4,6,2,0,2,5,6,2,3,"σοφούς-τούς (5), σοφίας-τῶν (3), σοφίας-τόν (3), σοφίᾳ-ὁ (2), σοφίας-τῆς (2), σοφίαν-τήν (2), σοφίᾳ-τούς (1), σοφώτατοι-τῶν (1), σοφῶν-αἱ (1), σοφίᾳ-τοῖς (1), σοφώτατον-τῶν (1), σοφίας-τοῖς (1), σοφίας-τήν (1), σοφούς-τῶν (1), σοφία-τόν (1), σοφῶν-τῶν (1), σοφωτέρους-τούς (1), σοφίᾳ-τῶν (1), σοφωτέρους-τοῖς (1), σοφούς-ταῖς (1), σοφία-τῶν (1), σοφίαν-τούς (1)"
ανδρει,σοφ,48.8255650969222,4,4,0,0,0,2,2,0,0,0,0,0,0,0,"σοφίας-ἀνδρίας (2), σοφία-ἀνδρεία (1), σοφία-ἀνδρία (1)"
δικαι,σοφ,46.0207442874089,6,1,5,0,0,0,1,0,0,0,4,1,0,0,"σοφία-δικαιοσύνη (2), σοφίας-δικαιοσύνης (2), σοφίᾳ-δικαιοσύνῃ (1), σοφώτατον-δικαιότατον (1)"
εἰμί,σοφ,30.8654581448063,7,3,4,0,2,0,0,1,0,1,0,1,1,1,"σοφούς-ἐστίν (1), σοφία-ἐστιν (1), σοφώτατοι-εἶναι (1), σοφῶν-εἶναι (1), σοφωτέρους-ἐσομένους (1), σοφούς-ὄντας (1), σοφούς-εἶναι (1)"
ἤ,σοφ,27.6099225510843,5,3,2,0,1,0,1,1,0,2,0,0,0,0,"σοφίας-ἤ (2), σοφίαν-ἤ (2), σοφούς-ἤ (1)"
δέ,σοφ,22.2004985585809,7,6,1,2,0,1,0,3,0,0,1,0,0,0,"σοφίας-δέ (2), σοφία-δέ (2), σοφώτατοι-δέ (1), σοφωτέρους-δ' (1), σοφίας-δ' (1)"
προσποιέω,σοφ,20.1944924849086,2,2,0,0,0,0,2,0,0,0,0,0,0,0,"σοφῶν-προσποιουμένων (1), σοφώτατοι-προσποιούμενοι (1)"
νομίζω,σοφ,19.2473621899262,3,0,3,0,0,0,0,0,0,2,1,0,0,0,"σοφούς-νόμιζε (2), σοφούς-νομίζω (1)"
βελτιόω,σοφ,19.1238092631102,2,1,1,0,0,0,1,0,0,0,1,0,0,0,"σοφωτέρους-βελτίους (1), σοφούς-βελτίω (1)"
κατασχηματίζω,σοφ,17.1768591958098,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίαν-κατεσχημάτισαν (1)
σωφρ,σοφ,16.2473531602882,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"σοφίᾳ-σωφροσύνῃ (1), σοφώτατον-σωφρονέστατον (1)"
μέγας,σοφ,15.3297983296216,3,2,1,0,0,0,2,0,0,1,0,0,0,0,"σοφίᾳ-μεγίστην (2), σοφίᾳ-μεῖζον (1)"
ἐπί,σοφ,14.716532596387,3,3,0,0,0,0,0,3,0,0,0,0,0,0,σοφίᾳ-ἐπί (3)
οὔκουν,σοφ,14.4046347583644,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφίᾳ-οὔκουν (1)
εἴκω,σοφ,14.4046347583644,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφωτέρῳ-εἴκειν (1)
d,σοφ,14.4046347583644,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφούς-d (1)
συλλογίζομαι,σοφ,14.4046347583644,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίαν-συλλογισάμενοι (1)
μή,σοφ,14.2406068723649,3,0,3,0,0,0,0,0,0,0,2,1,0,0,"σοφούς-μή (2), σοφίας-μή (1)"
περί,σοφ,14.1218533632345,4,1,3,0,0,0,1,0,0,0,0,0,1,2,"σοφίας-περί (2), σοφούς-περί (2)"
17,σοφ,13.3585027605295,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφούς-17 (1)
προσγίγνομαι,σοφ,13.3585027605295,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφία-προσεγένετο (1)
αὐτοκράτωρ,σοφ,13.3585027605295,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφωτέρους-αὐτοκράτορας (1)
τις,σοφ,13.2308374079876,3,1,2,0,1,0,0,0,0,0,0,0,2,0,"σοφῶν-τινες (1), σοφίας-τινός (1), σοφίαν-τιν' (1)"
οὗτος,σοφ,12.1949195456691,4,3,1,0,1,1,0,1,0,0,0,0,1,0,"σοφία-τούτοις (1), σοφία-ταῦτ' (1), σοφούς-τούτων (1), σοφωτέρους-τούτοις (1)"
περικλέης,σοφ,12.1742921187542,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίᾳ-περικλῆς (1)
ἀμαθής,σοφ,11.7719461452216,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφούς-ἀμαθεῖς (1)
λεκτέος,σοφ,11.7719461452216,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφούς-λεκτέον (1)
πολύς,σοφ,11.6088493722491,3,2,1,0,1,0,0,1,0,0,0,0,0,1,"σοφωτέρους-πολύ (1), σοφίας-πολύ (1), σοφίας-πολλά (1)"
ρρραιε,σοφ,11.437416496221,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφωτέρους-ῥᾷον (1)
δοκέω,σοφ,11.0346851926297,2,0,2,0,0,0,0,0,0,1,0,0,0,1,"σοφίᾳ-δόξαν (1), σοφούς-δόξαις (1)"
μέν,σοφ,11.0342581877485,4,2,2,0,2,0,0,0,0,1,0,0,1,0,"σοφίας-μέν (3), σοφούς-μέν (1)"
συνδιατρίβω,σοφ,10.9007958364673,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφωτέρους-συνδιατρίψαντας (1)
ἐρωτάω,σοφ,10.6784784030169,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφῶν-ἐρωτηθέντες (1)
ὅμηρος,σοφ,10.6784784030169,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίᾳ-ὅμηρος (1)
κοσμέω,σοφ,10.2968029053882,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφωτέρῳ-κόσμιον (1)
μᾶλλον,σοφ,10.2793741202913,2,1,1,0,0,1,0,0,0,0,0,0,1,0,"σοφωτέρους-μᾶλλον (1), σοφίας-μᾶλλον (1)"
κατά,σοφ,10.1002391069196,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"σοφίαν-κατ' (1), σοφίαν-κατά (1)"
ἄλλου,σοφ,9.97667320258915,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφίας-ἄλλου (1)
παραμένω,σοφ,9.83405865821987,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφία-παραμένει (1)
ἀθάνατος,σοφ,9.83405865821987,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφία-ἀθάνατον (1)
κατεῖδον,σοφ,9.70099071133882,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίαν-κατίδωσιν (1)
κτῆμα,σοφ,9.57627353398129,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφία-κτημάτων (1)
confesseur,σοφ,9.57627353398129,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφωτέρῳ-confesseur (1)
γάρ,σοφ,9.47736992500722,3,1,2,0,0,1,0,0,0,1,0,0,0,1,"σοφώτατον-γάρ (1), σοφία-γάρ (1), σοφίας-γάρ (1)"
ἐκπέμπω,σοφ,9.34811886632815,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφωτέρους-ἐκπέμπομεν (1)
μέχρι,σοφ,9.24317139526829,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφούς-μέχρι (1)
ἐκεῖ,σοφ,9.24317139526829,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφωτέρους-ἐκεῖ (1)
πρωτεύω,σοφ,9.24317139526829,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφωτέρους-πρωτεύοντας (1)
maxime,σοφ,9.14349403046072,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφωτέρῳ-maxime (1)
le,σοφ,9.14349403046072,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφωτέρῳ-le (1)
ὥστε,σοφ,8.57110021123663,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"σοφίᾳ-ὥσθ' (1), σοφίαν-ὥστ' (1)"
κρεισσόω,σοφ,8.487354750745,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφωτέρους-κρείττους (1)
ἀκριβῶς,σοφ,8.35242528375238,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφούς-ἀκριβῶς (1)
ἐπιτιμάω,σοφ,8.35242528375238,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφώτατοι-ἐπιτιμῶμεν (1)
διέξειμι,σοφ,8.22611653944477,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφία-διεξιόντες (1)
ἄρχων,σοφ,8.22611653944477,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφωτέρῳ-ἄρχοντι (1)
δοκόω,σοφ,8.16586558148265,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφούς-δοκοῦντας (1)
εὐδαιμονία,σοφ,8.16586558148265,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίαν-εὐδαιμονίαν (1)
ταὐτός,σοφ,8.05061170598492,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφία-ταὐτόν (1)
ὡς,σοφ,7.72022707015276,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"σοφία-ὡς (1), σοφωτέρους-ὡς (1)"
διδάσκω,σοφ,7.64704834576696,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίαν-διδάσκοντας (1)
λοιπός,σοφ,7.47256137290969,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφούς-λοιπῶν (1)
ὠφελέω,σοφ,7.20016156462952,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφωτέρους-ὠφελεῖν (1)
ὀλίγος,σοφ,7.1288086399436,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφωτέρους-ὀλίγας (1)
φιλοσοφία,σοφ,7.1288086399436,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφίας-φιλοσοφίας (1)
