Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,6,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
εὔτολμος,δικαι,29.1766882236552,2,2,0,0,0,2,0,0,0,0,0,0,0,0,"δίκαιον-εὐτόλμωι (1), δίκαιον-εὐτόλμῳ (1)"
μάλης,δικαι,23.6337010598509,2,2,0,0,2,0,0,0,0,0,0,0,0,0,δίκαιον-μάλ' (2)
ὦ,δικαι,20.8063908099721,2,0,2,0,0,0,0,0,0,2,0,0,0,0,δίκαιον-ὦ (2)
φρήν,δικαι,19.1774044759659,2,2,0,0,0,0,2,0,0,0,0,0,0,0,δίκαιον-φρενί (2)
εἶπον,δικαι,19.1774044759659,2,2,0,0,0,0,0,2,0,0,0,0,0,0,δίκαιον-εἰπεῖν (2)
καί,δικαι,19.1018563976832,4,3,1,2,0,0,0,1,0,0,0,0,0,1,"δίκαιον-καί (2), δικαιοσύνηι-καί (1), δικαιοτάτωι-καί (1)"
ὅστις,δικαι,16.6362718325545,2,0,2,0,0,0,0,0,0,0,0,1,1,0,δίκαιον-ὅστις (2)
φαῦλος,δικαι,14.3873993917659,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαίως-φαῦλα (1)
ἐπιτιμάω,δικαι,14.3873993917659,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαίως-ἐπιτιμῶιτο (1)
συμφιλοσοφέω,δικαι,14.3873993917659,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαιοτάτωι-συνεφιλοσόφησε (1)
ξένος,δικαι,14.3873993917659,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-ξέν' (1)
τοίνυν,δικαι,14.3873993917659,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίως-τοίνυν (1)
οὐκοῦν,δικαι,14.3873993917659,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δικαίως-οὐκοῦν (1)
ξέν,δικαι,14.3873993917659,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-ξέν (1)
σύνειμι,δικαι,11.6161792203056,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαιοσύνηι-συνῆν (1)
νομοθέτης,δικαι,11.6161792203056,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαίως-νομοθέτην (1)
τόπος,δικαι,11.6161792203056,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιον-τόπους (1)
θῆλυς,δικαι,11.6161792203056,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίως-θηλείαις (1)
29,δικαι,11.6161792203056,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαιοσύνηι-29 (1)
ους,δικαι,11.6161792203056,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαίως-ους (1)
ἐπαινέω,δικαι,10.571051670835,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δικαίως-ἐπήινει (1)
ἐναντίος,δικαι,10.571051670835,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαίως-τοὐναντίον (1)
ἀνομία,δικαι,9.89282444908167,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαιοσύνηι-ἀνομίαι (1)
θεσσαλός,δικαι,9.38885048351949,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαιοτάτωι-θετταλοῖς (1)
ὁράω,δικαι,9.38885048351949,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαίως-ὁρῶν (1)
αἱρέω,δικαι,9.38885048351949,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίως-εἵλοντο (1)
εἰμί,δικαι,9.02866796501621,2,0,2,0,0,0,0,0,0,0,0,0,1,1,δίκαιον-ὤν (2)
μᾶλλον,δικαι,8.36866060244211,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαιοσύνηι-μᾶλλον (1)
δοκέω,δικαι,7.89806362855597,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαιοτάτωι-δόξαντι (1)
ε,δικαι,7.69909919316706,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαιον-ε (1)
χράω,δικαι,7.69909919316706,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαιοσύνηι-χρωμένοις (1)
ἀθηναῖος,δικαι,7.35291067611251,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίως-ἀθηναῖοι (1)
δή,δικαι,7.35291067611251,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαιοτάτωι-δή (1)
ἑαυτοῦ,δικαι,7.05867536325241,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαιοτάτωι-ἑαυτοῦ (1)
