Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,16,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὅταν,φρον,50.6859892086068,4,4,0,2,0,2,0,0,0,0,0,0,0,0,"φρονῶν-ὅταν (2), φρονεῖν-ὅταν (2)"
δοκή,φρον,50.6859892086068,4,2,2,0,0,0,0,2,0,2,0,0,0,0,"φρονῶν-δοκῆι (1), φρονεῖν-δοκῇ (1), φρονῶν-δοκῇ (1), φρονεῖν-δοκῆι (1)"
τε,φρον,38.9510909309756,7,2,5,0,2,0,0,0,0,3,0,0,2,0,"φρονῶν-τ' (3), φρονῶν-τε (3), φρονεῖ-τ' (1)"
βλέπω,φρον,37.7761925016239,3,3,0,0,0,0,0,3,0,0,0,0,0,0,"φρονῶν-βλέπων (2), φρονεῖ-βλέπει (1)"
ὁ,φρον,33.4228461642197,10,6,4,0,2,0,2,2,0,0,2,0,2,0,"φρονεῖν-τό (4), φρονοῦν-τούς (4), φρονοῦν-τό (2)"
φρον,φρον,33.3195269012358,4,2,2,0,0,0,2,0,15,0,2,0,0,0,"φρονεῖν-φρονῶν (2), φρονῶν-φρονεῖν (2), φρονοῦσι-φρονοῦσι (0), φρονῶν-φρονῶν (0), φρονεῖν-φρονεῖν (0), φρονοῦν-φρονοῦν (0), φροντίς-φροντίς (0), φρονεῖ-φρονεῖ (0)"
καί,φρον,33.0729611187271,8,5,3,2,0,0,3,0,0,2,1,0,0,0,"φρονεῖν-καί (4), φρονῶν-καί (3), φρονεῖ-καί (1)"
μή,φρον,29.8759945044003,4,4,0,0,0,2,0,2,0,0,0,0,0,0,"φρονεῖν-μή (2), φρονῶν-μή (2)"
οὗτος,φρον,29.8523824430158,5,3,2,0,1,0,0,2,0,0,0,0,0,2,"φρονῶν-ταῦτα (2), φροντίς-τούτου (2), φρονεῖ-ταῦτ' (1)"
δέ,φρον,28.3335062024416,7,4,3,0,2,2,0,0,0,0,1,0,2,0,"φρονῶν-δ' (2), φροντίς-δ' (2), φρονῶν-δέ (1), φρονοῦσι-δέ (1), φρονεῖν-δέ (1)"
ἀκούω,φρον,28.2286333279626,3,3,0,0,0,3,0,0,0,0,0,0,0,0,"φρονῶν-ἀκούων (2), φρονεῖ-ἀκούει (1)"
τύχη,φρον,25.0346242263768,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φρονοῦσι-τύχη (2)
συμμαχέω,φρον,25.0346242263768,2,0,2,0,0,0,0,0,0,2,0,0,0,0,φρονοῦσι-συμμαχεῖ (2)
προσχώννυμι,φρον,25.0346242263768,2,0,2,0,0,0,0,0,0,0,0,2,0,0,φρονῶν-προσέχων (2)
πονέω,φρον,25.0346242263768,2,0,2,0,0,0,0,0,0,0,0,2,0,0,φρονεῖν-πονεῖν (2)
ἐν-εἰμί,φρον,25.0346242263768,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φρονοῦν-ἔνεστι (2)
λῆσις,φρον,25.0346242263768,2,2,0,2,0,0,0,0,0,0,0,0,0,0,φρονοῦν-λήσει (2)
καινίζω,φρον,25.0346242263768,2,2,0,2,0,0,0,0,0,0,0,0,0,0,φρονοῦσι-ἐκαίνισεν (2)
εὖ,φρον,25.0346242263768,2,2,0,0,0,0,0,2,0,0,0,0,0,0,φρονοῦσι-εὖ (2)
σύμμετρος,φρον,25.0346242263768,2,2,0,0,0,2,0,0,0,0,0,0,0,0,φρονεῖν-σύμμετρα (2)
τις,φρον,24.9964652503113,4,4,0,0,2,0,2,0,0,0,0,0,0,0,"φρονεῖν-τις (2), φρονῶν-τις (2)"
δυνατός,φρον,21.2191003735352,2,0,2,0,0,0,0,0,0,0,0,0,0,2,φρονεῖν-δυνατούς (2)
πενία,φρον,21.2191003735352,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"φρονεῖν-πενίας (1), φρονῶν-πενίας (1)"
iv,φρον,21.2191003735352,2,0,2,0,0,0,0,0,0,0,1,0,1,0,"φρονῶν-iv (1), φρονεῖν-iv (1)"
κίμωνά,φρόνημα,19.7941338981618,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρόνημα-κίμωνά (1)
πατέω,φρόνημα,19.7941338981618,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρόνημα-πατηθῆναι (1)
33,φρον,19.4965695836145,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"φρονεῖν-33 (1), φρονῶν-33 (1)"
δεινός,φρον,19.4965695836145,2,2,0,2,0,0,0,0,0,0,0,0,0,0,φρονῶν-δεινόν (2)
νόος,φρον,18.3151924907434,2,2,0,2,0,0,0,0,0,0,0,0,0,0,"φρονῶν-νόωι (1), φρονῶν-νόῳ (1)"
ἀγάω,φρον,18.3151924907434,2,0,2,0,0,0,0,0,0,1,1,0,0,0,"φρονῶν-ἄγαν (1), φρονοῦν-ἄγαν (1)"
χρῆμα,φρον,18.3151924907434,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φροντίς-χρημάτων (2)
λαμβάνω,φρον,17.4107017621282,2,2,0,2,0,0,0,0,0,0,0,0,0,0,φροντίς-λαβεῖν (2)
stob,φρον,17.4107017621282,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"φρονεῖν-stob (1), φρονῶν-stob (1)"
ἐάω,φρόνημα,17.0215451759286,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρόνημα-ἐᾶν (1)
σπάρτη,φρόνημα,15.9750488883874,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρόνημα-σπάρτης (1)
λογόω,φρον,15.524850991118,2,0,2,0,0,0,0,0,0,0,0,0,0,2,φρονοῦν-λόγους (2)
πίνω,φρον,15.0550786779495,2,2,0,0,2,0,0,0,0,0,0,0,0,0,φρονεῖν-πίνειν (2)
κεῖμαι,φρόνημα,14.7901096627756,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φρόνημα-κεῖσθαι (1)
καλέω,φρον,14.6356273247657,2,0,2,0,0,0,0,0,0,0,0,0,2,0,φροντίς-κεκλῆσθαι (2)
