Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,17,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὅς,σοφ,37.1922705691832,6,3,3,1,1,0,1,0,0,2,1,0,0,0,"σοφός-ὅς (2), σοφία-ἅ (1), σοφός-ὅν (1), σοφωτάτωι-ὧι (1), σοφῆι-ὧν (1)"
ὁ,σοφ,35.7873530268116,11,6,5,0,0,1,3,2,0,0,1,1,3,0,"σοφώτατος-τῶν (1), σοφῆι-τάς (1), σοφία-ἡ (1), σοφωτάτωι-τῶν (1), σοφίας-τῆς (1), σοφῶν-τό (1), σοφώτατος-ὁ (1), σοφία-τά (1), σοφῶν-τῶν (1), σοφίας-ὁ (1), σοφός-ὁ (1)"
τις,σοφ,32.512154397773,5,5,0,1,0,1,2,1,0,0,0,0,0,0,"σοφός-τις (3), σοφῆς-τις (1), σοφίας-τινα (1)"
ἀνήρ,σοφ,31.579104097691,4,0,4,0,0,0,0,0,0,1,3,0,0,0,"σοφός-ἀνήρ (3), σοφία-ἀνδρός (1)"
δοκεύς,σοφ,25.5100617659482,3,3,0,2,0,1,0,0,0,0,0,0,0,0,"σοφός-δοκεῖ (2), σοφία-δοκεῖ (1)"
χιλος,σοφ,24.4996993005916,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σοφός-χίλων (2)
ἀστήρ,σοφ,24.4996993005916,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σοφοῦ-ἀστέρος (2)
τέκτων,σοφ,24.4996993005916,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σοφοῦ-τέκτονος (2)
στείχω,σοφ,24.4996993005916,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σοφοῦ-στείχει (2)
πλουσιάω,σοφ,24.4996993005916,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σοφῆς-πλουσίαν (2)
πυκνός,σοφ,24.4996993005916,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σοφός-πυκνός (2)
δέος,σοφ,24.4996993005916,2,0,2,0,0,0,0,0,0,0,0,0,1,1,σοφός-δέος (2)
ποίκιλμα,σοφ,24.4996993005916,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σοφοῦ-ποίκιλμα (2)
σκαιότης,σοφ,24.4996993005916,2,0,2,0,0,0,0,0,0,0,0,2,0,0,σοφῆς-σκαιότητα (2)
καί,σοφ,24.2975649419095,7,4,3,0,0,1,1,2,0,0,1,2,0,0,"σοφός-καί (2), σοφία-καί (2), σοφῆι-καί (2), σοφωτάτωι-καί (1)"
