Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,3,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὑγίεια,σωφρ,32.9957732334296,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σωφροσύνην-ὑγίειαν (2)
γείτων,σωφρ,32.9957732334296,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σωφροσύνην-γείτονα (2)
ευσεβ,σωφρ,32.9957732334296,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφροσύνην-εὐσεβίης (2)
ὁ,σωφρ,31.0166557300545,6,2,4,0,0,2,0,0,0,1,0,1,1,1,"σωφροσύνην-αἱ (2), σωφροσύνην-τήν (2), σωφροσύνη-τά (1), σωφροσύνην-τό (1)"
μέτρον,σωφρ,12.1570585693844,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-μέτρον (1)
πάλιν,σωφρ,12.1570585693844,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνην-πάλιν (1)
ὑπέρ,σωφρ,10.9732143342117,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνην-ὑπέρ (1)
ἦδος,σωφρ,10.9732143342117,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφροσύνη-ἤδη (1)
ἀκούω,σωφρ,10.2367054037895,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνη-ἤκουσα (1)
καί,σωφρ,9.53788320357853,2,2,0,0,2,0,0,0,0,0,0,0,0,0,σωφροσύνην-καί (2)
ἑαυτοῦ,σωφρ,8.63481721868447,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφροσύνη-ἑαυτοῦ (1)
πράσσω,σωφρ,8.63481721868447,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνη-πράττειν (1)
ἔχω,σωφρ,8.14961398307059,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνην-ἑξῆς (1)
ὅτι,σωφρ,7.94535785865446,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνη-ὅτι (1)
φημί,σωφρ,7.29069631941093,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφροσύνην-φησίν (1)
ἄν,σωφρ,6.80023733897542,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνη-ἄν (1)
τις,σωφρ,6.69463915690721,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνη-του (1)
λέγω,σωφρ,6.64390165334044,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνη-λέγοντος (1)
γάρ,σωφρ,5.86888803154579,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνην-γάρ (1)
τε,σωφρ,4.67906520586985,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνην-τε (1)
εἰμί,σωφρ,4.50672693090746,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνη-εἴη (1)
σωφρ,σωφρ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"σωφροσύνην-σωφροσύνην (0), σωφροσύνη-σωφροσύνη (0)"
