Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,166,,,,,,,,,,,,,,,,
Files,2,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,593.828457747586,147,82,65,8,10,8,17,39,0,6,10,17,16,16,"δίκαια-τά (28), δίκαιον-τό (12), δικαίως-τῶν (9), δικαίως-οἱ (6), δικαίων-τῶν (6), δικαίως-τήν (6), δίκαια-τῶν (5), δίκαιον-τῶν (4), δικαίως-τῆς (4), δικαιότερον-τῶν (4), δικαίως-τοῖς (4), δίκαια-τοῖς (3), δικαίως-τά (3), δικαίως-τούς (3), δικαίως-τόν (3), δίκαια-τούς (2), δίκαιον-τῆς (2), δίκαια-τήν (2), δικαιότερον-τοῖς (2), δικαίου-τούς (2), δίκαιον-τήν (2), δίκαιον-τοῖς (2), δίκαιος-τά (2), δικαίως-ὁ (2), δικαίου-τήν (2), δικαιοτάτην-τήν (2), δικαιότερον-τούς (2), δικαίους-τῶν (1), δικαίου-τῆς (1), δικαίου-τῶν (1), δικαία-οἱ (1), δικαίω-τούς (1), δίκαια-τόν (1), δίκαια-οἱ (1), δικαίου-τοῖς (1), δικαίοις-τοῖς (1), δικαίου-ὁ (1), δίκαιος-τῆς (1), δίκαιος-τούς (1), δίκαιον-τούς (1), δίκαια-ταῖς (1), δικαιοτάτην-τοῖς (1), δικαιοσύνης-τοῖς (1), δικαιοτάτην-τά (1), δικαίῳ-τούς (1), δίκαιος-ὁ (1), δίκαιον-ταῖς (1), δικαίους-τῆς (1), δικαίω-τῶν (1), δικαίως-τό (1)"
ἄν,δικαι,201.412369825877,40,19,21,0,0,2,2,15,0,10,5,2,4,0,"δικαίως-ἄν (23), δικαιότερον-ἄν (10), δίκαιον-ἄν (2), δίκαια-ἄν (2), δικαιοτάτην-ἄν (1), δίκαιος-ἄν (1), δικαίου-ἄν (1)"
καί,δικαι,199.215921988012,64,29,35,6,3,6,6,8,0,10,11,2,6,6,"δίκαια-καί (18), δικαίως-καί (15), δίκαιον-καί (12), δικαίου-καί (6), δικαιοσύνης-καί (6), δικαιοσύνην-καί (2), δικαίων-καί (2), δικαιότερον-καί (1), δικαίους-καί (1), δικαιοτάτῳ-καί (1)"
εἰμί,δικαι,138.786028617062,40,12,28,3,3,4,1,1,0,11,3,8,5,1,"δίκαιον-εἶναι (10), δίκαιον-ἐστιν (2), δικαίως-ἦ (2), δικαίως-ἦν (1), δικαίᾳ-ἔστι (1), δίκαια-εἶναι (1), δικαιοτάτην-εἶναι (1), δικαίοις-εἶναι (1), δικαίως-ἔστιν (1), δικαίως-ὄντος (1), δίκαιον-ἔσονται (1), δίκαιον-ἦ (1), δίκαιος-εἴη (1), δικαιοσύνης-εἶναι (1), δίκαιος-ἐστιν (1), δίκαια-εἶτ' (1), δίκαιος-εἶναι (1), δίκαιον-ἐστι (1), δικαίους-εἶναι (1), δίκαιον-ἦν (1), δίκαια-ἐστι (1), δίκαιος-ἦν (1), δικαίου-εἶναι (1), δικαίως-εἴη (1), δικαιότερον-εἶναι (1), δικαίως-εἶναι (1), δίκαιον-ἔσεσθαι (1), δικαίου-ἦν (1), δικαιότερον-ἦν (1)"
δέ,δικαι,137.425185575383,46,22,24,2,5,10,4,1,0,5,8,5,4,2,"δίκαιον-δέ (13), δικαίως-δέ (8), δίκαια-δέ (7), δικαίως-δ' (5), δικαίων-δ' (3), δικαίου-δέ (3), δίκαιος-δέ (2), δικαίου-δ' (1), δικαίων-δέ (1), δικαιότερον-δ' (1), δικαιοσύνης-δέ (1), δίκαιος-δ' (1)"
οὗτος,δικαι,129.859619946918,39,14,25,2,7,0,4,1,0,4,6,4,3,8,"δίκαια-τούτου (4), δίκαια-τούτων (3), δίκαιον-τούτου (3), δικαίως-τούτων (2), δικαίως-οὗτος (2), δικαιότερον-τούτοις (2), δίκαια-ταῦτα (2), δικαίως-τούτου (2), δίκαιος-τοῦτο (2), δικαίως-ταῦτα (1), δικαίως-ταῦτ' (1), δικαίων-τούτων (1), δίκαιος-οὗτος (1), δικαίοις-τούτων (1), δικαίου-τούτων (1), δίκαιον-οὗτος (1), δίκαιον-τούτων (1), δικαίως-τούτῳ (1), δικαίως-τούτους (1), δικαίως-τοῦτ' (1), δικαίων-οὗτοι (1), δικαιότερον-τούτους (1), δίκαια-τούτῳ (1), δικαίως-τοῦθ' (1), δίκαιον-ταῦτα (1), δικαίως-ταύτην (1)"
ὑμός,δικαι,116.640166764846,26,17,9,3,4,5,0,5,0,5,1,1,2,0,"δικαίως-ὑμᾶς (6), δικαίως-ὑμῶν (4), δίκαιον-ὑμᾶς (3), δίκαια-ὑμᾶς (3), δικαίων-ὑμῶν (2), δίκαια-ὑμῶν (2), δικαιότερον-ὑμᾶς (2), δικαιότερον-ὑμῶν (1), δίκαιον-ὑμῶν (1), δικαίων-ὑμᾶς (1), δικαίου-ὑμῶν (1)"
οὐ,δικαι,103.926604811102,29,20,9,2,1,2,9,6,0,1,2,2,2,2,"δικαίως-οὐκ (8), δικαίως-οὐ (5), δίκαιον-οὐ (3), δίκαιον-οὐκ (2), δίκαια-οὐχ (2), δικαίων-οὐ (1), δικαίᾳ-οὐ (1), δίκαια-οὐ (1), δικαιοσύνην-οὐ (1), δίκαιος-οὐκ (1), δίκαιον-οὐχ (1), δικαίω-οὔ (1), δίκαιος-οὐ (1), δικαία-οὐ (1)"
αὐτός,δικαι,97.4962226245552,31,10,21,3,1,2,4,0,0,1,7,1,9,3,"δικαίως-αὐτόν (4), δικαίως-αὐτοί (3), δίκαια-αὐτοῖς (2), δίκαιον-αὐτῷ (2), δίκαια-αὐτόν (2), δικαίως-αὐτούς (1), δίκαιον-αὐτῶν (1), δίκαια-αὐτῶν (1), δικαιότερον-αὐτούς (1), δικαίως-αὐτήν (1), δικαίως-αὐτοῖς (1), δίκαιον-αὐτό (1), δίκαια-αὐτήν (1), δικαιοτάτην-αὐτῶν (1), δικαίως-αὐτῶν (1), δικαίους-αὐτούς (1), δικαιότερον-αὐτός (1), δικαίως-αὐτός (1), δικαιότερον-αὐτοῖς (1), δίκαια-αὐτῷ (1), δικαίως-αὐτῷ (1), δίκαιον-αὐτήν (1), δικαίους-αὐτῆς (1)"
ἤ,δικαι,86.9297600223217,21,9,12,0,0,1,4,4,0,1,3,3,3,2,"δικαίως-ἤ (8), δικαιότερον-ἤ (7), δίκαια-ἤ (2), δίκαιον-ἤ (2), δικαίους-ἤ (1), δικαίου-ἤ (1)"
γάρ,δικαι,86.6192665225826,24,10,14,1,2,1,5,1,0,1,3,7,2,1,"δικαίως-γάρ (12), δίκαιον-γάρ (3), δικαία-γάρ (2), δικαιότερον-γάρ (2), δικαίων-γάρ (2), δικαίω-γάρ (1), δικαιοτάτην-γάρ (1), δικαίου-γάρ (1)"
ἄδικος,δικαι,86.4139633574523,12,6,6,2,2,1,1,0,0,1,1,2,2,0,"δικαίως-ἀδίκως (9), δίκαια-ἄδικα (2), δίκαιον-ἄδικον (1)"
ψηφίζω,δικαι,84.7518636977766,11,1,10,0,0,0,1,0,0,6,1,3,0,0,"δίκαια-ψηφίσασθαι (4), δίκαια-ψηφιεῖσθε (3), δίκαιον-ψηφίσασθαι (2), δίκαια-ψηφίσασθε (1), δίκαια-ψηφιοῦνται (1)"
περί,δικαι,69.3958767082077,19,6,13,1,0,0,3,2,0,4,4,3,0,2,"δίκαιον-περί (4), δικαίου-περί (3), δικαιοσύνης-περί (2), δικαίων-περί (2), δικαιότερον-περί (2), δίκαιος-περί (1), δικαίᾳ-περί (1), δικαίους-περί (1), δικαίως-περί (1), δικαιοτάτην-περί (1), δικαίῳ-περί (1)"
ἐγώ,δικαι,65.199496867368,20,12,8,4,3,1,3,1,0,1,2,3,1,1,"δίκαιον-μοι (4), δίκαιον-ἐγώ (3), δικαίως-με (2), δικαίως-μοι (2), δίκαιον-ἡμεῖς (2), δίκαιον-μου (1), δικαίου-ἐγώ (1), δίκαια-με (1), δίκαια-ἐγώ (1), δικαίων-μοι (1), δικαίου-ἡμῖν (1), δικαίων-ἡμῖν (1)"
πολύς,δικαι,64.528159039095,17,10,7,0,0,1,8,1,0,0,2,2,1,2,"δικαιότερον-πολύ (8), δικαιοσύνης-πολλούς (2), δικαίως-πόλεων (1), δικαίου-πολύ (1), δικαίως-πολλῶν (1), δίκαια-πολύ (1), δικαίως-πολύ (1), δικαία-πολλοί (1), δικαιότερον-πολλοῦ (1)"
μέν,δικαι,60.1383099968079,23,11,12,1,3,3,3,1,0,4,1,3,2,2,"δίκαιον-μέν (7), δικαίως-μέν (6), δίκαια-μέν (3), δικαίου-μέν (2), δικαίων-μέν (2), δικαιοτάτῳ-μέν (1), δικαιότερον-μέν (1), δικαίους-μέν (1)"
ἀλλά,δικαι,56.5135814764071,17,6,11,3,0,2,1,0,0,1,5,0,3,2,"δικαίως-ἀλλ' (4), δίκαια-ἀλλά (3), δίκαιος-ἀλλά (2), δίκαιος-ἀλλ' (2), δίκαιον-ἀλλ' (2), δικαίως-ἀλλά (1), δικαίου-ἀλλ' (1), δίκαια-ἀλλ' (1), δίκαιον-ἀλλά (1)"
γιγνώσκω,δικαι,54.4416950962041,9,5,4,0,1,1,3,0,0,4,0,0,0,0,"δίκαια-γιγνώσκειν (2), δίκαια-γνώσεσθαι (2), δικαίως-γιγνώσκετε (1), δίκαια-γιγνώσκουσιν (1), δίκαια-ἔγνωτε (1), δίκαια-γνώσεσθε (1), δίκαια-γνῶναι (1)"
εἰ,δικαι,52.1667141586076,15,7,8,1,0,4,2,0,0,3,2,2,1,0,"δικαίως-εἰ (7), δίκαιον-εἰ (3), δίκαιος-εἰ (2), δίκαια-εἰ (2), δίκαιον-εἴ (1)"
ὑπό,δικαι,51.5882155636791,13,3,10,1,1,0,1,0,0,2,5,1,0,2,"δικαίως-ὑπό (3), δικαιότερον-ὑπό (3), δικαίως-ὑφ' (3), δικαίων-ὑφ' (2), δίκαιον-ὑφ' (1), δικαίως-ὑπ' (1)"
οὖν,δικαι,50.0882920995355,12,5,7,2,1,1,1,0,0,1,0,1,2,3,"δίκαιον-οὖν (5), δίκαια-οὖν (3), δικαίων-οὖν (2), δικαίου-οὖν (1), δικαίους-οὖν (1)"
τε,δικαι,50.0882920995355,12,8,4,2,1,0,0,5,0,0,0,2,0,2,"δικαίως-τε (4), δίκαια-τε (4), δίκαιον-τε (1), δικαία-τε (1), δικαίω-τε (1), δικαίου-τε (1)"
τίς,δικαι,49.9733535766136,15,13,2,1,0,1,1,10,0,0,0,1,0,1,"δικαίου-τοῦ (10), δίκαιον-τοῦ (2), δικαιότερον-τίνας (1), δικαία-τοῦ (1), δικαίως-τοῦ (1)"
ὦ,δικαι,48.4304787998553,13,8,5,2,2,2,2,0,0,0,2,1,1,1,"δίκαιον-ὦ (5), δικαίως-ὦ (4), δίκαια-ὦ (2), δικαίων-ὦ (1), δικαίου-ὦ (1)"
ὅτι,δικαι,47.1856971126981,15,9,6,1,3,3,1,1,0,0,0,2,4,0,"δικαίως-ὅτι (6), δίκαια-ὅτι (4), δίκαιον-ὅτι (2), δίκαια-ὅ (1), δικαίᾳ-ὅτι (1), δικαιότερον-ὅτι (1)"
παρά,δικαι,45.0788907092065,11,8,3,0,1,1,6,0,0,0,2,0,1,0,"δίκαιον-παρά (8), δικαίως-παρά (1), δικαίου-παρ' (1), δικαίοις-παρά (1)"
