Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ευσεβ,,,,,,,,,,,,,,,,
Instances,7,,,,,,,,,,,,,,,,
Files,2,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,ευσεβ,32.7926702108234,6,3,3,0,0,0,1,2,0,0,0,1,1,1,"εὐσεβές-καί (3), εὐσεβέστερον-καί (2), εὐσέβειαν-καί (1)"
ἀλλά,ευσεβ,28.884915539762,4,2,2,0,0,1,0,1,0,1,1,0,0,0,"εὐσεβέστερον-ἀλλά (1), εὐσεβές-ἀλλά (1), εὐσέβειαν-ἀλλ' (1), εὐσεβεῖν-ἀλλ' (1)"
σκεπτέος,ευσεβ,18.4295524323825,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβέστερον-σκεπτέον (1)
ἱερόσυλος,ευσεβ,18.4295524323825,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσέβειαν-ἱερόσυλος (1)
εὐτέλεια,ευσεβ,18.4295524323825,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσέβειαν-εὐτέλειαν (1)
περιτρέχω,ευσεβ,15.6571477015968,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσέβειαν-περιτρέχει (1)
θόρυβος,ευσεβ,14.6108354076277,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβεῖν-θορύβῳ (1)
παρά,ευσεβ,14.2839921079576,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"εὐσεβείας-παρά (1), εὐσεβές-παρά (1)"
λέγω,ευσεβ,13.9347926299088,2,1,1,0,0,0,1,0,0,0,0,1,0,0,"εὐσέβειαν-λέγων (1), εὐσεβές-λέξει (1)"
συνάρχω,ευσεβ,13.9314232575707,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβέστερον-συνάρχοντας (1)
ἀποκρίνω,ευσεβ,13.0237379102036,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβές-ἀπόκριναι (1)
οσι,ευσεβ,13.0237379102036,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβές-ὅσιον (1)
βασιλίς,ευσεβ,12.689027966233,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβέστερον-βασιλέα (1)
παρανομέω,ευσεβ,12.4025178502779,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβεῖν-παρανομεῖν (1)
ἀναγράφω,ευσεβ,11.9295489871874,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσέβειαν-ἀνέγραψε (1)
γίγνομαι,ευσεβ,11.7048533672933,2,1,1,1,0,0,0,0,0,1,0,0,0,0,"εὐσεβέστερος-γεγενημένης (1), εὐσεβέστερος-γένοιτο (1)"
μανθάνω,ευσεβ,11.547512897756,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβείας-μανθάνειν (1)
νικόμαχος,ευσεβ,10.7085510804318,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβείας-νικομάχου (1)
κρίνω,ευσεβ,10.7085510804318,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβεῖν-κρίνειν (1)
μηδέ,ευσεβ,10.4924390143715,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβεῖν-μηδέ (1)
ψυχή,ευσεβ,10.1199350203387,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβεῖν-ψυχῆς (1)
ὁ,ευσεβ,10.1086758335587,4,1,3,1,0,0,0,0,0,1,0,1,1,0,"εὐσεβέστερον-τούς (1), εὐσέβειαν-ὁ (1), εὐσεβέστερον-τόν (1), εὐσεβεῖν-τά (1)"
ἀναβαίνω,ευσεβ,9.73499968438409,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβές-ἀνάβηθι (1)
δικάζω,ευσεβ,9.29699453990906,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβεῖν-δικάζουσι (1)
οὐ,ευσεβ,9.20405660802498,2,0,2,0,0,0,0,0,0,1,1,0,0,0,"εὐσέβειαν-οὐκ (1), εὐσεβείας-οὐ (1)"
πότερος,ευσεβ,9.03436114243232,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβέστερον-πότερον (1)
πως,ευσεβ,8.40693715470843,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβέστερος-πῶς (1)
εἰμί,ευσεβ,7.60293895518407,2,0,2,0,0,0,0,0,0,1,0,0,0,1,"εὐσεβές-εἶναι (1), εὐσεβές-ἐστιν (1)"
ἀξιόω,ευσεβ,7.59515200136229,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβέστερος-ἀξιῶ (1)
ὅστις,ευσεβ,7.45747186196968,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβέστερος-ὅστις (1)
οὗτος,ευσεβ,7.43213600479066,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"εὐσεβές-τοῦτον (1), εὐσεβές-τούτου (1)"
πρᾶγμα,ευσεβ,7.30815139925107,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβεῖν-πράγματα (1)
δεινός,ευσεβ,7.30815139925107,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβές-δεινόν (1)
καίτοι,ευσεβ,7.11278859619051,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβείας-καίτοι (1)
μόνος,ευσεβ,6.9182279414963,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβέστερον-μόνον (1)
χρή,ευσεβ,6.77227816334926,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβείας-χρή (1)
δικαι,ευσεβ,6.25394670292735,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβές-δίκαιον (1)
πρότερος,ευσεβ,6.23014606372453,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβέστερος-πρῶτον (1)
λαμβάνω,ευσεβ,6.10422432748601,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβές-λαβεῖν (1)
δικαστής,ευσεβ,5.81643965188414,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβείας-δικασταί (1)
οὖν,ευσεβ,5.50835269596428,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβές-οὖν (1)
πρός,ευσεβ,5.46017688605934,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβές-πρός (1)
μή,ευσεβ,5.10661583091132,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβεῖν-μή (1)
ἐμός,ευσεβ,5.06752244057134,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβέστερος-ἐμοῦ (1)
ὦ,ευσεβ,4.89508633315563,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβείας-ὦ (1)
ἀνήρ,ευσεβ,4.83144306228496,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβείας-ἄνδρες (1)
ὡς,ευσεβ,4.48931841785088,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσέβειαν-ὡς (1)
τις,ευσεβ,4.45182153722271,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβέστερος-τις (1)
περί,ευσεβ,4.0567112150602,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβείας-περί (1)
ἄν,ευσεβ,3.84851400530897,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβέστερος-ἄν (1)
ἐγώ,ευσεβ,3.5627704039216,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβές-μοι (1)
αὐτός,ευσεβ,2.5832053211052,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβές-αὐτόν (1)
δέ,ευσεβ,1.67598088039085,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβέστερος-δ' (1)
ευσεβ,ευσεβ,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,"εὐσεβεῖν-εὐσεβεῖν (0), εὐσεβέστερος-εὐσεβέστερος (0), εὐσεβές-εὐσεβές (0), εὐσεβέστερον-εὐσεβέστερον (0), εὐσέβειαν-εὐσέβειαν (0), εὐσεβείας-εὐσεβείας (0)"
