Collocation,2013-09-07
KeyWord,σωφρ
Instances,15
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,85.9398060992826,18,5,13,0,2,2,1,0,0,2,1,3,2,5,"σωφρονεστέρους-τούς (2), ἐσωφρόνουν-τούς (2), σωφροσύνην-ἡ (1), σωφρονέστερον-τῶν (1), σωφρονεστέρους-τῶν (1), σωφρονῆτε-τά (1), ἐσωφρόνουν-τοῖς (1), σωφρονέστεροι-τῶν (1), σωφρονέστατος-τάς (1), σωφρονέστεροι-οἱ (1), σώφροσι-τήν (1), σωφρόνως-οἱ (1), σωφρονεῖν-οἱ (1), σωφρονεστάτην-τῶν (1), σωφρονεστάτην-τήν (1), σωφρονεῖν-τῆς (1)"
καί,σωφρ,68.1471017817967,13,7,6,1,1,0,1,4,0,3,1,1,1,0,"ἐσωφρόνουν-καί (2), σώφροσι-καί (2), σώφρονα-καί (2), σωφρόνως-καί (1), σώφρονας-καί (1), σωφρονέστατος-καί (1), σωφροσύνην-καί (1), σωφρονέστεροι-καί (1), σωφρονεστέρους-καί (1), σωφρονεῖν-καί (1)"
κοσμέω,σωφρ,29.69438024587,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"σώφρονα-κόσμιον (1), σώφροσι-κοσμίοις (1)"
εἰμί,σωφρ,26.5877978769131,6,3,3,0,0,0,3,0,0,2,1,0,0,0,"σώφρων-ἐστίν (1), σωφρονέστατος-εἴη (1), σώφρονα-εἶναι (1), σωφρονεστάτην-εἶναι (1), σωφρονέστερον-ἐστιν (1), σωφρόνως-εἰσι (1)"
αὐτός,σωφρ,21.1025676918216,5,1,4,0,0,1,0,0,0,0,1,3,0,0,"σώφρων-αὐτόν (2), σωφρονῆτε-αὐτῶν (1), σώφρονας-αὐτούς (1), ἐσωφρόνουν-αὐτῶν (1)"
ῶν,σωφρ,16.6898478097282,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνην-ῶν (1)
ἀνδραποδίζω,σωφρ,16.6898478097282,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνην-ἠνδραποδίσθη (1)
30,σωφρ,16.6898478097282,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονῆτε-30 (1)
κόσμιοί,σωφρ,16.6898478097282,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρόνως-κόσμιοί (1)
γυνή,σωφρ,15.8034630795009,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"σωφρονεστάτην-γυναῖκα (1), σώφροσι-γυναῖκα (1)"
μέν,σωφρ,15.1627085991204,4,0,4,0,0,0,0,0,0,0,0,1,2,1,"σωφρονεστέρους-μέν (1), σωφρόνως-μέν (1), ἐσωφρόνουν-μέν (1), σωφρονεῖν-μέν (1)"
εἰ,σωφρ,14.7988294875249,3,3,0,0,0,0,0,3,0,0,0,0,0,0,"ἐσωφρόνουν-εἰ (2), σώφρων-εἰ (1)"
ἀκούω,σωφρ,13.9875019921456,2,2,0,0,0,2,0,0,0,0,0,0,0,0,"σωφρονέστεροι-ἀκούσαντες (1), ἐσωφρόνουν-ἀκούσαντας (1)"
ἐξετάζω,σωφρ,13.9177190975752,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-ἐξετάζειν (1)
