Collocation,2013-09-07
KeyWord,φρον
Instances,10
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
δέ,φρον,32.8045509562362,7,2,5,1,1,0,0,0,0,1,0,0,1,3,"φρονεῖν-δ' (2), φρονέων-δ' (1), φροντίδι-δ' (1), φρονέων-δέ (1), φροντίδα-δ' (1), φρονεῖν-δέ (1)"
ὁ,φρον,29.4000377666671,6,1,5,0,0,1,0,0,0,2,0,1,1,1,"φρονέων-τοῖς (1), φρονεῖν-ὁ (1), φρονεῖν-τῶν (1), φροντίδα-τά (1), φρονεῖν-τό (1), φροντίδα-τάν (1)"
τυγχάνω,φρον,19.977726206067,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"φροντίδα-τυχών (1), φροντίδι-τυχεῖν (1)"
τείσανδρος,φρον,16.0421424481319,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίδα-τείσανδρον (1)
ἔπαλπνος,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονέων-ἔπαλπνος (1)
μητί̆ονται,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φροντίδι-μητί̆ονται (1)
ἀμευσιεπής,φρον,16.0421424481319,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίδα-ἀμευσιεπῆ (1)
_αθ,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φροντίδες-_αθ (1)
_γλώσσᾳ,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φρονεῖν-_γλώσσᾳ (1)
ἐπαμερίων,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φροντίς-ἐπαμερίων (1)
αιωι,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίδες-αιωι (1)
ρέποντε,φρον,16.0421424481319,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίδες-ρέποντε (1)
ρπόν,φρον,16.0421424481319,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φροντίδες-ρπόν (1)
πόποι,φρον,16.0421424481319,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίς-πόποι (1)
παρθενήϊα,φρον,16.0421424481319,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονεῖν-παρθενήϊα (1)
δόλοψ,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίς-δολόπων (1)
πˈρέπει,φρον,16.0421424481319,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονεῖν-πˈρέπει (1)
μέτοικος,φρον,16.0421424481319,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φροντίδα-πέδοικος (1)
ἀπατάω,φρον,16.0421424481319,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίς-ἀπατᾶται (1)
νάξιος,φρον,13.2701797331683,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίδα-νάξιον (1)
παράκειμαι,φρον,13.2701797331683,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονεῖν-παρκείμενον (1)
οῖς,φρον,13.2701797331683,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρονέων-οῖς (1)
ἁρπαλέος,φρον,13.2701797331683,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίδα-ἁρπαλέαν (1)
ὀρούω,φρον,13.2701797331683,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φροντίδα-ὀρούει (1)
ἄν,φρον,12.8946267851861,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"φροντίδα-κεν (1), φροντίδες-κα (1)"
ἐμπίτνω,φρον,12.2243094728328,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φρονέων-ἔμπετες (1)
ὑψόθεν,φρον,12.2243094728328,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονέων-ὑψόθεν (1)
παρά,φρον,12.1760578427929,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"φροντίσιν-παρ' (1), φροντίδα-πάρ (1)"
κιρνάω,φρον,11.5453393722419,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φροντίς-κίρναται (1)
σλ,φρον,11.5453393722419,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρονέων-σλ (1)
ἕλκω,φρον,11.040622360073,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονέων-ἕλκειν (1)
δέμας,φρον,11.040622360073,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίσιν-δέμας (1)
τέσσαρες,φρον,11.040622360073,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονεῖν-τέσσαρας (1)
σεύω,φρον,11.040622360073,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φροντίσιν-σύτο (1)
φλέγω,φρον,11.040622360073,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίδα-φλέγει (1)
πρόσθεν,φρον,10.6385381751461,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φροντίδι-πρόσθε (1)
μαλακός,φρον,10.6385381751461,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονέων-μαλακά (1)
et,φρον,10.6385381751461,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φροντίδα-et (1)
καρδίη,φρον,10.3042703309329,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίδι-καρδίᾳ (1)
σχέθω†,φρον,10.3042703309329,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίδα-σχέθοι (1)
κακός,φρον,10.3042703309329,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φρονέων-κακά (1)
ὁμῶς,φρον,10.3042703309329,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονέων-ὁμῶς (1)
σῶμα,φρον,10.018202331732,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονέων-σωμάτεσσι (1)
τραχύς,φρον,10.018202331732,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονέων-τραχύς (1)
νόστος,φρον,9.76817333139479,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρονέων-νόστος (1)
μέν,φρον,9.38407036941499,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"φρονεῖν-μέν (1), φρονέων-μέν (1)"
στόμα,φρον,9.34640926297288,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φροντίδα-στόμα (1)
η,φρον,8.9987321322551,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φροντίδες-η (1)
ἀλφεός,φρον,8.9987321322551,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φροντίσιν-ἀλφεῷ (1)
πρίν,φρον,8.84536013880279,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίδι-πρίν (1)
ἐνέπω,φρον,8.84536013880279,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρονεῖν-ἐνέπει (1)
αἰών,φρον,8.84536013880279,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φρονεῖν-αἰών (1)
ἑός,φρον,8.44574633357115,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φροντίδι-ἑᾷ (1)
_,φρον,8.32865765481256,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φροντίδες-_ (1)
οὔτε,φρον,8.11343020829372,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρονέων-οὔτε (1)
ὅτε,φρον,8.01401487994008,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φροντίσιν-ὅτε (1)
θνητός,φρον,7.91936715843622,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονεῖν-θνατός (1)
