Collocation,2013-09-07
KeyWord,ανδρει
Instances,323
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,ανδρει,1358.91341281496,269,145,124,21,14,32,23,55,0,48,21,24,16,15,"ἀνδρείαν-καί (63), ἀνδρεία-καί (39), ἀνδρείας-καί (29), ἀνδρεῖον-καί (20), ἀνδρεῖοι-καί (19), ἀνδρεῖος-καί (19), ἀνδρείως-καί (18), ἀνδρείᾳ-καί (17), ἀνδρείους-καί (13), ἀνδρείου-καί (7), ἀνδρειότεροι-καί (5), ἀνδρειοτάτους-καί (4), ἀνδρειότατος-καί (4), ἀνδρειότερον-καί (3), ἀνδρειότατοι-καί (2), ἀνδρειότερος-καί (2), ἀνδρειοτάτην-καί (1), ἀνδρείῳ-καί (1), ἀνδρειότατα-καί (1), ἀνδρειότατον-καί (1), ἀνδρειοτέρου-καί (1)"
ὁ,ανδρει,1187.04924269393,274,168,106,25,20,18,31,74,0,16,19,25,20,26,"ἀνδρείαν-τήν (40), ἀνδρεία-ἡ (24), ἀνδρείους-τούς (20), ἀνδρεῖοι-οἱ (19), ἀνδρείας-τῆς (16), ἀνδρείας-τό (10), ἀνδρεῖον-τό (9), ἀνδρεῖος-ὁ (7), ἀνδρείαν-τό (7), ἀνδρεία-τῶν (5), ἀνδρείας-τά (5), ἀνδρείαν-τοῖς (5), ἀνδρεῖον-τόν (5), ἀνδρείαν-οἱ (4), ἀνδρείαν-τῶν (4), ἀνδρεία-τόν (4), ἀνδρείαν-τῆς (4), ἀνδρεῖοι-τά (4), ἀνδρειότατος-ὁ (4), ἀνδρείας-τῶν (3), ἀνδρεία-τῆς (3), ἀνδρεία-ὁ (3), ἀνδρείαν-τόν (3), ἀνδρείας-ὁ (2), ἀνδρείως-τόν (2), ἀνδρεῖος-τῶν (2), ἀνδρείους-τά (2), ἀνδρεῖος-τοῖς (2), ἀνδρειότατον-τό (2), ἀνδρεῖοι-τόν (2), ἀνδρειότατος-τῶν (2), ἀνδρείαν-ἡ (2), ἀνδρεία-τό (2), ἀνδρείᾳ-ὁ (2), ἀνδρειοτάτους-τούς (2), ἀνδρείᾳ-ἡ (1), ἀνδρείους-τοῖς (1), ἀνδρείως-ἡ (1), ἀνδρειοτάτην-τήν (1), ἀνδρείως-τό (1), ἀνδρεία-τά (1), ἀνδρειότατε-τό (1), ἀνδρείους-τήν (1), ἀνδρείαν-τά (1), ἀνδρείως-τάς (1), ἀνδρείου-τήν (1), ἀνδρείου-τόν (1), ἀνδρείους-ὁ (1), ἀνδρείαν-ταῖς (1), ἀνδρεῖος-τό (1), ἀνδρεῖος-τῆς (1), ἀνδρειότατοι-τόν (1), ἀνδρείαις-τῆς (1), ἀνδρείας-τοῖς (1), ἀνδρειότατα-τοῖς (1), ἀνδρεῖος-τούς (1), ἀνδρείους-τῶν (1), ἀνδρειότατον-τόν (1), ἀνδρειότερον-τόν (1), ἀνδρεῖον-τά (1), ἀνδρείους-τῆς (1), ἀνδρεῖος-τόν (1), ἀνδρειοτέρους-τῶν (1), ἀνδρείαν-τάς (1), ἀνδρείας-τήν (1), ἀνδρείως-ὁ (1), ἀνδρειότατος-τό (1), ἀνδρεῖον-τῶν (1), ἀνδρεῖοι-τούς (1), ἀνδρειοτάτου-τῶν (1), ἀνδρεία-τοῖς (1), ἀνδρείους-τό (1), ἀνδρεῖοι-τῶν (1), ἀνδρείᾳ-τά (1), ἀνδρείους-οἱ (1), ἀνδρείαν-τούς (1), ἀνδρειότατοι-τῶν (1)"
εἰμί,ανδρει,483.887163333595,123,47,76,6,9,11,12,9,0,26,16,8,17,9,"ἀνδρείαν-εἶναι (17), ἀνδρεία-ἐστίν (8), ἀνδρεῖον-εἶναι (7), ἀνδρεία-εἴη (6), ἀνδρείους-εἶναι (5), ἀνδρείαν-ἦν (5), ἀνδρεία-ἐστιν (4), ἀνδρεία-εἶναι (4), ἀνδρεῖοι-ὄντες (3), ἀνδρεῖος-ὤν (3), ἀνδρείας-εἶναι (3), ἀνδρεία-ἔστι (2), ἀνδρεῖον-εἴη (2), ἀνδρείαν-εἴη (2), ἀνδρειότατοι-ὄντες (2), ἀνδρείας-εἴη (2), ἀνδρείας-ἐστίν (1), ἀνδρείους-εἰσίν (1), ἀνδρειοτέρους-ἔν (1), ἀνδρείαν-ὄν (1), ἀνδρεῖον-ἐστιν (1), ἀνδρεία-ᾖ (1), ἀνδρεῖος-ἦν (1), ἀνδρείους-ὄντας (1), ἀνδρείας-ἐστιν (1), ἀνδρεῖοι-εἰσιν (1), ἀνδρείαν-ἦ (1), ἀνδρεῖοι-εἰσι (1), ἀνδρεῖος-εἴη (1), ἀνδρειότατος-ὤν (1), ἀνδρεῖος-ἔσται (1), ἀνδρείως-εἶναι (1), ἀνδρείου-εἰσίν (1), ἀνδρεῖος-ᾖ (1), ἀνδρείᾳ-ἔν (1), ἀνδρεῖοι-εἶεν (1), ἀνδρείας-ὄν (1), ἀνδρεῖος-ἐστιν (1), ἀνδρεῖος-εἶναι (1), ἀνδρείου-ὄντος (1), ἀνδρεία-ἔστιν (1), ἀνδρειότατος-εἶναι (1), ἀνδρεῖοι-εἶναι (1), ἀνδρείως-ὄντι (1), ἀνδρείαις-εἰσι (1), ἀνδρειότατος-εἴη (1), ἀνδρείαν-εἰσιν (1), ἀνδρείου-ἔν (1), ἀνδρεῖοι-εἰσίν (1), ἀνδρεῖοι-ἐστέ (1), ἀνδρείας-ἔστιν (1), ἀνδρείαν-ἔσθ' (1), ἀνδρεία-ἦν (1), ἀνδρείᾳ-ἐστιν (1), ἀνδρεῖοι-ἔσονται (1), ἀνδρειότατοι-εἰσιν (1), ἀνδρεία-εἰσιν (1), ἀνδρείους-ἦ (1), ἀνδρείαν-ὤν (1), ἀνδρείου-ἔστιν (1), ἀνδρεία-ὄντι (1), ἀνδρεία-ὄντος (1), ἀνδρείαν-οὔσαις (1), ἀνδρεία-ἐστί (1)"
σωφρ,ανδρει,373.457988169044,42,23,19,4,3,7,8,1,0,5,7,6,0,1,"ἀνδρεία-σωφροσύνη (6), ἀνδρείαν-σωφροσύνην (6), ἀνδρείας-σωφροσύνης (5), ἀνδρεῖος-σώφρων (3), ἀνδρείᾳ-σωφροσύνῃ (3), ἀνδρεία-σώφρων (3), ἀνδρείου-σώφρονος (2), ἀνδρείαν-σώφρονα (2), ἀνδρεῖον-σώφρονα (2), ἀνδρείαν-σωφροσύνης (1), ἀνδρείᾳ-σωφροσύνην (1), ἀνδρείας-σωφροσύνην (1), ἀνδρεῖον-σωφρονεῖν (1), ἀνδρείαν-σωφρονεῖν (1), ἀνδρειότατος-σωφρονέστατος (1), ἀνδρείους-σώφρονας (1), ἀνδρειότεροι-σωφρονέστεροι (1), ἀνδρείαν-σωφρονοῖ (1), ἀνδρεῖον-σῶφρον (1)"
δέ,ανδρει,327.198639186099,95,54,41,7,9,14,7,17,0,7,6,10,10,8,"ἀνδρείαν-δέ (21), ἀνδρεία-δέ (12), ἀνδρείας-δέ (6), ἀνδρείαν-δ' (6), ἀνδρεῖοι-δέ (5), ἀνδρεῖος-δέ (5), ἀνδρείους-δέ (4), ἀνδρεῖον-δέ (4), ἀνδρειότατοι-δέ (3), ἀνδρείας-δ' (3), ἀνδρείᾳ-δέ (3), ἀνδρείως-δέ (3), ἀνδρειοτάτους-δέ (2), ἀνδρεία-δ' (2), ἀνδρεῖον-δ' (2), ἀνδρείου-δέ (2), ἀνδρειότατε-δέ (2), ἀνδρεῖος-δ' (2), ἀνδρείους-δ' (1), ἀνδρειότατα-δέ (1), ἀνδρειοτάτην-δέ (1), ἀνδρειότατος-δέ (1), ἀνδρειότεροι-δέ (1), ἀνδρειότατον-δέ (1), ἀνδρειοτάτου-δ' (1), ἀνδρειότατον-δ' (1)"
τε,ανδρει,181.15286472626,52,33,19,8,7,3,10,5,0,8,1,3,3,4,"ἀνδρείαν-τε (12), ἀνδρείου-τε (6), ἀνδρείως-τε (6), ἀνδρεία-τε (5), ἀνδρείας-τε (4), ἀνδρεῖοι-τε (4), ἀνδρείᾳ-τε (3), ἀνδρεῖον-τε (2), ἀνδρειότατος-τε (2), ἀνδρείους-τε (1), ἀνδρείῳ-τε (1), ἀνδρειοτάτους-τε (1), ἀνδρειότερος-τε (1), ἀνδρεῖος-τε (1), ἀνδρείαν-τέ (1), ἀνδρειότεροι-τε (1), ἀνδρεία-τ' (1)"
θαρσαλέος,ανδρει,177.131074756384,15,8,7,0,1,3,2,2,0,3,1,3,0,0,"ἀνδρείους-θαρραλέους (5), ἀνδρεῖοι-θαρραλέοι (3), ἀνδρεία-θαρραλέων (2), ἀνδρειότερον-θαρραλεώτερον (1), ἀνδρείως-θαρραλέως (1), ἀνδρεῖοι-θαρραλέα (1), ἀνδρείους-θαρραλέοι (1), ἀνδρειότατοι-θαρραλεώτατοι (1)"
δειλός,ανδρει,170.329343831167,16,11,5,0,2,5,3,1,0,0,2,0,1,2,"ἀνδρεῖοι-δειλοί (7), ἀνδρείους-δειλούς (1), ἀνδρεῖον-δειλοῦ (1), ἀνδρείαν-δειλήν (1), ἀνδρείου-δειλός (1), ἀνδρεῖος-δειλῶν (1), ἀνδρεῖος-δειλόν (1), ἀνδρείου-δειλοῦ (1), ἀνδρείους-δειλοί (1), ἀνδρείαν-δειλοί (1)"
ΛΑ,ανδρει,151.192065531388,15,0,15,0,0,0,0,0,0,3,4,4,0,4,"ἀνδρεία-ΛΑ (6), ἀνδρείαν-ΛΑ (6), ἀνδρείους-ΛΑ (1), ἀνδρεῖον-ΛΑ (1), ἀνδρειοτέρους-ΛΑ (1)"
οὐ,ανδρει,149.944570751861,45,21,24,5,5,6,2,3,0,6,7,3,3,5,"ἀνδρείαν-οὐ (5), ἀνδρεῖοι-οὐκ (4), ἀνδρεία-οὐ (4), ἀνδρείας-οὐκ (3), ἀνδρείους-οὐ (3), ἀνδρείας-οὐ (2), ἀνδρείας-οὔ (2), ἀνδρεία-οὐχ (2), ἀνδρεία-οὐκ (2), ἀνδρειότατε-οὐ (2), ἀνδρείαν-οὐχ (2), ἀνδρειότερον-οὐκ (1), ἀνδρείως-οὔ (1), ἀνδρείαν-οὐκ (1), ἀνδρεῖοι-οὐχ (1), ἀνδρειοτάτην-οὐ (1), ἀνδρείᾳ-οὐχ (1), ἀνδρεῖος-οὔ (1), ἀνδρειοτάτην-οὔ (1), ἀνδρεῖος-οὐκ (1), ἀνδρείους-οὐχί (1), ἀνδρείως-οὐκ (1), ἀνδρεῖοι-οὐ (1), ἀνδρεία-οὔ (1), ἀνδρεῖον-οὐ (1)"
