Collocation,2013-09-07
KeyWord,σωφρ
Instances,407
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σωφρ,1519.01208493672,325,140,185,16,23,15,27,59,0,57,37,29,28,34,"σωφροσύνη-καί (67), σωφροσύνην-καί (52), σωφροσύνης-καί (41), σωφρονεῖν-καί (23), σώφρων-καί (23), σώφρονα-καί (21), σωφρόνως-καί (16), σωφροσύνῃ-καί (12), σῶφρον-καί (9), σώφρονος-καί (6), σωφρονέστατος-καί (5), σωφρόνων-καί (5), σωφρονεστάτου-καί (4), σώφρονι-καί (4), σώφρονες-καί (3), σωφρονῇ-καί (3), σωφρονέστεροι-καί (3), ἐσωφρονεῖτε-καί (2), σωφρονοῦσιν-καί (2), σωφρονοῖ-καί (2), σωφρονεῖ-καί (2), σωφρονῇς-καί (2), σωφρονοῦσαι-καί (2), σώφροσιν-καί (2), σωφρονέστερος-καί (2), σεσωφρονηκώς-καί (1), σωφρονοῦσα-καί (1), σωφρόνει-καί (1), σωφρονῶν-καί (1), σωφρονήσειν-καί (1), σωφρονεστάτη-καί (1), σώφρονας-καί (1), σωφρονεῖς-καί (1), σωφρονοῦντα-καί (1), σωφρονίζει-καί (1), σωφρονῆτε-καί (1), σωφρονοῦντος-καί (1)"
ὁ,σωφρ,1433.19699848257,345,206,139,31,35,35,28,77,0,21,31,25,27,35,"σωφροσύνη-ἡ (34), σωφρονεῖν-τό (18), σωφροσύνην-τήν (17), σώφρων-ὁ (17), σωφροσύνη-τό (13), σωφροσύνην-τό (12), σωφροσύνης-τῆς (11), σώφρων-ἡ (6), σωφροσύνην-τά (6), σῶφρον-τό (6), σώφρονα-τήν (6), σωφρονεῖν-τῶν (6), σωφροσύνη-τῶν (6), σωφροσύνης-τό (6), σωφροσύνης-ὁ (5), σωφρονέστατος-ὁ (5), σωφροσύνης-τήν (4), σωφρόνων-τῶν (4), σωφροσύνης-τοῖς (4), σωφρονεῖ-ὁ (4), σώφρονα-τόν (4), σωφροσύνην-τῶν (3), σωφρόνως-τό (3), σωφροσύνης-τῶν (3), σωφροσύνης-τά (3), σωφρονεῖ-τά (3), σωφροσύνην-οἱ (3), σώφρονας-τούς (3), σώφρων-τόν (3), σώφροσιν-τοῖς (3), σωφρονεῖν-τόν (3), σωφρονοῦσιν-τά (3), σωφρόνως-τά (2), σωφρονοῦντος-τῶν (2), σωφρόνων-τά (2), σωφρόνως-ἡ (2), σωφρονοῦσιν-οἱ (2), σωφροσύνῃ-τό (2), σωφροσύνη-τῆς (2), σωφρονέστατος-τῶν (2), σωφροσύνη-ταῖς (2), σωφρονέστερον-ἡ (2), σωφρονεῖν-ἡ (2), σωφροσύνη-τά (2), σώφρονι-ὁ (2), σωφροσύνης-οἱ (2), σωφρονοῦσιν-τῶν (2), σώφρονα-τά (2), σωφρονεῖν-ὁ (2), σώφρονα-τῶν (2), σωφρονῶν-ὁ (2), σώφρων-τό (2), σωφρονεῖν-τά (2), σώφρονα-ὁ (2), σωφρονεστάτη-τῶν (2), σώφροσιν-τόν (1), σωφρονέστατος-τῆς (1), σωφροσύνην-τούς (1), σωφρονεστάτη-ἡ (1), σωφροσύνην-ταῖς (1), σώφρονος-τό (1), σωφρονοῖ-τά (1), σωφρονοῖμεν-τῆς (1), σώφρονες-τῆς (1), σωφρονεῖν-τούς (1), σώφρονι-τά (1), σωφρονοῦσα-ὁ (1), σωφρονεῖν-τήν (1), σωφρονοῖ-ὁ (1), σωφρονοῦντος-οἱ (1), σώφρονας-τά (1), σωφροσύνη-τάς (1), σώφρονος-τήν (1), σωφροσύνῃ-ὁ (1), σωφρονῇ-τό (1), σωφροσύνη-οἱ (1), σώφρονα-τῆς (1), σωφρονέστατα-τῆς (1), σωφροσύνη-οἷ (1), σωφρονισθείς-τήν (1), σωφροσύνην-τάς (1), σωφρονεῖν-τάς (1), σωφρονοῖμεν-τούς (1), σώφρονι-τῶν (1), σωφρόνει-τά (1), σωφρόνει-τό (1), σωφρονοῦσιν-τούς (1), σώφρονα-τούς (1), σωφρονῆτε-τά (1), σώφρονες-οἱ (1), σῶφρον-τῆς (1), σωφροσύνῃ-τῶν (1), σωφρόνως-ὁ (1), σωφροσύνη-τόν (1), σωφροσύνην-τοῖς (1), σώφρονες-τά (1), σωφρονοῦντος-ἡ (1), σωφρονέστατος-τήν (1), σωφρονοῦντα-τόν (1), σωφρονισθέντες-τήν (1), σωφρόνως-τόν (1), σωφροσύνῃ-τά (1), σώφρονι-ἡ (1), σώφρονι-τό (1), σωφρονῶν-τά (1), σώφρονα-τάς (1), σωφρονοῦντος-τῆς (1), σωφρονῆτε-τοῖς (1), σώφρονι-τόν (1), σώφρονος-τοῖς (1), σώφροσιν-τῶν (1), σῶφρον-τά (1), σωφροσύνῃ-ἡ (1), σώφρονα-οἱ (1), σῶφρον-τῶν (1), σώφρονι-τάς (1), σωφροσύνη-ὁ (1), σωφροσύνην-τόν (1), σώφρων-τά (1), σωφρονοῦσαι-τήν (1), σωφρόνως-τοῖς (1), σωφρονοῦσα-τά (1), σωφρονήσας-ὁ (1), σωφρονέστεροι-τό (1), σώφρων-τήν (1), σωφρόνων-τό (1), σώφρονος-τῆς (1)"
εἰμί,σωφρ,717.10930961743,175,77,98,15,19,12,15,16,0,31,19,15,20,13,"σωφροσύνην-εἶναι (24), σωφροσύνη-εἴη (11), σωφροσύνη-ἐστίν (10), σωφροσύνη-εἶναι (6), σωφροσύνης-εἶναι (6), σωφροσύνη-ἦν (4), σωφροσύνης-εἴη (4), σωφροσύνη-ἐστί (3), σώφρονα-εἶναι (3), σωφροσύνη-ἐστιν (3), σώφρων-εἴη (3), σωφροσύνης-ἐστιν (3), σώφρων-εἶναι (3), σωφρονεῖν-εἶναι (3), σωφρονεῖν-ἐστιν (3), σωφρονεῖν-ἦ (3), σωφρονεῖ-ἦ (2), σωφροσύνῃ-ἔστι (2), σώφρων-ἐστιν (2), σωφροσύνης-ἦν (2), σώφρων-ἐστί (2), σωφροσύνης-ἦ (2), σώφρονι-ἐστιν (2), σωφροσύνης-ἐστίν (2), σωφροσύνη-ἦ (2), σώφρων-ᾖ (2), σώφρων-ὤν (2), σωφροσύνη-ὄντι (2), σωφρονεῖν-ἐστί (2), σωφροσύνῃ-ἐστίν (1), σωφρόνως-ἔσται (1), σωφρονέστερος-εἴη (1), σωφροσύνην-ἔσεσθαι (1), σώφρονος-ἐστί (1), σωφρονήσειν-ἔσται (1), σωφροσύνην-ἐστίν (1), σωφρονοῦσιν-ἦ (1), σωφρονέστερον-εἴη (1), σωφρονεῖν-εἴη (1), σώφρονος-ἐστιν (1), σωφροσύνῃ-ἔν (1), σωφροσύνη-ᾖ (1), σωφροσύνῃ-εἴη (1), σώφρονα-ἦν (1), σωφροσύνην-οὖσαν (1), σωφροσύνη-ἔστιν (1), σωφροσύνης-ἔστιν (1), σωφροσύνης-ὄντας (1), σωφροσύνη-ἔσται (1), σωφρονεῖ-ἦν (1), σωφροσύνη-ἐστι (1), σωφρόνει-ἔστιν (1), ἐσωφρονεῖτε-ἦ (1), σώφρων-ἔσται (1), σώφρονες-ὄντες (1), σώφρονες-εἴη (1), σωφρονοῦντας-ἦν (1), σώφρονι-εἶναι (1), σώφρονας-ὄντας (1), σωφροσύνη-ἔσεσθαι (1), σωφρονεῖν-ἔστιν (1), σωφροσύνη-οὖσαι (1), σωφροσύνην-εἴη (1), σωφρονεῖς-ἔσται (1), σωφροσύνης-οὔσης (1), σώφρονι-ἦν (1), σώφροσιν-ἦν (1), σωφρονέστατος-εἶναι (1), σώφρονος-οὔσης (1), σωφρόνως-ἐστίν (1), σωφρονεῖν-ὤν (1), σωφρονεῖ-εἶναι (1), σώφρονας-εἶναι (1), σώφρων-ἐστίν (1), σωφρονέστατα-εἶναι (1), σωφρονέστερος-εἶναι (1), σωφρονοῦντος-ἰόντων (1), σωφρονεστάτου-ὤν (1), σώφροσιν-εἶναι (1), σωφροσύνης-ὄν (1), σωφροσύνη-εἶεν (1), σωφροσύνην-ἦν (1), σωφρόνως-ἦ (1), σωφροσύνην-ἔστι (1), σωφρονίζει-ἦν (1), σώφρονι-εἴη (1)"
δικαι,σωφρ,481.68044757098,67,36,31,4,5,8,17,2,0,2,12,12,4,1,"σωφροσύνη-δικαιοσύνη (15), σωφροσύνης-δικαιοσύνης (14), σωφροσύνην-δικαιοσύνην (10), σωφροσύνῃ-δικαιοσύνῃ (4), σωφρόνως-δικαίως (4), σῶφρον-δίκαιον (3), σώφρων-δίκαιος (2), σώφρων-δικαία (1), σώφροσιν-δικαίοις (1), σωφρονεῖν-δίκαιον (1), σώφρονος-δικαίου (1), σωφρονέστατος-δικαιότατος (1), σώφρονα-δικαίαν (1), σωφρόνων-δικαίων (1), σωφρονέστεροι-δικαιότεροι (1), σωφροσύνην-δικαίως (1), σώφρονα-δίκαιον (1), σωφροσύνης-δικαιοσύνῃ (1), σωφρόνως-δικαιοσύνῃ (1), σωφροσύνην-δίκαιον (1), σωφρονίζει-δικαιοτέρους (1), σώφρονες-δίκαιοι (1)"
ανδρει,σωφρ,368.550238091499,42,19,23,1,0,6,7,5,0,1,8,7,3,4,"σωφροσύνη-ἀνδρεία (6), σωφροσύνην-ἀνδρείαν (6), σωφροσύνης-ἀνδρείας (5), σώφρων-ἀνδρεία (3), σώφρων-ἀνδρεῖος (3), σωφροσύνῃ-ἀνδρείᾳ (3), σώφρονος-ἀνδρείου (2), σώφρονα-ἀνδρεῖον (2), σώφρονα-ἀνδρείαν (2), σωφροσύνην-ἀνδρείᾳ (1), σῶφρον-ἀνδρεῖον (1), σωφροσύνης-ἀνδρείαν (1), σωφρονοῖ-ἀνδρείαν (1), σωφρονεῖν-ἀνδρεῖον (1), σωφρονεῖν-ἀνδρείαν (1), σωφρονέστεροι-ἀνδρειότεροι (1), σωφροσύνην-ἀνδρείας (1), σώφρονας-ἀνδρείους (1), σωφρονέστατος-ἀνδρειότατος (1)"
δέ,σωφρ,335.965090183541,107,51,56,10,12,12,8,9,0,9,16,10,10,11,"σωφροσύνης-δέ (14), σωφροσύνη-δέ (12), σωφροσύνην-δέ (12), σώφρων-δέ (8), σωφροσύνη-δ' (5), σωφροσύνῃ-δ' (4), σωφρονεῖν-δέ (4), σώφρονι-δέ (3), σώφρονα-δέ (3), σώφροσιν-δέ (3), σωφροσύνην-δ' (3), σωφρονέστεροι-δέ (2), σωφρόνως-δ' (2), σωφρονεῖ-δ' (2), σωφροσύνῃ-δέ (2), σωφροσύνης-δ' (2), σῶφρον-δέ (2), σωφρονεῖν-δ' (2), σωφρόνως-δέ (2), σώφρονος-δ' (1), σωφρονεῖ-δέ (1), σώφρονι-δ' (1), σωφρονέστατος-δέ (1), σωφρόνει-δέ (1), σωφρονῶν-δέ (1), σωφρονοῦντας-δ' (1), σωφρόνων-δ' (1), σωφρονοῦσιν-δ' (1), σώφρονας-δέ (1), σωφρονοῦσαι-δέ (1), σωφρονοῦντα-δ' (1), σωφρονέστερος-δέ (1), σωφρονοῦντα-δέ (1), σωφρόνων-δέ (1), σωφρονῆτε-δέ (1), σωφρονοῦντος-δέ (1), σώφρων-δ' (1), σωφρονεστάτη-δέ (1), σώφρονα-δ' (1)"
πράσσω,σωφρ,272.031829040498,39,23,16,4,2,4,8,5,0,4,1,3,3,5,"σωφροσύνην-πράττειν (4), σωφρονεῖ-πράττων (3), σώφρων-πράττοι (2), σωφρονοῦσιν-πράττοντες (2), σωφρόνως-πράξας (2), σωφροσύνη-πράττειν (2), σεσωφρονηκώς-πράττων (1), σωφρονεῖ-πράττει (1), σωφρόνως-πράττηται (1), σωφρονοῖ-πράττων (1), σώφρων-ἔπραττεν (1), σωφροσύνη-πράττοι (1), σώφρονα-πράττειν (1), σωφρονεῖ-πράξας (1), σωφρονοῦσιν-πράττουσιν (1), σωφρονεῖν-ἔπραττον (1), σωφρονεῖν-πράττοντες (1), σώφρονα-πράττοντα (1), σωφρονεῖν-πράττοντας (1), σωφρόνως-ἔπραξεν (1), σωφρόνως-πράττοντες (1), σωφρόνως-πραττομένῳ (1), σωφρόνως-πράττειν (1), σωφροσύνης-πραττόμενον (1), σωφρόνως-πραττόμενον (1), σωφροσύνης-πράττεσθαι (1), σωφρόνως-πράττει (1), σωφρόνως-πράττεται (1), σωφροσύνῃ-πράττεται (1), σωφροσύνης-πράττεται (1)"
σωφρ,σωφρ,264.904212584719,34,18,16,5,3,4,3,3,407,3,3,4,2,4,"σωφρονεῖν-σωφρονεῖν (4), σωφρονεῖ-σωφρονεῖ (4), σωφρονεῖν-σωφροσύνη (2), σωφροσύνη-σωφρονεῖν (2), σωφροσύνῃ-σωφρόνως (2), σωφρονεῖν-σωφρόνων (1), σωφρονεῖν-σωφροσύνῃ (1), σωφρόνως-σωφροσύνῃ (1), σωφρόνων-σωφρονεῖν (1), σωφρονῶν-σωφρονοῦσα (1), σωφροσύνη-σώφρων (1), σώφρων-σωφροσύνη (1), σωφροσύνης-σωφρόνως (1), σωφρονοῦντα-σωφρονεῖν (1), σωφροσύνη-σωφρονέστερον (1), σωφροσύνῃ-σωφρονεῖν (1), σωφρονοῦσιν-σωφροσύνῃ (1), σωφροσύνῃ-σωφρονοῦσιν (1), σωφρονέστερον-σωφροσύνη (1), σωφρόνως-σωφρονεῖ (1), σωφρονοῦσιν-σωφρονεῖν (1), σωφρονοῦσα-σωφρονῶν (1), σωφρονεῖν-σωφρονοῦντα (1), σωφρονεῖ-σωφρόνως (1), σωφρόνως-σωφροσύνης (1), σῶφρον-σῶφρον (0), σώφρονες-σώφρονες (0), σωφρονῶμεν-σωφρονῶμεν (0), σεσωφρονηκώς-σεσωφρονηκώς (0), σωφρονεῖς-σωφρονεῖς (0), σεσωφρονίσθαι-σεσωφρονίσθαι (0), σωφρονοῖ-σωφρονοῖ (0), σωφρονῇ-σωφρονῇ (0), σωφρονήσας-σωφρονήσας (0), σωφρονῶν-σωφρονῶν (0), σώφρων-σώφρων (0), σωφρόνει-σωφρόνει (0), σώφρονος-σώφρονος (0), σωφρονοῦντος-σωφρονοῦντος (0), σωφρονέστατος-σωφρονέστατος (0), σώφρονας-σώφρονας (0), σωφρόνως-σωφρόνως (0), σωφροσύνην-σωφροσύνην (0), σωφροσύνη-σωφροσύνη (0), σωφρονισθείς-σωφρονισθείς (0), σωφρονέστατα-σωφρονέστατα (0), σωφρονοῦντα-σωφρονοῦντα (0), σώφρονα-σώφρονα (0), σωφρονέστερον-σωφρονέστερον (0), σωφρονεστάτου-σωφρονεστάτου (0), σωφρονοῦσαι-σωφρονοῦσαι (0), σωφρονῆτε-σωφρονῆτε (0), σωφρόνων-σωφρόνων (0), σώφρονι-σώφρονι (0), σωφρονεστάτη-σωφρονεστάτη (0), σωφρονήσειν-σωφρονήσειν (0), σωφρονισθέντες-σωφρονισθέντες (0), σωφρονίζει-σωφρονίζει (0), ἐσωφρονεῖτε-ἐσωφρονεῖτε (0), σώφροσιν-σώφροσιν (0), σαόφροσιν-σαόφροσιν (0), σωφρονέστερος-σωφρονέστερος (0), σωφρονέστεροι-σωφρονέστεροι (0), σωφρονοῦσιν-σωφρονοῦσιν (0), σωφροσύνῃ-σωφροσύνῃ (0), σωφρονῇς-σωφρονῇς (0), σωφρονοῦντας-σωφρονοῦντας (0), σωφρονιοῦσιν-σωφρονιοῦσιν (0), σωφροσύνης-σωφροσύνης (0), σωφρονοῦσα-σωφρονοῦσα (0), σωφρονοῖμεν-σωφρονοῖμεν (0)"
οὐ,σωφρ,228.865771023557,68,27,41,6,4,3,7,7,0,8,7,4,8,14,"σωφροσύνη-οὐκ (7), σωφροσύνη-οὐ (6), σωφροσύνην-οὐ (5), σωφροσύνης-οὐ (4), σωφρονεῖν-οὐκ (3), σωφροσύνῃ-οὐ (3), σωφροσύνῃ-οὔ (2), σώφρων-οὔ (2), σωφροσύνη-οὐχ (2), σωφρονεῖν-οὐ (2), σώφρονα-οὐ (2), σωφρόνως-οὐκ (2), σωφρονεῖ-οὐ (2), σωφρονοῦσιν-οὐ (2), σωφρόνει-οὐκ (1), σωφρονεῖν-οὔ (1), σωφρονιοῦσιν-οὐκ (1), σωφρόνως-οὐ (1), σωφροσύνην-οὐκ (1), σωφρονέστερος-οὐχ (1), σωφροσύνη-οὔ (1), σώφρων-οὐκ (1), σωφροσύνης-οὔ (1), σαόφροσιν-οὔ (1), σωφρονεῖ-οὐκ (1), σωφρονῶμεν-οὐ (1), σωφρονοῦσιν-οὐκ (1), σωφρόνως-οὐχ (1), σωφροσύνην-οὐχ (1), σωφρονισθείς-οὐ (1), σώφρονος-οὐ (1), σωφρονοῦσιν-οὐχ (1), ἐσωφρονεῖτε-οὐκ (1), σώφρονες-οὐ (1), σωφροσύνης-οὐκ (1), σωφρονήσας-οὐκ (1), σώφρονας-οὔ (1), σωφρονοῖ-οὐ (1)"
τε,σωφρ,227.212279312313,66,24,42,4,6,5,7,2,0,20,7,7,6,2,"σωφροσύνην-τε (9), σώφρων-τε (9), σωφροσύνης-τε (8), σωφροσύνη-τε (6), σώφρονος-τε (5), σωφρονεῖν-τε (5), σωφρόνως-τε (4), σωφροσύνῃ-τε (4), σώφρονα-τε (3), σώφροσιν-τε (3), σωφρόνων-τε (2), σώφρονι-τε (2), σωφροσύνης-τ' (1), σώφρων-τ' (1), σωφρονοῖμεν-τε (1), σωφρονεστάτου-τε (1), σωφρονέστατα-τε (1), σώφρονες-τε (1)"
