Collocation,2015-02-01
KeyWord,δικαι
Instances,"1,107"
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,4782.02295327932,1033,649,384,77,92,76,133,271,0,54,91,89,63,87,"δίκαιον-τό (153), δίκαια-τά (97), δικαίων-τῶν (49), δικαιοσύνη-ἡ (48), δίκαιος-ὁ (43), δικαιοσύνην-τήν (36), δίκαιον-τόν (27), δικαιοσύνης-τῆς (21), δικαίως-τό (18), δίκαια-ὁ (16), δικαιοσύνης-τό (15), δικαίως-τόν (13), δίκαιον-τούς (12), δικαιότατον-τό (12), δίκαιον-τοῖς (12), δικαιότατον-τόν (12), δίκαιον-τῶν (11), δικαίοις-τοῖς (11), δίκαιοι-οἱ (10), δικαίως-ὁ (9), δικαίως-τήν (9), δικαίους-τούς (8), δίκαια-τό (8), δικαίου-ὁ (8), δικαίου-τό (8), δίκαιον-ἡ (7), δίκαιον-τῆς (7), δικαίων-τό (7), δίκαια-τόν (6), δικαιοσύνη-τό (6), δίκαιος-τό (6), δικαίως-οἱ (6), δικαίας-τῆς (6), δικαίως-τά (5), δικαίως-τῶν (5), δικαίῳ-τό (5), δικαιοσύνης-τῶν (5), δικαίων-ὁ (5), δικαιότατος-ὁ (5), δικαιοτέρα-ἡ (5), δίκαια-τούς (5), δικαιοσύνης-ὁ (5), δίκαιον-οἱ (5), δίκαιον-τά (5), δικαιοσύνῃ-οἱ (5), δικαιοσύνην-τό (5), δικαίων-τοῖς (5), δικαιοσύνην-τῶν (4), δικαίου-τούς (4), δίκαιος-τῶν (4), δίκαιος-τόν (4), δικαιοσύνης-ἡ (4), δίκαιος-τά (4), δικαίου-τῆς (4), δικαίως-τούς (4), δικαίου-τόν (4), δικαίως-τῆς (4), δικαίῳ-τά (4), δίκαιον-ὁ (4), δικαίαν-τήν (4), δικαίου-τῶν (4), δικαιοσύνης-τούς (4), δίκαια-τήν (4), δίκαιον-τήν (3), δίκαιον-τάς (3), δικαιοσύνῃ-ὁ (3), δίκαιοι-τῶν (3), δικαιοσύνης-τήν (3), δικαιότερον-τῶν (3), δικαίων-οἱ (3), δικαιοσύνη-τοῖς (3), δίκαια-τῶν (3), δικαιοσύνη-τῆς (3), δικαιοσύνη-τήν (3), δικαίων-τόν (3), δικαιοσύνης-τόν (3), δίκαια-τῆς (3), δικαιότατα-τό (3), δικαιοσύνην-τοῖς (3), δικαιοσύνη-τά (3), δικαίων-τήν (3), δικαία-ὁ (2), δίκαια-οἱ (2), δικαίων-ταῖς (2), δικαιοσύνη-τούς (2), δικαιοσύνην-τόν (2), δικαίῳ-τήν (2), δικαιοσύνης-τοῖς (2), δικαίως-ἡ (2), δικαία-ἡ (2), δικαιότατον-τοῖς (2), δικαιότερον-τόν (2), δικαιότατον-τούς (2), δικαίου-τά (2), δικαίων-τά (2), δικαιοσύνῃ-τόν (2), δίκαιος-τῆς (2), δικαιότατα-ἡ (2), δικαίου-τήν (2), δικαιότερον-τό (2), δίκαιον-ταῖς (2), δικαιότατος-τούς (2), δικαιοσύνης-τά (2), δικαίους-τῶν (2), δικαιότατον-τῶν (2), δικαιοσύνην-τούς (2), δικαιοσύνην-τά (2), δικαιοσύνη-οἱ (1), δικαιοσύνῃ-τούς (1), δίκαιος-τοῖς (1), δικαίας-τόν (1), δικαιοτέραν-τό (1), δικαιοσύνης-ο (1), δικαιοσύνη-ὁ (1), δικαιοσύνην-ὁ (1), δικαία-τό (1), δικαιότερα-τούς (1), δικαιοσύνῃ-τῆς (1), δικαίῳ-τῶν (1), δικαιότατον-τῆς (1), δικαιότερον-τῆς (1), δικαιότατα-τά (1), δικαιοτέραν-τά (1), δικαίῳ-ὁ (1), δίκαιοι-τοῖς (1), δικαιοτάτῳ-ἡ (1), δικαία-τόν (1), δικαιοτάτη-ἡ (1), δικαίου-τοῖν (1), δικαίου-αἱ (1), δικαιότερον-ὁ (1), δικαιοτέρου-τήν (1), δικαίῳ-τόν (1), δικαίοις-ὁ (1), δικαιούμενον-τῆς (1), δικαίᾳ-τούς (1), δικαιότερον-τήν (1), δικαιότατον-τήν (1), δικαιοτάτων-τῶν (1), δικαίοις-τά (1), δικαίᾳ-τάς (1), δικαίους-τό (1), δικαίας-τό (1), δικαίῳ-ο (1), δικαιοτάτη-τῆς (1), δικαιῶν-τό (1), δικαίως-ταῖς (1), δικαίως-τοῖς (1), δικαιοσύνης-οἱ (1), δικαίας-τάς (1), δικαιότεροι-τό (1), δίκαιαι-αἱ (1), δικαίους-τήν (1), δικαίου-ταῖσιν (1), δικαίοις-τούς (1), δικαιοσύνην-τάς (1), δίκαια-ἡ (1), δικαιούμενον-τούς (1), δικαιότατος-τά (1), δικαιοῦντα-τόν (1), δικαιότατος-ἡ (1), δικαιοσύνη-τόν (1), δίκαιον-οἷ (1), δικαιότερον-τάς (1), δίκαιος-τάς (1), δικαίῳ-τάς (1), δικαιοσύνη-ταῖς (1), δικαίῳ-τῆς (1), δικαιότατα-ὁ (1), δικαίοις-τάς (1), δικαιότερα-τῶν (1), δικαιοσύνῃ-τήν (1), δικαιοσύνῃ-τῶν (1), δικαιότατα-τῶν (1), δικαίου-τοῖς (1), δικαίας-αἱ (1), δικαιοσύνης-τάς (1), δικαίως-τάς (1), δικαιότερα-τά (1), δικαιοσύνην-ταῖς (1), δικαίου-ἡ (1), δικαιοῦντα-τό (1), δίκαια-τάς (1)"
καί,δικαι,3809.94398658164,844,360,484,60,60,65,78,97,0,167,95,83,78,61,"δίκαιον-καί (171), δικαίων-καί (90), δικαιοσύνη-καί (84), δίκαια-καί (84), δικαιοσύνης-καί (70), δικαίως-καί (60), δικαιοσύνην-καί (53), δικαίου-καί (52), δίκαιος-καί (34), δικαιοσύνῃ-καί (21), δικαίῳ-καί (20), δίκαιοι-καί (14), δικαίοις-καί (11), δικαιότατον-καί (11), δικαιότερον-καί (9), δικαία-καί (7), δικαιότατος-καί (7), δικαίας-καί (6), δικαιότερα-καί (6), δικαίαν-καί (6), δικαίους-καί (5), δικαιότατα-καί (5), δικαιοσύνας-καί (3), δικαιοτάτου-καί (2), δικαιότεροι-καί (2), δικαιοτάτων-καί (2), δικαιοτέρους-καί (2), δικαιοτέρα-καί (1), δικαιούμενον-καί (1), δικαιότερος-καί (1), δικαιοτάτῳ-καί (1), δικαιοτέρου-καί (1), δικαίᾳ-καί (1), δικαιοτάτην-καί (1)"
εἰμί,δικαι,1536.71208411455,409,190,219,32,33,41,48,36,0,73,52,46,27,21,"δίκαιον-εἶναι (74), δίκαια-εἶναι (16), δικαιοσύνην-εἶναι (14), δίκαιον-ἦν (9), δικαιοσύνης-εἶναι (9), δικαιοσύνη-ἐστιν (8), δικαιοσύνη-εἶναι (7), δικαίου-εἶναι (7), δικαίως-εἶναι (6), δικαιοσύνη-εἴη (6), δικαιότατον-εἶναι (6), δίκαιον-ὄν (6), δίκαιον-ἐστίν (6), δίκαιον-ἐστιν (6), δίκαια-ἐστιν (5), δικαιοσύνης-εἴη (5), δίκαιον-ἔστιν (4), δίκαιον-εἴη (4), δικαιοσύνης-ἐστίν (4), δικαίων-εἶναι (4), δικαιοσύνη-ἐστίν (4), δίκαιος-ὤν (4), δίκαιον-ἦ (3), δίκαιον-ᾖ (3), δικαιοσύνη-ἔστι (3), δικαιοσύνης-ἐστιν (3), δίκαιον-ἐστι (3), δικαίῳ-εἶναι (3), δίκαιοι-εἰσιν (3), δικαιοσύνη-ἐστί (3), δικαιοσύνη-ὄν (3), δίκαιον-ἔστι (3), δικαίου-ἦν (3), δικαιοσύνη-ἦν (2), δίκαιοι-ὄντες (2), δίκαιον-ἐστί (2), δίκαιος-εἶναι (2), δίκαια-ἔσεσθαι (2), δίκαια-ἔστι (2), δικαιοσύνῃ-ὄν (2), δίκαια-ὄντι (2), δικαίου-ἐστιν (2), δικαίων-ὄντες (2), δικαίου-ὄντος (2), δίκαιος-εἰμί (2), δικαία-ἦν (2), δικαίοις-ἔσονται (2), δικαιοσύνης-ὄντι (2), δικαιότατος-ὤν (2), δικαιοσύνης-ἦ (2), δικαίως-ὄν (2), δίκαιοι-εἶναι (2), δικαίου-ἔστιν (2), δίκαια-ἐστίν (2), δικαίως-ἐστιν (2), δικαιοσύνη-ἐστι (2), δικαιοσύνης-οὔσης (2), δικαιοσύνην-ἐστι (2), δικαιοσύνη-ἦ (2), δικαιοσύνην-ἦ (2), δικαιοσύνῃ-εἶναι (2), δικαίως-εἴη (2), δίκαιος-εἴη (2), δικαίους-εἶναι (2), δικαιοσύνη-ἔστιν (2), δικαιότερον-εἶναι (2), δικαιοσύνῃ-ἔστιν (2), δίκαιοι-εἶεν (2), δικαιότατα-εἶναι (1), δίκαια-ὤν (1), δικαίῳ-ὄντι (1), δικαιότατον-ἐστιν (1), δίκαιον-ἔσεσθαι (1), δικαιοσύνην-ἔσεσθαι (1), δικαίως-ἐστίν (1), δικαιοσύνης-ἔστι (1), δικαίως-ἦν (1), δικαίου-ἐστίν (1), δίκαια-ἔσομαι (1), δικαία-εἶναι (1), δίκαιος-ἐστί (1), δικαιότερος-εἴη (1), δικαιότερα-ἐστί (1), δίκαιον-εἰσίν (1), δικαιοσύνην-ἔστιν (1), δικαίως-εἰσι (1), δικαιοσύνης-οὖσαν (1), δικαία-ὄντος (1), δικαίως-εἶεν (1), δικαίως-ἔν (1), δικαιοσύνῃ-εἰσιν (1), δίκαια-εἴη (1), δίκαια-ἦν (1), δικαιότερον-ὄν (1), δικαιοσύνην-ἐστιν (1), δικαίοις-οὖσιν (1), δικαίοις-ἦ (1), δικαιοσύνην-ᾖ (1), δικαίου-ἐσόμεθα (1), δίκαιος-ἦ (1), δικαιότατον-εἴη (1), δίκαια-ἔστιν (1), δικαιότατα-ἦν (1), δικαίων-ἐστιν (1), δικαίως-ἦ (1), δίκαιος-ἔσονται (1), δικαιοσύνῃ-ᾖ (1), δικαία-ἐστίν (1), δικαίως-εἰσίν (1), δικαιότατον-ἦν (1), δικαιοσύνῃ-ἔστι (1), δίκαια-ᾖ (1), δίκαιος-εἴην (1), δικαιοσύνη-ᾖ (1), δικαίαν-εἴη (1), δικαίοις-ἐστι (1), δικαίοις-εἶναι (1), δικαιότατος-ἔστιν (1), δικαίου-εἴη (1), δικαίων-ἐστι (1), δικαίοις-εἰσιν (1), δίκαιος-ἦν (1), δικαιοσύνης-ἔσται (1), δικαίου-ὄντι (1), δικαιότατον-ἔσεσθαι (1), δικαιοσύνης-εἰσί (1), δικαίῳ-ἐστιν (1), δίκαιοι-ἦ (1), δίκαιον-ἰόντα (1), δικαίου-ἦ (1), δικαιοτάτη-ᾖ (1), δικαίως-ἐσόμενον (1), δικαιοσύνης-ἔστιν (1), δίκαιοι-εἰσίν (1), δικαίως-ὄντι (1), δικαιοτέρα-ἐστί (1), δίκαιος-ἐστίν (1), δικαίῳ-ἦν (1), δικαίως-εἶμεν (1), δικαίους-εἴη (1), δικαίους-ὄντας (1), δικαία-ὄντων (1), δικαιοσύνην-ἦν (1), δικαίαν-εἶναι (1), δίκαιον-ὄντι (1), δικαίων-εἶμεν (1), δίκαιον-ὄντας (1), δίκαιον-ὄντος (1), δικαίων-ὄντι (1), δικαίως-ἔστιν (1), δικαίῳ-ἰών (1), δίκαιον-ἔσται (1), δίκαια-ἐσόμενον (1), δικαίῳ-εἴη (1), δίκαιαι-εἶναι (1), δικαιοσύνην-ὄν (1), δικαίους-ὄντες (1), δίκαιον-ἔα (1), δικαία-ᾖ (1), δίκαιοι-ἔστιν (1)"
ἄδικος,δικαι,1424.80972150341,149,31,118,11,8,7,2,3,0,6,47,34,18,13,"δίκαια-ἄδικα (31), δίκαιον-ἄδικον (23), δικαίων-ἀδίκων (22), δικαίου-ἀδίκου (10), δικαίως-ἀδίκως (8), δίκαιος-ἄδικος (7), δίκαιον-ἀδίκῳ (5), δίκαιοι-ἄδικοι (4), δίκαια-τἄδικα (3), δίκαιος-ἀδίκου (3), δικαίῳ-ἀδίκῳ (3), δικαιοτέρα-ἀδικωτέρα (2), δίκαιον-ἀδίκου (2), δίκαιος-ἄδικον (2), δικαίοις-ἀδίκοις (2), δικαιότατον-ἀδικώτατον (2), δίκαιον-ἀδίκους (1), δίκαιοι-ἀδίκων (1), δικαιοτέρους-ἀδικωτέρων (1), δικαίας-ἀδίκου (1), δικαιότερον-ἀδικωτέρου (1), δικαιότερα-ἀδικώτερα (1), δικαιότατος-ἄδικος (1), δικαιοσύνῃ-ἀδίκους (1), δικαίου-ἄδικα (1), δικαίους-ἄδικοι (1), δικαιοσύνη-ἄδικοι (1), δικαίου-ἄδικος (1), δικαιοσύνης-ἀδίκῳ (1), δικαιοσύνην-ἄδικα (1), δικαιοσύνης-ἀδίκου (1), δικαίων-ἄδικα (1), δίκαιοι-ἀδίκους (1), δικαιοτάτῳ-ἀδικώτατον (1), δικαίων-ἄδικον (1), δίκαιος-τἄδικα (1)"
δέ,δικαι,798.270500348881,240,110,130,19,18,13,26,34,0,14,39,28,25,24,"δίκαιον-δέ (61), δίκαια-δέ (29), δικαίως-δέ (19), δικαιοσύνην-δέ (17), δίκαιος-δέ (16), δικαιοσύνη-δέ (15), δικαιοσύνης-δέ (15), δίκαιοι-δέ (11), δικαίων-δέ (9), δικαιοσύνῃ-δέ (6), δικαιότατα-δέ (6), δικαίοις-δέ (5), δικαίου-δέ (5), δικαίῳ-δέ (4), δικαιότατον-δέ (3), δικαίας-δέ (2), δικαιοτέραν-δέ (2), δικαιοτέρου-δέ (2), δικαίαν-δέ (2), δικαίους-δέ (2), δικαιῶν-δέ (1), δικαιότεροι-δέ (1), δικαίᾳ-δέ (1), δικαιοτέρα-δέ (1), δικαιότατος-δέ (1), δικαιότερον-δέ (1), δικαία-δέ (1), δικαιοτάτων-δέ (1), δικαιότερα-δέ (1)"
δικαι,δικαι,647.325347166508,106,53,53,9,19,9,11,5,1107,5,11,9,19,9,"δίκαιον-δίκαιον (12), δίκαια-δίκαια (10), δικαιοσύνη-δίκαιον (6), δίκαιον-δικαιοσύνη (6), δικαιοσύνῃ-δίκαιοι (4), δίκαιοι-δικαιοσύνῃ (4), δίκαιος-δίκαιος (4), δίκαιον-δίκαια (3), δίκαια-δίκαιον (3), δικαίου-δικαιοσύνης (2), δικαιοσύνης-δικαιοσύνης (2), δικαιοσύνης-δικαίου (2), δίκαιος-δίκαια (2), δικαίας-δικαίας (2), δίκαιοι-δίκαιοι (2), δίκαια-δίκαιος (2), δικαιοσύνη-δικαιοτέρα (1), δικαιοσύνης-δίκαιον (1), δικαίου-δικαίας (1), δικαίας-δίκαιος (1), δικαιοσύνης-δικαίους (1), δίκαια-δικαιοσύνην (1), δίκαιον-δικαιοσύνην (1), δικαίου-δίκαιον (1), δίκαιον-δικαιοσύνης (1), δίκαιος-δικαία (1), δίκαιος-δικαίας (1), δικαιοσύνης-δικαίων (1), δίκαιον-δικαίου (1), δίκαια-δικαίως (1), δικαίου-δίκαια (1), δίκαιος-δικαίου (1), δικαίας-δικαίου (1), δικαιοτέρα-δικαιοσύνη (1), δικαία-δίκαιος (1), δικαιοσύνῃ-δίκαια (1), δικαίων-δικαιοσύνης (1), δίκαια-δικαιοσύνῃ (1), δικαιοσύνην-δίκαια (1), δικαίους-δικαιοσύνης (1), δίκαιον-δικαίῳ (1), δικαίως-δίκαια (1), δικαιοσύνῃ-δικαίως (1), δίκαιοι-δικαίοις (1), δικαίου-δίκαιος (1), δικαίοις-δίκαιοι (1), δικαιοσύνην-δίκαιον (1), δικαίῳ-δίκαιον (1), δίκαια-δικαίοις (1), δίκαια-δικαίου (1), δικαιοσύνης-δικαιοσύνη (1), δικαίους-δίκαιον (1), δίκαιον-δικαίους (1), δικαιοσύνη-δικαιοσύνης (1), δικαίως-δικαιοσύνῃ (1), δικαίοις-δίκαια (1), δικαιοτάτου-δικαιοτάτου (0), δικαιότατα-δικαιότατα (0), δικαιοτάτῳ-δικαιοτάτῳ (0), δικαιοτέρου-δικαιοτέρου (0), δικαιότερον-δικαιότερον (0), δικαιότερα-δικαιότερα (0), δικαίῳ-δικαίῳ (0), δικαίων-δικαίων (0), δικαιότεροι-δικαιότεροι (0), δικαιότατον-δικαιότατον (0), δικαιοσύνας-δικαιοσύνας (0), δικαιοτέρα-δικαιοτέρα (0), δικαιούμενον-δικαιούμενον (0), δικαιοσύνη-δικαιοσύνη (0), δικαιοσύνῃ-δικαιοσύνῃ (0), δικαίους-δικαίους (0), δικαίοις-δικαίοις (0), δικαίαν-δικαίαν (0), δικαιῶν-δικαιῶν (0), δικαία-δικαία (0), δικαιοῦντα-δικαιοῦντα (0), δικαιότερος-δικαιότερος (0), δικαίως-δικαίως (0), δικαιοτέρους-δικαιοτέρους (0), δίκαιαι-δίκαιαι (0), δικαιοτάτη-δικαιοτάτη (0), δικαιοσύνην-δικαιοσύνην (0), δικαίᾳ-δικαίᾳ (0), δικαίου-δικαίου (0), δικαιοτάτων-δικαιοτάτων (0), δικαιότατος-δικαιότατος (0), δικαιοτέραν-δικαιοτέραν (0), δικαιοτάτην-δικαιοτάτην (0)"
οσι,δικαι,633.590209256858,68,23,45,4,2,5,9,3,0,5,15,9,7,9,"δίκαιον-ὅσιον (19), δικαιοσύνη-ὁσιότης (9), δίκαια-ὅσια (6), δικαίου-ὅσιον (5), δικαίως-ὁσίως (4), δικαιοσύνη-ὅσιον (3), δικαιοσύνην-ὁσιότητα (3), δίκαιον-ὁσιότης (3), δικαίοις-ὁσίοις (2), δικαιοσύνην-ὅσιον (2), δικαίου-ὁσίου (2), δίκαιον-ὁσιότητα (2), δικαιότερον-ὁσιώτερον (1), δικαιοσύνης-ὁσιότητος (1), δικαιότατος-ὁσιώτατος (1), δικαιοσύνη-ὁσιότητι (1), δικαιοσύνῃ-ὅσιον (1), δίκαιος-ὅσιος (1), δίκαιοι-ὅσιοι (1), δίκαιον-ὅσια (1)"
ἄν,δικαι,531.579477237538,158,64,94,6,14,11,19,14,0,33,16,12,17,16,"δικαίως-ἄν (53), δίκαιον-ἄν (25), δίκαια-ἄν (13), δικαιοσύνην-ἄν (10), δικαιοσύνη-ἄν (9), δικαίῳ-ἄν (6), δικαιότατα-ἄν (6), δικαιοσύνης-ἄν (6), δικαίου-ἄν (5), δικαίων-ἄν (4), δίκαιος-ἄν (4), δικαιότερον-ἄν (3), δικαιότατον-ἄν (3), δικαιοσύνῃ-ἄν (3), δικαίους-ἄν (2), δίκαια-κα (1), δίκαιοι-ἄν (1), δικαίαν-ἄν (1), δικαίου-κα (1), δικαία-ἄν (1), δικαιότατος-ἄν (1)"
τίς,δικαι,529.864576678723,164,102,62,12,23,18,6,43,0,9,14,12,19,8,"δικαίου-τοῦ (49), δίκαιον-τοῦ (17), δίκαιον-τί (11), δικαιοσύνης-τοῦ (7), δίκαιος-τοῦ (6), δικαιοσύνη-τί (6), δίκαιος-τί (5), δικαιοσύνης-τί (5), δικαίως-τοῦ (4), δικαιοσύνην-τί (3), δικαίῳ-τοῦ (3), δίκαια-τί (3), δικαίως-τίς (3), δικαίως-τί (3), δικαίων-τί (3), δικαιοσύνη-τοῦ (2), δικαιοσύνην-τοῦ (2), δικαίων-τοῦ (2), δίκαιον-τίνα (2), δικαιοσύνην-τίνα (2), δίκαιοι-τί (2), δικαίας-τοῦ (2), δικαίου-τί (2), δικαιότατος-τοῦ (2), δικαιοσύνην-τίς (2), δίκαια-τίνι (1), δικαίῳ-τίνι (1), δικαιοσύνη-τίς (1), δίκαιοι-τοῦ (1), δικαιοσύνη-τίνι (1), δικαιοσύνῃ-τί (1), δίκαιος-τίνα (1), δικαιοσύνην-τίνος (1), δικαίῳ-τί (1), δικαίας-τί (1), δικαιότερον-τοῦ (1), δικαίως-τίνα (1), δίκαιος-τίς (1), δίκαιος-τίνι (1), δίκαιον-τίς (1), δικαιοτέρου-τοῦ (1)"
τε,δικαι,495.197150193155,153,82,71,8,15,14,27,18,0,32,6,10,11,12,"δικαιοσύνης-τε (25), δίκαιον-τε (20), δικαίων-τε (18), δικαιοσύνη-τε (13), δικαίου-τε (13), δικαιοσύνην-τε (11), δίκαια-τε (11), δικαίως-τε (9), δικαιότατον-τε (5), δικαίοις-τε (4), δίκαιος-τε (4), δικαίῳ-τε (3), δικαιότατος-τε (3), δικαιοσύνῃ-τε (2), δικαιότατα-τε (2), δίκαιον-τέ (1), δικαίας-τε (1), δικαίων-τέ (1), δίκαιοι-τε (1), δικαιοσύνας-τε (1), δικαία-τε (1), δικαιοτάτων-τε (1), δικαίους-τε (1), δικαιοτέρου-τε (1), δικαιούμενον-τε (1)"
