Collocation,2015-02-01
KeyWord,φρον
Instances,310
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,φρον,1009.4457376115,226,116,110,19,19,21,15,42,0,35,25,15,18,17,"φρονήσεως-καί (73), φρόνησιν-καί (48), φρονεῖν-καί (32), φρονήσει-καί (20), φρόνησις-καί (16), φρονήσεις-καί (6), φροντίζειν-καί (4), φρονοῦσιν-καί (2), φροντίζων-καί (2), φρονοῦντα-καί (2), φρονούντων-καί (2), φροντίζει-καί (2), ἐφρόντισας-καί (1), φρονῆσαι-καί (1), φροντίζεις-καί (1), φροντίς-καί (1), φροντίζουσι-καί (1), φροντίζοντος-καί (1), φρονεῦσι-καί (1), ἐφρόνουν-καί (1), φρονοῦντος-καί (1), ἐφρόνει-καί (1), φροντίσαι-καί (1), φρονοῦντες-καί (1), φροντίζουσιν-καί (1), φρονεῖ-καί (1), φρονήσεσιν-καί (1), φροντίδων-καί (1), φροντίδες-καί (1)"
ὁ,φρον,831.501274971291,225,120,105,23,28,18,24,27,0,16,27,23,21,18,"φρονήσεως-τῆς (21), φρόνησιν-τήν (15), φρονεῖν-τό (13), φρονήσεως-τῶν (11), φρονήσεως-τόν (8), φρονήσεως-τό (8), φρόνησις-ἡ (6), φροντίζειν-τῶν (6), φρόνησις-τῆς (5), φρόνησιν-τό (5), φρονήσεως-τήν (5), φρόνησιν-τῆς (4), φροντίζειν-τό (4), φρονήσεως-ἡ (4), φρόνησιν-τά (4), φροντίζοντες-οἱ (3), φρονοῦντα-τόν (3), φρόνησις-τήν (3), φροντίζων-τῶν (3), φρόνησις-τό (3), φρόνησιν-τῶν (3), φρονεῖν-τῶν (3), φρόνησιν-ὁ (3), φρονεῖν-τόν (3), φρονήσεως-ὁ (3), φρονεῖν-τήν (2), φρονήσεως-τούς (2), φρονοῦμεν-ὁ (2), φρόνησιν-τόν (2), φρόνησιν-ἡ (2), φροντίζει-τῶν (2), φρονήσεως-τά (2), φρονήσεως-οἱ (2), φρονήσεις-τάς (2), φροντίζουσιν-τῶν (2), φρονοῦμεν-τό (2), φρονήσει-τούς (2), φρονεῖν-οἱ (1), φροντίζουσι-τό (1), φρονούντων-τόν (1), φρονήσεων-τῶν (1), φροντίζοντες-τό (1), φρονήσεσιν-τῶν (1), φρονήσεις-τό (1), φροντίζειν-οἱ (1), φρονήσει-τοῖς (1), φρονοῦντος-τό (1), φρονοῦντες-τῶν (1), φρόνησιν-ταῖς (1), φρονοῦντες-οἱ (1), φρονῇς-τό (1), φρονεῦσι-τό (1), ἐφρόνει-ὁ (1), φρονήσει-τῶν (1), φροντίζειν-ὁ (1), φροντίζοντα-τῶν (1), φρονεῖ-τήν (1), φρονῶν-τῶν (1), φρονεῖ-ὁ (1), φρόνησις-τοῖς (1), φρονεῖν-ἡ (1), φροντίσαντες-τῆς (1), φροντίζοντες-τῆς (1), φροντίζουσιν-ὁ (1), φροντίζων-τό (1), φρονήσεως-τοῖς (1), φρονεῖν-τά (1), φρονήσει-τήν (1), ἐφρόντιζον-τούς (1), φρονεῖν-τῆς (1), φρονήσεως-αἱ (1), φρονήσεως-τάς (1), φροντίζων-τόν (1), φροντίζειν-τόν (1), φρονεῖ-τάς (1), φροντίζειν-τούς (1), φρονήσει-τά (1), ἐφρόντισας-τῶν (1), φρονήσεις-τῶν (1), φρονήσεως-ταῖς (1), φροντίζωσιν-τῶν (1), φρονεῖν-τούς (1), φρονήσει-τό (1), φροντίζειν-τήν (1), φρονούντων-τῶν (1), φροντίζων-ὁ (1), φρονοῦσιν-αἱ (1), φροντίζοις-τῶν (1), φρόνησις-τά (1)"
δέ,φρον,260.202530462295,73,35,38,8,7,3,10,7,0,10,11,7,5,5,"φρονήσεως-δέ (16), φρονήσει-δέ (8), φρόνησιν-δέ (8), φροντίζειν-δέ (6), φρόνησις-δέ (5), φρονεῖν-δέ (5), φροντίζων-δέ (4), φρονοῦντος-δέ (2), φρονῆσαι-δέ (2), φρονῶν-δέ (2), φροντίζουσιν-δέ (2), φροντίζῃ-δέ (1), φρονήσεις-δέ (1), φροντίζοντες-δέ (1), ἐφρόντιζον-δέ (1), φροντίζομεν-δέ (1), φρονεῖ-δέ (1), φροντίζωσιν-δέ (1), φρονοῦντας-δέ (1), φροντίδες-δέ (1), φρονοῦντα-δέ (1), φροντίσαντες-δέ (1), φρονοῦσιν-δέ (1), φροντίζει-δέ (1)"
εἰμί,φρον,252.019255427644,82,41,41,5,9,5,14,8,0,7,14,4,10,6,"φρόνησιν-εἶναι (13), φρονήσεως-ἦν (5), φρόνησις-εἶναι (4), φρόνησις-εἴη (4), φρονήσεως-ἐστίν (3), φρονήσεως-εἶναι (3), φρονήσεως-ἐστιν (3), φρόνησιν-οὖσαν (2), φρονήσεως-ἔστιν (2), φροντίζειν-εἶναι (2), φρονήσεως-ἔσται (2), φρονήσεως-ὄντι (2), φρονήσεως-οὔσης (2), φρονήσει-εἶναι (2), φρονεῖν-ἐστι (2), φρονήσει-ἦσαν (1), φρονήσεως-ὤν (1), φρόνησις-εἰσίν (1), φρόνησιν-ἔστων (1), φρόνησιν-ὤν (1), φρόνησιν-ἦ (1), φρονῶν-ἔσται (1), φροντίζων-εἴην (1), φρόνησις-ἔστι (1), φρόνησις-ᾖ (1), φρόνησιν-ὄν (1), φροντίζεις-ἔσται (1), φρόνησις-ἐστιν (1), φρονεῖν-εἶναι (1), φρονούντων-ἐστίν (1), φρονήσεως-εἰσίν (1), φρονοῦμεν-ἐστιν (1), φρόνησις-ἐστι (1), φροντίζουσιν-ᾖ (1), φρονῶν-ἔστι (1), φρονεῖν-ἔστι (1), φρονῶν-ἐστί (1), φρονήσεσιν-ὄν (1), φρονήσεως-ἐστι (1), φρονεῖν-ἦν (1), φρονήσει-ὄν (1), φρονεῖν-ἐστιν (1), φροντίζειν-ὄντος (1), φροντίζειν-ὄντας (1), φροντίζουσι-εἰσίν (1), φρονῆσαι-ὄντι (1)"
ἡδονά,φρον,205.594405895099,28,18,10,3,3,5,5,2,0,2,1,4,1,2,"φρονήσεως-ἡδονῆς (11), φρονήσει-ἡδονήν (3), φρόνησιν-ἡδονήν (3), φρόνησις-ἡδονῆς (2), φρονήσεως-ἡδονή (2), φρονήσει-ἡδονῆς (1), φρόνησιν-ἡδονῆς (1), φρόνησις-ἡδονήν (1), φρονεῖν-ἡδονῆς (1), φρόνησις-ἡδονή (1), φρονήσεις-ἡδονάς (1), φρονήσεως-ἡδονάς (1)"
ἤ,φρον,168.837905023247,44,17,27,5,2,3,2,5,0,14,6,4,2,1,"φρονήσεως-ἤ (11), φρόνησιν-ἤ (10), φρονεῖν-ἤ (5), φρονοῦμεν-ἤ (3), φροντίζειν-ἤ (3), φροντίζουσιν-ἤ (2), φρονήσει-ἤ (2), φρονήσεων-ἤ (2), φροντίζων-ἤ (2), φρονοῦσιν-ἤ (1), φροντίζοις-ἤ (1), φρόνησις-ἤ (1), φρονήσεις-ἤ (1)"
φρον,φρον,158.557381821796,20,10,10,4,1,3,1,1,299,1,1,3,1,4,"φρονήσεως-φρονήσεως (2), φρονήσεως-φρόνησις (2), φρόνησις-φρονήσεως (2), φρονήσει-φρόνησιν (1), φρονεῖ-φρονεῖν (1), φρονήσει-φρόνησις (1), φρόνησιν-φρονήσει (1), φρονεῖν-φρονεῖ (1), φρονοῦντα-φρονεῖν (1), φρονήσεως-φρονεῖν (1), φρονεῖν-φρονοῦντα (1), φρονῶν-φρονούντων (1), φρόνησις-φρονήσει (1), φρονῶν-φρονοῦντος (1), φρονεῖν-φρονήσεως (1), φρονούντων-φρονῶν (1), φρονοῦντος-φρονῶν (1), φροντίζοντος-φροντίζοντος (0), φρονοῦσαν-φρονοῦσαν (0), φροντίζωσιν-φροντίζωσιν (0), φρονῶν-φρονῶν (0), φρονήσει-φρονήσει (0), φρονοῦντας-φρονοῦντας (0), ἐφρόνει-ἐφρόνει (0), φροντίζοις-φροντίζοις (0), φρονεῦσι-φρονεῦσι (0), φροντίζομεν-φροντίζομεν (0), φρονεῖν-φρονεῖν (0), ἐφρόντισας-ἐφρόντισας (0), φροντίσαι-φροντίσαι (0), φρονήσεσιν-φρονήσεσιν (0), φρονεῖς-φρονεῖς (0), φροντίζει-φροντίζει (0), φρονοῦντες-φρονοῦντες (0), φρονῇς-φρονῇς (0), φροντίζοντες-φροντίζοντες (0), φροντίσαντες-φροντίσαντες (0), φρονοῦμεν-φρονοῦμεν (0), φρονοῦσιν-φρονοῦσιν (0), φροντίζεις-φροντίζεις (0), φρονοῦντα-φρονοῦντα (0), φρονήσεις-φρονήσεις (0), φρονήσεων-φρονήσεων (0), φρονούντων-φρονούντων (0), φρονοῦντος-φρονοῦντος (0), φροντίζουσι-φροντίζουσι (0), φρονήσαντες-φρονήσαντες (0), φροντίδες-φροντίδες (0), φροντίζοντα-φροντίζοντα (0), φροντίζῃ-φροντίζῃ (0), φρονεῖ-φρονεῖ (0), φροντίζουσιν-φροντίζουσιν (0), φρόνησις-φρόνησις (0), φροντίζοι-φροντίζοι (0), ἐφρόντιζον-ἐφρόντιζον (0), φρόνησιν-φρόνησιν (0), φροντίδων-φροντίδων (0), φρονῆσαι-φρονῆσαι (0), φροντίζειν-φροντίζειν (0), ἐφρόνουν-ἐφρόνουν (0), φρονοῦντε-φρονοῦντε (0), φροντίς-φροντίς (0), φροντίζων-φροντίζων (0)"
τίς,φρον,130.69893341884,42,26,16,2,7,3,4,10,0,0,7,4,1,4,"φρονεῖν-τοῦ (17), φρονήσεως-τοῦ (4), φρόνησιν-τοῦ (3), φροντίζων-τοῦ (2), φρόνησις-τοῦ (2), φρονήσει-τοῦ (2), φρονοῦντος-τοῦ (2), φρονήσεως-τί (2), φροντίζειν-τοῦ (2), φρονήσεως-τίνι (1), φρονεῦσι-τοῦ (1), φροντίζει-τοῦ (1), φρονῆσαι-τοῦ (1), φρονεῖν-τί (1), φρονῶν-τοῦ (1)"
οὐδείς,φρον,125.228540409356,26,21,5,2,2,3,3,11,0,1,2,1,1,0,"φροντίζειν-οὐδέν (5), φροντίζει-οὐδέν (3), φρονήσεως-οὐδέν (2), φροντίζοντες-οὐδέν (2), φροντίζων-οὐδέν (2), φρονεῖν-οὐδέν (1), φρόνησιν-οὐδέν (1), φρονοῦντος-οὐδέν (1), φροντίσαντες-οὐδέν (1), ἐφρόντιζον-οὐδέν (1), φροντίζουσιν-οὐδέν (1), φρονήσεως-οὐδείς (1), φρονῆσαι-οὐδέν (1), φρονῆσαι-οὐδενί (1), φρονῆσαι-οὐδείς (1), φροντίζοντα-οὐδέν (1), φροντίζοντος-οὐδενός (1)"
οὗτος,φρον,120.561251875013,44,19,25,2,2,6,6,3,0,5,3,5,6,6,"φρονεῖν-ταῦτα (5), φρόνησις-τοῦτο (2), φρονήσεως-τοῦτο (2), φρονήσεως-αὕτη (2), ἐφρόνουν-οὗτος (1), φρόνησις-τούτων (1), φροντίζοι-τούτων (1), φρονεῖν-τοῦτον (1), φρόνησιν-τοῦτο (1), φρονεῖν-τούτων (1), φρονεῖν-τούτοις (1), φρονήσεως-ταύτην (1), φροντίζειν-ταῦτα (1), φρόνησις-ταῦτα (1), φροντίζουσιν-τοῦτο (1), φρόνησιν-οὗτος (1), φρονήσεως-ταῦτα (1), φρονοῦντα-τούτων (1), φρονήσεις-ταῦτα (1), φροντίζομεν-τούτων (1), φρονήσαντες-ταῦτα (1), φρονοῦσιν-τούτῳ (1), φροντίζων-οὗτος (1), φρονοῦντος-τοῦτο (1), φροντίζειν-τούτων (1), φρονήσει-τούτων (1), φροντίς-τούτου (1), φρονεῖν-τούτῳ (1), φρονήσει-τοῦτο (1), φρόνησις-τούτου (1), φρονήσεως-τοῦτον (1), φρονῶν-τοῦτο (1), φροντίζουσι-τοῦτο (1), φροντίδες-τούτων (1), φροντίζουσιν-ταῦτα (1), φρονήσεως-τούτων (1), φρόνησις-τούτῳ (1)"
