Collocation,2015-02-01
KeyWord,οσι
Instances,167
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,οσι,871.983877323568,170,105,65,20,14,11,15,45,0,11,10,17,15,12,"ὅσιον-τό (69), ὅσια-τά (12), ὁσιότης-ἡ (12), ὅσιον-τήν (7), ὁσίων-τῶν (4), ὁσιότητα-τήν (4), ὅσιον-τῶν (4), ὁσίως-τόν (4), ὅσιον-τοῖς (4), ὅσιον-ἡ (3), ὁσίως-οἱ (3), ὁσίοις-τοῖς (3), ὁσίων-τά (2), ὁσίου-τό (2), ὅσιον-τόν (2), ὅσια-τό (2), ὅσιον-τά (2), ὁσίως-τό (2), ὅσια-τῶν (2), ὅσια-τόν (2), ὅσιον-οἱ (2), ὁσίων-τό (1), ὅσια-τῆς (1), ὁσίων-τοῖς (1), ὁσιότης-οἱ (1), ὅσια-τήν (1), ὅσιον-ὁ (1), ὅσιον-τούς (1), ὅσιος-τῶν (1), ὁσιώτατα-τάς (1), ὁσίους-τάς (1), ὁσιώτατα-τοῖς (1), ὅσιοι-τήν (1), ὁσιώτατα-τόν (1), ὁσιότητα-τό (1), ὅσιος-τό (1), ὅσιον-τάς (1), ὁσίους-τά (1), ὁσιωτάτους-τούς (1), ὅσιος-ὁ (1), ὁσιώτερον-τῶν (1), ὅσιος-τήν (1), ὅσια-τοῖς (1), ὅσια-τούς (1)"
καί,οσι,645.500102365389,136,74,62,7,6,17,16,28,0,25,18,6,7,6,"ὅσιον-καί (37), ὅσια-καί (27), ὁσιότης-καί (17), ὁσίου-καί (11), ὁσίων-καί (11), ὁσίως-καί (9), ὁσίοις-καί (4), ὁσιότητα-καί (4), ὅσιος-καί (3), ὁσιότητι-καί (2), ὁσιώτατος-καί (2), ὅσιοι-καί (2), ὁσιώτατα-καί (2), ὁσίους-καί (2), ὁσιότητος-καί (2), ὁσιωτάτους-καί (1)"
δικαι,οσι,633.590209256858,68,45,23,9,7,9,15,5,0,3,9,5,2,4,"ὅσιον-δίκαιον (19), ὁσιότης-δικαιοσύνη (9), ὅσια-δίκαια (6), ὅσιον-δικαίου (5), ὁσίως-δικαίως (4), ὁσιότης-δίκαιον (3), ὁσιότητα-δικαιοσύνην (3), ὅσιον-δικαιοσύνη (3), ὅσιον-δικαιοσύνην (2), ὁσίου-δικαίου (2), ὁσιότητα-δίκαιον (2), ὁσίοις-δικαίοις (2), ὁσιότητι-δικαιοσύνη (1), ὅσια-δίκαιον (1), ὅσιος-δίκαιος (1), ὅσιοι-δίκαιοι (1), ὁσιώτερον-δικαιότερον (1), ὁσιώτατος-δικαιότατος (1), ὁσιότητος-δικαιοσύνης (1), ὅσιον-δικαιοσύνῃ (1)"
οσι,οσι,366.717319753021,32,16,16,4,7,2,1,2,167,2,1,2,7,4,"ὅσιον-ὅσιον (14), ὁσιότης-ὅσιον (3), ὅσιον-ὁσιότητα (3), ὁσιότητα-ὅσιον (3), ὅσιον-ὁσιότης (3), ὁσιότης-ὁσιότης (2), ὅσια-ὅσια (2), ὅσιον-ὅσια (1), ὅσια-ὅσιον (1), ὁσιότητα-ὁσιότητα (0), ὁσίως-ὁσίως (0), ὁσίου-ὁσίου (0), ὁσιώτατος-ὁσιώτατος (0), ὁσιωτάτους-ὁσιωτάτους (0), ὁσίων-ὁσίων (0), ὁσιότητι-ὁσιότητι (0), ὅσιοι-ὅσιοι (0), ὁσιότητος-ὁσιότητος (0), ὅσιος-ὅσιος (0), ὁσίους-ὁσίους (0), ὁσίοις-ὁσίοις (0), ὁσιώτερον-ὁσιώτερον (0), ὁσιώτατα-ὁσιώτατα (0)"
εἰμί,οσι,357.531154423952,81,41,40,11,7,12,9,2,0,17,8,9,3,3,"ὅσιον-εἶναι (21), ὅσιον-ἐστιν (6), ὅσια-εἶναι (5), ὅσιον-ὄν (4), ὅσιον-ἐστίν (4), ὁσιότης-εἴη (3), ὅσιον-εἴη (3), ὁσιότητα-εἶναι (3), ὁσιότης-ἐστίν (2), ὅσιον-ἦν (2), ὅσιον-ἦ (2), ὅσιον-ἔστιν (2), ὅσια-εἴη (1), ὁσίων-ἐστίν (1), ὁσιώτερον-εἶναι (1), ὁσιότης-ὄν (1), ὁσιότης-ἔσται (1), ὅσια-ἔστιν (1), ὅσιον-ᾖ (1), ὁσίους-ἐστίν (1), ὅσιον-ἐστι (1), ὅσιος-ὤν (1), ὁσιότης-εἶναι (1), ὅσιοι-εἶεν (1), ὅσια-ἔσεσθαι (1), ὁσίως-εἰσιν (1), ὁσιότητι-ἐστιν (1), ὅσια-ἐστιν (1), ὁσιώτατος-ὤν (1), ὅσιον-ἔσται (1), ὅσιον-ἔστι (1), ὁσίου-εἶναι (1), ὁσίοις-ἐστι (1), ὁσιότης-ἦ (1), ὁσιότης-ἦν (1), ὅσια-ἔστι (1)"
ἀνόσιος,οσι,269.350951179862,21,7,14,3,3,1,0,0,0,0,2,8,1,3,"ὅσιον-ἀνόσιον (8), ὅσια-ἀνόσια (4), ὁσίοις-ἀνοσίοις (2), ὁσίου-ἀνοσίου (2), ὅσιον-ἀνοσίῳ (1), ὅσιος-ἀνοσίων (1), ὁσίων-ἀνόσιον (1), ὁσίων-ἀνοσίων (1), ὁσίου-ἀνόσιον (1)"
ευθ,οσι,132.28183872439,13,1,12,0,1,0,0,0,0,3,0,0,5,4,"ὅσιον-ευθ (6), ὅσια-ευθ (5), ὁσίου-ευθ (1), ὁσιότης-ευθ (1)"
τίς,οσι,113.918834403157,31,18,13,3,3,5,2,5,0,1,3,4,2,3,"ὁσίου-τοῦ (10), ὅσιον-τί (7), ὅσιον-τοῦ (5), ὅσια-τοῦ (2), ὅσιον-τίνα (1), ὁσίοις-τοῖσιν (1), ὁσιότητα-τοῦ (1), ὁσιότης-τοῦ (1), ὁσιότητα-τί (1), ὁσιότης-τί (1), ὁσίου-τί (1)"
οἷος,οσι,113.896069642156,17,10,7,3,2,0,1,4,0,3,1,1,2,0,"ὁσιότης-οἷον (9), ὅσιον-οἷον (7), ὅσια-οἷα (1)"
μή,οσι,103.280871929601,24,7,17,2,2,0,1,2,0,0,6,6,1,4,"ὅσιον-μή (15), ὁσιότης-μή (4), ὅσια-μή (3), ὁσίου-μή (1), ὁσίως-μή (1)"
