Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,8,,,,,,,,,,,,,,,,
Files,3,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ἐάν,ανδρει,43.4580907096388,4,2,2,1,0,0,1,0,0,1,0,0,1,0,ἀνδρείαν-ἐάν (4)
σοφ,ανδρει,39.8645557308337,4,3,1,0,2,1,0,0,0,0,0,0,0,1,"ἀνδρεῖος-σοφίᾳ (1), ἀνδρείαν-σοφίαν (1), ἀνδρείᾳ-σοφίᾳ (1), ἀνδρείους-σοφούς (1)"
ὅτι,ανδρει,30.920924980077,4,3,1,2,1,0,0,0,0,0,0,0,1,0,"ἀνδρεῖος-ὅτι (2), ἀνδρεῖον-ὅτι (1), ἀνδρείᾳ-ὅτι (1)"
τε,ανδρει,25.5752983064158,4,2,2,0,1,0,0,1,0,0,1,0,0,1,ἀνδρείαν-τε (4)
οἰάω,ανδρει,25.568204731564,2,1,1,0,0,0,1,0,0,1,0,0,0,0,ἀνδρεῖος-οἴει (2)
οὐ,ανδρει,25.1342820341233,4,0,4,0,0,0,0,0,0,1,2,0,1,0,"ἀνδρείους-οὐκ (1), ἀνδρείᾳ-οὐ (1), ἀνδρείας-οὐ (1), ἀνδρεῖος-οὐκ (1)"
ἤ,ανδρει,21.377863546717,3,3,0,1,0,1,0,1,0,0,0,0,0,0,ἀνδρείους-ἤ (3)
ὁ,ανδρει,21.3511449922808,6,2,4,0,0,1,1,0,0,1,1,0,0,2,"ἀνδρεῖος-τόν (1), ἀνδρείας-τά (1), ἀνδρεία-ἡ (1), ἀνδρεία-τῶν (1), ἀνδρείας-τῶν (1), ἀνδρείους-ο (1)"
εἰμί,ανδρει,20.7329688492464,4,0,4,0,0,0,0,0,0,2,1,1,0,0,"ἀνδρεῖος-εἶναι (2), ἀνδρεῖον-εἶναι (1), ἀνδρείᾳ-ἐστιν (1)"
δειλότατόν,ανδρει,16.8278432927327,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖον-δειλότατόν (1)
ἀγαθός,ανδρει,15.8607228962937,2,2,0,0,0,0,2,0,0,0,0,0,0,0,"ἀνδρείους-ἀγαθούς (1), ἀνδρείας-ἀγαθά (1)"
διότι,ανδρει,14.0556688819779,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖος-διότι (1)
χαίρω,ανδρει,14.0556688819779,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖον-χαίρεις (1)
ἰσχύω,ανδρει,14.0556688819779,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείᾳ-ἰσχῦσαι (1)
περί,ανδρει,13.1122475981247,2,2,0,0,0,2,0,0,0,0,0,0,0,0,"ἀνδρείᾳ-περί (1), ἀνδρεία-περί (1)"
ἡλικία,ανδρει,13.0095869182842,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεία-ἡλικία (1)
εὐγλωσσία,ανδρει,13.0095869182842,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείαν-εὐγλωσσίαν (1)
ἀποδέχομαι,ανδρει,13.0095869182842,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείους-ἀποδέχονται (1)
γίγνομαι,ανδρει,12.3494183630683,2,0,2,0,0,0,0,0,0,2,0,0,0,0,"ἀνδρείους-γενομένους (1), ἀνδρείας-γίνεται (1)"
νεκρός,ανδρει,12.3304051072337,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρεῖος-νεκρόν (1)
πολέμων,ανδρει,11.8254763769219,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείᾳ-πόλεμον (1)
πλήν,ανδρει,11.0887008897262,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείας-πλήν (1)
κομίζω,ανδρει,11.0887008897262,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖος-ἐκόμισας (1)
εὔχομαι,ανδρει,10.8024211506126,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείας-εὔχεσθαι (1)
ἀμαθία,ανδρει,10.8024211506126,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείᾳ-ἀμαθία (1)
πολεμέω,ανδρει,10.8024211506126,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείας-πολεμίοις (1)
ἰσχυρός,ανδρει,10.5521804030286,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖος-ἰσχυρός (1)
ταὐτός,ανδρει,10.3299130698433,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείᾳ-ταὐτόν (1)
γάρ,ανδρει,9.65943825151771,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"ἀνδρεῖος-γάρ (1), ἀνδρείας-γάρ (1)"
ὁμόνοια,ανδρει,8.61009499442298,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρεία-ὁμονοίας (1)
ἡδύς,ανδρει,8.523525636876,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείους-ἡδέως (1)
φέρω,ανδρει,7.87870606861543,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεῖος-φέρων (1)
οἶδα,ανδρει,7.16804823966231,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρεῖος-οἶσθα (1)
ὅδε,ανδρει,6.9658566332655,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρεῖον-οἵδε (1)
γε,ανδρει,6.64745974808466,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρεῖον-γε (1)
ἀνήρ,ανδρει,6.64745974808466,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρεία-ἀνδρῶν (1)
οὕτως,ανδρει,5.85449099377729,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείας-οὕτως (1)
σύ,ανδρει,5.83292794739828,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖον-σέ (1)
εἰ,ανδρει,5.39401066512801,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖος-εἰ (1)
ἀ,ανδρει,5.27824133157264,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρεία-ἀ (1)
_,ανδρει,5.26226350560319,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρεία-_ (1)
ἐγώ,ανδρει,5.1540341678774,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρεῖον-ἐγώ (1)
μή,ανδρει,4.55431251577102,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρεῖος-μή (1)
φημί,ανδρει,4.36758801958058,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρεῖον-φασιν (1)
τῷ,ανδρει,4.14488417713437,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεία-τῶι (1)
καί,ανδρει,3.93165057373699,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"ἀνδρείᾳ-καί (1), ἀνδρεῖος-καί (1)"
ἐν,ανδρει,3.65116223390214,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεία-ἐν (1)
ὅς,ανδρει,3.64453777647577,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρεῖος-ὅν (1)
δέ,ανδρει,1.54366261907853,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρεῖον-δέ (1)
ανδρει,ανδρει,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"ἀνδρεῖον-ἀνδρεῖον (0), ἀνδρείᾳ-ἀνδρείᾳ (0), ἀνδρείους-ἀνδρείους (0), ἀνδρείαν-ἀνδρείαν (0), ἀνδρεῖος-ἀνδρεῖος (0), ἀνδρείας-ἀνδρείας (0), ἀνδρεία-ἀνδρεία (0)"
