Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,ευσεβ,,,,,,,,,,,,,,,,
Instances,3,,,,,,,,,,,,,,,,
Files,2,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
γείτων,ευσεβ,39.1204804710578,2,0,2,0,0,0,0,0,0,2,0,0,0,0,εὐσεβίης-γείτονα (2)
ὑγίεια,ευσεβ,29.5861832241062,2,2,0,0,0,2,0,0,0,0,0,0,0,0,εὐσεβίης-ὑγίειαν (2)
θνητός,ευσεβ,26.3346480765613,2,2,0,0,2,0,0,0,0,0,0,0,0,0,εὐσεβίης-θνητοῖς (2)
σωφρ,ευσεβ,26.1182271444704,2,0,2,0,0,0,0,0,0,0,2,0,0,0,εὐσεβίης-σωφροσύνην (2)
θεός,ευσεβ,21.5193710960448,2,2,0,2,0,0,0,0,0,0,0,0,0,0,εὐσεβίης-θεῶν (2)
καί,ευσεβ,18.5600319292862,3,2,1,0,0,0,2,0,0,1,0,0,0,0,"εὐσεβίης-καί (2), εὐσεβῶς-καί (1)"
ἀθανατόω,ευσεβ,16.264610506827,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβῶς-ἀθανάτους (1)
ὁ,ευσεβ,15.0007732337108,3,2,1,0,0,0,0,2,0,0,0,1,0,0,"εὐσεβίης-τήν (2), εὐσεβίης-αἱ (1)"
diocl,ευσεβ,12.7590501636732,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβῶς-diocl (1)
ap,ευσεβ,11.0987206816208,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβῶς-ap (1)
ὑπέρ,ευσεβ,10.9987974056276,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβίης-ὑπέρ (1)
ζάω,ευσεβ,10.4120161684696,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβῶς-ζῆν (1)
πάλιν,ευσεβ,10.2052695880411,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβίης-πάλιν (1)
δικαι,ευσεβ,9.59059827576857,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβῶς-δικαίως (1)
diog,ευσεβ,9.59059827576857,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβῶς-diog (1)
ἔχω,ευσεβ,8.74248562275898,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβίης-ἑξῆς (1)
δεῖ,ευσεβ,8.53416629764251,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβῶς-δεῖν (1)
φημί,ευσεβ,6.51924755959772,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβῶς-ἔφη (1)
γάρ,ευσεβ,5.48702105507255,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβίης-γάρ (1)
τε,ευσεβ,5.36000362294726,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβίης-τε (1)
εἰμί,ευσεβ,4.17113822186366,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβῶς-εἶναι (1)
ευσεβ,ευσεβ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"εὐσεβίης-εὐσεβίης (0), εὐσεβῶς-εὐσεβῶς (0)"
