Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,42,,,,,,,,,,,,,,,,
Files,5,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,φρον,103.42644220381,25,10,15,3,1,2,3,1,0,3,3,1,6,2,"φρονεῖν-καί (4), φροντίδων-καί (4), φρονῶν-καί (3), φρόνησις-καί (3), φρονήσεως-καί (2), φροντίζειν-καί (2), φρονοῦντας-καί (2), φροντίζει-καί (1), φρονοίη-καί (1), φρονεῖ-καί (1), φρονεῖς-καί (1), φροντίδας-καί (1)"
ὁ,φρον,100.027720998623,29,18,11,5,4,1,3,5,0,0,3,1,7,0,"φρονεῖν-τό (6), φρονοῦν-τούς (4), φροντίδος-τῆς (2), φρονοῦντας-τούς (2), φροντίζειν-ὁ (2), φρονοῦν-τό (2), φροντίδας-τόν (1), φρονεῖν-τούς (1), φρονεῖς-ὁ (1), φρόνησιν-οἱ (1), φρονήσεως-τούς (1), φρόνησις-ἡ (1), φροντίζει-τῶν (1), φροντίδας-τά (1), φρονέειν-τό (1), φροντίδας-τάς (1), φροντίζει-ἡ (1)"
δέ,φρον,56.3677379400469,15,8,7,1,4,2,0,1,0,2,2,0,3,0,"φρονεῖν-δέ (4), φροντίζειν-δ' (2), φρονῶν-δ' (2), φροντίς-δ' (2), φροντίσαις-δ' (1), φροντίδος-δέ (1), φροντίδα-δέ (1), φρονῶν-δέ (1), φρονοῦσι-δέ (1)"
δοκή,φρον,54.3268421714893,4,2,2,0,0,0,0,2,0,2,0,0,0,0,"φρονεῖν-δοκῇ (1), φρονῶν-δοκῆι (1), φρονεῖν-δοκῆι (1), φρονῶν-δοκῇ (1)"
ἴσος,φρον,39.0673234628048,4,2,2,0,0,0,0,2,0,2,0,0,0,0,φρονοῦντας-ἴσα (4)
ὅταν,φρον,36.9526061798679,4,4,0,2,0,2,0,0,0,0,0,0,0,0,"φρονῶν-ὅταν (2), φρονεῖν-ὅταν (2)"
βλέπω,φρον,36.1690441922983,3,3,0,0,0,0,0,3,0,0,0,0,0,0,"φρονῶν-βλέπων (2), φρονεῖ-βλέπει (1)"
νόος,φρον,33.5028620073572,4,3,1,2,0,0,1,0,0,0,0,0,1,0,"φρονῶν-νόωι (1), φρονῶν-νόῳ (1), φρονέειν-νόωι (1), φρονήσεως-νοῦ (1)"
ἐπί,φρον,31.8842102979543,6,2,4,0,1,1,0,0,0,2,0,2,0,0,"φρονεῖς-ἐπί (4), φρονεῖν-ἐφ' (1), φρονοίη-ἐπί (1)"
μή,φρον,29.7547603702405,6,6,0,0,0,2,0,4,0,0,0,0,0,0,"φρονῶν-μή (2), φροντίζειν-μή (2), φρονεῖν-μή (2)"
μέγας,φρον,28.6081751589663,4,4,0,0,0,0,0,4,0,0,0,0,0,0,"φρονεῖς-μέγα (3), φρονοίη-μέγα (1)"
