Collocation,2013-09-08
KeyWord,σοφ
Instances,60
Files,5
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,206.476002836018,51,35,16,0,6,4,5,20,0,0,4,2,4,6,"σοφόν-τόν (9), σοφώτατος-ὁ (3), σοφίας-τῆς (3), σοφῶν-τῶν (3), σοφόν-τό (3), σοφίαν-τήν (3), σοφίαι-οἱ (2), σοφός-ὁ (2), σοφοί-οἱ (2), σοφώτατος-τῶν (2), σοφῶν-τούς (1), σοφίαν-τούς (1), σοφόν-οἱ (1), σοφοί-τῶν (1), σοφόν-τούς (1), σοφόν-ταῖς (1), σοφίαι-τοῖς (1), σοφόν-ὁ (1), σοφώτερος-τῶν (1), σοφῆι-τάς (1), σοφίαν-τό (1), σοφωτάτωι-τῶν (1), σοφία-τά (1), σοφίας-ὁ (1), σοφία-ἡ (1), σοφῶν-τό (1), σοφίην-τάς (1), σοφίας-τό (1), σοφόν-τά (1)"
καί,σοφ,124.605284083285,33,16,17,3,1,2,4,6,0,7,1,5,1,3,"σοφίαι-καί (9), σοφόν-καί (4), σοφός-καί (3), σοφία-καί (2), σοφωτάτη-καί (2), σοφίαν-καί (2), σοφοί-καί (2), σοφῆι-καί (2), σοφίη-καί (2), σοφίᾳ-καί (1), σοφῷ-καί (1), σοφώτατος-καί (1), σοφῶν-καί (1), σοφωτάτωι-καί (1)"
εἰμί,σοφ,77.4720788883278,19,7,12,0,4,2,1,0,0,4,2,2,3,1,"σοφόν-εἶναι (5), σοφίας-ἐστίν (2), σοφός-ἦν (2), σοφοί-ἔστι (1), σοφόν-ἐστι (1), σοφῶν-ἐστιν (1), σοφοί-εἰσι (1), σοφίας-εἶναι (1), σοφοί-εἶεν (1), σοφίᾳ-εἶναι (1), σοφόν-ἐστιν (1), σοφῶν-ἔστι (1), σοφώτατος-ἦν (1)"
τε,σοφ,64.1647580957506,14,5,9,0,1,1,1,2,0,1,5,1,0,2,"σοφίαν-τε (6), σοφόν-τε (3), σοφοῦ-τε (2), σοφωτάτωι-τε (1), σοφόν-τ' (1), σοφώτερος-τε (1)"
ἐάν,σοφ,52.9115911500994,7,4,3,1,1,0,2,0,0,2,0,0,1,0,"σοφίαν-ἐάν (6), σοφός-ἐάν (1)"
ανδρει,σοφ,39.8645557308337,4,1,3,1,0,0,0,0,0,0,0,1,2,0,"σοφίαν-ἀνδρείαν (1), σοφίᾳ-ἀνδρείᾳ (1), σοφούς-ἀνδρείους (1), σοφίᾳ-ἀνδρεῖος (1)"
πᾶς,σοφ,39.3968499896582,8,0,8,0,0,0,0,0,0,2,4,1,1,0,"σοφίαι-πᾶσαι (2), σοφόν-πάντα (2), σοφώτερος-πάντων (1), σοφός-πᾶσαν (1), σοφόν-πάντων (1), σοφώτατος-πάντων (1)"
ἀριστάω,σοφ,38.1544620445929,3,1,2,1,0,0,0,0,0,0,2,0,0,0,σοφωτάτη-ἀρίστη (3)
δέ,σοφ,33.3791010245914,13,5,8,3,0,0,2,0,0,4,0,2,0,2,"σοφόν-δέ (3), σοφός-δέ (2), σοφῆς-δέ (2), σοφοί-δέ (2), σοφός-δ' (1), σοφίας-δέ (1), σοφίαν-δέ (1), σοφῶν-δέ (1)"
ὅς,σοφ,30.3672498493688,8,4,4,1,2,0,1,0,0,2,2,0,0,0,"σοφός-ὅς (2), σοφία-ἅ (1), σοφώτερος-ὅς (1), σοφῆι-ὧν (1), σοφός-ὅν (1), σοφῶν-οὕς (1), σοφωτάτωι-ὧι (1)"
