Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,20,,,,,,,,,,,,,,,,
Files,4,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
οὐ,σωφρ,81.9163552009268,12,6,6,0,0,0,4,2,0,2,0,4,0,0,"σωφρονεῖ-οὐ (4), σωφρονεῖ-οὔ (2), σώφρων-οὐ (2), σωφροσύνην-οὐκ (2), σώφρων-οὔκ (1), σώφρων-οὐκ (1)"
καί,σωφρ,79.4564451086335,16,7,9,0,4,0,0,3,0,4,1,3,1,0,"σωφροσύνης-καί (9), σωφροσύνην-καί (4), σωφρονεῖν-καί (2), σώφρονα-καί (1)"
ὁ,σωφρ,60.7266766502289,16,8,8,1,0,3,0,4,0,1,2,2,1,2,"σωφροσύνης-τῆς (5), σωφροσύνην-τήν (4), σωφροσύνην-αἱ (2), σωφροσύνη-τά (1), σώφρονας-τούς (1), σώφρονας-ὁ (1), σωφροσύνην-τό (1), σώφρονα-τήν (1)"
συλλογή,σωφρ,60.3171463555191,4,4,0,3,1,0,0,0,0,0,0,0,0,0,"σωφροσύνης-ξυλλογήν (2), σωφροσύνης-συλλογῆς (2)"
ὑπέρ,σωφρ,52.6527579249814,5,4,1,0,2,2,0,0,0,0,0,1,0,0,"σωφροσύνης-ὑπέρ (4), σωφροσύνην-ὑπέρ (1)"
εὐκλεία,σωφρ,50.7592748500174,4,0,4,0,0,0,0,0,0,0,2,2,0,0,σωφροσύνης-εὐκλείας (4)
πάσχω,σωφρ,33.7390648799483,4,4,0,0,4,0,0,0,0,0,0,0,0,0,"σωφρονεῖ-πείσεσθαι (2), σωφροσύνην-παθόντες (2)"
γείτων,σωφρ,29.9362465451704,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σωφροσύνην-γείτονα (2)
ἀποφέρω,σωφρ,29.9362465451704,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σωφρονέστερος-ἀπενέγκηται (2)
ἑψάω,σωφρ,29.9362465451704,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σώφρων-ἥψατο (2)
ἀναφαίνω,σωφρ,26.1182271444704,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφροσύνην-ἀνεφάνησαν (2)
ευσεβ,σωφρ,26.1182271444704,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφροσύνην-εὐσεβίης (2)
πανταχοῦ,σωφρ,24.3932003502268,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφρονεῖ-πανταχοῦ (2)
δειμαίνω,σωφρ,24.3932003502268,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφρονέστερος-δειμαίνει (2)
γάρ,σωφρ,24.1905836252263,5,0,5,0,0,0,0,0,0,0,3,2,0,0,"σώφρων-γάρ (2), σωφρονέστερος-γάρ (2), σωφροσύνην-γάρ (1)"
οὗτος,σωφρ,23.8690872142324,5,5,0,2,1,2,0,0,0,0,0,0,0,0,"σωφροσύνην-ταῦτα (2), σωφρονέστερος-τούτων (2), σώφρονα-τοῦτον (1)"
τε,σωφρ,23.558223049622,5,4,1,0,0,2,2,0,0,0,1,0,0,0,"σωφροσύνης-τε (4), σωφροσύνην-τε (1)"
δόξις,σωφρ,23.2093267965829,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφροσύνης-δόξης (2)
ἐλπίς,σωφρ,21.5658006652957,2,0,2,0,0,0,0,0,0,2,0,0,0,0,σωφρονεῖ-ἐλπίδες (2)
ἀνήρ,σωφρ,21.2028028465575,3,0,3,0,0,0,0,0,0,0,2,1,0,0,"σωφροσύνην-ἀνδρός (2), σωφρονεῖν-ἀνήρ (1)"
ὑγίεια,σωφρ,20.4089948873734,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σωφροσύνην-ὑγίειαν (2)
ἑαυτοῦ,σωφρ,20.1958932181587,3,2,1,0,0,0,2,0,0,0,0,0,1,0,"σωφροσύνη-ἑαυτοῦ (1), σώφρονα-ἑαυτῶι (1), σωφρονεῖν-ἑωυτούς (1)"
δέ,σωφρ,19.4567360372748,6,2,4,0,0,2,0,0,0,2,2,0,0,0,"σωφρονεῖ-δ' (3), σωφροσύνην-δέ (2), σωφρονεῖ-δέ (1)"
μήτε,σωφρ,19.1334350417601,2,2,0,0,2,0,0,0,0,0,0,0,0,0,σώφρων-μήτε (2)
ἐπιθυμέω,σωφρ,18.7855714088073,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σώφρων-ἐπεθύμησε (2)
ὅς,σωφρ,18.5112910757307,4,2,2,0,2,0,0,0,0,0,2,0,0,0,"σωφρονέστερος-ἅ (2), σωφρονέστερος-ὧι (1), σωφρονέστερος-ᾧ (1)"
κρατέω,σωφρ,18.4657790231286,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σώφρων-κρατήσας (2)
εὖ,σωφρ,18.169867906021,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφροσύνης-εὖ (2)
εἰμί,σωφρ,17.6765810325742,5,2,3,0,0,0,0,2,0,0,1,2,0,0,"σώφρων-ἔσθ' (2), σώφρων-ἔστι (1), σώφρων-ἐστι (1), σωφροσύνη-εἴη (1)"
μέλλω,σωφρ,16.1915700454265,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφρονέστερος-μέλλει (2)
ἀνάπαυσις,σωφρ,14.9155561390799,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονεῖν-ἀνάπαυσιν (1)
ὁκόταν,σωφρ,14.9155561390799,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρονεῖν-ὁκόταν (1)
φέρω,σωφρ,14.8795914431103,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφροσύνης-φέρε (2)
ἐθέλω,σωφρ,14.8795914431103,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφρονέστερος-θέλει (2)
μή,σωφρ,14.8294130611466,3,2,1,0,0,2,0,0,0,0,0,1,0,0,"σωφρονέστερος-μή (2), σώφρονας-μή (1)"
κακόω,σωφρ,14.5242357846582,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σωφρονεῖ-κακῶς (2)
ἄν,σωφρ,13.2744717804017,3,0,3,0,0,0,0,0,0,1,0,0,2,0,"σωφροσύνην-ἄν (2), σωφροσύνη-ἄν (1)"
ὅστις,σωφρ,12.8096485144924,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σώφρων-ὅτου (2)
δή,σωφρ,12.7373110034969,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφροσύνης-δή (2)
σοφ,σωφρ,12.460734543507,2,0,2,0,0,0,0,0,0,0,0,0,2,0,"σωφρονεῖν-σοφίη (1), σώφρονα-σοφίαν (1)"
μέτειμι,σωφρ,12.1440921764588,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονεῖν-μέτεστι (1)
μεθύσκω,σωφρ,12.1440921764588,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονεῖν-μεθυσθῆι (1)
178,σωφρ,12.1440921764588,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονεῖν-178 (1)
διογένης,σωφρ,12.1440921764588,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνην-διογένους (1)
_7,σωφρ,12.1440921764588,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονεῖν-_7 (1)
ἀγαθός,σωφρ,11.9024142646231,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφρονεῖ-ἀγαθόν (2)
διαστρέφω,σωφρ,11.0987206816208,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονας-διαστρέφοιντο (1)
ὡσαύτως,σωφρ,11.0987206816208,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονα-ὡσαύτως (1)
διδάσκαλος,σωφρ,9.916031141649,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνην-διδάσκαλος (1)
ἄλλου,σωφρ,9.51444576331414,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-ἄλλου (1)
μέτρον,σωφρ,8.42402070574462,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-μέτρον (1)
φάσκω,σωφρ,8.22481109108776,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρονας-ἔφασκεν (1)
ἀληθής,σωφρ,7.87813175213523,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονεῖν-ἀληθέα (1)
