Collocation,2014-07-25,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,374,,,,,,,,,,,,,,,,
Files,3,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,ανδρει,1674.80059036613,325,171,154,28,17,38,28,60,0,57,24,29,25,19,"ἀνδρείαν-καί (76), ἀνδρεία-καί (48), ἀνδρείας-καί (37), ἀνδρεῖον-καί (28), ἀνδρείως-καί (23), ἀνδρεῖοι-καί (21), ἀνδρεῖος-καί (20), ἀνδρείᾳ-καί (17), ἀνδρείους-καί (14), ἀνδρείου-καί (7), ἀνδρειότεροι-καί (5), ἀνδρειοτάτους-καί (4), ἀνδρειότατος-καί (4), ἀνδρειότερον-καί (3), ἀνδρειότερος-καί (3), ἀνδρίας-καί (2), ἀνδρειότατοι-καί (2), ἀνδρία-καί (2), ἀνδρειοτέροις-καί (2), ἀνδρίαν-καί (2), ἀνδρειοτάτην-καί (1), ἀνδρειότατον-καί (1), ἀνδρειοτέρου-καί (1), ἀνδρείῳ-καί (1), ἀνδρειότατα-καί (1)"
ὁ,ανδρει,1613.43411999196,353,211,142,27,30,24,39,91,0,20,26,31,32,33,"ἀνδρείαν-τήν (53), ἀνδρεία-ἡ (28), ἀνδρείους-τούς (24), ἀνδρείας-τῆς (20), ἀνδρεῖοι-οἱ (20), ἀνδρεῖον-τό (12), ἀνδρείας-τό (11), ἀνδρεῖος-ὁ (9), ἀνδρείαν-τό (9), ἀνδρείαν-τῶν (7), ἀνδρεῖον-τόν (7), ἀνδρείαν-τοῖς (7), ἀνδρείας-τά (5), ἀνδρείαν-οἱ (5), ἀνδρεία-τῶν (5), ἀνδρίαν-τήν (5), ἀνδρείαν-τῆς (5), ἀνδρεία-τόν (4), ἀνδρειότατος-ὁ (4), ἀνδρεῖοι-τά (4), ἀνδρείας-τῶν (4), ἀνδρείως-τό (3), ἀνδρείας-τήν (3), ἀνδρείαν-τά (3), ἀνδρεία-ὁ (3), ἀνδρεία-τό (3), ἀνδρίας-τόν (3), ἀνδρείαν-τόν (3), ἀνδρείους-τά (3), ἀνδρείους-τῆς (3), ἀνδρειότερα-τά (3), ἀνδρεία-τῆς (3), ἀνδρεῖοι-τόν (2), ἀνδρίας-τῶν (2), ἀνδρειότατε-τό (2), ἀνδρεῖος-τῶν (2), ἀνδρεῖος-τοῖς (2), ἀνδρείαν-τούς (2), ἀνδρείᾳ-ὁ (2), ἀνδρείας-ὁ (2), ἀνδρειότατον-τό (2), ἀνδρειότατος-τῶν (2), ἀνδρείαν-ἡ (2), ἀνδρεῖοι-τῶν (2), ἀνδρειοτάτους-τούς (2), ἀνδρείως-τόν (2), ἀνδρείως-ὁ (2), ἀνδρείου-τήν (1), ἀνδρειότατος-τό (1), ἀνδρεία-τά (1), ἀνδρειοτέρους-τῶν (1), ἀνδρεῖοι-τούς (1), ἀνδρειότατοι-τῶν (1), ἀνδρειότατοι-τόν (1), ἀνδρείως-ἡ (1), ἀνδρειότερον-τόν (1), ἀνδρίαν-τοῖς (1), ἀνδρεῖος-τό (1), ἀνδρίαν-οἱ (1), ἀνδρειοτάτην-τήν (1), ἀνδρείως-τάς (1), ἀνδρείους-τήν (1), ἀνδρείαν-τάς (1), ἀνδρειότερον-τῶν (1), ἀνδρεῖος-τῆς (1), ἀνδρειότατα-τοῖς (1), ἀνδρίαν-τούς (1), ἀνδρεία-τοῖς (1), ἀνδρεῖος-τόν (1), ἀνδρειοτάτου-τῶν (1), ἀνδρείου-τόν (1), ἀνδρείαις-τῆς (1), ἀνδρεῖον-οἱ (1), ἀνδρείους-τῶν (1), ἀνδρείας-τοῖς (1), ἀνδρείᾳ-τά (1), ἀνδρείους-ὁ (1), ἀνδρείους-οἱ (1), ἀνδρεῖον-τά (1), ἀνδρείᾳ-ἡ (1), ἀνδρεῖος-τούς (1), ἀνδρειότατον-τόν (1), ἀνδρεῖον-τῶν (1), ἀνδρίαν-τῶν (1), ἀνδρία-οἱ (1), ἀνδρεῖον-τούς (1), ἀνδρείαν-ταῖς (1), ἀνδρείους-τό (1), ἀνδρείους-τοῖς (1)"
εἰμί,ανδρει,544.533839974552,136,53,83,8,10,11,14,10,0,27,19,8,19,10,"ἀνδρείαν-εἶναι (17), ἀνδρεία-ἐστίν (8), ἀνδρεία-εἴη (7), ἀνδρεῖον-εἶναι (7), ἀνδρείους-εἶναι (6), ἀνδρείαν-ἦν (5), ἀνδρεία-εἶναι (4), ἀνδρεία-ἐστιν (4), ἀνδρεῖοι-ὄντες (3), ἀνδρείας-εἶναι (3), ἀνδρεῖος-ὤν (3), ἀνδρειότατοι-ὄντες (2), ἀνδρεῖος-εἶναι (2), ἀνδρείαν-εἴη (2), ἀνδρεία-ἔστι (2), ἀνδρεῖοι-εἶεν (2), ἀνδρεῖον-εἴη (2), ἀνδρεία-ἔστιν (2), ἀνδρείους-ὄντας (2), ἀνδρείαν-ἦ (2), ἀνδρείας-εἴη (2), ἀνδρεῖος-ἔσται (1), ἀνδρείᾳ-ἔν (1), ἀνδρεία-ἐστί (1), ἀνδρειότατος-εἶναι (1), ἀνδρειότατοι-εἰσιν (1), ἀνδρείαν-οὔσαις (1), ἀνδρεῖος-ἐστιν (1), ἀνδρειοτέροις-εἰσί (1), ἀνδρεῖοι-εἰσι (1), ἀνδρεῖοι-εἰσίν (1), ἀνδρεία-ἦν (1), ἀνδρείου-ἔστιν (1), ἀνδρεῖοι-εἶναι (1), ἀνδρείας-ἐστιν (1), ἀνδρειοτέροις-εἶναι (1), ἀνδρειοτέρους-ἔν (1), ἀνδρείας-ἐστίν (1), ἀνδρείως-ὄντι (1), ἀνδρείως-εἶναι (1), ἀνδρείαις-εἰσι (1), ἀνδρεῖοι-ἔστι (1), ἀνδρεῖοι-εἰσιν (1), ἀνδρεῖος-ᾖ (1), ἀνδρείους-ἦ (1), ἀνδρεῖον-ἐστιν (1), ἀνδρείας-ἔστιν (1), ἀνδρεία-εἰσιν (1), ἀνδρεῖον-ἔστι (1), ἀνδρεία-ὄντι (1), ἀνδρείαν-ὤν (1), ἀνδρείαν-ὄν (1), ἀνδρείᾳ-ἔστι (1), ἀνδρείου-ὄντος (1), ἀνδρεία-ἐστι (1), ἀνδρείας-ὄν (1), ἀνδρείους-εἰσίν (1), ἀνδρεία-ὄντος (1), ἀνδρείου-ἔν (1), ἀνδρεῖοι-ἔσονται (1), ἀνδρείου-εἰσίν (1), ἀνδρειότατος-ὤν (1), ἀνδρειότατος-εἴη (1), ἀνδρεῖος-ἦν (1), ἀνδρεία-ᾖ (1), ἀνδρείαν-εἰσιν (1), ἀνδρεῖοι-ἐστέ (1), ἀνδρείᾳ-ἐστιν (1), ἀνδρείαν-ᾖ (1), ἀνδρεῖος-εἴη (1)"
σωφρ,ανδρει,425.792464431375,48,25,23,4,5,7,8,1,0,5,10,6,0,2,"ἀνδρείαν-σωφροσύνην (9), ἀνδρεία-σωφροσύνη (7), ἀνδρείας-σωφροσύνης (5), ἀνδρεία-σώφρων (3), ἀνδρεῖος-σώφρων (3), ἀνδρείᾳ-σωφροσύνῃ (3), ἀνδρεῖον-σώφρονα (2), ἀνδρείαν-σώφρονα (2), ἀνδρείου-σώφρονος (2), ἀνδρεῖον-σωφρονεῖν (1), ἀνδρείᾳ-σωφροσύνην (1), ἀνδρείαν-σωφρονοῖ (1), ἀνδρείῳ-σώφρονι (1), ἀνδρειότατος-σωφρονέστατος (1), ἀνδρείαν-σωφρονεῖν (1), ἀνδρεία-σῶφρον (1), ἀνδρειότεροι-σωφρονέστεροι (1), ἀνδρείαν-σωφροσύνης (1), ἀνδρεῖον-σῶφρον (1), ἀνδρείας-σωφροσύνην (1), ἀνδρείους-σώφρονας (1)"
δέ,ανδρει,331.946986630559,95,47,48,4,6,14,7,16,0,9,8,13,11,7,"ἀνδρείαν-δέ (23), ἀνδρεία-δέ (14), ἀνδρείας-δέ (9), ἀνδρεῖος-δέ (6), ἀνδρεῖοι-δέ (6), ἀνδρείους-δέ (6), ἀνδρείως-δέ (5), ἀνδρεῖον-δέ (5), ἀνδρείᾳ-δέ (3), ἀνδρειότατοι-δέ (3), ἀνδρειοτάτους-δέ (2), ἀνδρειότερα-δέ (2), ἀνδρείου-δέ (2), ἀνδρειότατε-δέ (2), ἀνδρειοτάτην-δέ (1), ἀνδρειότατον-δέ (1), ἀνδρία-δέ (1), ἀνδρίας-δέ (1), ἀνδρειότατα-δέ (1), ἀνδρειότατος-δέ (1), ἀνδρειότεροι-δέ (1)"
οὐ,ανδρει,204.88075549528,59,28,31,6,5,10,3,4,0,6,10,5,4,6,"ἀνδρεία-οὐ (8), ἀνδρείαν-οὐ (7), ἀνδρείας-οὐκ (4), ἀνδρεῖοι-οὐκ (4), ἀνδρεῖον-οὐ (3), ἀνδρείους-οὐ (3), ἀνδρεία-οὐκ (3), ἀνδρείαν-οὐχ (2), ἀνδρεία-οὔ (2), ἀνδρείας-οὐ (2), ἀνδρεῖος-οὔ (2), ἀνδρεία-οὐχ (2), ἀνδρείας-οὔ (2), ἀνδρειότατε-οὐ (2), ἀνδρείως-οὐκ (1), ἀνδρείως-οὔ (1), ἀνδρείους-οὐχί (1), ἀνδρειοτάτην-οὔ (1), ἀνδρίαν-οὐ (1), ἀνδρεῖοι-οὐ (1), ἀνδρεῖοι-οὐχ (1), ἀνδρεῖος-οὐκ (1), ἀνδρείᾳ-οὐχ (1), ἀνδρείαν-οὐκ (1), ἀνδρεία-οὐχί (1), ἀνδρειοτάτην-οὐ (1), ἀνδρειότερον-οὐκ (1)"
τε,ανδρει,194.081686396152,53,34,19,9,8,2,10,5,0,8,1,3,3,4,"ἀνδρείαν-τε (13), ἀνδρείου-τε (6), ἀνδρείως-τε (6), ἀνδρεῖοι-τε (5), ἀνδρεία-τε (5), ἀνδρείας-τε (4), ἀνδρείᾳ-τε (3), ἀνδρεῖον-τε (2), ἀνδρειότατος-τε (2), ἀνδρειότεροι-τε (1), ἀνδρεῖος-τε (1), ἀνδρειότερος-τε (1), ἀνδρείους-τε (1), ἀνδρείαν-τέ (1), ἀνδρειοτάτους-τε (1), ἀνδρείῳ-τε (1)"
δειλός,ανδρει,187.930402487516,17,12,5,0,2,5,3,2,0,0,2,0,1,2,"ἀνδρεῖοι-δειλοί (7), ἀνδρεῖος-δειλῶν (1), ἀνδρείαν-δειλοί (1), ἀνδρείους-δειλοί (1), ἀνδρεῖον-δειλοῦ (1), ἀνδρείου-δειλοῦ (1), ἀνδρείου-δειλός (1), ἀνδρείους-δειλούς (1), ἀνδρεῖος-δειλόν (1), ἀνδρεῖοι-δειλῶν (1), ἀνδρείαν-δειλήν (1)"
ἤ,ανδρει,179.9609625265,48,24,24,3,2,8,3,8,0,6,6,5,6,1,"ἀνδρείαν-ἤ (15), ἀνδρεῖοι-ἤ (7), ἀνδρείους-ἤ (4), ἀνδρεία-ἤ (4), ἀνδρειότερον-ἤ (4), ἀνδρείας-ἤ (2), ἀνδρείῳ-ἤ (2), ἀνδρίας-ἤ (2), ἀνδρεῖον-ἤ (1), ἀνδρεῖος-ἤ (1), ἀνδρειότεροι-ἤ (1), ἀνδρειοτέροις-ἤ (1), ἀνδρειότατος-ἤ (1), ἀνδρείᾳ-ἤ (1), ἀνδρειοτέρους-ἤ (1), ἀνδρείου-ἤ (1)"
θαρσαλέος,ανδρει,177.880712557584,15,8,7,0,1,3,2,2,0,3,1,3,0,0,"ἀνδρείους-θαρραλέους (5), ἀνδρεῖοι-θαρραλέοι (3), ἀνδρεία-θαρραλέων (2), ἀνδρειότερον-θαρραλεώτερον (1), ἀνδρείους-θαρραλέοι (1), ἀνδρειότατοι-θαρραλεώτατοι (1), ἀνδρείως-θαρραλέως (1), ἀνδρεῖοι-θαρραλέα (1)"
