Collocation,2014-07-25
KeyWord,ευσεβ
Instances,72
Files,3
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,505.564949657768,104,60,44,8,8,10,12,22,0,8,5,16,10,5,"εὐσέβειαν-τήν (21), εὐσεβείας-τῆς (10), εὐσέβειαν-τούς (9), εὐσεβεῖς-τούς (5), εὐσεβές-τό (4), εὐσεβεῖς-τῶν (3), εὐσεβῶν-τῶν (3), εὐσεβεστάτους-τούς (2), εὐσεβεστάτοις-τοῖς (2), εὐσέβειαν-τοῖς (2), εὐσεβεῖς-τάς (2), εὐσεβεῖν-τούς (2), εὐσεβῆ-τά (2), εὐσεβῶς-τῆς (1), εὐσεβεστάτοις-τῶν (1), εὐσεβέστερον-τήν (1), εὐσέβει-τά (1), εὐσεβείας-οἱ (1), εὐσεβῶς-ὁ (1), εὐσεβεστάτων-τῶν (1), εὐσεβοῦμεν-τούς (1), εὐσεβῶς-τά (1), εὐσεβείας-ταῖς (1), εὐσεβεστάτων-τούς (1), εὐσεβείας-τούς (1), εὐσεβεῖν-τά (1), εὐσεβεῖς-οἱ (1), εὐσεβείᾳ-τήν (1), εὐσέβειαν-τῶν (1), εὐσεβέστατοι-οἱ (1), εὐσέβει-τούς (1), εὐσεβοῦμεν-τήν (1), εὐσεβεστάτους-τῶν (1), εὐσεβεστάτων-ταῖς (1), εὐσεβείας-τά (1), εὐσεβέστατα-τά (1), εὐσεβέστατα-τῶν (1), εὐσεβεστάτους-τήν (1), εὐσέβειαν-τόν (1), εὐσεβεῖς-τοῖς (1), εὐσεβοῦς-τό (1), εὐσεβῶν-οἱ (1), εὐσεβής-ὁ (1), εὐσεβείας-τόν (1), εὐσέβειαν-τῆς (1), εὐσεβῶν-τόν (1), εὐσεβεῖς-τῆς (1), εὐσεβεστέρους-τούς (1), εὐσεβοῦμεν-τά (1), εὐσεβηθῇ-τοῖς (1)"
καί,ευσεβ,201.91659495607,49,20,29,4,2,4,4,6,0,12,5,7,1,4,"εὐσέβειαν-καί (13), εὐσεβείας-καί (9), εὐσεβεῖς-καί (4), εὐσεβέστερον-καί (2), εὐσεβέστατος-καί (2), εὐσεβές-καί (2), εὐσεβοῦμεν-καί (2), εὐσεβής-καί (2), εὐσεβεστέρους-καί (2), εὐσεβέστατα-καί (2), εὐσεβῆ-καί (2), εὐσεβηθῇ-καί (1), εὐσεβείᾳ-καί (1), εὐσέβεια-καί (1), εὐσεβεῖν-καί (1), εὐσεβοῦς-καί (1), εὐσεβεστάτους-καί (1), εὐσεβῶς-καί (1)"
θεός,ευσεβ,122.303844418377,16,8,8,0,2,0,1,5,0,1,2,1,4,0,"εὐσέβειαν-θεούς (6), εὐσεβεῖν-θεούς (1), εὐσέβει-θεούς (1), εὐσεβέστερον-θεούς (1), εὐσέβεια-θεούς (1), εὐσέβεια-θεῶν (1), εὐσεβέστατα-θεῶν (1), εὐσεβεστάτων-θεούς (1), εὐσεβοῦμεν-θεούς (1), εὐσεβείας-θεούς (1), εὐσεβεστάτους-θεῶν (1)"
περί,ευσεβ,78.0998769067228,15,5,10,0,0,2,2,1,0,1,4,1,3,1,"εὐσεβείας-περί (5), εὐσέβειαν-περί (4), εὐσεβές-περί (1), εὐσέβεια-περί (1), εὐσεβεστάτους-περί (1), εὐσεβοῦμεν-περί (1), εὐσεβείᾳ-περί (1), εὐσεβεῖν-περί (1)"
δικαι,ευσεβ,59.8946710042655,9,2,7,0,0,1,1,0,0,1,2,2,1,1,"εὐσέβειαν-δικαιοσύνην (3), εὐσεβείας-δικαιοσύνης (2), εὐσεβοῦμεν-δικαιοσύνην (1), εὐσεβές-δικαίου (1), εὐσέβεια-δικαιοσύνη (1), εὐσεβής-δίκαιος (1)"
εἰμί,ευσεβ,55.9592852108181,18,9,9,0,4,2,2,1,0,5,2,0,1,1,"εὐσέβειαν-εἶναι (2), εὐσεβεῖς-εἶναι (2), εὐσεβές-εἶναι (2), εὐσεβείας-εἶναι (1), εὐσέβειαν-ἔν (1), εὐσεβείᾳ-εἶναι (1), εὐσεβείας-ἔν (1), εὐσεβής-ἐστι (1), εὐσεβής-ὤν (1), εὐσεβέστατος-εἴη (1), εὐσεβείας-ὄντας (1), εὐσέβειαν-ἔσεσθαι (1), εὐσεβής-ἐστιν (1), εὐσεβής-εἴη (1), εὐσεβεστάτοις-ἦν (1)"
ἀσεβής,ευσεβ,51.9131756983697,4,0,4,0,0,0,0,0,0,0,2,1,0,1,"εὐσεβές-ἀσεβές (2), εὐσεβεῖς-ἀσεβῶν (1), εὐσεβοῦς-ἀσεβεῖ (1)"
μέν,ευσεβ,44.8601180575788,13,5,8,0,2,0,1,2,0,2,0,3,1,2,"εὐσεβής-μέν (3), εὐσεβεῖν-μέν (2), εὐσεβῶς-μέν (2), εὐσέβειαν-μέν (2), εὐσεβῶν-μέν (1), εὐσέβει-μέν (1), εὐσεβεστάτους-μέν (1), εὐσεβείας-μέν (1)"
νομίζω,ευσεβ,42.2886741906404,6,4,2,0,0,2,0,2,0,0,1,0,1,0,"εὐσεβείᾳ-νομίζομεν (1), εὐσέβειαν-νομίζεις (1), εὐσεβέστατος-νομίζοιτο (1), εὐσέβειαν-ἐνόμιζε (1), εὐσέβειαν-ἐνόμιζον (1), εὐσεβεῖς-νομίζουσιν (1)"
δέ,ευσεβ,40.3650736063719,14,7,7,3,2,0,2,0,0,0,4,2,1,0,"εὐσεβείας-δέ (4), εὐσέβειαν-δέ (3), εὐσεβεῖς-δέ (2), εὐσεβῶς-δέ (1), εὐσεβεῖν-δέ (1), εὐσεβέστατος-δέ (1), εὐσέβεια-δέ (1), εὐσεβής-δέ (1)"
