Collocation,2014-07-25
KeyWord,φρον
Instances,589
Files,3
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,2734.45767907798,565,296,269,52,63,47,84,50,0,47,51,58,64,49,"φρόνησιν-τήν (47), φρονήσεως-τῆς (26), φρονοῦντας-τούς (24), φρονεῖν-τό (24), φρονούντων-τῶν (19), φροντίζειν-τῶν (18), φρονεῖν-τῶν (11), φρονήσεως-τῶν (11), φρονοῦσιν-τοῖς (11), φρόνησιν-τῶν (11), φρονήσεως-τό (8), φρονήσεως-τόν (8), φρόνησις-ἡ (8), φρονεῖν-τούς (7), φροντίζειν-τό (7), φρονήσεως-τήν (6), φρόνησιν-τό (6), φρονοῦσιν-τῶν (6), φρόνησιν-τούς (6), φρόνησιν-τῆς (6), φρονεῖν-τοῖς (6), φρονοῦντας-τῶν (6), φρόνησιν-τά (5), φροντίζειν-τόν (5), φρονήσεως-τούς (5), φρόνησις-τῆς (5), φρονοῦντα-τόν (5), φροντίζοντες-τῶν (5), φρονεῖν-τόν (4), φρονεῖν-τῆς (4), φρονήσεως-ὁ (4), φρονοῦντας-τοῖς (4), φροντίζοντες-οἱ (4), φρονήσεως-ἡ (4), φρόνησις-τό (4), φρονεῖν-οἱ (3), φρονεῖν-τήν (3), φροντίζει-τῶν (3), φρονήσει-τούς (3), φροντίζειν-τήν (3), φρονούντων-τοῖς (3), φρονῶν-τοῖς (3), ἐφρόντιζον-τῶν (3), φρόνησις-τήν (3), φροντίζων-τῶν (3), φρονεῖν-τάς (3), φρονήσει-τῶν (3), φρονοῦντας-τήν (3), φροντίζουσιν-τῶν (3), φρόνησιν-ὁ (3), φρονοῦμεν-ὁ (2), φρονεῖν-ἡ (2), φρόνησιν-ἡ (2), φροντίζειν-τῆς (2), φροντίζων-τῆς (2), φροντίζουσιν-τοῖς (2), φρονεῖτε-τήν (2), φρονήσεις-τάς (2), φροντίζουσιν-τήν (2), φροντίζουσιν-τῆς (2), φροντίδι-ὁ (2), φρονήσεως-τά (2), φρόνησιν-τόν (2), φρονουσῶν-αἱ (2), φρονήσεως-οἱ (2), φροντίζειν-τά (2), φρονήσει-τό (2), φρονοῦμεν-τό (2), φρονούντων-τάς (2), φρονοῦσιν-τούς (2), φρονεῖς-ὁ (2), φροντίζοντας-τούς (2), φροντίζοντας-τά (2), φρονοῦντας-τό (2), φροντίσαι-τῆς (2), φρονοῦσαν-τήν (2), φρονήσεως-τοῖς (2), ἐφρόνησεν-τῶν (2), φρονήσας-ὁ (2), φρονήσας-τῶν (2), φροντίζοντας-τῶν (1), φροντίζοντες-τό (1), φρονουσῶν-τῶν (1), φρονήσει-τήν (1), φρονήσετε-τό (1), φρονῆσαι-τοῖς (1), φρόνησις-τοῖς (1), φροντίζουσαν-τῶν (1), φροντίζειν-ὁ (1), ἐφρόνησα-ταῖς (1), φρονούντων-τῆς (1), φροντίζουσι-τό (1), φρονήσαντας-τῶν (1), φροντίζοντες-τά (1), ἐφρόντιζον-τούς (1), φρονήσαντας-τῆς (1), φρονοῦντες-τῶν (1), φρονήσασιν-τόν (1), φρονήσει-τόν (1), φρονήσει-ο (1), φρονήσεως-τάς (1), φρονήσασα-τήν (1), φρονήσει-ταῖς (1), φρονήσει-τοῖς (1), ἐφρόντιζε-τό (1), φρονήσεων-τῶν (1), φρονοῦντας-ταῖς (1), πεφρόνηκεν-τῶν (1), φρονοῦντες-οἱ (1), φρονήσεις-τῶν (1), φροντίζοντας-οἱ (1), φρονῆσαι-τό (1), ἐφρόνει-ὁ (1), φροντίζουσιν-ὁ (1), φρονεῖ-τάς (1), φροντίζων-τό (1), ἐφρόντισας-τῶν (1), φρονήσαντα-τόν (1), φροντίζοντες-τῆς (1), φρονῇς-τό (1), φρονήσαντος-οἱ (1), φρονοῦντες-τῆς (1), φρόνησιν-τοῖς (1), ἐφρόνησαν-τῶν (1), φρονοῦντος-τό (1), φροντίζειν-οἱ (1), φροντίδων-τό (1), φρονήσει-τά (1), φρονοῦντος-τῶν (1), φρονεῖ-τήν (1), φρονούσης-τοῖς (1), πεφρόντικε-τῶν (1), φρονήσας-τήν (1), φροντίδας-τούς (1), ἐφρόνουν-τά (1), πεφρόντικε-τῆς (1), ἐφρόνουν-τούς (1), φροντίζων-τόν (1), φροντίζω-ἡ (1), φρονοῦμεν-τῶν (1), ἐφρόνησεν-τῆς (1), φρονοῦσι-τά (1), φρονοῦντες-τήν (1), φρονούντων-τούς (1), πεφρόντικε-ὁ (1), φρονήσεως-αἱ (1), φρόνησιν-τάς (1), φρονῶν-τούς (1), φροντίζοις-τῶν (1), φρονούντων-ταῖς (1), φρονοῦσιν-ἡ (1), φρονήσασα-τῶν (1), φροντίσασι-τῶν (1), φρόνησιν-ταῖς (1), φρονεῖν-ταῖς (1), φρονούσης-τούς (1), φρονεῦσι-τό (1), φροντίσαι-τό (1), φρονοῦντας-τῆς (1), φροντίσαι-τούς (1), φρονοῦσι-τῶν (1), φροντίσαντες-τάς (1), φρονοῦντα-τούς (1), φρονοῦντας-τόν (1), ἐφρόντισα-τῶν (1), φροντίζον-τό (1), φρονεῖς-τῶν (1), φρόνει-τῆς (1), φροντίζον-τῆς (1), φρόνησιν-οἱ (1), φρονήσει-ὁ (1), φροντίδα-οἱ (1), φρονήσεως-ταῖς (1), φροντίζειν-τούς (1), φρονοῦντες-τό (1), φρονήσεσιν-τῶν (1), φρονῶν-τῆς (1), φρονοῦσιν-τῆς (1), φρονοῦσιν-αἱ (1), ἐφρόνει-τόν (1), φρονεῖν-τά (1), φροντίζωσιν-τῶν (1), πεφρόνηκεν-τῆς (1), φροντίζοντα-τῶν (1), φροντίσασι-τοῖς (1), φροντιζόντων-τῶν (1), φρονούντων-τόν (1), φρονούντων-τά (1), φρονοῦντες-ταῖς (1), φροντίζων-ὁ (1), φρονῶν-τῶν (1), φρονήσας-τάς (1), ἐφρόνησαν-οἱ (1), φρονεῖ-ὁ (1), φρονῶ-ὁ (1), φροντίζουσα-τόν (1), φροντίσαντες-τῆς (1), φρονήσεις-τό (1), φρόνησις-τά (1), ἐφρόνησεν-τήν (1)"
καί,φρον,1361.68987946585,353,168,185,27,28,30,28,55,0,64,36,24,34,27,"φρονήσεως-καί (76), φρόνησιν-καί (64), φρονεῖν-καί (60), φρονήσει-καί (26), φρόνησις-καί (16), φρονοῦντας-καί (13), φροντίζειν-καί (12), φρονούντων-καί (7), φρονοῦσιν-καί (7), φρονήσεις-καί (6), ἐφρόνει-καί (4), φρονοῦντα-καί (3), φροντίζοντας-καί (3), φρονεῖς-καί (3), φρονοῦντος-καί (3), φρονῶν-καί (2), φρονῆσαι-καί (2), φρονοῦμεν-καί (2), φροντίζων-καί (2), φρονήσαντα-καί (2), φροντίζει-καί (2), φροντίζουσι-καί (2), φροντίζοντες-καί (2), φροντίζουσιν-καί (2), φρονήσαντας-καί (2), φροντίδων-καί (2), φρονήσαντες-καί (2), φρονεῖτε-καί (1), φρονεῖ-καί (1), φρόντιζε-καί (1), φροντίζοντι-καί (1), ἐφρόντισας-καί (1), φροντιζόντων-καί (1), φροντίδες-καί (1), φροντίζοντος-καί (1), ἐφρόνησα-καί (1), ἐφρόνουν-καί (1), φροντίσαι-καί (1), φρονοῦντες-καί (1), φρονῶ-καί (1), φροντίζεις-καί (1), φροντίζον-καί (1), ἐφρόνησεν-καί (1), φροντιζόμενον-καί (1), φρονούσης-καί (1), φροντίδας-καί (1), φροντίς-καί (1), φρονοίη-καί (1), φροντίζω-καί (1), φροντίζοιεν-καί (1), φρονήσας-καί (1), φρονήσεσιν-καί (1), φρονεῦσι-καί (1)"
μέγας,φρον,618.479720775038,93,82,11,1,5,5,3,68,0,3,3,1,3,1,"φρονεῖν-μέγα (12), φρονεῖς-μέγα (11), φρονοῦσιν-μέγα (6), φρονοῦντας-μέγα (5), φρονῶ-μέγα (4), φρονῶν-μέγα (3), φρονεῖν-μέγιστον (3), φρονοῦσιν-μεῖζον (3), φρονούντων-μέγα (2), φρονοῦντες-μέγα (2), φρονοῦντας-μέγιστον (2), φρονοίη-μέγα (2), φρονήσεως-μεγίστη (2), φρονήσας-μεῖζον (1), φρονήσαντα-μέγα (1), φρονοῦντες-μέγιστον (1), φρονήσας-μέγα (1), φρονῶν-μεῖζον (1), φρόνησιν-μέγιστον (1), ἐφρόνουν-μέγα (1), φρονεῖν-μεγίστων (1), ἐφρόνησαν-μέγιστον (1), φρονοῦντες-μεῖζον (1), φρονοῦντος-μέγα (1), φρονεῖν-μεῖζον (1), φρονῶ-μέγιστον (1), φρονοῦντας-μεῖζον (1), φρονήσεως-μεγάλα (1), φρονήσειν-μέγα (1), φρονοῦμεν-μέγα (1), φρονήσαντας-μεῖζον (1), φρόνησις-μεγίστη (1), φρονήσαντες-μεῖζον (1), φρονήσεως-μεγίστην (1), ἐφρόνει-μέγα (1), φρόνησιν-μέγα (1), φρονοίης-μέγα (1), φρονήσεως-μεγίστου (1), φρονοῦντας-μεγάλην (1), φρονήσει-μέγας (1), φρονεῖς-μέγιστον (1), φρονουσῶν-μέγιστον (1), ἐφρόντιζε-μέγιστον (1), φροντίζοντας-μείζω (1), φρονήσας-μέγιστον (1), φρονεῖν-μεγίστη (1), φρονήσεως-μεγίστων (1), φρονῆσαι-μέγα (1), φρονήσεως-μεγίστης (1)"
εὖ,φρον,458.372873049229,61,53,8,1,1,1,0,50,0,6,1,0,0,1,"φρονεῖν-εὖ (14), φρονοῦντας-εὖ (14), φρονούντων-εὖ (13), φρονοῦσιν-εὖ (5), φρονοῦντες-εὖ (2), φρονοῦντα-εὖ (1), φρονεῖ-εὖ (1), φρονοῦσι-εὖ (1), ἐφρόνουν-εὖ (1), φρονήσασα-εὖ (1), φρονῶν-εὖ (1), φρονούσης-εὖ (1), φρονήσασιν-εὖ (1), φρονήσαντας-εὖ (1), φρονήσαντος-εὖ (1), φρονήσαντες-εὖ (1), φροντίζειν-εὖ (1), φροντίζων-εὖ (1)"
δέ,φρον,352.356257986277,117,54,63,13,9,11,12,9,0,12,24,13,7,7,"φρονήσεως-δέ (18), φροντίζειν-δέ (13), φρόνησιν-δέ (12), φρονήσει-δέ (10), φρονεῖν-δέ (9), φρονοῦντας-δέ (5), φρόνησις-δέ (5), φροντίζων-δέ (5), φροντίζουσιν-δέ (5), φρονοῦσιν-δέ (4), ἐφρόντιζον-δέ (2), φρονοῦντα-δέ (2), φροντίζοντες-δέ (2), φρονῶν-δέ (2), φρονοῦντος-δέ (2), φρονῆσαι-δέ (2), φρονούντων-δέ (2), ἐφρόνησαν-δέ (2), φροντίζωσιν-δέ (1), φροντίζομεν-δέ (1), φροντίζοντας-δέ (1), φρονεῖ-δέ (1), φροντίζῃ-δέ (1), φρόνει-δέ (1), φροντίδων-δέ (1), φρονήσαντες-δέ (1), φρονήσεις-δέ (1), φρονήσετε-δέ (1), φροντίδες-δέ (1), φρονήσας-δέ (1), φροντίσαντες-δέ (1), φρονοῦντες-δέ (1), φροντίζει-δέ (1)"
εἰμί,φρον,323.148975398391,118,53,65,10,12,7,16,8,0,8,16,14,17,10,"φρόνησιν-εἶναι (14), φρονήσεως-ἦν (5), φρονήσεως-εἶναι (4), φρόνησις-εἴη (4), φρόνησις-εἶναι (4), φρονήσεως-ἐστιν (3), φρονήσεως-ἐστίν (3), φρόνησις-ἐστιν (3), φρονεῖν-ἐστι (3), φροντίζειν-εἶναι (2), φρονήσεως-ὄντι (2), φρονοῦσιν-ἐστίν (2), φρονήσεως-οὔσης (2), φρονήσεως-ἔστιν (2), φρονεῖν-εἶναι (2), φρονήσεως-ἔσται (2), φρονήσει-εἶναι (2), φρόνησιν-οὖσαν (2), φρονούντων-ἐστί (1), φρονούντων-οὔσας (1), φρονήσεως-ὤν (1), φρονῆσαι-ὄντι (1), φρόνησις-ἐστι (1), φρονοῦντας-εἶναι (1), φρονούσης-ὄντας (1), φρονεῖν-ἔστι (1), φρόνησιν-ἔστων (1), φροντίζων-εἴην (1), φρονεῖν-εἰσίν (1), φροντίζειν-ἐστιν (1), φρονῶν-ἔσται (1), φρονῶν-ἐστί (1), φρόνησις-ᾖ (1), φρόνησις-εἰσίν (1), φρονούντων-ἐστίν (1), φρόνησιν-ἐστί (1), φρονήσεως-ἐστι (1), φρονῶν-ἐστιν (1), φροντίζων-εἴη (1), φροντίδι-εἴη (1), φρόνησιν-ἦ (1), φρονήσεως-εἰσίν (1), φρονοῦσι-ἐστιν (1), φροντίζουσι-ἔστι (1), φρονήσει-ὄν (1), φρονούντων-ἐστιν (1), φροντίζοντας-ὄντες (1), φρονῶν-ἔστι (1), φρονοῦντος-ἔστιν (1), φρονῶν-εἶναι (1), φροντίζουσιν-εἶναι (1), φρονοῦσιν-ἐστιν (1), φροντίζειν-ὄντας (1), φροντίδα-εἰσι (1), φρονεῖς-ἦ (1), φρονοῦσιν-εἰσί (1), φρονεῖν-ὤν (1), φροντίδων-ἔσται (1), φροντίδι-ἦν (1), φροντίζω-ᾖ (1), φρόνησιν-ὤν (1), φρόνησιν-ὄν (1), φρονεῖν-ἐστιν (1), φροντίζουσιν-ᾖ (1), φρόνει-εἶναι (1), φροντίζεις-ἔσται (1), φρονήσει-ἦσαν (1), φρονήσεσιν-ὄν (1), φροντίζειν-ὄντος (1), φρονῶ-εἶναι (1), φρόνησις-ἔστι (1), φρονεῖν-ἦν (1), φρονῆσαι-ὄντας (1), φρονοῦμεν-ἐστιν (1), φροντίζουσι-εἰσίν (1)"
τίς,φρον,306.958646185696,87,54,33,6,9,8,15,16,0,8,9,7,3,6,"φρονεῖν-τοῦ (29), φροντίζειν-τοῦ (5), φρονήσεως-τοῦ (5), φρονεῖς-τίνι (5), φρόνησιν-τοῦ (5), φροντίζων-τοῦ (3), φρόνησις-τοῦ (3), φροντίζει-τοῦ (3), φρονήσεως-τί (2), φρονοῦντος-τοῦ (2), φρονεῖν-τί (2), φροντιζόντων-τοῦ (2), φρονούντων-τίς (2), φρονήσει-τοῦ (2), φρονῶν-τοῦ (2), φροντίζειν-τί (1), φροντίδι-τοῦ (1), φρονεῦσι-τοῦ (1), φροντίζουσα-τοῦ (1), φροντίζοιεν-τοῦ (1), φρονούντων-τοῦ (1), ἐφρόντιζε-τί (1), φρονήσεως-τίνι (1), φρονοῦντας-τοῦ (1), φρονήσαντες-τοῦ (1), φρονῶν-τίς (1), φροντίζουσι-τί (1), φροντιεῖς-τί (1), φρονῆσαι-τοῦ (1), ἐφρόντισα-τοῦ (1)"
ἐπί,φρον,288.840568207204,54,27,27,7,6,14,0,0,0,11,6,3,2,5,"φρονεῖς-ἐπί (14), φρονεῖν-ἐπί (8), φρονῶ-ἐπί (5), φρονοῦσιν-ἐπί (5), φρονοῦντες-ἐπί (4), φρονοῦντας-ἐπί (3), φροντίζειν-ἐπί (2), φρονήσας-ἐπί (2), ἐφρόνησεν-ἐπί (1), φρονοίη-ἐπί (1), ἐφρόνει-ἐπί (1), φρονῆσαι-ἐπί (1), φρόνησιν-ἐπί (1), φρονῶν-ἐπί (1), ἐφρόνουν-ἐπί (1), φρονοῦμεν-ἐπί (1), ἐφρόνησα-ἐπί (1), φρονήσεως-ἐπί (1), φρονούντων-ἐπί (1)"
ἤ,φρον,242.783935833722,68,24,44,5,3,5,5,6,0,21,10,4,5,4,"φρόνησιν-ἤ (12), φρονήσεως-ἤ (11), φρονεῖν-ἤ (8), φροντίζειν-ἤ (7), φρονοῦσιν-ἤ (3), φρονοῦμεν-ἤ (3), φροντίζων-ἤ (3), φρονήσει-ἤ (3), φροντίζουσιν-ἤ (2), φρονήσεων-ἤ (2), φρονῶν-ἤ (2), φρονεῖς-ἤ (2), φρονοῦντας-ἤ (1), φρονοῦσαν-ἤ (1), φρονούντων-ἤ (1), φρονήσεις-ἤ (1), φροντίζω-ἤ (1), φροντίζοιεν-ἤ (1), φρονήσαντας-ἤ (1), φροντίζουσαν-ἤ (1), φρόνησις-ἤ (1), φροντίζοις-ἤ (1)"
αὐτός,φρον,206.155039064586,73,40,33,2,6,12,12,8,0,4,13,6,6,4,"φροντίζειν-αὐτούς (7), φροντίζειν-αὐτῶν (5), φρόνησιν-αὐτό (4), φρονεῖν-αὐτούς (3), φρονεῖν-αὐτῶν (2), φρονεῖν-αὐτόν (2), φρονήσεως-αὐτοῖν (2), φρονοῦντας-αὐτούς (2), φρονοῦντας-αὐτῶν (2), φρονεῖν-αὐτῷ (1), φρονῆσαι-αὐτούς (1), φροντίζοντας-αὐτοῖς (1), φρονῇς-αὐτοῖς (1), φρονήσεως-αὐτούς (1), φροντίζειν-αὐτόν (1), φροντίζοις-αὐτῶν (1), φρόνησιν-αὐτῇ (1), φρονοῦσιν-αὐτοῖς (1), φροντιζόμενον-αὐτόν (1), φροντίζει-αὐτόν (1), φρονοῦμεν-αὐτῷ (1), φρονήσειν-αὐτοῖς (1), φρονοῦντα-αὐτῷ (1), φροντίζει-αὐτά (1), φροντίζειν-αὐτά (1), φροντίζοντα-αὐτῷ (1), φροντίζουσιν-αὐτοί (1), φρόνησιν-αὐτῷ (1), φροντίζουσαν-αὐτήν (1), φροντίσαντες-αὐτοῖς (1), φρονήσαντας-αὐτοῖς (1), φροντίζοντες-αὐτῆς (1), φρόνησις-αὐτή (1), φρονῶν-αὐτῆς (1), φρονοῦσιν-αὐτῶν (1), φρονοῦντε-αὐτόν (1), φρονοίη-αὐτῇ (1), φρονεῖν-αὐτά (1), φροντίζω-αὐτόν (1), φρονήσεως-αὐτήν (1), φρονοῦσιν-αὐτοί (1), φρόνησις-αὐτῆς (1), φροντίζουσιν-αὐτῶν (1), φρονεῖν-αὐτοῖς (1), φρονοῦντας-αὐτήν (1), φρόνησιν-αὐτῆς (1), φρονήσεως-αὐτῇ (1), φροντίς-αὐτῷ (1), φρονεῖν-αὐτό (1), φρονήσεις-αὐτάς (1), φροντίσαι-αὐτόν (1), φρονῶν-αὐτό (1), φρόνησιν-αὐτούς (1)"
