Collocation,2014-07-25
KeyWord,οσι
Instances,195
Files,3
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,οσι,1011.32103276253,208,118,90,24,15,11,15,53,0,13,13,21,24,19,"ὅσιον-τό (69), ὅσια-τά (12), ὁσιότης-ἡ (12), ὁσιότητα-τήν (9), ὅσιον-τήν (7), ὁσίως-τόν (5), ὅσιον-τῶν (5), ὁσίοις-τοῖς (5), ὁσίων-τῶν (4), ὁσιότητος-τῆς (4), ὅσιον-τοῖς (4), ὅσιον-ἡ (3), ὁσίως-οἱ (3), ὁσίου-τῶν (2), ὅσια-τόν (2), ὁσιωτάτους-τούς (2), ὁσιωτάτους-τῶν (2), ὁσιώτερον-τήν (2), ὅσιον-οἱ (2), ὅσιον-τόν (2), ὁσίως-τό (2), ὁσίου-τό (2), ὁσίων-τά (2), ὅσια-τό (2), ὁσίως-τῶν (2), ὁσίοις-τούς (2), ὅσια-τῶν (2), ὁσιότητος-τῶν (2), ὅσιον-τά (2), ὁσιότητα-τῆς (1), ὁσίων-τοῖς (1), ὅσιον-ὁ (1), ὅσια-τοῖς (1), ὁσίους-τάς (1), ὁσιώτατα-τοῖς (1), ὅσια-τούς (1), ὁσιώτερον-τούς (1), ὁσίων-τό (1), ὁσιώτερα-τοῖς (1), ὅσιος-τό (1), ὁσιώτατα-τόν (1), ὅσιος-ὁ (1), ὅσιοι-τήν (1), ὁσίας-τοῖς (1), ὁσιότητα-ἡ (1), ὁσίων-οἱ (1), ὁσίως-τά (1), ὁσιώτερα-τῶν (1), ὅσιος-τήν (1), ὅσια-τῆς (1), ὅσιος-τῶν (1), ὁσιώτερον-τῶν (1), ὅσιον-τάς (1), ὁσίως-τούς (1), ὅσιον-τούς (1), ὁσίως-τήν (1), ὁσιώτατα-τάς (1), ὁσίας-τόν (1), ὁσίους-τά (1), ὅσια-τήν (1), ὁσιότης-οἱ (1), ὁσιότητα-τό (1), ὁσιώτερος-τούς (1)"
καί,οσι,820.777631081641,166,84,82,9,8,18,19,30,0,36,20,9,10,7,"ὅσιον-καί (37), ὅσια-καί (27), ὁσίως-καί (19), ὁσιότης-καί (17), ὁσίου-καί (13), ὁσίων-καί (12), ὁσιότητος-καί (7), ὁσίοις-καί (7), ὁσιότητα-καί (6), ὁσιότητι-καί (3), ὅσιος-καί (3), ὁσιωτάτους-καί (3), ὁσίους-καί (2), ὁσιώτερον-καί (2), ὁσιώτερα-καί (2), ὁσιώτατα-καί (2), ὁσιώτατος-καί (2), ὅσιοι-καί (2)"
δικαι,οσι,716.725532423705,77,46,31,9,7,10,15,5,0,3,16,6,2,4,"ὅσιον-δίκαιον (19), ὁσιότης-δικαιοσύνη (9), ὁσίως-δικαίως (9), ὅσια-δίκαια (6), ὅσιον-δικαίου (5), ὁσιότητα-δικαιοσύνην (3), ὅσιον-δικαιοσύνη (3), ὁσίου-δικαίου (3), ὁσιότης-δίκαιον (3), ὁσιωτάτους-δικαιοτάτους (2), ὁσιότητα-δίκαιον (2), ὁσίοις-δικαίοις (2), ὅσιον-δικαιοσύνην (2), ὅσιοι-δίκαιοι (1), ὅσιον-δικαιοσύνῃ (1), ὁσιότητι-δικαιοσύνη (1), ὁσιώτατος-δικαιότατος (1), ὁσιώτερος-δικαιότερος (1), ὅσιος-δίκαιος (1), ὁσιότητος-δικαιοσύνης (1), ὁσιώτερον-δικαιότερον (1), ὅσια-δίκαιον (1)"
εἰμί,οσι,379.646825909615,86,44,42,11,8,12,10,3,0,17,8,11,3,3,"ὅσιον-εἶναι (21), ὅσιον-ἐστιν (7), ὅσια-εἶναι (5), ὅσιον-ὄν (4), ὅσιον-ἐστίν (4), ὁσιότης-εἴη (3), ὅσιον-εἴη (3), ὁσιότητα-εἶναι (3), ὅσιον-ἦν (2), ὅσιον-ἔστιν (2), ὅσιον-ἦ (2), ὁσιότης-ἐστίν (2), ὅσια-εἴη (1), ὁσιώτατος-ὤν (1), ὅσιον-ἔστι (1), ὁσιότης-ἦν (1), ὁσιώτερον-εἴης (1), ὁσιωτάτους-εἶναι (1), ὁσίως-εἰσιν (1), ὁσιότης-ἦ (1), ὅσιον-ἐστι (1), ὁσίων-ἐστίν (1), ὅσια-ἐστιν (1), ὁσίως-ἐστιν (1), ὅσιοι-εἶεν (1), ὅσια-ἔστι (1), ὁσιότης-ἔσται (1), ὁσίου-εἶναι (1), ὅσιον-ἔσται (1), ὁσιώτερον-εἶναι (1), ὅσιον-ᾖ (1), ὅσια-ἔστιν (1), ὅσια-ἔσεσθαι (1), ὅσιος-ὤν (1), ὁσιότητι-ἐστιν (1), ὁσιότης-ὄν (1), ὁσίως-ἦν (1), ὁσίους-ἐστίν (1), ὁσίοις-ἐστι (1), ὁσιότης-εἶναι (1)"
οσι,οσι,371.949516020715,32,16,16,4,7,2,1,2,195,2,1,2,7,4,"ὅσιον-ὅσιον (14), ὅσιον-ὁσιότητα (3), ὁσιότητα-ὅσιον (3), ὁσιότης-ὅσιον (3), ὅσιον-ὁσιότης (3), ὁσιότης-ὁσιότης (2), ὅσια-ὅσια (2), ὅσια-ὅσιον (1), ὅσιον-ὅσια (1), ὁσιώτερα-ὁσιώτερα (0), ὁσιωτάτους-ὁσιωτάτους (0), ὁσιωτέροις-ὁσιωτέροις (0), ὁσιώτερον-ὁσιώτερον (0), ὁσίοις-ὁσίοις (0), ὁσίως-ὁσίως (0), ὁσιότητι-ὁσιότητι (0), ὁσιώτερος-ὁσιώτερος (0), ὁσίων-ὁσίων (0), ὁσίου-ὁσίου (0), ὁσιότητα-ὁσιότητα (0), ὁσιώτατα-ὁσιώτατα (0), ὁσίους-ὁσίους (0), ὁσιότητος-ὁσιότητος (0), ὅσιος-ὅσιος (0), ὁσίας-ὁσίας (0), ὅσιοι-ὅσιοι (0), ὁσιώτατος-ὁσιώτατος (0)"
ἀνόσιος,οσι,269.415120638907,21,7,14,3,3,1,0,0,0,0,2,8,1,3,"ὅσιον-ἀνόσιον (8), ὅσια-ἀνόσια (4), ὁσίοις-ἀνοσίοις (2), ὁσίου-ἀνοσίου (2), ὁσίων-ἀνοσίων (1), ὁσίου-ἀνόσιον (1), ὁσίων-ἀνόσιον (1), ὅσιος-ἀνοσίων (1), ὅσιον-ἀνοσίῳ (1)"
τίς,οσι,140.42891542986,36,22,14,4,4,6,2,6,0,1,3,5,2,3,"ὁσίου-τοῦ (12), ὅσιον-τί (7), ὅσιον-τοῦ (5), ὁσιότητα-τοῦ (2), ὅσια-τοῦ (2), ὁσίου-τί (1), ὅσιον-τίνα (1), ὁσιώτερος-τοῦ (1), ὁσιότητα-τί (1), ὁσιότης-τί (1), ὁσιότητος-τοῦ (1), ὁσίοις-τοῖσιν (1), ὁσιότης-τοῦ (1)"
ευθ,οσι,139.086911659688,13,1,12,0,1,0,0,0,0,3,0,0,5,4,"ὅσιον-ευθ (6), ὅσια-ευθ (5), ὁσιότης-ευθ (1), ὁσίου-ευθ (1)"
οἷος,οσι,115.377926047891,17,10,7,3,2,0,1,4,0,3,1,1,2,0,"ὁσιότης-οἷον (9), ὅσιον-οἷον (7), ὅσια-οἷα (1)"
μή,οσι,111.489016968757,26,8,18,2,3,0,1,2,0,0,6,6,1,5,"ὅσιον-μή (16), ὁσιότης-μή (4), ὅσια-μή (3), ὁσίως-μή (1), ὁσιωτέροις-μή (1), ὁσίου-μή (1)"
