Collocation,2013-09-08
KeyWord,σοφ
Instances,110
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,447.966068190522,107,64,43,8,12,14,16,14,0,5,14,9,8,7,"σοφίαν-τήν (15), σοφούς-τούς (13), σοφῶν-τῶν (6), σοφοί-οἱ (4), σοφίαν-ὁ (4), σοφία-ἡ (3), σοφίας-τόν (3), σοφόν-τά (3), σοφίας-τῶν (3), σοφῶν-τούς (2), σοφία-τῶν (2), σοφόν-τό (2), σοφίας-τῆς (2), σοφίᾳ-τῶν (2), σοφίαν-τούς (2), σοφίᾳ-ὁ (2), σοφωτέρους-τούς (2), σοφίαν-τό (1), σοφωτέρου-τόν (1), σοφόν-τόν (1), σοφίας-τοῖς (1), σοφόν-οἱ (1), σοφά-ὁ (1), σοφώτατος-ὁ (1), σοφόν-ὁ (1), σοφούς-τῶν (1), σοφωτέρους-τοῖς (1), σοφίας-τήν (1), σοφούς-ταῖς (1), σοφίᾳ-τόν (1), σοφός-οἱ (1), σοφώτατον-τῶν (1), σοφωτέρας-τῶν (1), σοφούς-τῆς (1), σοφῶν-ὁ (1), σοφωτέρους-τῶν (1), σοφώτατοι-τῶν (1), σοφώτατα-τῶν (1), σοφίᾳ-τούς (1), σοφία-τό (1), σοφία-τόν (1), σοφίαν-τά (1), σοφώτατοι-οἱ (1), σοφίαν-τῶν (1), σοφῶν-αἱ (1), σοφόν-τῶν (1), σοφωτέρας-τό (1), σοφωτέρας-τάς (1), σοφίᾳ-τήν (1), σοφός-ὁ (1), σοφώτατος-τῶν (1), σοφώτατα-τά (1), σοφῶν-τάς (1), σοφίᾳ-τοῖς (1)"
καί,σοφ,289.980312806554,72,33,39,7,8,2,4,12,0,14,6,8,8,3,"σοφίαν-καί (11), σοφία-καί (11), σοφίᾳ-καί (10), σοφούς-καί (9), σοφωτέρους-καί (4), σοφόν-καί (4), σοφίας-καί (4), σοφά-καί (3), σοφῶν-καί (2), σοφώτατον-καί (2), σοφός-καί (2), σοφώτατα-καί (2), σοφωτέρῳ-καί (2), σοφῶς-καί (1), σοφοῦ-καί (1), σοφοί-καί (1), σοφώτεροι-καί (1), σοφώτερον-καί (1), σοφώτατοι-καί (1)"
εἰμί,σοφ,180.39497847762,40,12,28,2,3,1,1,5,0,12,3,5,3,5,"σοφοί-εἶναι (4), σοφούς-εἶναι (3), σοφίαν-εἶναι (3), σοφός-εἴη (2), σοφοί-εἰσί (2), σοφώτατοι-εἶναι (2), σοφωτάτη-ᾖ (2), σοφοί-εἰσι (2), σοφωτέρου-εἴη (1), σοφία-ἐστιν (1), σοφία-ἐστίν (1), σοφούς-ἐστίν (1), σοφία-ἔστιν (1), σοφία-εἴη (1), σοφός-ἐστιν (1), σοφῶν-εἶναι (1), σοφώτερον-εἶναι (1), σοφοί-εἴη (1), σοφόν-εἶναι (1), σοφούς-ὄντας (1), σοφός-ἔστιν (1), σοφία-εἰσιν (1), σοφοί-εἰσιν (1), σοφωτέρους-ἐσομένους (1), σοφίᾳ-εἶναι (1), σοφός-ὤν (1), σοφία-ἐστί (1), σοφοῦ-ὄντος (1)"
δέ,σοφ,121.782638513483,38,15,23,2,1,2,6,4,0,6,5,4,1,7,"σοφίαν-δέ (8), σοφόν-δέ (6), σοφούς-δέ (6), σοφός-δέ (3), σοφία-δέ (3), σοφίας-δέ (2), σοφά-δ' (1), σοφωτέρου-δέ (1), σοφίας-δ' (1), σοφοί-δέ (1), σοφά-δέ (1), σοφωτέρους-δέ (1), σοφώτατοι-δέ (1), σοφούς-δ' (1), σοφῶν-δέ (1), σοφωτέρους-δ' (1)"
σοφ,σοφ,93.0291987517849,10,5,5,3,1,0,1,0,110,0,1,0,1,3,"σοφοί-σοφοί (4), σοφούς-σοφούς (2), σοφοί-σοφίαν (1), σοφός-σοφοί (1), σοφοί-σοφός (1), σοφίαν-σοφοί (1), σοφώτερον-σοφώτερον (0), σοφώτατον-σοφώτατον (0), σοφόν-σοφόν (0), σοφωτάτη-σοφωτάτη (0), σοφίαν-σοφίαν (0), σοφωτέρου-σοφωτέρου (0), σοφωτέρῳ-σοφωτέρῳ (0), σοφίας-σοφίας (0), σοφοῦ-σοφοῦ (0), σοφία-σοφία (0), σοφώτατοι-σοφώτατοι (0), σοφῶν-σοφῶν (0), σοφῶς-σοφῶς (0), σοφώτεροι-σοφώτεροι (0), σοφωτέρους-σοφωτέρους (0), σοφός-σοφός (0), σοφώτατος-σοφώτατος (0), σοφά-σοφά (0), σοφωτέρας-σοφωτέρας (0), σοφίᾳ-σοφίᾳ (0), σοφώτατα-σοφώτατα (0), σοφῷ-σοφῷ (0)"
ἤ,σοφ,81.0943663017824,18,8,10,1,2,1,2,2,0,5,2,3,0,0,"σοφίαν-ἤ (7), σοφίας-ἤ (3), σοφόν-ἤ (3), σοφοί-ἤ (2), σοφῶν-ἤ (1), σοφός-ἤ (1), σοφούς-ἤ (1)"
οὐ,σοφ,70.0422831624746,18,6,12,2,3,1,0,0,0,3,3,2,2,2,"σοφός-οὐκ (2), σοφούς-οὐ (2), σοφίαν-οὐ (2), σοφίαν-οὐκ (1), σοφία-οὐκ (1), σοφόν-οὐχ (1), σοφόν-οὐ (1), σοφώτερον-οὐκ (1), σοφωτέρας-οὐκ (1), σοφοί-οὐκ (1), σοφός-οὐ (1), σοφίᾳ-οὐ (1), σοφία-οὐ (1), σοφῶν-οὐκ (1), σοφόν-οὐκ (1)"
τις,σοφ,63.7047076998278,16,9,7,1,2,0,4,2,0,2,1,0,3,1,"σοφόν-τι (3), σοφοί-τινες (2), σοφός-τις (2), σοφίαν-τιν' (1), σοφῶν-τινες (1), σοφῶν-τινός (1), σοφίαν-τις (1), σοφούς-τι (1), σοφόν-τις (1), σοφοῦ-τινος (1), σοφίας-τινός (1), σοφίαν-τι (1)"
μή,σοφ,62.9216876169667,14,7,7,2,2,1,1,1,0,1,2,2,1,1,"σοφούς-μή (7), σοφίαν-μή (3), σοφός-μή (2), σοφίας-μή (1), σοφοί-μή (1)"
γε,σοφ,61.7308919224888,12,6,6,1,1,1,2,1,0,1,1,3,0,1,"σοφός-γε (3), σοφίαν-γε (2), σοφῶς-γε (1), σοφία-γε (1), σοφώτερον-γε (1), σοφία-γέ (1), σοφίᾳ-γε (1), σοφοῦ-γε (1), σοφόν-γε (1)"
