Collocation,2014-07-25
KeyWord,σωφρ
Instances,583
Files,3
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,2387.55144090205,546,306,240,45,53,55,49,104,0,41,48,54,44,53,"σωφροσύνην-τήν (47), σωφροσύνη-ἡ (38), σωφρονεῖν-τό (21), σωφροσύνης-τῆς (19), σώφρων-ὁ (18), σωφροσύνην-τό (14), σωφροσύνη-τό (13), σωφροσύνην-τῶν (11), σωφρονεῖν-τῶν (9), σωφροσύνην-τοῖς (9), σωφροσύνην-τά (8), σώφρονα-τήν (7), σωφροσύνης-τήν (7), σῶφρον-τό (7), σωφροσύνη-τῶν (6), σώφρων-ἡ (6), σωφροσύνης-τοῖς (6), σωφροσύνης-τό (6), σωφρονεστέρους-τούς (6), σωφροσύνης-ὁ (6), σωφροσύνην-ταῖς (6), σωφρονεῖν-τούς (6), σώφρονας-τούς (5), σωφρόνως-τό (5), σωφροσύνης-τῶν (5), σώφρονα-τόν (5), σωφρονέστατος-ὁ (5), σώφρονες-οἱ (5), σωφρονεῖν-τόν (5), σωφροσύνην-τούς (4), σωφρόνων-τῶν (4), σωφροσύνην-οἱ (4), σωφρονεῖ-ὁ (4), σωφροσύνης-τά (4), σωφροσύνῃ-τό (4), σωφρονεῖν-ἡ (3), σωφροσύνη-ταῖς (3), σωφρονεῖν-ὁ (3), σώφρονι-τῶν (3), σωφροσύνης-ἡ (3), σωφρονεῖ-τά (3), σωφρονοῦσιν-τά (3), σώφρων-τόν (3), σώφροσιν-τοῖς (3), σωφροσύνην-τάς (3), σωφροσύνης-τούς (3), σώφρονι-τό (2), σωφρόνως-τήν (2), σωφρονέστερον-ἡ (2), σωφρόνως-ὁ (2), σωφρόνως-τόν (2), σώφρονα-τῶν (2), σωφρόνως-τά (2), σωφροσύνη-τῆς (2), σωφρόνως-ἡ (2), σωφρονοῦντος-τῶν (2), σώφρονες-τῶν (2), σωφρονέστερον-τῶν (2), σωφρονέστατος-τῶν (2), σωφρονοῦσιν-οἱ (2), σωφρονεῖν-τήν (2), σώφρονα-τούς (2), σωφρονοῦντες-οἱ (2), σωφρονοῦσιν-τῶν (2), σωφροσύνης-τόν (2), σωφρονῶν-ὁ (2), σωφροσύνην-τόν (2), σωφρόνων-τά (2), σωφρονεστάτη-ἡ (2), σώφρων-τό (2), σωφρονεῖν-τά (2), σωφροσύνης-οἱ (2), σώφρονας-τά (2), σώφρονι-ὁ (2), σωφροσύνη-τά (2), σώφρονα-τά (2), σώφρονα-ὁ (2), σωφρονῶμεν-τούς (2), σωφρονεστάτη-τῶν (2), σωφρονεῖν-τάς (1), σωφρόνως-τοῖς (1), σώφρονα-οἱ (1), σώφρονα-τάς (1), σωφρονέστατος-τήν (1), σωφρονῆτε-τά (1), σώφρονος-οἱ (1), σωφρονῇς-τούς (1), σώφρονι-ἡ (1), σωφρόνει-τό (1), σώφροσιν-τόν (1), σώφρονι-τάς (1), σωφρονέστατος-τῆς (1), σωφρονῶμεν-τόν (1), σωφροσύνῃ-τῶν (1), σωφρονέστεροι-τό (1), σωφρονεῖν-αἱ (1), σωφρονίζουσιν-τό (1), σώφρων-τά (1), σωφρονεστέρους-τήν (1), σωφρόνει-τά (1), σώφρονος-τῆς (1), σωφρονισθέντες-τήν (1), σωφροσύνη-οἷ (1), σωφρονισθείς-τήν (1), σωφρονοῦντος-οἱ (1), σωφροσύνῃ-ἡ (1), σωφρονοῦντες-τόν (1), σωφρονῆτε-τῆς (1), σωφρονέστατα-τῆς (1), σωφρονέστατα-τήν (1), σωφρονέστερος-τῶν (1), σωφρονίζειν-ἡ (1), σωφροσύνῃ-τοῖς (1), σώφρονες-τῆς (1), σώφροσιν-τῶν (1), σῶφρον-τά (1), σωφρονοῦσιν-τούς (1), σώφρονας-τήν (1), σωφρονῶν-τῆς (1), σωφρονοῖμεν-τούς (1), σωφρονῆτε-τῶν (1), σωφρονοῦντος-τῆς (1), σωφροσύνῃ-τά (1), σώφρονος-τό (1), σωφρονοίη-τά (1), σωφρονῇ-τό (1), σώφρονι-τά (1), σωφρονοῦσιν-τάς (1), σωφρονοίη-τῶν (1), σωφρονοῖεν-τήν (1), σωφρονοῦσα-τά (1), σωφρονῇ-ὁ (1), σῶφρον-τῶν (1), σωφρονήσαιμεν-τῆς (1), σωφρονοῦντος-ἡ (1), σωφροσύνη-τόν (1), σωφρόνως-τούς (1), σωφροσύνῃ-ὁ (1), σώφρονος-τά (1), σώφρονι-τόν (1), σωφρονοῦσαι-τήν (1), σωφροσύνη-τάς (1), σωφροσύνην-ὁ (1), σωφρονίζει-τό (1), σωφρονέστερον-τούς (1), σωφρονεῖν-τοῖς (1), σωφρονίζοι-τῶν (1), σωφρόνως-οἱ (1), σωφρονίζει-τούς (1), σωφρονῶν-τήν (1), σωφρονίζειν-τό (1), σωφρόνων-ὁ (1), σωφρονῆτε-τοῖς (1), σωφρονεστέρους-τῶν (1), σωφρονοῦσι-τά (1), σωφροσύνη-ὁ (1), σωφρονοῖ-τά (1), σωφρονήσας-ὁ (1), σωφρονῶσιν-οἱ (1), σωφρονέστατοι-τῶν (1), σωφρονεῖν-τῆς (1), σώφρονες-τάς (1), σωφρονεῖν-ταῖς (1), σωφρονοῦντα-τόν (1), σώφρονες-ταῖς (1), σῶφρον-τῆς (1), σωφροσύνη-οἱ (1), σώφρονος-τήν (1), σωφρονίζειν-τούς (1), σωφρονεστέραν-τῶν (1), σωφρόνως-τῶν (1), σωφρονέστερον-τήν (1), σωφροσύνῃ-τήν (1), σώφρονα-τῆς (1), σωφρονοῖ-ὁ (1), σωφρονοῦντες-τῶν (1), σωφρονοῖμεν-τῆς (1), σωφρονοῦσι-τοῖς (1), σωφρονίσαντες-τόν (1), σωφρονῶν-τά (1), σωφρονοῖεν-τῶν (1), σώφρονες-τά (1), σώφρονος-τοῖς (1), σωφροσύνης-τάς (1), σωφροσύνην-τῆς (1), σώφρων-τήν (1), σωφρονέστατα-τοῖς (1), σωφρόνων-τό (1), σωφρονοῦσα-ὁ (1), σωφρονεστάτους-τῶν (1), σωφρονίζοι-ὁ (1)"
καί,σωφρ,2186.11617649719,466,215,251,23,31,27,41,93,0,80,53,40,36,42,"σωφροσύνην-καί (91), σωφροσύνη-καί (73), σωφροσύνης-καί (64), σωφρονεῖν-καί (31), σώφρονα-καί (24), σώφρων-καί (23), σωφρόνως-καί (21), σωφροσύνῃ-καί (21), σώφρονες-καί (12), σῶφρον-καί (10), σωφρόνων-καί (7), σώφρονι-καί (6), σωφρονέστατον-καί (6), σώφρονος-καί (6), σωφρονέστατος-καί (5), σωφρονέστερον-καί (4), σωφρονεστάτου-καί (4), σωφρονοῦντες-καί (3), σώφρονας-καί (3), σωφρονεστέραν-καί (3), σωφρονῇ-καί (3), σωφρονέστεροι-καί (3), σωφρονεστέρους-καί (3), σωφρονέστατα-καί (3), σωφρονοῦσιν-καί (2), σωφρονοῦσαι-καί (2), σωφρονῇς-καί (2), σωφρονοῖ-καί (2), σωφρονεῖ-καί (2), ἐσωφρονεῖτε-καί (2), σώφροσιν-καί (2), σωφρονέστερος-καί (2), σωφρονῆτε-καί (1), σωφρονοῦντος-καί (1), σωφρονοῦσα-καί (1), σωφρονήσαιμεν-καί (1), σωφρονήσειν-καί (1), σωφρονῶσιν-καί (1), σωφρονεῖς-καί (1), σωφρονίζει-καί (1), σωφρονίσαντες-καί (1), σωφρόνει-καί (1), σεσωφρονηκώς-καί (1), σωφρονήσαντα-καί (1), σωφρονέστατοι-καί (1), σωφρονεστάτη-καί (1), σωφρονοῖεν-καί (1), σωφρονῶμεν-καί (1), σωφρονίζειν-καί (1), σωφρονοῦντα-καί (1), σωφρονεστάτους-καί (1), σωφρονῶν-καί (1), σωφρονοῦσι-καί (1)"
εἰμί,σωφρ,787.252016905695,204,93,111,18,23,14,20,18,0,36,22,16,23,14,"σωφροσύνην-εἶναι (27), σωφροσύνη-εἴη (11), σωφροσύνη-ἐστίν (10), σωφροσύνη-εἶναι (7), σωφρονεῖν-εἶναι (6), σωφροσύνης-εἶναι (6), σωφροσύνης-ἐστίν (4), σωφροσύνης-εἴη (4), σωφροσύνη-ἦν (4), σωφρονεῖν-ἐστιν (4), σωφροσύνη-ἐστιν (3), σωφροσύνης-ἐστιν (3), σώφρων-εἶναι (3), σωφροσύνη-ἐστί (3), σώφρονα-εἶναι (3), σωφρονεῖν-ἦ (3), σώφρων-εἴη (3), σώφρονι-εἶναι (2), σώφρονας-εἶναι (2), σωφροσύνη-ἦ (2), σώφρων-ὤν (2), σώφρονι-ἐστιν (2), σώφρων-ἐστιν (2), σωφροσύνη-ὄντι (2), σωφροσύνῃ-ἔστι (2), σωφρονεῖ-ἦ (2), σωφρονεῖν-ἐστί (2), σωφρονεῖν-εἴη (2), σωφροσύνης-ἦ (2), σώφρων-ᾖ (2), σώφρων-ἐστί (2), σωφροσύνης-ἦν (2), σωφροσύνην-οὖσαν (1), σωφρονεῖ-εἶναι (1), σωφρονεστάτου-ὤν (1), σωφρονέστερον-εἴη (1), σωφροσύνην-ἔστι (1), σωφρονίζειν-εἶναι (1), σωφροσύνης-ὄν (1), σωφροσύνην-ἔσεσθαι (1), σωφροσύνῃ-ἐστίν (1), σώφρονι-εἴη (1), σωφροσύνη-ἔσεσθαι (1), σωφροσύνη-οὖσαι (1), σώφρονος-οὔσης (1), σωφρονεῖς-ἔσται (1), σωφρόνων-ἐστι (1), σωφρονέστατα-ἔστι (1), σωφροσύνῃ-εἴη (1), σώφρονα-ἦν (1), σωφρονῶν-εἶναι (1), σωφρονοῦντας-ἦν (1), σωφροσύνης-ὄντας (1), σώφροσιν-ἦν (1), σωφροσύνη-εἶεν (1), σωφρονίζει-ἦν (1), σωφρονέστατα-εἶναι (1), σωφροσύνην-εἴη (1), σωφρονέστατος-εἶναι (1), σώφρων-ἔσεσθαι (1), σωφρονεῖ-ἦν (1), σωφροσύνη-ᾖ (1), σωφρονοῦντε-ἔστε (1), σωφροσύνῃ-ἔν (1), σωφροσύνην-ἦν (1), σωφροσύνην-ἔν (1), σώφρονας-ὄντας (1), σωφρονεῖν-ἔν (1), σώφρονος-ἐστιν (1), σώφρονες-ὄντες (1), σωφρονεῖν-ἔστιν (1), σωφρόνει-ἔστιν (1), σωφρόνως-ἔσται (1), σώφρονος-ἐστί (1), σωφρόνως-ἐστίν (1), σωφροσύνη-ἔσται (1), σώφρων-ἔσται (1), σωφροσύνης-οὔσης (1), σωφρονεῖν-ὤν (1), σωφρονίσαντες-εἶναι (1), σωφρονοῦντος-ἰόντων (1), σώφρονες-εἴη (1), σωφρονέστατον-εἶναι (1), σωφρονοῦσιν-ἦ (1), σώφρονα-ἔσεσθαι (1), σωφρονεῖν-ἐστι (1), σωφρόνως-ἦ (1), σώφροσιν-εἶναι (1), σωφρονέστερος-εἴη (1), σώφρονι-ἦν (1), σωφρονεστάτους-εἶναι (1), σωφροσύνη-ἐστι (1), σώφρων-ἐστίν (1), σωφρονεῖς-ἐστιν (1), σωφρονέστερος-εἶναι (1), σώφρονε-εἶναι (1), σωφροσύνη-ἔστιν (1), ἐσωφρονεῖτε-ἦ (1), σωφροσύνην-ἐστίν (1), σωφρονήσειν-ἔσται (1), σωφρονέστατοι-εἶναι (1), σωφροσύνης-ἔστιν (1)"
δικαι,σωφρ,625.183486934751,88,46,42,5,6,11,21,3,0,2,15,17,6,2,"σωφροσύνην-δικαιοσύνην (18), σωφροσύνης-δικαιοσύνης (16), σωφροσύνη-δικαιοσύνη (15), σωφροσύνῃ-δικαιοσύνῃ (6), σωφρόνως-δικαίως (4), σῶφρον-δίκαιον (3), σώφρων-δίκαιος (3), σώφρονα-δίκαιον (2), σωφρονέστατον-δικαιότατον (2), σωφροσύνην-δικαίως (1), σωφρόνως-δικαιοσύνῃ (1), σωφρονεῖν-δίκαιον (1), σώφρονα-δικαίαν (1), σωφρονέστεροι-δικαιότεροι (1), σωφροσύνης-δικαιοσύνῃ (1), σώφρονες-δίκαιοι (1), σωφρονέστατος-δικαιότατος (1), σωφρονίζει-δικαιοτέρους (1), σώφρονος-δικαίου (1), σωφρονεῖν-δίκαια (1), σώφρων-δικαία (1), σωφρονῶν-δικαίως (1), σωφροσύνην-δίκαιον (1), σωφρόνων-δικαίων (1), σώφροσιν-δικαίοις (1), σωφρονῶσιν-δίκαιον (1), σωφρονέστερον-δικαιότερον (1), σωφροσύνη-δίκαιον (1)"
δέ,σωφρ,427.716993231326,133,64,69,9,15,11,13,16,0,13,22,14,10,10,"σωφροσύνην-δέ (24), σωφροσύνης-δέ (19), σωφροσύνη-δέ (13), σώφρων-δέ (8), σωφρόνως-δέ (8), σωφρονεῖν-δέ (7), σωφροσύνῃ-δέ (7), σώφρονα-δέ (4), σώφρονι-δέ (4), σώφρονας-δέ (3), σῶφρον-δέ (3), σώφροσιν-δέ (3), σώφρονες-δέ (2), σωφρονῶσιν-δέ (2), σωφρονίζῃ-δέ (2), σωφρονέστεροι-δέ (2), σωφρονοῦντες-δέ (1), σωφρόνων-δέ (1), σωφρονεῖτε-δέ (1), σωφρονίζουσιν-δέ (1), σωφρονίζειν-δέ (1), σωφρονέστατος-δέ (1), σωφρονέστερος-δέ (1), σωφρόνει-δέ (1), σωφρονέστερον-δέ (1), σωφρονῇ-δέ (1), σωφρονοῦντος-δέ (1), σωφρονῶν-δέ (1), σωφρονεστάτη-δέ (1), σωφρονοῦντα-δέ (1), σωφρονεῖ-δέ (1), σωφρονοῦντε-δέ (1), σωφρονῆτε-δέ (1), σωφρονοῦσαι-δέ (1), σωφρονοῦσι-δέ (1), σωφρονίζουσι-δέ (1), ἐσωφρόνεις-δέ (1), σωφρονεστέρους-δέ (1)"
ανδρει,σωφρ,425.792464431375,48,23,25,2,0,6,10,5,0,1,8,7,5,4,"σωφροσύνην-ἀνδρείαν (9), σωφροσύνη-ἀνδρεία (7), σωφροσύνης-ἀνδρείας (5), σώφρων-ἀνδρεία (3), σωφροσύνῃ-ἀνδρείᾳ (3), σώφρων-ἀνδρεῖος (3), σώφρονα-ἀνδρείαν (2), σώφρονα-ἀνδρεῖον (2), σώφρονος-ἀνδρείου (2), σωφρονεῖν-ἀνδρεῖον (1), σῶφρον-ἀνδρεῖον (1), σωφρονέστεροι-ἀνδρειότεροι (1), σῶφρον-ἀνδρεία (1), σωφροσύνην-ἀνδρείας (1), σώφρονας-ἀνδρείους (1), σωφρονοῖ-ἀνδρείαν (1), σώφρονι-ἀνδρείῳ (1), σωφρονέστατος-ἀνδρειότατος (1), σωφροσύνην-ἀνδρείᾳ (1), σωφρονεῖν-ἀνδρείαν (1), σωφροσύνης-ἀνδρείαν (1)"
οὐ,σωφρ,293.612974878401,88,33,55,8,4,6,8,7,0,10,8,6,12,19,"σωφροσύνην-οὐ (11), σωφροσύνη-οὐκ (7), σωφροσύνης-οὐ (6), σωφροσύνη-οὐ (6), σωφρονεῖν-οὐκ (5), σωφροσύνη-οὐχ (3), σωφροσύνῃ-οὐ (3), σώφρων-οὔ (2), σωφρόνως-οὐκ (2), σωφροσύνῃ-οὔ (2), σωφροσύνης-οὐκ (2), σώφρονα-οὐ (2), σωφρονῶμεν-οὐ (2), σωφρονοῦσιν-οὐ (2), σωφρόνως-οὐ (2), σωφροσύνην-οὐκ (2), σωφρονεῖν-οὐ (2), σωφρονεῖ-οὐ (2), σωφρονιοῦσιν-οὐκ (1), σωφρονέστερον-οὐ (1), σωφρονέστερος-οὐχ (1), σωφρόνει-οὐκ (1), σωφρόνως-οὐχ (1), σώφρονος-οὐ (1), σωφρονοῦσιν-οὐχ (1), σωφρονοῦσιν-οὐκ (1), σωφροσύνης-οὔ (1), σώφρονες-οὐ (1), σαόφροσιν-οὔ (1), σώφρων-οὐκ (1), σωφρονήσαντα-οὐκ (1), σωφρονοῖ-οὐ (1), σωφρονεῖ-οὐκ (1), σωφρονοῦντε-οὐ (1), σωφρονῶσιν-οὐκ (1), σωφροσύνην-οὐχ (1), ἐσωφρονεῖτε-οὐκ (1), σωφρονισθείς-οὐ (1), σώφρονας-οὔ (1), σώφρονες-οὐχ (1), σωφροσύνη-οὔ (1), σωφρονεῖν-οὔ (1), σωφρονήσας-οὐκ (1)"
ἄν,σωφρ,263.722933769226,81,40,41,9,9,8,7,7,0,11,8,5,6,11,"σωφροσύνη-ἄν (13), σωφροσύνης-ἄν (12), σωφρονεῖν-ἄν (7), σώφρων-ἄν (6), σωφροσύνην-ἄν (5), σωφρόνως-ἄν (4), σώφρονες-ἄν (3), σωφρονοῖ-ἄν (3), σωφρονέστερος-ἄν (3), σωφρονοῖεν-ἄν (2), σωφρονέστερον-ἄν (2), σώφροσιν-ἄν (2), σωφρονῶμεν-ἄν (2), σωφρόνως-κα (2), σωφρονοῖμεν-ἄν (1), σωφρονισθείς-ἄν (1), σωφρονίζοι-ἄν (1), σωφροσύνῃ-ἄν (1), σωφροσύνην-κα (1), σωφροσύνη-κα (1), σῶφρον-ἄν (1), σωφρονῶν-ἄν (1), ἐσωφρόνεις-ἄν (1), σωφρονεῖν-κα (1), σωφρονεστάτη-ἄν (1), σωφρονοίη-ἄν (1), σωφρονέστατον-ἄν (1), σωφρονῇ-ἄν (1), σωφρονοῦντες-ἄν (1)"
σωφρ,σωφρ,261.83061728254,36,19,17,5,4,4,3,3,583,3,3,4,3,4,"σωφρονεῖ-σωφρονεῖ (4), σωφρονεῖν-σωφρονεῖν (4), σωφροσύνη-σωφρονεῖν (2), σωφροσύνῃ-σωφρόνως (2), σωφρονεῖν-σωφροσύνη (2), σωφροσύνη-σωφρονέστερον (1), σωφρονεῖ-σωφρόνως (1), σωφρόνως-σωφροσύνης (1), σωφρονῶν-σωφρονοῦσα (1), σωφρονέστερον-σωφροσύνη (1), σωφροσύνης-σωφρόνως (1), σωφρονοῦσα-σωφρονῶν (1), σωφρόνως-σωφρονεῖ (1), σωφρονοῦσιν-σωφροσύνῃ (1), σώφρων-σωφροσύνη (1), σωφρονεῖν-σωφρονήσαντα (1), σωφρόνως-σωφροσύνῃ (1), σωφροσύνη-σώφρων (1), σωφροσύνῃ-σωφρονοῦσιν (1), σωφροσύνῃ-σωφρονεῖν (1), σωφρονεῖν-σωφρόνων (1), σωφρονοῦσιν-σωφρονεῖν (1), σωφρονοῦντα-σωφρονεῖν (1), σωφρόνων-σωφρονεῖν (1), σωφρονεῖν-σωφρονοῦντα (1), σωφρονήσαντα-σωφρονεῖν (1), σωφρονεῖν-σωφροσύνῃ (1), σωφρονιοῦσιν-σωφρονιοῦσιν (0), σώφροσιν-σώφροσιν (0), σωφρονεῖτε-σωφρονεῖτε (0), σωφρονεστάτου-σωφρονεστάτου (0), σωφρονῇ-σωφρονῇ (0), σωφρονῶν-σωφρονῶν (0), σώφρονος-σώφρονος (0), σωφρονίσαντες-σωφρονίσαντες (0), σωφρονήσαιμεν-σωφρονήσαιμεν (0), σώφρονι-σώφρονι (0), σωφρονισθέντες-σωφρονισθέντες (0), σωφρονοῦσαι-σωφρονοῦσαι (0), σῶφρον-σῶφρον (0), σωφρονῆτε-σωφρονῆτε (0), σωφρονέστερος-σωφρονέστερος (0), σωφρονισθείς-σωφρονισθείς (0), σωφρονοῖμεν-σωφρονοῖμεν (0), σωφρονῶσιν-σωφρονῶσιν (0), σωφρονοῦντας-σωφρονοῦντας (0), σωφρονίζῃ-σωφρονίζῃ (0), σωφρονίζειν-σωφρονίζειν (0), ἐσωφρόνεις-ἐσωφρόνεις (0), σωφρονέστατος-σωφρονέστατος (0), σωφρόνων-σωφρόνων (0), σωφρονέστατον-σωφρονέστατον (0), σωφρονίζουσιν-σωφρονίζουσιν (0), σωφρονήσας-σωφρονήσας (0), σώφρονας-σώφρονας (0), σωφροσύνην-σωφροσύνην (0), σωφρονοῖ-σωφρονοῖ (0), σωφρονήσειν-σωφρονήσειν (0), σωφρονίζουσι-σωφρονίζουσι (0), σωφρονῶμεν-σωφρονῶμεν (0), σωφρόνει-σωφρόνει (0), σωφρονεστάτη-σωφρονεστάτη (0), σεσωφρονηκώς-σεσωφρονηκώς (0), σωφρονήσαντα-σωφρονήσαντα (0), σωφρονέστατοι-σωφρονέστατοι (0), σωφρονῇς-σωφρονῇς (0), σώφρονε-σώφρονε (0), σωφρονεῖς-σωφρονεῖς (0), σωφρονέστεροι-σωφρονέστεροι (0), σωφρονοίη-σωφρονοίη (0), σώφρων-σώφρων (0), σαόφροσιν-σαόφροσιν (0), σωφρονοῦσιν-σωφρονοῦσιν (0), σωφρονεστέρους-σωφρονεστέρους (0), σεσωφρονίσθαι-σεσωφρονίσθαι (0), σώφρονα-σώφρονα (0), σωφρονοῦντος-σωφρονοῦντος (0), σωφρονίζει-σωφρονίζει (0), σωφρονοῦντε-σωφρονοῦντε (0), σωφρονοῦντες-σωφρονοῦντες (0), σωφρονεστάτους-σωφρονεστάτους (0), σωφρονεστέραν-σωφρονεστέραν (0), σωφρονίζοι-σωφρονίζοι (0), σώφρονες-σώφρονες (0), σωφρονοῦσα-σωφρονοῦσα (0), σωφρονέστερον-σωφρονέστερον (0), σωφροσύνη-σωφροσύνη (0), σωφρονοῦσι-σωφρονοῦσι (0), σωφρονέστατα-σωφρονέστατα (0), σωφροσύνῃ-σωφροσύνῃ (0), σωφρονοῦντα-σωφρονοῦντα (0), σωφρονοῖεν-σωφρονοῖεν (0), σωφρόνως-σωφρόνως (0), σωφροσύνης-σωφροσύνης (0), ἐσωφρονεῖτε-ἐσωφρονεῖτε (0)"
πράσσω,σωφρ,258.901230510324,43,24,19,4,3,4,8,5,0,4,1,3,6,5,"σωφροσύνην-πράττειν (4), σωφρονεῖ-πράττων (3), σωφρόνως-πράξας (2), σώφρων-πράττοι (2), σωφρονοῦσιν-πράττοντες (2), σωφροσύνη-πράττειν (2), σωφρονεῖν-ἔπραττον (1), σωφροσύνης-πραττόμενον (1), σωφρονοῖεν-πράττοιεν (1), σωφρόνως-πραττομένῳ (1), σωφροσύνης-πράττεσθαι (1), σωφρόνως-πραττόμενον (1), σωφρονεῖν-πράττειν (1), σωφροσύνη-πράττοι (1), σωφρόνως-πράττοντες (1), σωφρονεῖ-πράττει (1), σωφρόνως-πράττηται (1), σωφρονεῖν-πράττοντες (1), σεσωφρονηκώς-πράττων (1), σωφρονοῦσιν-πράττουσιν (1), σώφρων-ἔπραττεν (1), σωφρονοῦντες-πεπρᾶχθαι (1), σωφρονεῖν-πράττοντας (1), σωφρόνως-πράττει (1), σώφρονα-πράττειν (1), σωφροσύνῃ-πράττεται (1), σωφρονοῖ-πράττων (1), σωφροσύνης-πράττεται (1), σωφρόνως-πράττειν (1), σώφρονας-πράττοντας (1), σώφρονα-πράττοντα (1), σωφρόνως-πράττεται (1), σωφρόνως-ἔπραξεν (1), σωφρονεῖ-πράξας (1)"
