Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,72,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,132.024350180756,36,20,16,4,4,3,8,1,0,4,7,2,1,2,"δίκαια-τά (5), δίκαιον-τό (4), δικαίως-τά (2), δικαίως-τῶν (2), δίκαια-τούς (2), δίκαιον-τόν (2), δίκαιον-τούς (2), δικαίοις-τοῖς (2), δικαίως-τό (2), δικαίως-ὁ (1), δικαιοῖ-ὁ (1), δικαιοῦν-τῶν (1), δικαίῳ-τά (1), δικαίοις-τό (1), δικαίῳ-τόν (1), δίκαια-τῶν (1), δικαίως-αἱ (1), δίκαια-ἁ (1), δικαίως-τόν (1), δίκαιοι-τῆς (1), δικαιῶν-τόν (1), δικαίαν-τούς (1)"
οὐ,δικαι,92.2251321352087,21,10,11,1,1,0,4,4,0,3,2,1,3,2,"δίκαιον-οὐ (4), δίκαια-οὐ (3), δίκαιος-οὐ (2), δίκαιον-οὐχ (1), δικαιοῖς-οὐ (1), δικαίῳ-οὐχί (1), δικαιῶν-οὔ (1), δικαίας-οὐ (1), δικαίῳ-οὐ (1), δικαίῳ-κοὐκ (1), δικαίων-οὐκ (1), δικαίοις-οὐ (1), δικαιοῦν-οὐ (1), δίκαιον-οὐκ (1), δικαίως-οὐ (1)"
δέ,δικαι,69.3663856736384,20,9,11,2,3,1,2,1,0,1,4,2,2,2,"δικαίως-δέ (4), δίκαιον-δ' (4), δίκαιον-δέ (3), δίκαιος-δ' (3), δίκαιοι-δ' (2), δικαίῳ-δέ (1), δίκαια-δέ (1), δικαίων-δ' (1), δικαιῶ-δέ (1)"
γάρ,δικαι,69.0868718212005,17,13,4,1,2,3,1,6,0,3,0,0,0,1,"δίκαια-γάρ (6), δίκαιον-γάρ (3), δικαίῳ-γάρ (2), δικαιοῖς-γάρ (1), δικαία-γάρ (1), δικαίοις-γάρ (1), δικαιοῦν-γάρ (1), δίκαιος-γάρ (1), δικαίας-γάρ (1)"
μή,δικαι,54.8540513014887,12,7,5,0,1,1,0,5,0,1,1,0,2,1,"δίκαιος-μή (3), δίκαια-μή (2), δικαίως-μή (2), δίκαιον-μή (2), δικαιοῦν-μή (1), δικαιῶν-μή (1), δικαίῳ-μή (1)"
ἐγώ,δικαι,52.1095730811357,16,8,8,1,1,0,3,3,0,0,0,5,0,3,"δίκαιον-ἐγώ (2), δικαίῳ-με (2), δικαίως-ἐγώ (2), δίκαια-με (2), δίκαιον-'γώ (1), δικαιῶ-ἐγώ (1), δικαίως-μου (1), δίκαια-μοι (1), δίκαιον-με (1), δικαιῶν-ἁγώ (1), δικαίων-ἐγώ (1), δίκαιος-ἐγώ (1)"
ἀνήρ,δικαι,51.5347741760779,10,7,3,3,2,2,0,0,0,2,1,0,0,0,"δίκαιον-ἄνδρα (4), δίκαιον-ἀνδρός (1), δικαία-ἀνδρός (1), δίκαιος-ἀνήρ (1), δικαιοῦν-ἄνδρα (1), δικαιοῦν-ἀνδρός (1), δικαίων-ἀνδρῶν (1)"
καί,δικαι,49.899521445157,15,9,6,2,0,3,2,2,0,5,0,1,0,0,"δίκαια-καί (6), δίκαιον-καί (2), δικαιῶν-καί (2), δικαίως-καί (2), δικαία-καί (1), δικαίων-καί (1), δικαίαν-καί (1)"
κρ,δικαι,46.2825788003393,8,3,5,0,1,1,0,1,0,1,1,0,1,2,"δίκαια-κρ (5), δικαίως-κρ (1), δίκαιος-κρ (1), δικαίοις-κρ (1)"
κακός,δικαι,42.6703837637324,8,2,6,0,1,1,0,0,0,0,1,2,3,0,"δικαίοις-κακόν (1), δίκαιον-κακόν (1), δικαίως-κακόν (1), δικαίοις-κακά (1), δίκαιον-κακούς (1), δικαιοῖ-κακοῖν (1), δίκαιος-κακός (1), δίκαιος-κακά (1)"
ὅς,δικαι,42.049748149002,11,5,6,0,2,1,1,1,0,1,3,1,1,0,"δικαίως-ὅς (1), δίκαιον-ἅ (1), δίκαιον-ἧς (1), δικαίως-ὅν (1), δικαιῶ-ἅπερ (1), δικαιοῦν-ἅ (1), δίκαια-ἅ (1), δίκαιον-ᾗ (1), δίκαια-ὧν (1), δίκαια-ᾗ (1), δίκαιος-ὧν (1)"
δικαι,δικαι,41.8850929457694,6,3,3,1,0,2,0,0,72,0,0,2,0,1,"δίκαια-δίκαια (4), δίκαιος-δίκαιος (2), δικαίοις-δικαίοις (0), δικαίαν-δικαίαν (0), δικαίων-δικαίων (0), δικαίας-δικαίας (0), δίκαιοι-δίκαιοι (0), δικαίου-δικαίου (0), δικαίῳ-δικαίῳ (0), δικαίως-δικαίως (0), δίκαιον-δίκαιον (0), δικαιοῖς-δικαιοῖς (0), δικαία-δικαία (0), δικαιοῖ-δικαιοῖ (0), δικαιῶ-δικαιῶ (0), δικαιοῦν-δικαιοῦν (0), δικαιῶν-δικαιῶν (0)"
πως,δικαι,41.7575944883283,7,4,3,0,0,0,2,2,0,0,1,1,0,1,"δίκαια-πῶς (3), δίκαιος-πῶς (2), δίκαιον-πῶς (1), δικαίως-πῶς (1)"
δράω,δικαι,39.0736460934859,7,5,2,1,0,2,1,1,0,2,0,0,0,0,"δίκαια-δρᾷς (3), δικαιοῖ-δρᾶσαι (1), δίκαιον-δράσω (1), δικαίως-δρῶν (1), δίκαιος-δρῶν (1)"
εἰμί,δικαι,29.0023205338512,10,6,4,1,3,2,0,0,0,4,0,0,0,0,"δίκαιος-ὤν (3), δικαίως-ἦν (2), δικαίως-εἰσίν (1), δίκαια-εἶναι (1), δικαίων-εἰμ' (1), δικαίας-ἔσθ' (1), δικαίως-ἔστ' (1)"
