Collocation,2013-09-07
KeyWord,ευσεβ
Instances,20
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,93.7476177522913,17,10,7,3,0,2,3,2,0,2,2,0,1,2,"εὐσεβίας-τό (2), εὐσεβές-τό (1), εὐσεβῆ-τόν (1), εὐσεβεῖν-τά (1), εὐσεβίαν-τήν (1), εὐσεβεῖν-τοῖς (1), εὐσέβειαν-τοῖς (1), εὐσέβειαν-ἡ (1), εὐσεβῶν-τούς (1), εὐσεβῆ-τούς (1), εὐσεβέστατος-τόν (1), εὐσεβεῖς-τούς (1), εὐσεβεῖν-τούς (1), εὐσεβεῖν-τόν (1), εὐσεβείᾳ-τᾷ (1), εὐσεβοῦς-τήν (1)"
πρός,ευσεβ,38.0665219926741,6,3,3,1,0,0,1,1,0,0,1,0,2,0,"εὐσεβῆ-πρός (2), εὐσεβῶς-πρός (1), εὐσέβειαν-πρός (1), εὐσεβεῖν-πρός (1), εὐσεβίαν-πρός (1)"
μέν,ευσεβ,35.928017716622,6,2,4,0,1,0,0,1,0,0,0,1,2,1,"εὐσέβειαν-μέν (1), εὐσεβῆ-μέν (1), εὐσεβοῦς-μέν (1), εὐσέβεια-μέν (1), εὐσεβέστατος-μέν (1), εὐσεβίας-μέν (1)"
βλαστάνω,ευσεβ,20.9904706948437,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"εὐσεβεῖς-βλαστόντας (1), εὐσεβῶν-βλαστόντας (1)"
ευσεβ,ευσεβ,20.3036899857689,2,1,1,0,0,0,1,0,20,0,1,0,0,0,"εὐσεβῶν-εὐσεβεῖς (1), εὐσεβεῖς-εὐσεβῶν (1), εὐσεβοῦς-εὐσεβοῦς (0), εὐσεβής-εὐσεβής (0), εὐσεβεῖς-εὐσεβεῖς (0), εὐσεβείᾳ-εὐσεβείᾳ (0), εὐσεβέστατος-εὐσεβέστατος (0), εὐσεβεῖν-εὐσεβεῖν (0), εὐσεβίας-εὐσεβίας (0), εὐσεβές-εὐσεβές (0), εὐσεβῶν-εὐσεβῶν (0), εὐσέβειαν-εὐσέβειαν (0), εὐσεβῆ-εὐσεβῆ (0), εὐσεβίαν-εὐσεβίαν (0), εὐσέβεια-εὐσέβεια (0), εὐσεβῶς-εὐσεβῶς (0)"
ἐκβάλλω,ευσεβ,19.3708392567933,2,0,2,0,0,0,0,0,0,0,1,0,1,0,"εὐσεβεῖς-ἐκβαλοῦς' (1), εὐσεβῶν-ἐκβαλοῦς' (1)"
ἄν,ευσεβ,19.2676293395925,4,4,0,2,0,0,1,1,0,0,0,0,0,0,"εὐσέβεια-ἄν (1), εὐσεβίας-ἄν (1), εὐσεβεῖν-ἄν (1), εὐσεβῆ-ἄν (1)"
δέ,ευσεβ,16.7536804352421,5,3,2,1,1,0,1,0,0,0,0,1,0,1,"εὐσεβεῖς-δέ (1), εὐσεβεῖν-δ' (1), εὐσεβῶν-δέ (1), εὐσέβειαν-δέ (1), εὐσεβῆ-δέ (1)"
πρόσθεν,ευσεβ,16.608418792719,2,2,0,0,0,1,0,1,0,0,0,0,0,0,"εὐσεβῶν-πρόσθεν (1), εὐσεβεῖς-πρόσθεν (1)"
δανάη,ευσεβ,16.5967494002543,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβίαν-δανάας (1)
ταῦ,ευσεβ,16.5967494002543,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβῶν-ταῦ (1)
παιδοποιέω,ευσεβ,16.5967494002543,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβεῖς-παιδοποιεῖς (1)
ἁπάν,ευσεβ,16.5967494002543,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσέβεια-ἁπάν (1)
βλέπω,ευσεβ,16.2900449568406,2,1,1,1,0,0,0,0,0,0,1,0,0,0,εὐσεβῆ-βλέπειν (2)
ἐκ,ευσεβ,15.8001741385087,3,1,2,0,0,0,0,1,0,2,0,0,0,0,"εὐσεβῶν-κἀξ (1), εὐσεβεῖς-κἀξ (1), εὐσέβειαν-ἐκ (1)"
γε,ευσεβ,14.3408477704506,3,2,1,0,1,0,0,1,0,0,1,0,0,0,"εὐσεβοῦς-γε (1), εὐσεβές-γ' (1), εὐσεβῆ-γε (1)"
χο,ευσεβ,14.3408477704506,3,1,2,0,0,0,1,0,0,0,2,0,0,0,"εὐσέβεια-χο (1), εὐσέβειαν-χο (1), εὐσεβίαν-χο (1)"
βροτός,ευσεβ,13.6569018356968,2,0,2,0,0,0,0,0,0,2,0,0,0,0,"εὐσεβῆ-βροτῶν (1), εὐσεβέστατος-βροτῶν (1)"
ἐπεί,ευσεβ,13.1785598285496,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"εὐσεβές-ἐπεί (1), εὐσεβοῦς-ἐπεί (1)"
χέω,ευσεβ,12.8468229996506,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"εὐσεβῶν-ἔχεις (1), εὐσεβῶς-ἔχει (1)"
φέρω,ευσεβ,12.7837410557549,2,1,1,0,1,0,0,0,0,0,0,1,0,0,"εὐσεβής-φέρων (1), εὐσεβείᾳ-φερομέναν (1)"
των,ευσεβ,12.7786347873043,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσέβεια-των (1)
ἐγώ,ευσεβ,12.5776382433251,4,2,2,0,1,1,0,0,0,0,0,2,0,0,"εὐσεβίας-με (1), εὐσέβεια-ἐγώ (1), εὐσεβέστατος-ἐγώ (1), εὐσεβῆ-μου (1)"
μόνος,ευσεβ,12.3129186651204,2,1,1,0,0,1,0,0,0,1,0,0,0,0,"εὐσεβῶς-μόνοις (1), εὐσεβές-μόνοις (1)"
γαῖα,ευσεβ,12.2306720786728,2,2,0,1,0,0,0,1,0,0,0,0,0,0,"εὐσεβεῖν-γαῖαν (1), εὐσεβές-γῇ (1)"
δυσσέβεια,ευσεβ,12.099523847457,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβοῦς-δυσσέβειαν (1)
οἶσις,ευσεβ,12.099523847457,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσέβειαν-οἴσῃ (1)
ὅρκιος,ευσεβ,12.099523847457,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβεῖν-ὁρκίων (1)
σεβίζω,ευσεβ,12.099523847457,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβίαν-σεβίσασα (1)
ἀλλά,ευσεβ,12.0155475223437,3,0,3,0,0,0,0,0,0,0,1,1,1,0,"εὐσεβεῖν-ἀλλ' (2), εὐσεβοῦς-ἀλλ' (1)"
πορθέω,ευσεβ,11.5946659827605,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβεῖν-πορθῆτε (1)
πανταχοῦ,ευσεβ,11.5946659827605,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβῆ-πανταχοῦ (1)
ὄνησις,ευσεβ,11.5946659827605,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβής-ὄνησιν (1)
ἐπιβάτης,ευσεβ,11.1924409316853,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβίας-ἐπιβαίνοντες (1)
αἰδώς,ευσεβ,11.1924409316853,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσέβεια-αἰδώς (1)
τε,ευσεβ,11.0332621410489,3,2,1,0,0,0,1,1,0,1,0,0,0,0,"εὐσεβής-τε (1), εὐσέβεια-τ' (1), εὐσεβῶς-τ' (1)"
ἱερός,ευσεβ,10.8580322081689,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβής-ἱερός (1)
κορέω,ευσεβ,10.5718233166263,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσέβειαν-κόρη (1)
ἐννοέω,ευσεβ,10.5718233166263,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβεῖν-ἐννοεῖθ' (1)
ῥᾴδιος,ευσεβ,10.5718233166263,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβεῖν-ῥᾴδιον (1)
θνήσκω,ευσεβ,10.5623561737593,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"εὐσεβεῖν-θανόντος (1), εὐσέβειαν-θανόντος (1)"
κακός,ευσεβ,10.4075427523348,2,0,2,0,0,0,0,0,0,0,1,1,0,0,"εὐσεβεῖν-κακούς (1), εὐσεβῶς-κακά (1)"
μιμνήσκω,ευσεβ,10.3216534100939,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβεῖν-μεμνημένος (1)
κτέομαι,ευσεβ,10.3216534100939,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβοῦς-ἐκτησάμην (1)
κοινόω,ευσεβ,10.0994569121394,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσέβειαν-κοινῷ (1)
κελεύω,ευσεβ,9.89960748888552,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβεῖν-κελεύσαιμ' (1)
ἀτιμάζω,ευσεβ,9.89960748888552,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβής-ἀτιμάσῃς (1)
βούλευμα,ευσεβ,9.71802329458296,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσέβειαν-βουλεύμασιν (1)
ἀρίστης,ευσεβ,9.25564189255238,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβείᾳ-ἄριστα (1)
σέβω,ευσεβ,9.12269489979371,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβεῖν-σέβειν (1)
θεός,ευσεβ,9.10903688985854,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"εὐσεβῶς-θεῶν (1), εὐσεβεῖν-θεούς (1)"
ἀστός,ευσεβ,8.99809868005104,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβής-ἀστοῖς (1)
σύ,ευσεβ,8.97108791954815,3,1,2,1,0,0,0,0,0,0,0,1,1,0,"εὐσέβειαν-σύ (1), εὐσεβές-ὑμῖν (1), εὐσεβίας-σύ (1)"
τλάω,ευσεβ,8.88086897437461,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβίαν-ἔτλα (1)
σωφρ,ευσεβ,8.77018593694083,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβεῖν-σωφρονεῖν (1)
τύραννος,ευσεβ,8.56580303865485,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβεῖν-τύραννον (1)
καί,ευσεβ,8.30789356655441,3,1,2,1,0,0,0,0,0,0,1,0,1,0,"εὐσεβεῖς-καί (1), εὐσεβής-καί (1), εὐσεβίαν-καί (1)"
ὀρθός,ευσεβ,8.21118840761483,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβείᾳ-ὀρθά (1)
κατόω,ευσεβ,8.13165240455419,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσέβειαν-κάτω (1)
μέντοι,ευσεβ,8.05519570130855,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβῆ-μέντοι (1)
λοιπός,ευσεβ,7.98159003886394,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβέστατος-λοιπόν (1)
νικάω,ευσεβ,7.84213781543076,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβῆ-νικᾶν (1)
ἒ,ευσεβ,7.64987744158134,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβεῖς-ἔ (1)
χρῄζω,ευσεβ,7.47473565372638,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβῆ-χρῄζων (1)
