Collocation,2013-09-07
KeyWord,φρον
Instances,115
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,165.964804716641,49,24,25,6,6,3,2,7,0,2,4,7,3,9,"φρονεῖν-τήν (3), φρονῶ-τά (2), φρονεῖν-τοῖς (2), φρονεῖν-οἱ (2), φρονεῖν-τό (2), φρονεῖν-τῶν (2), φρονῶν-τῆς (1), φρονῶ-τό (1), φρόνει-τῆς (1), φρονεῖν-ὁ (1), φρονοῦσιν-τοῖς (1), φρονεῖς-τήν (1), φρονήσας-τόν (1), φροντίδι-ὁ (1), φροντίδος-τᾶς (1), φρόνησον-τοῖς (1), φρονεῖν-τῆς (1), φρόνησις-ἡ (1), φροντίδι-τό (1), φροντίδος-τό (1), φροντίδος-τά (1), φρονῇς-τά (1), φροντίς-τά (1), φρονοῦσι-τοῖς (1), φρονεῖς-τούς (1), φρονεῖν-τούς (1), φροντίδες-τῶν (1), φρονεῖν-ἁ (1), φρονοῦντα-τό (1), φρονεῖ-τήν (1), φρονοῦσα-τῶν (1), φροντίς-τόν (1), φρόνει-χω (1), φρονοῦντες-οἱ (1), φρονοῦσι-τούς (1), φρονεῖν-τόν (1), φρονήσας-τό (1), φρονοῦσαν-τό (1), φρονοῦντας-τούς (1), φρόνησις-οἱ (1), φροντίδος-τήν (1), φρον-ο (1)"
εὖ,φρον,113.151488255709,15,9,6,0,0,0,1,8,0,5,0,0,1,0,"φρονεῖν-εὖ (3), φρονῶν-εὖ (3), φρονήσας-εὖ (2), φρόνησον-εὖ (1), φρονεῖς-εὖ (1), φροντίδος-εὖ (1), φρονοῦσιν-εὖ (1), φρονοῦντες-εὖ (1), φρονῇς-εὖ (1), φρονῶ-εὖ (1)"
γάρ,φρον,112.284428358078,27,9,18,1,1,3,4,0,0,5,3,7,2,1,"φρονεῖν-γάρ (10), φρονεῖ-γάρ (3), φρονῶ-γάρ (3), φρόνει-γάρ (2), φρονοῦσιν-γάρ (1), φρονοῦντι-γάρ (1), φρόνησον-γάρ (1), φροντίδων-γάρ (1), φρονοῦντα-γάρ (1), φρονῇς-γάρ (1), φροντίσῃς-γάρ (1), φρονῶν-γάρ (1), φρονεῖς-γάρ (1)"
δέ,φρον,97.5186557285488,29,15,14,0,5,7,3,0,0,1,3,3,2,5,"φρονεῖν-δ' (5), φρονεῖν-δέ (4), φροντίδος-δέ (2), φρονῶ-δ' (2), φροντίδος-δ' (2), φρονῶν-δ' (2), φρονεῖς-δ' (1), φροντίδι-δ' (1), φρονεῖ-δ' (1), φρονήσας-δ' (1), φρονοῦντες-δέ (1), φρονοῦντας-δ' (1), φρονῶν-δέ (1), φρονῇ-δ' (1), φρονοῦντα-δ' (1), φρονοῦντας-δέ (1), φρονεῖ-δέ (1), φρόνει-δ' (1)"
οὐ,φρον,84.5295541370288,23,10,13,2,0,3,5,0,0,0,8,2,3,0,"φρονεῖν-οὐκ (4), φρονεῖν-οὐ (4), φρονεῖς-οὐκ (3), φρονῶν-οὐκ (2), φρονοῦσιν-οὐ (1), φροντίδας-οὐκ (1), φρονῶν-οὐ (1), φρονῶ-οὐ (1), φρονοῦντα-οὐκ (1), φρόνει-οὐ (1), φρονοῦσαν-κοὐκ (1), φρονεῖ-οὐ (1), φρονοῦσα-οὐκ (1), φροντίδες-οὐκ (1)"
ἐγώ,φρον,82.7676211840007,25,11,14,3,1,2,5,0,0,1,1,2,5,5,"φρονεῖν-ἐγώ (3), φροντίδος-μοι (2), φρονῶ-μοι (2), φρονεῖν-με (2), φρονῶ-κἀγώ (1), φρονῶν-μ' (1), φρονῶ-ἐγώ (1), φρόνησον-μ' (1), φρονεῖν-μ' (1), φρονοῦντι-μ' (1), φρονοῦσαν-μου (1), φρονοῦντι-ἐγώ (1), φρόνησον-νῷν (1), φρονεῖς-ἡμῖν (1), φρόνησιν-μοι (1), φρονεῖν-μοι (1), φρονεῖν-νῷν (1), φρονῶν-ἐγώ (1), φρονοῦσιν-ἐγώ (1), φρονῇς-νῷν (1)"
μή,φρον,75.2190525110345,17,10,7,0,0,3,3,4,0,1,0,1,2,3,"φρονεῖν-μή (5), φρονῶ-μή (3), φρονῶν-μή (2), φρονοῦσα-μή (1), φρόνει-μή (1), φροντίδι-μή (1), φρονῇ-μή (1), φροντίσῃς-μή (1), φρονεῖς-μή (1), φρονοῦντι-μή (1)"
εἰ,φρον,61.6434018369764,14,11,3,1,5,0,2,3,0,2,1,0,0,0,"φρονεῖν-εἰ (4), φρονεῖς-εἰ (3), φρονῶν-εἰ (2), φρονεῖς-εἴ (2), φρόνησιν-εἰ (1), φρονεῖ-εἰ (1), φροντίς-εἰ (1)"
σύ,φρον,60.3595102226827,19,8,11,0,2,4,1,1,0,0,2,3,2,4,"φρονήσας-σοι (2), φρονεῖν-σύ (2), φρονῇς-σύ (1), φρονεῖν-σοί (1), φρονοῦσαν-σε (1), φρονεῖς-ς' (1), φρονοῦσαν-σύ (1), φρόνει-ς' (1), φρονῶ-σύ (1), φρονῶν-σε (1), φρονεῖς-σοι (1), φρονῶ-ς' (1), φρονοῦσιν-ς' (1), φρονῶ-σοι (1), φρονεῖν-ς' (1), φρονοῦσαν-σοι (1), φρονῶν-ς' (1)"
ἄν,φρον,58.8458578002173,15,9,6,3,1,2,2,1,0,0,1,3,1,1,"φρονῶν-ἄν (5), φρονεῖν-ἄν (4), φρονοῦντα-ἄν (2), φρονεῖς-ἄν (1), φρονῇς-ἄν (1), φρονῶ-ἄν (1), φρόνησιν-ἄν (1)"
θνητός,φρον,55.4205874113832,7,4,3,1,1,0,0,2,0,2,1,0,0,0,"φρόνει-θνητοῦ (1), φρονεῖν-θνητά (1), φρόνει-θνητός (1), φρονοῦσαν-θνητά (1), φρονεῖν-θνητήν (1), φρονεῖν-θνητόν (1), φρονοῦσαν-θνητήν (1)"
οὗτος,φρον,51.3480236709584,14,5,9,1,0,4,0,0,0,3,2,1,3,0,"φρονεῖς-ταῦτ' (1), φρονεῖν-ταύτης (1), φρονεῖ-αὕτη (1), φρόνησιν-τούτῳ (1), φρονεῖ-οὗτος (1), φρονοῦμεν-ταῦτα (1), φρόνησιν-χοὖτος (1), φρονεῖ-ταῦτ' (1), φρονεῖν-ταῦτ' (1), φρονεῖν-ταῦτα (1), φρονοῦντι-ταῦτα (1), φρονεῖν-τοῦτο (1), φρόνησον-ταῦτ' (1), φρόνει-τοῦτο (1)"
μέγας,φρον,49.1121601418126,9,3,6,0,1,0,2,0,0,2,0,1,2,1,"φρονεῖν-μέγ' (2), φρονεῖ-μέγα (1), φρονοῦντες-μέγας (1), φρονῆσαι-μείζονος (1), φρονῶ-μέγ' (1), φρόνησις-μέγας (1), φρονῶν-μέγιστον (1), φρονείτω-μεῖζον (1)"
τις,φρον,47.3941859954502,13,9,4,0,0,3,2,4,0,1,0,1,0,2,"φροντίδος-τις (2), φρόνησιν-τι (1), φρονῶν-τις (1), φροντίδας-τι (1), φρονεῖν-τι (1), φροντίδος-τιν' (1), φρόνει-τι (1), φρονῶ-τι (1), φρονεῖν-τευ (1), φρόνησιν-τιν' (1), φρονεῖς-τι (1), φρονῶν-τι (1)"
ἤ,φρον,41.9090726985596,10,5,5,0,1,1,0,3,0,1,2,1,0,1,"φρονεῖν-ἤ (4), φρονοῦσαν-ἤ (2), φροντίδων-ἤ (1), φρονείτω-ἤ (1), φρονοῦσα-ἤ (1), φρονῶ-ἤ (1)"
ὅς,φρον,37.8770459117368,12,3,9,0,0,2,1,0,0,1,2,1,1,4,"φροντίδος-ἥν (1), φρονεῖν-ἥν (1), φρονεῖν-αἵ (1), φροντίδος-ᾧ (1), φρόνησον-ὅς (1), φρονεῖν-ὧν (1), φρονῶ-ἅ (1), φρονεῖν-οἷσι (1), φρονεῖ-οἵ (1), φρονῶ-οἷς (1), φρονῶν-οἷσι (1), φρονῶν-ὅς (1)"
