Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,46,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σοφ,87.4761409924831,23,12,11,1,1,2,0,8,0,2,5,1,2,1,"σοφῶν-τῶν (3), σοφῶν-ὁ (2), σοφοί-οἱ (2), σοφός-τό (2), σοφοί-τῶν (1), σοφοῖς-τόν (1), σοφός-τοῖς (1), σοφᾶς-ἁ (1), σοφούς-τούς (1), σοφῶς-τό (1), σοφά-τῶν (1), σοφωτάτους-τούς (1), σοφός-ὁ (1), σοφόν-τό (1), σοφοί-τά (1), σοφαί-χαἰ (1), σοφός-τόν (1), σοφός-χαἰ (1)"
σοφ,σοφ,78.0477667476516,8,4,4,1,1,2,0,0,46,0,0,2,1,1,"σοφόν-σοφός (1), σοφός-σοφόν (1), σοφίαν-σοφίᾳ (1), σοφοί-σοφῶν (1), σοφός-σοφαί (1), σοφῶν-σοφοί (1), σοφίᾳ-σοφίαν (1), σοφαί-σοφός (1), σοφωτάτας-σοφωτάτας (0), σοφός-σοφός (0), σοφωτέροις-σοφωτέροις (0), σοφωτάτους-σοφωτάτους (0), σοφῶς-σοφῶς (0), σοφίαν-σοφίαν (0), σοφοῖς-σοφοῖς (0), σοφᾶς-σοφᾶς (0), σοφάς-σοφάς (0), σοφόν-σοφόν (0), σοφώτερος-σοφώτερος (0), σοφούς-σοφούς (0), σοφοί-σοφοί (0), σοφοῦ-σοφοῦ (0), σοφαί-σοφαί (0), σοφά-σοφά (0), σοφῶν-σοφῶν (0), σοφίᾳ-σοφίᾳ (0)"
νε,σοφ,47.5010300003923,7,4,3,2,0,0,0,2,0,2,0,0,1,0,"σοφά-νε (2), σοφός-νε (2), σοφῶν-νε (1), σοφόν-νε (1), σοφοῦ-νε (1)"
καί,σοφ,47.0077893186826,12,10,2,2,0,3,1,4,0,1,0,0,1,0,"σοφόν-καί (3), σοφοί-καί (1), σοφωτέροις-καί (1), σοφᾶς-καί (1), σοφούς-καί (1), σοφωτάτους-καί (1), σοφοῖς-καί (1), σοφός-καί (1), σοφοῦ-καί (1), σοφῶν-καί (1)"
εἰμί,σοφ,45.4076521426905,11,8,3,4,0,1,1,2,0,1,0,0,1,1,"σοφόν-ἐστ' (1), σοφοί-ἐστι (1), σοφάς-εἶτ' (1), σοφός-ἔστιν (1), σοφίᾳ-ἔστιν (1), σοφούς-εἶθ' (1), σοφῶν-ἔστι (1), σοφός-ἦν (1), σοφίαν-ἔστιν (1), σοφόν-εἶναι (1), σοφός-ᾖ (1)"
ἄν,σοφ,42.9961364234332,9,3,6,1,0,1,0,1,0,0,3,0,1,2,"σοφός-ἄν (3), σοφωτάτους-ἄν (2), σοφά-ἄν (1), σοφοῦ-κα (1), σοφίᾳ-ἄν (1), σοφίαν-ἄν (1)"
δέ,σοφ,41.3453691978939,12,9,3,2,4,1,2,0,0,1,0,2,0,0,"σοφόν-δ' (2), σοφίαν-δ' (1), σοφίᾳ-δ' (1), σοφώτερος-δέ (1), σοφωτάτους-δ' (1), σοφοῦ-δέ (1), σοφά-δ' (1), σοφός-δέ (1), σοφόν-δέ (1), σοφός-δ' (1), σοφοί-δ' (1)"
τε,σοφ,31.9003660441376,8,2,6,0,0,0,2,0,0,2,0,3,0,1,"σοφός-θ' (1), σοφοί-τε (1), σοφά-τ' (1), σοφά-τε (1), σοφόν-τ' (1), σοφός-τ' (1), σοφωτέροις-τε (1), σοφωτάτας-τε (1)"
ἐξαυδάω,σοφ,29.8483720428776,2,1,1,0,0,0,0,1,0,0,0,1,0,0,"σοφός-ἐξαυδᾷς (1), σοφόν-ἐξαυδᾷς (1)"
παλαιστής,σοφ,29.8483209761325,2,1,1,0,1,0,0,0,0,1,0,0,0,0,"σοφαί-παλαιστής (1), σοφός-παλαιστής (1)"
