Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,19,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σωφρ,46.1981101618148,11,7,4,2,0,1,2,2,0,0,3,0,0,1,"σώφρονας-τούς (2), σώφρονα-τά (2), σώφρων-οἱ (1), ἐσωφρόνησας-τά (1), σώφρονα-τούς (1), σῶφρον-τό (1), σώφρονα-τοῖς (1), σώφρων-τοῖς (1), σώφροσιν-οἱ (1)"
δέ,σωφρ,29.562737577362,7,3,4,0,1,0,1,1,0,0,1,1,2,0,"σώφρονος-δ' (1), σωφρονεῖν-δέ (1), σώφρονας-δέ (1), σωφρονεῖν-δ' (1), σώφρονα-δ' (1), σωφρονήσεις-δέ (1), σώφρων-δ' (1)"
οὐ,σωφρ,28.0999599415809,6,5,1,1,0,1,1,2,0,1,0,0,0,0,"σωφρονήσεις-οὐ (2), σώφρονος-οὐχί (1), σωφρονεῖν-οὐ (1), σώφροσιν-οὐκ (1), σωφρόνων-οὐκ (1)"
σύ,σωφρ,27.4593849857338,6,4,2,0,1,2,0,1,0,0,0,0,2,0,"σωφρονήσεις-σύ (1), σώφρονος-σε (1), σωφρονεῖν-σφῷν (1), σωφρονεῖν-ὑμίν (1), σώφρων-σύ (1), ἐσωφρόνησας-σε (1)"
ἀνήρ,σωφρ,24.5677037099376,4,2,2,0,1,0,1,0,0,1,0,0,0,1,"σώφρονος-ἀνδρός (1), σωφρόνων-ἀνδρῶν (1), σώφρονος-ἀνήρ (1), σώφρονα-ἀνήρ (1)"
οὔτις,σωφρ,21.1749328125734,3,2,1,0,1,1,0,0,0,0,1,0,0,0,"σωφρονεῖν-οὔτ' (2), σωφρόνως-οὔτ' (1)"
εἴτε,σωφρ,17.080589045072,2,2,0,1,0,0,1,0,0,0,0,0,0,0,"σώφρων-εἴθ' (1), σωφρονεῖν-εἴθ' (1)"
ἀνθρώπειος,σωφρ,16.7020612100605,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονας-τἀνθρώπεια (1)
κωτίλος,σωφρ,16.7020612100605,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονα-κωτίλος (1)
λάγδην,σωφρ,16.7020612100605,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονα-λάγδην (1)
ἐξελευθεροστομέω,σωφρ,16.7020612100605,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονήσεις-κἀξελευθεροστομεῖς (1)
ληρέω,σωφρ,16.7020612100605,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονος-ληρεῖν (1)
πατέομαι,σωφρ,16.7020612100605,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονα-πατεῖται (1)
ῥῆσις,σωφρ,16.7020612100605,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρονα-ῥῆσις (1)
οὐπώποτε,σωφρ,16.7020612100605,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σῶφρον-οὐπώποθ' (1)
φιλέω,σωφρ,16.0709831528366,2,0,2,0,0,0,0,0,0,1,1,0,0,0,"σωφρονεῖν-φίλαι (1), σωφρονήσεις-φίλη (1)"
γάρ,σωφρ,15.6920762720983,4,1,3,1,0,0,0,0,0,0,1,0,2,0,"σωφρονεῖν-γάρ (3), σώφρονος-γάρ (1)"
κύβος,σωφρ,13.9299321435392,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρων-κύβοι (1)
ἡσσάομαι,σωφρ,13.9299321435392,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρόνων-ἡσσῶνται (1)
ἀνθεύς,σωφρ,13.9299321435392,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σῶφρον-ἀνθεῖ (1)
ἐξετάζω,σωφρ,13.9299321435392,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονεῖν-'ξέταζε (1)
μή,σωφρ,13.6664099295158,3,2,1,0,1,0,1,0,0,0,1,0,0,0,"σωφρονεῖν-μή (2), σώφρονος-μή (1)"
φρον,σωφρ,13.3576510539278,2,1,1,0,0,0,0,1,0,0,0,0,0,1,"σώφρονα-φρονοῦσι (1), ἐσωφρόνησας-φρονῇς (1)"
οὖν,σωφρ,13.1895823399536,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"σώφροσιν-οὖν (1), σωφρονεῖν-οὖν (1)"
ἄν,σωφρ,12.9449082626961,3,3,0,0,0,1,2,0,0,0,0,0,0,0,"σωφρόνως-ἄν (1), σώφρονος-ἄν (1), σώφρων-ἄν (1)"
πρόβλημα,σωφρ,12.8838955173269,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρόνως-πρόβλημα (1)
δάφνη,σωφρ,12.8838955173269,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρων-δάφνην (1)
οἴμη,σωφρ,12.2047590375878,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονεῖν-οἴμ' (1)
ἀθυμόω,σωφρ,12.2047590375878,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονεῖν-ἀθυμῶ (1)
ἐπιστάτη,σωφρ,12.2047590375878,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρονεῖν-ἐπίσταται (1)
ἕκαστος,σωφρ,12.2047590375878,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονος-ἕκαστος (1)
ὅς,σωφρ,11.9731952617876,3,1,2,0,1,0,0,0,0,0,0,1,0,1,"ἐσωφρόνησας-ὅς (1), σώφρονος-ὧν (1), σωφρονήσεις-ὅς (1)"
δέος,σωφρ,11.6998756325338,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρόνως-δέος (1)
δρᾶσις,σωφρ,11.6998756325338,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονήσεις-δράσεις (1)
διαφθείρω,σωφρ,11.2976250406355,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονεῖν-διέφθορεν (1)
τιμωρέω,σωφρ,11.2976250406355,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἐσωφρόνησας-τιμωρήσεται (1)
ἡβάω,σωφρ,10.9631907758303,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σῶφρον-ἥβης (1)
τίς,σωφρ,10.7544755656272,3,1,2,0,0,0,0,1,0,0,0,0,0,2,"σώφροσιν-τοῖσι (1), σωφρόνων-τοῖσιν (1), σώφρονος-τοῦ (1)"
κορέω,σωφρ,10.6769563427661,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονήσεις-κόρη (1)
οὖσον,σωφρ,10.4267608942464,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρων-οὖσα (1)
κτέομαι,σωφρ,10.4267608942464,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονος-κτήσαιτ' (1)
οὐδέ,σωφρ,10.3258358084131,2,2,0,0,0,1,0,1,0,0,0,0,0,0,"σώφρων-οὐδ' (1), σώφρονος-οὐδέ (1)"
πλόος,σωφρ,10.0046638885979,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφροσιν-πλοῖ (1)
ὑβρίζω,σωφρ,9.82305415137671,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονήσεις-ὑβρίζεις (1)
ἄμφω,σωφρ,9.82305415137671,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονεῖν-ἀμφοῖν (1)
ἕπομαι,σωφρ,9.82305415137671,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρόνων-ἕπεσθαι (1)
κρείσσων,σωφρ,9.82305415137671,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονος-κρεῖσσον (1)
στυγέω,σωφρ,9.65665376605466,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονας-στυγοῦσι (1)
ἀέκων,σωφρ,9.65665376605466,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφροσιν-ἄκων (1)
φυτεύω,σωφρ,9.5031152558513,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονα-φυτεύσαντας (1)
τιμή,σωφρ,9.36059611919336,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρων-τιμῆς (1)
νῦν,σωφρ,9.25801062490791,2,0,2,0,0,0,0,0,0,0,1,1,0,0,"σώφρων-νῦν (1), σωφρονεῖν-νῦν (1)"
κρίνω,σωφρ,9.22762358258478,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονεῖν-κρῖνε (1)
