Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,ευσεβ,,,,,,,,,,,,,,,,
Instances,4,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ζώω,ευσεβ,26.9110541322152,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"εὐσεβέων-ζώει (1), εὐσεβίας-ζώει (1)"
ἀθανατόω,ευσεβ,18.6962535218918,2,2,0,0,1,0,0,1,0,0,0,0,0,0,εὐσεβέων-ἀθανάτους (2)
φθίω,ευσεβ,15.8882158508059,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβέων-ἔφθιτο (1)
προσμένω,ευσεβ,15.8882158508059,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβέων-προσμενέτω (1)
θεός,ευσεβ,15.0788613100594,2,1,1,0,1,0,0,0,0,0,1,0,0,0,εὐσεβέων-θεούς (2)
δέ,ευσεβ,14.9667860582413,3,2,1,1,0,0,0,1,0,1,0,0,0,0,"εὐσεβέων-δ' (2), εὐσεβέων-δέ (1)"
οὐδέ,ευσεβ,13.9884012709372,2,1,1,0,0,0,1,0,0,0,0,0,0,1,"εὐσεβίας-οὐδέ (1), εὐσεβέων-οὐδέ (1)"
οἰκέω,ευσεβ,13.1162375049607,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβέων-οἰκεῖν (1)
φάος,ευσεβ,12.0703516559443,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβέων-φῶς (1)
ἅζομαι,ευσεβ,11.3913660093385,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβέων-ἅζεται (1)
ἥλιος,ευσεβ,11.3913660093385,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβέων-ἠελίοιο (1)
λανθάνω,ευσεβ,10.4845338475425,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβέων-ἔλαθεν (1)
γένος,ευσεβ,10.4845338475425,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβέων-γένος (1)
βούλομαι,ευσεβ,10.4845338475425,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβέων-βούλεο (1)
ἐλπίς,ευσεβ,10.1502505849639,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβέων-ἐλπίδα (1)
ὁράω,ευσεβ,10.1502505849639,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβέων-ὁρᾶι (1)
ὀλίγος,ευσεβ,10.1502505849639,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβέων-ὀλίγοις (1)
οὐκέτι,ευσεβ,9.61412287634448,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβίας-οὐκέτι (1)
ὄφρα,ευσεβ,9.19232826915686,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβίας-ὄφρα (1)
περί,ευσεβ,9.01086981547996,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβέων-περί (1)
καί,ευσεβ,8.68126311941887,2,1,1,0,1,0,0,0,0,0,0,0,0,1,"εὐσεβίας-καί (1), εὐσεβέων-καί (1)"
σύν,ευσεβ,8.54886597229051,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβέων-σύν (1)
ἤ,ευσεβ,8.41604494446074,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβέων-ἤ (1)
θνητός,ευσεβ,8.06391421350418,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβέων-θνητῶν (1)
γιγνώσκω,ευσεβ,7.50567466282519,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβίας-γινώσκους' (1)
χρῆμα,ευσεβ,7.0072753514396,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβέων-χρήμασιν (1)
οὐδείς,ευσεβ,5.47621381503996,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβέων-οὐδείς (1)
τις,ευσεβ,5.26021509265411,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβίας-τις (1)
ἀλλά,ευσεβ,5.11288973156479,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβίας-ἀλλ' (1)
μέν,ευσεβ,4.56327292299829,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβίας-μέν (1)
ἀνήρ,ευσεβ,4.08386773589882,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβέων-ἀνδρῶν (1)
εὐχέ,ευσεβ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβέων-εὐχέ (1)
μιστας,ευσεβ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβίας-μιστας (1)
ευσεβ,ευσεβ,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"εὐσεβίας-εὐσεβίας (0), εὐσεβέων-εὐσεβέων (0)"
