Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,7,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,φρον,18.8568509625911,4,2,2,0,1,1,0,0,0,0,0,1,0,1,"φρόντισον-καί (2), φρονέοντα-καί (2)"
πέρ,φρον,18.473621559795,2,0,2,0,0,0,0,0,0,0,0,2,0,0,"φρονέων-περ (1), φρονεῖ-περ (1)"
εἰμί,φρον,15.0086329702754,3,2,1,1,0,0,0,1,0,0,0,0,1,0,"φρόντισον-ἐσσόμεθα (1), φροντίζω-εἰσί (1), φρονῆι-εἴη (1)"
ἔχθος,φρον,14.6452685517434,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φρόντισον-ἔχθος (1)
ἀγορεύω,φρον,14.6452685517434,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονέοντα-ἀγορεύειν (1)
πτερόν,φρον,14.6452685517434,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φροντίδες-πτερά (1)
οὗτέ,φρον,14.6452685517434,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρονεῖ-οὗτέ (1)
ὑπέρβασις,φρον,14.6452685517434,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρόντισον-ὑπέρβασιν (1)
λῶια,φρον,14.6452685517434,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φρονῆι-λῶια (1)
ἰόω,φρον,14.6452685517434,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φροντίζω-ἴω (1)
ὁδόω,φρον,11.8739007686672,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίζω-ὁδοί (1)
παλάμη,φρον,11.8739007686672,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονέοντα-παλάμαι (1)
τοιοῦτος,φρον,11.8739007686672,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονῆι-τοιοῦτος (1)
ὑποθέω,φρον,10.8286255445273,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φρονέων-ὑποθήσομαι (1)
ἕτερος,φρον,10.8286255445273,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρονῆι-ἕτερα (1)
ἀνέχω,φρον,10.8286255445273,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονέων-ἀνέχων (1)
εὐθύς,φρον,10.1502505849639,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονεῖ-ἰθεῖα (1)
βίοτος,φρον,10.1502505849639,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονέοντα-βιότου (1)
