Collocation,2013-09-08
KeyWord,σωφρ
Instances,13
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ἄφρων,σωφρ,29.4451406521257,3,1,2,0,1,0,0,0,0,0,0,2,0,0,"σώφρονος-ἄφρονος (1), σώφρων-ἄφρονι (1), σώφρων-ἄφρων (1)"
τρέπω,σωφρ,22.7006962198357,2,0,2,0,0,0,0,0,0,0,0,2,0,0,σαόφρονες-τετράφαται (2)
μῦθος,σωφρ,22.7006962198357,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"σαόφροσιν-μύθοισι (1), σώφρονι-μύθωι (1)"
ἡγεμών,σωφρ,20.977047155262,2,0,2,0,0,0,0,0,0,2,0,0,0,0,σαόφρονες-ἡγεμόνες (2)
ὅδε,σωφρ,20.171733917814,3,2,1,0,0,0,0,2,0,0,0,0,1,0,"σαόφρονες-οἵδε (2), σώφρονι-τῆσδε (1)"
μέν,σωφρ,19.5528221768036,4,2,2,0,2,0,0,0,0,1,0,1,0,0,"σαόφρονες-μέν (2), σώφρονι-μέν (1), σωφροσύνην-μέν (1)"
ἔτης,σωφρ,18.1537819628138,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σαόφρονες-ἔθ' (2)
εἰς,σωφρ,17.5505146015494,3,1,2,1,0,0,0,0,0,0,0,0,0,2,"σαόφρονες-εἰς (2), σώφρονι-εἰς (1)"
ἀστός,σωφρ,16.9997335999797,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σαόφρονες-ἀστοί (2)
ὅταν,σωφρ,16.5288415757823,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"σώφρων-ὅταν (1), σώφρονος-ὅταν (1)"
πολύς,σωφρ,15.662661642622,3,0,3,0,0,0,0,0,0,0,0,0,2,1,"σαόφρονες-πολλήν (2), σώφρων-πολλοῖς' (1)"
ἔχω,σωφρ,14.9103480230842,3,1,2,0,1,0,0,0,0,0,1,0,0,1,"σωφροσύνης-ἔχηις (1), σωφροσύνην-ἔχειν (1), σωφροσύνην-ἔχοις (1)"
πείθω,σωφρ,14.7688840847113,2,1,1,0,0,0,1,0,0,1,0,0,0,0,"σαόφροσιν-πειθόμενος (1), σώφρονι-πειθόμενος (1)"
ὥσπερ,σωφρ,14.7688840847113,2,1,1,0,0,1,0,0,0,0,1,0,0,0,σώφρων-ὥσπερ (2)
ἤν,σωφρ,13.9985024757916,2,1,1,0,0,1,0,0,0,0,0,1,0,0,σωφροσύνην-ἤν (2)
χάριτές,σωφρ,13.1819750725117,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνη-χάριτές (1)
ἀνέω,σωφρ,13.1819750725117,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-ἀνοίης (1)
ῥαδαμάνθυος,σωφρ,13.1819750725117,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνην-ῥαδαμάνθυος (1)
ἠώς,σωφρ,13.1819750725117,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνης-ἕως (1)
μέρος,σωφρ,13.1819750725117,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-μέρος (1)
τότε,σωφρ,13.1819750725117,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-τότε (1)
δικαι,σωφρ,13.1622595687222,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"σώφρονα-δικαίως (1), σωφροσύνην-δίκαιον (1)"
ὦ,σωφρ,12.4741943748668,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"σωφροσύνη-ὦ (1), σωφροσύνης-ὦ (1)"
τε,σωφρ,12.2249316878733,3,1,2,0,0,0,1,0,0,0,1,0,1,0,"σωφροσύνη-τ' (1), σωφροσύνην-τ' (1), σωφροσύνην-τε (1)"
καί,σωφρ,12.07983206879,4,3,1,0,0,0,0,3,0,0,1,0,0,0,"σώφρων-καί (3), σώφρονος-καί (1)"
θυμός,σωφρ,10.6302922641044,2,1,1,1,0,0,0,0,0,1,0,0,0,0,"σώφρονα-θυμόν (1), σωφροσύνης-θυμῶι (1)"
ὄφελος,σωφρ,10.4120326611155,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνην-ὄφελος (1)
οὖν,σωφρ,10.4120326611155,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρων-οὖν (1)
ἄχαρις,σωφρ,10.4120326611155,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρονος-ἄχαρι (1)
δέ,σωφρ,9.90630554311792,4,2,2,0,1,0,1,0,0,0,2,0,0,0,"σαόφρονες-δέ (2), σωφροσύνη-δ' (1), σώφρονι-δέ (1)"
ὑπέρ,σωφρ,9.36818295376725,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονος-ὑπέρ (1)
ἁμαρτάνω,σωφρ,9.36818295376725,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-ἥμαρτε (1)
ἀτασθαλία,σωφρ,9.36818295376725,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονα-ἀτασθαλίης (1)
ἐκτός,σωφρ,9.36818295376725,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονα-ἐκτός (1)
γίγνομαι,σωφρ,9.2551262168854,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"σώφρων-ἐγένου (1), σαόφροσιν-ἔγεντο (1)"
τελευτή,σωφρ,8.69123365616542,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονι-τελευτήν (1)
ποιόω,σωφρ,8.69123365616542,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σώφρονα-ποιοῦ (1)
νήπιος,σωφρ,8.69123365616542,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρων-νήπιος (1)
τρέφω,σωφρ,8.69123365616542,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνην-τρεφθῆι (1)
φίλος,σωφρ,8.52034225364332,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"σωφροσύνη-φίλε (1), σώφρονα-φίλ' (1)"
λαγχάνω,σωφρ,8.18853769687121,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρων-ἔλαχες (1)
διδάσκω,σωφρ,8.18853769687121,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σαόφροσιν-διδάσκων (1)
ποιέω,σωφρ,8.18853769687121,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σαόφροσιν-ποιήσει (1)
ἄρα,σωφρ,8.18853769687121,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφροσύνην-ἄρ' (1)
ἀλλά,σωφρ,7.86185204918729,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"σαόφροσιν-ἀλλά (1), σώφρων-ἀλλά (1)"
οἴχομαι,σωφρ,7.78847481450066,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνη-ὤιχετο (1)
αἰνέω,σωφρ,7.78847481450066,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονι-αἰνήσεις (1)
αὐτοῦ,σωφρ,7.45622852310771,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφροσύνην-αὐτοῦ (1)
μεθύω,σωφρ,7.45622852310771,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-μεθύηι (1)
γάρ,σωφρ,7.22683491080534,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σαόφρονες-γάρ (2)
εἷς,σωφρ,7.17218232690357,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-μιῆι (1)
μέτρον,σωφρ,7.17218232690357,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνης-μέτρ' (1)
νύξ,σωφρ,7.17218232690357,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρων-νυκτί (1)
ἡβάω,σωφρ,6.50645616737893,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνης-ἥβης (1)
οὔποτε,σωφρ,6.50645616737893,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σαόφροσιν-οὔποτε (1)
ἔργμα,σωφρ,6.50645616737893,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνης-ἔργματα (1)
δοκέω,σωφρ,6.32703572273022,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρων-δόξα (1)
ὁμῶς,σωφρ,6.32703572273022,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονος-ὁμῶς (1)
πρίν,σωφρ,6.32703572273022,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-πρίν (1)
πολλάκις,σωφρ,6.16282489389414,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρων-πολλάκι (1)
οὕτως,σωφρ,5.87114715299685,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-οὕτως (1)
ὄλλυμι,σωφρ,5.87114715299685,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-ὤλεσε (1)
ἀνήρ,σωφρ,5.865392986394,2,2,0,0,0,1,0,1,0,0,0,0,0,0,"σώφρονος-ἀνδρός (1), σωφροσύνη-ἀνδρῶν (1)"
οἶνος,σωφρ,5.74036496528424,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονος-οἶνος (1)
πρός,σωφρ,5.74036496528424,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-πρός (1)
ζεύς,σωφρ,5.50286944204709,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονι-ζεύς (1)
τελέω,σωφρ,5.39435200195294,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνης-τελέσαντ' (1)
πόλις,σωφρ,5.29169136012206,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονι-πόληος (1)
εἰμί,σωφρ,5.20558251580223,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"σωφροσύνην-ἦν (1), σώφρων-ἐών (1)"
ἑταῖρος,σωφρ,5.1943010899995,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρονα-ἑταῖρε (1)
γαῖα,σωφρ,4.92905854588025,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνη-γῆν (1)
πίνω,σωφρ,4.84835360338911,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονος-πίνηι (1)
δή,σωφρ,4.77098504733294,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονος-δή (1)
χόω,σωφρ,4.77098504733294,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονα-ἔχων (1)
ὁ,σωφρ,4.48455142325838,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"σώφρων-τό (1), σαόφροσιν-τόν (1)"
ἀεί,σωφρ,4.42611801883322,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονα-ἀεί (1)
μέγας,σωφρ,4.36424511196674,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφροσύνη-μεγάλη (1)
χρῆμα,σωφρ,4.36424511196674,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονα-χρήματα (1)
εἰ,σωφρ,3.93283337083994,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνην-εἰ (1)
παῖς,σωφρ,3.62511892197654,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνης-παῖ (1)
ἐπί,σωφρ,3.36326783805271,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνην-ἐπί (1)
νόος,σωφρ,3.32888934738003,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνην-νόος (1)
θεός,σωφρ,3.22970162835554,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνη-θεός (1)
ἄν,σωφρ,3.16664101145579,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφροσύνης-ἄν (1)
οὗτος,σωφρ,2.93563921397435,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρων-ταῦτα (1)
οὐδέ,σωφρ,2.73294892252306,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνην-οὐδ' (1)
κακός,σωφρ,2.46995098356274,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σαόφροσιν-κακός (1)
σύ,σωφρ,2.37216264480958,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρων-σύ (1)
πλείο,σωφρ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-πλείο (1)
ς,σωφρ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σαόφροσιν-ς (1)
σωφρ,σωφρ,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,"σώφρων-σώφρων (0), σώφρονος-σώφρονος (0), σωφροσύνην-σωφροσύνην (0), σαόφρονες-σαόφρονες (0), σώφρονι-σώφρονι (0), σωφροσύνη-σωφροσύνη (0), σωφροσύνης-σωφροσύνης (0), σώφρονα-σώφρονα (0), σαόφροσιν-σαόφροσιν (0)"
