Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,16,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,ανδρει,37.4555566371419,12,11,1,3,2,0,3,3,0,0,0,0,0,1,"ἀνδρεῖον-τό (3), ἀνδρείως-τῶν (2), ἀνδρείους-τούς (1), ἀνδρείας-τῶν (1), ἀνδρείως-τά (1), ἀνδρείᾳ-ἡ (1), ἀνδρείας-τό (1), ἀνδρείαν-ἡ (1), ἀνδρείᾳ-ταῖς (1)"
ἀπειρία,ανδρει,27.1241416893899,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"ἀνδρείου-ἀπειρίαν (1), ἀνδρείους-ἀπειρίαν (1)"
περιγίγνομαι,ανδρει,20.5110619300976,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"ἀνδρείας-περιγίγνεται (1), ἀνδρείᾳ-περιγενόμενοι (1)"
τίς,ανδρει,20.2940357569605,4,2,2,1,0,0,0,1,0,0,0,0,0,2,"ἀνδρείους-τοῦ (1), ἀνδρείου-τοῦ (1), ἀνδρείως-τοῦ (1), ἀνδρεῖον-τοῦ (1)"
δείκνυμι,ανδρει,18.8649146007374,2,1,1,0,1,0,0,0,0,1,0,0,0,0,"ἀνδρεῖον-δεξαμένοις (1), ἀνδρείᾳ-ἔδειξαν (1)"
εὐταξία,ανδρει,18.4939339524135,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείας-εὐταξίας (1)
ἀσκέω,ανδρει,18.4939339524135,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖον-ἀσκήσει (1)
φιλέταιρος,ανδρει,18.4939339524135,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεία-φιλέταιρος (1)
μέν,ανδρει,18.3781464817002,4,2,2,0,0,1,0,1,0,2,0,0,0,0,"ἀνδρείᾳ-μέν (1), ἀνδρεία-μέν (1), ἀνδρείας-μέν (1), ἀνδρείαν-μέν (1)"
ἥσσων,ανδρει,18.3395367730409,2,0,2,0,0,0,0,0,0,0,1,1,0,0,"ἀνδρείᾳ-ἥσσους (1), ἀνδρείᾳ-ἧσσον (1)"
καί,ανδρει,18.0639588478953,7,3,4,0,1,0,1,1,0,1,1,1,1,0,"ἀνδρείᾳ-καί (2), ἀνδρείαν-καί (1), ἀνδρείους-καί (1), ἀνδρείου-καί (1), ἀνδρεῖον-καί (1), ἀνδρείως-καί (1)"
προσέρχομαι,ἀνδρεῖα,18.0065368320793,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείοις-προσέρχονται (1)
ἄν,ανδρει,17.8789761895314,3,1,2,0,1,0,0,0,0,0,0,0,1,1,"ἀνδρεῖον-ἄν (1), ἀνδρείως-ἄν (1), ἀνδρείου-ἄν (1)"
προσήκω,ἀνδρεῖα,16.8794334782287,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείοις-προσῆκον (1)
δέ,ανδρει,16.5784131786786,5,0,5,0,0,0,0,0,0,0,0,2,2,1,"ἀνδρεῖον-δέ (2), ἀνδρείας-δ' (1), ἀνδρεῖον-δ' (1), ἀνδρεία-δέ (1)"
εἰμί,ανδρει,16.2707990929484,4,2,2,1,0,0,1,0,0,1,0,0,1,0,"ἀνδρείου-εἶναι (1), ἀνδρείως-εἶναι (1), ἀνδρείους-εἶναι (1), ἀνδρεῖον-ὄντες (1)"
ἐθάρσυνέ,ανδρει,15.7215314353816,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείᾳ-ἐθάρσυνέ (1)
ἐπικομπέω,ανδρει,15.7215314353816,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρεῖον-ἐπικομποῦσιν (1)
ἀνεξέλεγκτος,ανδρει,15.7215314353816,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖον-ἀνεξέλεγκτον (1)
τε,ανδρει,15.4089774219319,4,2,2,0,2,0,0,0,0,0,0,2,0,0,"ἀνδρείᾳ-τε (2), ἀνδρείως-τε (2)"
μέλλησις,ανδρει,14.6752213551663,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρεία-μέλλησις (1)
μετέρχομαι,ανδρει,14.6752213551663,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεῖον-μετέρχονται (1)
ἀπειλή,ανδρει,14.6752213551663,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρεῖον-ἀπειλαῖς (1)
διό,ἀνδρεῖα,14.0990931959823,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείοις-δι' (1)
ἀλόγιστος,ανδρει,13.4906545458362,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρεία-ἀλόγιστος (1)
νομίζω,ανδρει,13.4551002359949,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"ἀνδρείως-νομίσατε (1), ἀνδρεία-ἐνομίσθη (1)"
δικαίωσις,ανδρει,13.0881304857321,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεία-δικαιώσει (1)
θέω,ανδρει,13.0881304857321,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείως-ἔθει (1)
προβάλλω,ανδρει,13.0881304857321,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείου-προβαλλομένους (1)
μάλιστα,ανδρει,12.9725924339145,2,1,1,0,0,0,1,0,0,0,0,0,0,1,"ἀνδρεῖον-μάλιστ' (1), ἀνδρείαν-μάλιστα (1)"
οὐ,ανδρει,12.6949670054018,3,0,3,0,0,0,0,0,0,1,1,0,0,1,"ἀνδρείᾳ-οὐχ (2), ἀνδρείᾳ-οὐκ (1)"
σφεῖς,ἀνδρεῖα,12.5333517203107,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείοις-σφίσιν (1)
νέω,ανδρει,12.466914836783,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖον-νέοι (1)
τῇδε,ανδρει,12.466914836783,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείως-τῇδε (1)
ἐπιφανής,ανδρει,11.9939503776841,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείᾳ-ἐπιφανής (1)
μνήμη,ανδρει,11.6119186873548,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείαν-μνήμην (1)
ἄπωθεν,ανδρει,11.6119186873548,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖον-ἄπωθεν (1)
ἀκολουθέω,ανδρει,11.4452447998337,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείως-ἀκολουθήσατε (1)
τροπόω,ανδρει,11.4452447998337,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείας-τρόπων (1)
ἐπιστήμη,ανδρει,11.2914327848703,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείαν-ἐπιστήμη (1)
αὐτοκράτωρ,ανδρει,11.1486401376314,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρεῖον-αὐτοκράτωρ (1)
ἐμπειρία,ανδρει,10.8904988025315,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείᾳ-ἐμπειρίᾳ (1)
ἀνίημι,ανδρει,10.7729700272903,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖον-ἀνειμένως (1)
ἄλλος,ἀνδρεῖα,10.1468861536123,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείοις-ἄλλο (1)
ἔχω,ανδρει,10.084121402353,2,0,2,0,0,0,0,0,0,0,1,0,0,1,"ἀνδρείαν-ἔχουσα (1), ἀνδρείαν-ἕξει (1)"
ὡς,ἀνδρεῖα,10.0595995667391,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείοις-ὡς (1)
εἰκότως,ανδρει,9.94460491044447,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείου-εἰκότως (1)
τις,ἀνδρεῖα,9.89755975361913,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείοις-τι (1)
ὑπομένω,ανδρει,9.87070012977347,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείως-ὑπομεῖναι (1)
χέω,ανδρει,9.87070012977347,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεῖον-ἔχει (1)
ἱκανός,ανδρει,9.36145261628553,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείᾳ-ἱκανός (1)
οὐ,ἀνδρεῖα,9.15175079228356,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείοις-οὐ (1)
τίθημι,ανδρει,9.14864895353094,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείως-θήσεται (1)
ὀρθόω,ανδρει,9.14864895353094,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείους-ὀρθῶς (1)
ἐλασσόω,ανδρει,9.09882999816909,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείᾳ-ἐλασσωθέντες (1)
τολμάω,ανδρει,8.91119187092409,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεία-τόλμα (1)
συμμαχέω,ανδρει,8.82363460306078,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖον-μάχη (1)
ὦ,ανδρει,8.69914814969525,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείως-ὦ (1)
τρεῖς,ανδρει,8.54447035770863,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείως-τρία (1)
τῇ,ανδρει,8.480281308759,2,2,0,0,0,0,1,1,0,0,0,0,0,0,ἀνδρείᾳ-τῇ (2)
κινδυνεύω,ανδρει,8.47143810708076,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείας-κινδυνεύειν (1)
μή,ανδρει,8.46486470941454,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"ἀνδρείου-μή (1), ἀνδρείους-μή (1)"
εἰμί,ἀνδρεῖα,8.3298722114414,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείοις-εἶναι (1)
νόμος,ανδρει,8.29984451178461,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείας-νόμων (1)
ἐθέλω,ανδρει,8.05294901691377,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείας-ἐθέλομεν (1)
γάρ,ανδρει,8.03029199922457,2,1,1,0,0,0,1,0,0,0,1,0,0,0,"ἀνδρεία-γάρ (1), ἀνδρείως-γάρ (1)"
ὑπάρχω,ανδρει,7.47821573447436,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείας-ὑπαρχούσης (1)
καλός,ανδρει,7.39338564919308,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεῖον-καλοῦ (1)
ὅς,ανδρει,7.22357860766351,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"ἀνδρεῖον-οἵ (1), ἀνδρείαν-ἥν (1)"
φοβέω,ανδρει,7.15889048203826,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείαν-φοβεῖσθε (1)
ἐναντίος,ανδρει,6.94947419781238,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείας-ἐναντίων (1)
ἀεί,ανδρει,6.82136436086148,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείους-αἰεί (1)
τότε,ανδρει,6.34276255499572,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείᾳ-τότε (1)
κρατέω,ανδρει,6.33067894540727,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείας-κρατήσειν (1)
πολεμέω,ανδρει,6.21381351025775,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείως-πολεμίων (1)
γνώμη,ανδρει,6.20250561414286,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείους-γνώμαις (1)
μέλλω,ανδρει,6.08229572046548,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεῖον-μελλήσει (1)
πάρειμι,ανδρει,5.79719251161441,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείου-παρόντος (1)
εὐθύς,ανδρει,5.41718462854624,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεῖον-εὐθύς (1)
σφός,ανδρει,5.31509921280667,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείας-σφᾶς (1)
σφεῖς,ανδρει,5.23856966057792,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείας-σφίσιν (1)
ἀνήρ,ανδρει,5.21148934029043,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείως-ἄνδρες (1)
ἐγώ,ανδρει,5.13895662873983,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρεῖον-ἡμεῖς (1)
